X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,HousUnits_MonthOwnerCosts_toInc,Sel_Mo_Own_Costs_30pct_of_Incom,Pct_Sel_Mo_Own_Costs_30pct_Inc,HousUnits_Compute_RentPctIncome,Rent_Pct_of_Inc_More30Pct,PctRent_PctIncome_More30Pct,HousUnits_OwnRent_Compute,HousCosts_Units_30pctMore_Inc,PctHousCost_30pctMore_Income,GlobalID,last_edited_date
-84.747188706008643,34.282510371813778,1,White,583.2789917,0.91137302,yes, ,120,20,16.7,95,71,74.7,215,91,42.3,{C20A40A6-70E0-41BD-9FFA-69A5C4E0636B},
-84.94463042566889,34.23168256514446,2,Kingston,791.59002686,1.23686004,yes, ,156,52,33.3,93,75,80.6,249,127,51,{4F733FCA-CE5B-40D3-937C-194E1F61C32E},
-84.932657158350821,34.143962915926501,3,Euharlee,3458.67993164,5.40419006,yes, ,1026,200,19.5,288,129,44.8,1314,329,25,{F40CE536-2627-4331-8A6B-6F6D6B4A1ADF},
-85.509652913286104,34.874155237743075,4,Trenton,2058.65991211,3.21665001, , ,437,123,28.1,305,172,56.4,742,295,39.8,{CEFBC6BA-8FB8-4B38-8519-3FF157CFA73F},
-83.0748118918671,31.0410225180913,5,Lakeland,2006.07995605,3.13450003, , ,411,45,10.9,728,364,50,1139,409,35.9,{45FD9581-7594-41C4-B555-9488BD50C3BC},
-81.313271548726405,31.931206625371129,6,Richmond Hill,9391.74023438,14.67459965, , ,1903,496,26.1,1763,839,47.6,3666,1335,36.4,{B0B74DAB-C9D5-4467-817B-CC50ABA8C89B},
-81.618613818445965,32.145506414874497,7,Pembroke,4915.20996094,7.68000984, , ,592,255,43.1,408,240,58.8,1000,495,49.5,{82E13361-8F4C-42AD-923E-148DA4EB57D1},
-82.19873511304786,31.721584516555016,8,Surrency,496.04699707,0.77507401, , ,56,12,21.4,10,3,30,66,15,22.7,{78E4AACB-13F8-4085-B130-63BF2FB6AF47},
-82.502968676470971,31.829162114887449,9,Graham,1119.58996582,1.74935997, , ,94,25,26.6,2,2,100,96,27,28.1,{5EA05731-57D8-40BC-8B3B-DE8446339494},
-82.351005590608196,31.764802897199033,10,Baxley,5372.50976563,8.39455032, , ,881,315,35.8,899,210,23.4,1780,525,29.5,{2135CDA4-A167-4396-934A-1A7A5C1A13EE},
-83.352410662717375,32.387705558976286,11,Cochran,3046.81005859,4.76064014, , ,820,183,22.3,424,255,60.1,1244,438,35.2,{91302E0C-2195-4C1D-89BC-8B07701214D1},
-83.225827419136991,32.592674063040469,12,Allentown,1968.68994141,3.07608008, , ,69,13,18.8,14,6,42.9,83,19,22.9,{D2DD7290-8188-418F-A822-E547FFB316E4},
-83.433056077556913,34.845793052754345,13,Tiger,530.53100586,0.82895499, , ,99,33,33.3,36,34,94.4,135,67,49.6,{7F32E4D3-A4B1-458A-A4A3-CB7681715EC7},
-83.331360240928973,34.984071220571202,14,Sky Valley,1963.90002441,3.06858993, , ,186,55,29.6,1,1,100,187,56,29.9,{D517FB6D-F352-4AD4-AD1B-D376C0617298},
-83.385374154014556,34.919636572417325,15,Mountain City,1167.41003418,1.82407999, , ,228,73,32,91,70,76.9,319,143,44.8,{E638E6D9-FE2F-4676-AEA9-5B728C223D19},
-83.382032679715607,34.974766361697974,16,Dillard,1134.18005371,1.77216005, , ,80,26,32.5,59,33,55.9,139,59,42.4,{0F08824A-524B-4AE1-B6ED-CE4EBBFF0932},
-84.81331673828376,31.013588535263732,17,Iron City,510.99798584,0.79843402, , ,120,35,29.2,15,2,13.3,135,37,27.4,{10C1F75E-7DE8-4C9B-BDFC-60C09EC6F136},
-84.87917375217431,31.040438258485501,18,Donalsonville,2554.36010742,3.99117994, , ,670,219,32.7,224,136,60.7,894,355,39.7,{492F0F18-EF7F-430A-A972-041B79ECC79D},
-82.387820991116641,33.207010670333858,19,Wrens,2010.61999512,3.14159012, , ,452,131,29,530,343,64.7,982,474,48.3,{34B9FDA7-C4C5-4BE2-82C2-F5950D38424C},
-82.401375319690288,32.866325807288945,20,Wadley,2945.47998047,4.60232019, , ,409,184,45,255,120,47.1,664,304,45.8,{0CA60DB6-96A6-4018-B254-6FD2C02FEB50},
-82.467244243524775,33.216895358923928,21,Stapleton,1116.5300293,1.74458003, , ,135,51,37.8,29,25,86.2,164,76,46.3,{4BA39ADE-1616-46A7-BD8D-8267E2FAC895},
-82.400017055872013,32.995542996466327,22,Louisville,2355.08007813,3.67981005, , ,577,239,41.4,323,199,61.6,900,438,48.7,{2D77D9B5-35D5-4B53-A303-4A3D8F0A0932},
-82.471160747733549,32.88157883049292,23,Bartow,723.83300781,1.13099003, , ,79,22,27.8,33,24,72.7,112,46,41.1,{3EB9DB1E-9344-41F4-91C6-B79A38A47F07},
-82.528735497220637,33.193429094923637,24,Avera,416.13699341,0.65021503, , ,74,15,20.3,32,27,84.4,106,42,39.6,{DD9A1972-0B28-446B-8A7F-E8AA4E2DE3F5},
-83.401722256014793,34.87760884382832,25,Clayton,2095.66992188,3.2744801, , ,462,228,49.4,348,182,52.3,810,410,50.6,{62D74FA5-F188-4751-918F-1FB5CE24062A},
-83.381654417426205,34.725761448791175,26,Tallulah Falls,5462.18994141,8.53468037, , ,7,6,85.7,14,0,0,21,6,28.6,{BA76D6CF-F471-4C6E-9B90-ACA3B8CFD879},
-81.473948043333195,31.145000103476431,27,Brunswick,16186.29980469,25.29100037, , ,2116,703,33.2,3468,1922,55.4,5584,2625,47,{17546989-7A99-48FD-B003-F282538CF3D8},
-81.717460195513794,30.959513869691396,28,Woodbine,1645.86999512,2.57167006, , ,323,77,23.8,165,92,55.8,488,169,34.6,{8699710B-25C8-4149-AAAA-56E94FEFE04E},
-81.57215523099002,30.756670879395642,29,St. Marys,15951,24.92340088, , ,3262,1047,32.1,2971,1421,47.8,6233,2468,39.6,{301351CF-0396-45A6-B5E7-EC97526173A2},
-81.721747618684333,30.81938988424136,30,Kingsland,28812.5,45.01959991, , ,3672,1206,32.8,2000,890,44.5,5672,2096,37,{F706C002-A2BC-47FF-AD25-B416B715DC5C},
-85.044201695657492,34.010275416089883,31,Rockmart,3653.76000977,5.70900011, , ,992,271,27.3,630,260,41.3,1622,531,32.7,{0505663A-0D2E-477C-9BCA-8D71DF91C827},
-85.250086914761596,34.021563224803607,32,Cedartown,5582.02978516,8.72192001, , ,1312,396,30.2,1807,937,51.9,3119,1333,42.7,{0EE11036-F37E-46BC-950D-6505137957C5},
-85.057081949250133,34.045694458802309,33,Aragon,731.47399902,1.14293003, , ,277,107,38.6,184,112,60.9,461,219,47.5,{1E9566B7-B929-45C0-B905-41B51D4D70BE},
-83.611275845059367,33.626303117910538,34,Rutledge,2115.2199707,3.30503988, , ,252,99,39.3,59,35,59.3,311,134,43.1,{9B3557E4-8B60-41AB-92EF-71CCDBE58AE7},
-83.475834636871738,33.57908875704647,35,Madison,5621.20996094,8.78314018, , ,1014,378,37.3,393,90,22.9,1407,468,33.3,{7DC5543F-8C2E-4F8F-A758-088CBAF66F68},
-83.362311742670897,33.568458472341518,36,Buckhead,513.20898438,0.801889, , ,66,31,47,21,5,23.8,87,36,41.4,{4967A30B-19E8-41FF-AB46-90A5958938FD},
-83.514963823408692,33.737807252310098,37,Bostwick,2009.42004395,3.13970995, , ,157,25,15.9,12,9,75,169,34,20.1,{A55EF740-59E7-4196-82B8-7D8AD799FBDC},
-84.560624633719087,32.787680700104318,38,Woodland,505.98699951,0.79060501, , ,105,42,40,44,43,97.7,149,85,57,{2FFC4B5E-98ED-41FF-835A-3E876A0823F4},
-84.540597882672756,32.67727423634534,39,Talbotton,1999.56005859,3.12431002, , ,240,101,42.1,170,82,48.2,410,183,44.6,{F70EAA6E-B51B-4713-ADA1-C793367939C2},
-84.457354411116995,32.603171618165696,40,Junction City,1584.93005371,2.47645998, , ,48,22,45.8,11,3,27.3,59,25,42.4,{5DD1C20A-A381-407F-99E5-E2CB2F12E257},
-84.551618930841585,32.578961087544528,41,Geneva,503.5289917,0.78676498, , ,34,6,17.6,2,2,100,36,8,22.2,{5AEC6DCA-BC5C-4743-B8AF-8A14254404AA},
-84.633019519734859,32.856563103206277,42,Manchester,5150.77001953,8.04806995, , ,750,211,28.1,674,473,70.2,1424,684,48,{87178F57-B875-4326-8DA8-12DBC5B06757},
-84.308900636849515,32.238023966845518,43,Ellaville,2031.85998535,3.17478991, , ,457,151,33,321,177,55.1,778,328,42.2,{33B1A938-648D-4F84-A72E-83D8C5543606},
-83.954768637741594,34.876060180016673,44,Blairsville,711.4630127,1.11166, , ,79,9,11.4,168,93,55.4,247,102,41.3,{C23A2A55-2638-4DBC-997C-6A3FC5B40D83},
-83.456885379915988,31.948772381252436,45,Rochelle,1220.30004883,1.90673006, , ,324,46,14.2,89,53,59.6,413,99,24,{7F077F77-897A-46A4-A7C5-8A82878BE8FA},
-83.541760432341846,31.946189657576681,46,Pitts,512.6630249,0.801036, , ,95,19,20,51,22,43.1,146,41,28.1,{4506B006-4D45-499B-AF60-B5B1214F0A9A},
-83.503012139293929,32.1084913904551,47,Pineview,1250.7199707,1.95424998, , ,113,58,51.3,44,30,68.2,157,88,56.1,{59F1EC64-C80B-4AB2-95C0-5EDB7EB0F4CB},
-83.306784752237647,31.992521537870257,48,Abbeville,1979.06994629,3.09229994, , ,202,59,29.2,116,72,62.1,318,131,41.2,{B33AE76F-2F33-4F93-8542-B9B02C432CFD},
-82.357947817525755,31.21090364262232,49,Waycross,7645.64013672,11.94629955, , ,2812,774,27.5,2735,1434,52.4,5547,2208,39.8,{D14A8403-995D-43A5-A135-B5FDA601D1EE},
-83.281478850598504,33.966629882992827,50,Winterville,1693.66003418,2.64634991, , ,351,103,29.3,60,44,73.3,411,147,35.8,{07A4099D-E7FD-4769-9A1B-864AC2136CD5},
-83.533468441995979,33.947381185490876,51,Bogart,1522.33996582,2.37864995, , ,287,72,25.1,117,67,57.3,404,139,34.4,{389DE7E1-585C-4335-879C-1D36C83A2B5A},
-83.996615817512804,33.664558946519954,52,Conyers,7552.85009766,11.80130005,yes,yes,1735,481,27.7,3285,1924,58.6,5020,2405,47.9,{09F15A6F-AFAE-48ED-A27C-E9C80EEDC409},
-83.957954430172748,33.890201890712085,53,Grayson,1594.05004883,2.49071002,yes,yes,693,198,28.6,103,39,37.9,796,237,29.8,{91DB43BB-5D0C-4A1C-8E94-EE97D0B7B36D},
-83.53741548238628,33.002388034566387,54,Gray,2489.23999023,3.88943005, , ,620,163,26.3,396,221,55.8,1016,384,37.8,{CEDF198B-B538-4E71-BA7B-3BD2C09BCB90},
-85.149536953027905,33.708750574041105,55,Bremen,6763.83984375,10.56849957,yes, ,1309,270,20.6,946,489,51.7,2255,759,33.7,{D46C77C1-5DE6-4ECD-A829-0EC654A1FA95},
-84.766784007615655,34.82660415775154,56,Eton,771.23101807,1.20504999, , ,217,52,24,67,44,65.7,284,96,33.8,{0FF164B3-144A-4C35-9155-C0E0D8831B62},
-84.783395764576539,34.780713373819175,57,Chatsworth,3407.64990234,5.32446003, , ,778,189,24.3,829,485,58.5,1607,674,41.9,{58F9488E-14D0-4C62-9992-290B5FA4C0D0},
