X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Under_18_years,Pct_Under_18_years,Num_18_29_years,Pct_18_29_years,Num_30_44_years,Pct_30_44_years,Num_45_64_years,Pct_45_64_years,Num_65_years_and_over,Pct_65_years_and_over,Median_Age,White,Pct_White,Black_African_American,Pct_Black_African_American,Asian,Pct_Asian,Other_two_races,Pct_Other_two_races,Hispanic_Latino_all_races,Pct_Hispanic_Latino_all_races,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-84.747188706008643,34.282510371813778,1,White,583.2789917,0.91137302,yes, ,211,29.1,130,18,145,20,158,21.8,81,11.2,32.1,694,95.8,3,0.4,0,0,25,3.4,3,0.4,{64C31168-8312-4AA9-A5AD-0B7178F84D29},,,,
-84.94463042566889,34.23168256514446,2,Kingston,791.59002686,1.23686004,yes, ,130,19.9,86,13.2,146,22.3,229,35,63,9.6,41.7,376,57.5,252,38.6,7,1,15,2.3,4,0.6,{5062792D-7835-46DD-B34E-49AC37E5027E},,,,
-84.932657158350821,34.143962915926501,3,Euharlee,3458.67993164,5.40419006,yes, ,1197,28.1,665,15.6,763,17.9,1244,29.2,388,9.1,37.3,3826,89.8,141,3.3,0,0,107,2.5,187,4.4,{5DCEDB00-5C38-4E22-9235-EB7CC16F4335},,,,
-85.509652913286104,34.874155237743075,4,Trenton,2058.65991211,3.21665001, , ,526,23.5,347,15.5,488,21.8,526,23.5,349,15.6,36.7,2050,91.6,51,2.3,0,0,63,2.8,74,3.3,{E1152F75-D43D-43D8-9450-08214FB9903F},,,,
-83.0748118918671,31.0410225180913,5,Lakeland,2006.07995605,3.13450003, , ,817,24.6,764,23,412,12.4,801,24.1,528,15.9,31.1,1591,47.9,1624,48.9,23,0.7,30,0.9,53,1.6,{DD73C191-BEEE-411E-9EC6-A39A51E64A31},,,,
-81.313271548726405,31.931206625371129,6,Richmond Hill,9391.74023438,14.67459965, , ,3628,30.4,2041,17.1,3115,26.1,2363,19.8,788,6.6,32.4,8307,69.6,2112,17.7,203,1.7,358,3,943,7.9,{3F5CBCFF-ACED-413D-99D6-BBA5FA23A5A8},,,,
-81.618613818445965,32.145506414874497,7,Pembroke,4915.20996094,7.68000984, , ,870,35.6,450,18.4,428,17.5,394,16.1,303,12.4,26.4,1438,58.8,866,35.4,0,0,66,2.7,76,3.1,{0FDCD8C9-962B-4743-B3FF-09195E190173},,,,
-82.19873511304786,31.721584516555016,8,Surrency,496.04699707,0.77507401, , ,29,13.9,31,15.2,7,3.2,101,48.7,39,19,53.4,130,62.7,75,36.1,0,0,0,0,3,1.3,{6BB249F4-91C8-4E8D-8D9E-C25A0DB16EA7},,,,
-82.502968676470971,31.829162114887449,9,Graham,1119.58996582,1.74935997, , ,113,37.8,26,8.6,51,17,88,29.4,21,7.1,33.5,184,61.7,108,36,0,0,7,2.3,0,0,{8F26131A-8C08-49E6-96B0-9CC7C356AC6C},,,,
-82.351005590608196,31.764802897199033,10,Baxley,5372.50976563,8.39455032, , ,968,21.8,595,13.4,888,20,1123,25.3,866,19.5,43.1,2096,47.2,1758,39.6,142,3.2,75,1.7,364,8.2,{7238C6A3-7E59-44ED-96D0-13041BC32960},,,,
-83.352410662717375,32.387705558976286,11,Cochran,3046.81005859,4.76064014, , ,694,15.9,1418,32.5,598,13.7,947,21.7,707,16.2,31.2,1837,42.1,2378,54.5,9,0.2,48,1.1,92,2.1,{4FBD30E7-2509-4B93-B888-1F23F1EA8BC6},,,,
-83.225827419136991,32.592674063040469,12,Allentown,1968.68994141,3.07608008, , ,45,27.7,23,14,20,12.4,42,26,32,19.8,36.3,94,57.9,68,42.1,0,0,0,0,0,0,{84EE53E2-EB8B-4B2F-A093-C5D5FA310559},,,,
-83.433056077556913,34.845793052754345,13,Tiger,530.53100586,0.82895499, , ,102,25.4,77,19.3,71,17.6,74,18.4,77,19.3,34.8,356,88.8,0,0,0,0,38,9.4,8,1.9,{14E7ADB3-6D12-45DA-B28D-4BCF072C6288},,,,
-83.331360240928973,34.984071220571202,14,Sky Valley,1963.90002441,3.06858993, , ,13,5,5,1.7,19,7,66,24.8,163,61.6,67.8,258,97.2,7,2.8,0,0,0,0,0,0,{F5FC4294-22C1-49CB-AC8F-4E24AD4AA007},,,,
-83.385374154014556,34.919636572417325,15,Mountain City,1167.41003418,1.82407999, , ,188,17.7,179,16.9,92,8.7,278,26.2,323,30.4,51.6,1003,94.5,0,0,0,0,0,0,58,5.5,{3F1266F2-B6CE-4ACC-AB5E-890D5761A405},,,,
-83.382032679715607,34.974766361697974,16,Dillard,1134.18005371,1.77216005, , ,65,19.5,51,15.2,62,18.5,89,26.7,67,20.1,42.4,237,71.1,0,0,0,0,0,0,97,28.9,{B6B283E1-75EA-4FAD-966C-A727D3C67CE8},,,,
