OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Workers__16_years_and_over,Car_Truck_or_Van_drove_alone,Pct_Car_Truck_Van_drove_alone,Car__truck__or_van___carpooled,Pct_Car_Truck_Van_carpooled,Public_Transport_excluding_Taxi,Pct_Public_Transp_exclude_Taxi,Worked_at_home,Percent_Worked_at_home,Mean_Travel_Time_to_Work_min,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,2253,1845,81.9,385,17.1,0,0,23,1,31.6,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,4637,3518,75.9,908,19.6,42,0.9,137,3,33.8,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,1258,883,70.2,212,16.9,0,0,0,0,18.8,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,1642,1323,80.6,197,12,0,0,77,4.7,33.7,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,2402,1750,72.9,470,19.6,0,0,123,5.1,32.4,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,5092,4476,87.9,482,9.5,37,0.7,97,1.9,29.7,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,1590,1250,78.6,196,12.3,9,0.6,97,6.1,29.9,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,2324,1732,74.5,484,20.8,0,0,41,1.8,27.3,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,3391,2961,87.3,255,7.5,13,0.4,120,3.5,20.2,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,2747,2264,82.4,347,12.6,0,0,56,2,24.2,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
11,910701,13045910701,9107.01,ARC 20,3451,2992,86.7,257,7.4,0,0,75,2.2,20.6,{C5FC338E-46B1-4769-AAF5-F731DD58D680},
12,910703,13045910703,9107.03,ARC 20,3099,2588,83.5,345,11.1,0,0,113,3.6,28.8,{A75A89C0-6D48-4FA1-A775-55AD93F0AB4D},
13,910600,13045910600,9106,ARC 20,2601,2201,84.6,309,11.9,0,0,16,0.6,28,{590C317F-E389-4379-993E-554E466947D8},
14,910501,13045910501,9105.01,ARC 20,3640,2678,73.6,476,13.1,81,2.2,118,3.2,21.9,{44DAD43E-B75D-4660-800B-EA9AFE6A6FC7},
15,910702,13045910702,9107.02,ARC 20,2853,2271,79.6,414,14.5,37,1.3,117,4.1,33.1,{04BDA03B-EAA6-4B32-A85F-6F58B0C3875A},
16,911200,13045911200,9112,ARC 20,2426,2140,88.2,154,6.3,0,0,50,2.1,27.1,{29319C52-57EA-4D1F-80A7-654E4BAD1DCB},
17,910400,13045910400,9104,ARC 20,1242,1060,85.3,149,12,0,0,16,1.3,28,{A1EBCEF5-5629-45D4-91C6-FE659D411D6A},
18,140207,13113140207,1402.07,ARC 10,2427,1968,81.1,140,5.8,41,1.7,225,9.3,27.1,{4EAE4DC0-AD3B-4B54-98BF-F10FA12F7340},
19,140208,13113140208,1402.08,ARC 10,3534,2914,82.5,278,7.9,48,1.4,257,7.3,30,{29C8E9B1-0698-489A-A0CB-A56B3E2C41C4},
20,140303,13113140303,1403.03,ARC 10,1872,1492,79.7,127,6.8,7,0.4,95,5.1,22.2,{C02EB793-6BFE-4DE1-AC60-392CB01CFFDA},
