OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Civilian_nonInstitutional_Pop,Civ_nonInstitution_Pop_wDisabil,Pct_Civ_nonInstitut_Pop_wDisab,Civ_nonInstitut_Pop_under_18yrs,Civ_nonInst_under18_wDisab,Pct_Civ_nonInst_under18_wDisab,Civ_nonInst_Pop_18_to_64,Civ_nonInst_18_to_64_wDisab,Pct_Civ_nonInst_18to64_wDisab,Civ_nonInst_Pop_65years_up,Civ_nonInst_65up_wDisab,Pct_Civ_nonInst_65up_wDisab,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,4932,732,14.8,1006,4,4.3,3527,511,14.5,399,178,44.6,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,9656,1123,11.6,2548,3,3,5967,622,10.4,1141,425,37.2,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,3006,492,16.4,780,1,0.9,2023,382,18.9,203,103,50.7,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,4124,778,18.9,1032,7,7.1,2550,448,17.6,542,257,47.4,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,5968,922,15.4,1699,3,2.9,3588,528,14.7,681,344,50.5,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,12163,2439,20.1,2927,1,1.4,7617,1508,19.8,1619,889,54.9,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,4115,862,20.9,1105,13,13.4,2504,435,17.4,506,279,55.1,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,5869,1090,18.6,1505,6,5.6,3629,820,22.6,735,185,25.2,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,7562,1224,16.2,1648,0,0,4771,742,15.6,1143,482,42.2,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,6157,766,12.4,1597,4,4.5,3848,419,10.9,712,275,38.6,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
11,910701,13045910701,9107.01,ARC 20,7827,951,12.2,2084,5,4.9,4838,527,10.9,905,322,35.6,{C5FC338E-46B1-4769-AAF5-F731DD58D680},
12,910703,13045910703,9107.03,ARC 20,8764,1304,14.9,2424,0,0,5319,955,18,1021,349,34.2,{A75A89C0-6D48-4FA1-A775-55AD93F0AB4D},
13,910600,13045910600,9106,ARC 20,5878,893,15.2,1614,2,2.2,3672,603,16.4,592,254,42.9,{590C317F-E389-4379-993E-554E466947D8},
14,910501,13045910501,9105.01,ARC 20,9006,630,7,1670,2,2,6883,441,6.4,453,155,34.2,{44DAD43E-B75D-4660-800B-EA9AFE6A6FC7},
15,910702,13045910702,9107.02,ARC 20,7423,1129,15.2,2013,9,9.4,4243,508,12,1167,431,36.9,{04BDA03B-EAA6-4B32-A85F-6F58B0C3875A},
16,911200,13045911200,9112,ARC 20,5720,1214,21.2,1357,2,1.8,3457,837,24.2,906,353,39,{29319C52-57EA-4D1F-80A7-654E4BAD1DCB},
17,910400,13045910400,9104,ARC 20,3262,662,20.3,685,8,8.5,1957,379,19.4,620,225,36.3,{A1EBCEF5-5629-45D4-91C6-FE659D411D6A},
18,140207,13113140207,1402.07,ARC 10,5265,349,6.6,1182,3,2.8,3170,157,5,913,159,17.4,{4EAE4DC0-AD3B-4B54-98BF-F10FA12F7340},
19,140208,13113140208,1402.08,ARC 10,7732,514,6.6,2476,4,4.4,4497,213,4.7,759,192,25.3,{29C8E9B1-0698-489A-A0CB-A56B3E2C41C4},
20,140303,13113140303,1403.03,ARC 10,4565,275,6,1008,3,3.4,2957,88,3,600,153,25.5,{C02EB793-6BFE-4DE1-AC60-392CB01CFFDA},
