OBJECTID_1,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,AsianPacif,Black,Hispanic,Other_Race,AgeOvr65,Poverty,AsianCat,BlackCat,HispanCat,OthCat,RaceCat,AgeCat,PovCat,ETA,Population,GlobalID,last_edited_date
1,13,113,140501,13113140501,1405.01,Census Tract 1405.01,1.5,5.6,3.2,1.2,13.1,3.5,3,3,3,3,3,2,3,4,5890,{37CD60EF-71A9-4211-A9DF-EC17A6EF1C8B},
2,13,113,140502,13113140502,1405.02,Census Tract 1405.02,0.4,2.3,3.1,1.1,10.7,9.2,3,3,3,3,3,3,3,4,3321,{34F8A0B4-7545-41BF-9506-01A75A638E0C},
3,13,113,140101,13113140101,1401.01,Census Tract 1401.01,1.9,58.2,7.2,2.2,13.5,10.7,3,2,3,3,2,2,3,4,7407,{E3DB8E3B-36F4-422C-809B-58E37E19D90F},
4,13,113,140102,13113140102,1401.02,Census Tract 1401.02,3.6,37,4.4,2.2,16.3,7.9,3,3,3,3,3,1,3,4,5436,{0959018D-9409-43BE-AEB6-244CE3D75331},
5,13,113,140306,13113140306,1403.06,Census Tract 1403.06,5.4,7.5,9.2,1.7,12.6,7.4,3,3,3,3,3,2,3,4,7234,{26BD75BF-5D76-4D53-83D3-F79516E46C87},
6,13,113,140406,13113140406,1404.06,Census Tract 1404.06,2.7,32.1,5.9,3.1,17,6.7,3,3,3,3,3,1,3,4,3566,{39618C4F-2363-43CE-B150-5B71E09557D6},
7,13,113,140403,13113140403,1404.03,Census Tract 1404.03,5.4,44.5,3.6,2.5,17,6.8,3,3,3,3,3,1,3,4,5282,{7DB1BD50-F67C-46F9-B510-AE1EA73A504C},
8,13,113,140305,13113140305,1403.05,Census Tract 1403.05,3.8,10.5,9,1.8,10,10.9,3,3,3,3,3,3,3,4,4685,{4D709102-7DC0-46AF-9C23-14374186549A},
9,13,113,140204,13113140204,1402.04,Census Tract 1402.04,2.2,22,20.5,2.1,9.7,14.1,3,3,3,3,3,3,3,4,5190,{C026CB87-2036-46B4-8A12-29BFBF43C336},
10,13,113,140203,13113140203,1402.03,Census Tract 1402.03,3.6,25.2,3.3,2.6,10.5,6.5,3,3,3,3,3,3,3,4,5743,{8FFE51B5-D380-4FBC-B655-2A64A01E6C3C},
11,13,113,140206,13113140206,1402.06,Census Tract 1402.06,2.8,8.3,4.9,3,14,2.3,3,3,3,3,3,2,3,4,4465,{8B3697EB-2ACD-4C16-8554-64B3627451D3},
12,13,113,140404,13113140404,1404.04,Census Tract 1404.04,6.1,24.7,5,3,14.9,4.6,3,3,3,3,3,2,3,4,5533,{CBE5A6C4-1862-4EAD-948B-1588A508E295},
13,13,113,140405,13113140405,1404.05,Census Tract 1404.05,2.7,14.3,3.5,1.8,15,7.2,3,3,3,3,3,2,3,4,3441,{49BB9BF5-B6F1-4107-BBEB-132A01B1BEEE},
14,13,113,140407,13113140407,1404.07,Census Tract 1404.07,5.7,31.1,4.3,1.9,14.3,7.5,3,3,3,3,3,2,3,4,7707,{5854112D-3F5E-4734-88FD-F9C02719B674},
15,13,113,140408,13113140408,1404.08,Census Tract 1404.08,1.8,21.2,4.6,2.7,11.5,1.1,3,3,3,3,3,2,3,4,3239,{CCDDF383-CF4F-4978-8551-3437AB422A9E},
16,13,113,140307,13113140307,1403.07,Census Tract 1403.07,2.1,4,3.2,1.3,5,0.9,3,3,3,3,3,3,3,4,4878,{B4AC4B17-0DED-49A4-846B-585171613301},
