OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,U_S__Native,Percent_U_S__Native,USnative_Born_in_US,Pct_USnative_Born_US,USnative_Born_State_Resid,Pct_USnative_Born_State_Resid,US_Native_Born_Diff_State,Pct_US_Natv_Born_inDiff_State,Foreign_Born,Percent_Foreign_Born,ForBorn_Nat_UScitizen,Pct_ForBorn_Nat_UScitizen,ForeignBorn_notUS_Citizen,Pct_ForBorn_notUS_Citizen,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,4782,97,4644,94.2,2844,57.7,1800,36.5,150,3,43,28.7,107,71.3,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,9388,97.2,9330,96.6,6059,62.7,3271,33.9,268,2.8,134,50,134,50,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,2328,77.4,2328,77.4,1982,65.9,346,11.5,678,22.6,0,0,678,100,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,4076,98.8,3982,96.6,3200,77.6,782,19,48,1.2,19,39.6,29,60.4,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,5672,95,5521,92.5,3782,63.4,1739,29.1,296,5,186,62.8,110,37.2,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,12082,99.3,11972,98.4,8716,71.7,3256,26.8,81,0.7,26,32.1,55,67.9,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,4080,99.1,4075,99,3257,79.1,818,19.9,35,0.9,1,2.9,34,97.1,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,5714,97.4,5556,94.7,4275,72.8,1281,21.8,155,2.6,87,56.1,68,43.9,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,7269,94.8,7253,94.6,5434,70.9,1819,23.7,397,5.2,154,38.8,243,61.2,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,5715,92.8,5620,91.3,3784,61.5,1836,29.8,442,7.2,61,13.8,381,86.2,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
11,910701,13045910701,9107.01,ARC 20,8393,97,8320,96.2,5842,67.5,2478,28.6,258,3,129,50,129,50,{C5FC338E-46B1-4769-AAF5-F731DD58D680},
12,910703,13045910703,9107.03,ARC 20,8542,96.3,8542,96.3,6162,69.5,2380,26.8,328,3.7,187,57,141,43,{A75A89C0-6D48-4FA1-A775-55AD93F0AB4D},
13,910600,13045910600,9106,ARC 20,5628,93.8,5604,93.4,4320,72,1284,21.4,372,6.2,37,9.9,335,90.1,{590C317F-E389-4379-993E-554E466947D8},
14,910501,13045910501,9105.01,ARC 20,8248,91.6,8211,91.2,5919,65.7,2292,25.4,758,8.4,234,30.9,524,69.1,{44DAD43E-B75D-4660-800B-EA9AFE6A6FC7},
15,910702,13045910702,9107.02,ARC 20,7125,96,7093,95.6,4561,61.4,2532,34.1,298,4,272,91.3,26,8.7,{04BDA03B-EAA6-4B32-A85F-6F58B0C3875A},
16,911200,13045911200,9112,ARC 20,5694,99.5,5684,99.4,4237,74.1,1447,25.3,26,0.5,26,100,0,0,{29319C52-57EA-4D1F-80A7-654E4BAD1DCB},
17,910400,13045910400,9104,ARC 20,3253,99.5,3234,98.9,2376,72.7,858,26.2,16,0.5,0,0,16,100,{A1EBCEF5-5629-45D4-91C6-FE659D411D6A},
18,140207,13113140207,1402.07,ARC 10,4553,86.5,4527,86,1406,26.7,3121,59.3,712,13.5,275,38.6,437,61.4,{4EAE4DC0-AD3B-4B54-98BF-F10FA12F7340},
19,140208,13113140208,1402.08,ARC 10,6702,84.7,6506,82.2,2357,29.8,4149,52.4,1211,15.3,364,30.1,847,69.9,{29C8E9B1-0698-489A-A0CB-A56B3E2C41C4},
20,140303,13113140303,1403.03,ARC 10,4060,88.5,3984,86.9,1683,36.7,2301,50.2,527,11.5,227,43.1,300,56.9,{C02EB793-6BFE-4DE1-AC60-392CB01CFFDA},
21,140304,13113140304,1403.04,ARC 10,5337,92.7,5169,89.8,1496,26,3673,63.8,418,7.3,208,49.8,210,50.2,{720591AF-4282-4C53-9629-C8DC1522485A},
22,140307,13113140307,1403.07,ARC 10,4472,92.8,4413,91.6,1342,27.9,3071,63.7,346,7.2,161,46.5,185,53.5,{C2C14EE5-EE1E-4885-B9FD-D65A3282EEF1},
23,140408,13113140408,1404.08,ARC 10,2887,94.6,2842,93.1,1788,58.6,1054,34.5,166,5.4,120,72.3,46,27.7,{3D05A39A-A2C4-4ABE-B901-516340922EF7},
24,140407,13113140407,1404.07,ARC 10,7299,91.6,7115,89.2,3784,47.5,3331,41.8,673,8.4,426,63.3,247,36.7,{FB4CB008-AA2A-4DC3-B954-7AAB777FDB3D},
25,140405,13113140405,1404.05,ARC 10,3360,90.9,3360,90.9,1628,44,1732,46.8,337,9.1,216,64.1,121,35.9,{9DB28DA9-A556-4F73-9B18-269778D2A895},
26,140404,13113140404,1404.04,ARC 10,5251,91.1,5236,90.8,2585,44.8,2651,46,516,8.9,249,48.3,267,51.7,{395C50C2-2D7B-41FE-BAAE-F065FF6A0BC1},
27,140206,13113140206,1402.06,ARC 10,4130,91.9,4070,90.6,1738,38.7,2332,51.9,363,8.1,248,68.3,115,31.7,{2616EDD5-D182-4739-822F-26C47C77DA0E},
28,140203,13113140203,1402.03,ARC 10,5544,96.3,5427,94.3,2637,45.8,2790,48.5,212,3.7,212,100,0,0,{B5336E0C-C134-4B6B-AA7E-32322D4E9C91},
29,140204,13113140204,1402.04,ARC 10,4770,85.9,4688,84.5,2478,44.6,2210,39.8,780,14.1,163,20.9,617,79.1,{A31B282E-5A37-4A11-85B1-076955AF9E9C},
30,140305,13113140305,1403.05,ARC 10,4716,88.6,4666,87.6,2375,44.6,2291,43,609,11.4,350,57.5,259,42.5,{905F0D8D-A9C9-481B-8FC9-E88DE4D3BA56},
31,140403,13113140403,1404.03,ARC 10,4882,90.9,4747,88.4,2393,44.6,2354,43.9,486,9.1,406,83.5,80,16.5,{6DEA8A8A-8D61-45F6-B065-EFF01004643E},
32,140406,13113140406,1404.06,ARC 10,3535,94.2,3463,92.2,1774,47.3,1689,45,219,5.8,72,32.9,147,67.1,{189820F5-D088-4922-83EE-DF2BF7E75D6C},
33,140306,13113140306,1403.06,ARC 10,6655,87.1,6603,86.4,2245,29.4,4358,57,984,12.9,319,32.4,665,67.6,{89A3C886-E869-417C-A11E-C10799D03124},
34,140102,13113140102,1401.02,ARC 10,4989,88.7,4949,88,2489,44.2,2460,43.7,636,11.3,498,78.3,138,21.7,{C77A2C16-1CA6-44AC-8558-AD25771D5DF6},
35,140101,13113140101,1401.01,ARC 10,6044,89,5792,85.3,3149,46.4,2643,38.9,749,11,432,57.7,317,42.3,{AB948FCE-70DC-4C50-A3E8-5182A973BA73},
