OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_wPub_Health_Ins,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,3810,77.3,3079,62.4,1041,21.1,1122,22.7,105,10.4,2253,563,25,336,161,47.9,938,283,30.2,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,8275,85.7,6300,65.2,2773,28.7,1381,14.3,105,4.1,4392,927,21.1,479,222,46.3,1096,127,11.6,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,1944,64.7,947,31.5,1193,39.7,1062,35.3,104,13.3,1238,563,45.5,277,213,76.9,508,182,35.8,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,3339,81,2268,55,1383,33.5,785,19,135,13.1,1585,319,20.1,243,164,67.5,722,167,23.1,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,4505,75.5,3059,51.3,2190,36.7,1463,24.5,224,13.2,2358,780,33.1,401,275,68.6,829,184,22.2,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,9782,80.4,6588,54.2,4263,35,2381,19.6,197,6.7,4902,1099,22.4,723,437,60.4,1992,648,32.5,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,3477,84.5,2428,59,1420,34.5,638,15.5,6,0.5,1544,308,19.9,228,106,46.5,732,218,29.8,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,5117,87.2,3368,57.4,2353,40.1,752,12.8,55,3.7,2233,317,14.2,361,106,29.4,1035,274,26.5,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,6100,80.7,4898,64.8,2069,27.4,1462,19.3,343,20.8,3308,654,19.8,281,79,28.1,1182,369,31.2,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,5372,87.3,4291,69.7,1730,28.1,785,12.7,115,7.2,2711,502,18.5,142,129,90.8,995,39,3.9,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
11,910701,13045910701,9107.01,ARC 20,6787,86.7,5397,69,2004,25.6,1040,13.3,126,6,3290,368,11.2,268,148,55.2,1280,398,31.1,{C5FC338E-46B1-4769-AAF5-F731DD58D680},
12,910703,13045910703,9107.03,ARC 20,6815,77.8,4370,49.9,3361,38.4,1949,22.2,417,17.2,3007,904,30.1,558,179,32.1,1754,430,24.5,{A75A89C0-6D48-4FA1-A775-55AD93F0AB4D},
13,910600,13045910600,9106,ARC 20,4726,80.4,3452,58.7,1887,32.1,1152,19.6,260,16.1,2637,646,24.5,141,65,46.1,894,181,20.2,{590C317F-E389-4379-993E-554E466947D8},
14,910501,13045910501,9105.01,ARC 20,7458,82.8,5591,62.1,2347,26.1,1548,17.2,157,9.4,3612,640,17.7,802,293,36.5,2469,458,18.6,{44DAD43E-B75D-4660-800B-EA9AFE6A6FC7},
15,910702,13045910702,9107.02,ARC 20,6697,90.2,5233,70.5,2439,32.9,726,9.8,38,1.9,2803,417,14.9,325,105,32.3,1115,166,14.9,{04BDA03B-EAA6-4B32-A85F-6F58B0C3875A},
16,911200,13045911200,9112,ARC 20,5001,87.4,3582,62.6,2247,39.3,719,12.6,145,10.7,2358,341,14.5,264,130,49.2,835,103,12.3,{29319C52-57EA-4D1F-80A7-654E4BAD1DCB},
17,910400,13045910400,9104,ARC 20,2900,88.9,2255,69.1,1084,33.2,362,11.1,43,6.3,1189,150,12.6,216,93,43.1,552,76,13.8,{A1EBCEF5-5629-45D4-91C6-FE659D411D6A},
18,140207,13113140207,1402.07,ARC 10,5006,95.1,4579,87,1156,22,259,4.9,59,5,2352,142,6,50,0,0,768,58,7.6,{4EAE4DC0-AD3B-4B54-98BF-F10FA12F7340},
19,140208,13113140208,1402.08,ARC 10,7000,90.5,6129,79.3,1367,17.7,732,9.5,127,5.1,3307,335,10.1,296,73,24.7,894,170,19,{29C8E9B1-0698-489A-A0CB-A56B3E2C41C4},
20,140303,13113140303,1403.03,ARC 10,4031,88.3,3569,78.2,1002,21.9,534,11.7,100,9.9,1868,303,16.2,108,20,18.5,981,111,11.3,{C02EB793-6BFE-4DE1-AC60-392CB01CFFDA},
