OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Pop_PovertyStatus_Determined,Population_in_poverty,Percent_Population_in_poverty,Pop_under18_PovStatus_Determine,Pop_under18_inPoverty,Pct_Pop_u18_in_Poverty,Pop_18_64_PovStatus_Determ,Pop_18_64_Years_in_Poverty,Pct_Pop_18_64_Years_inPoverty,Pop_65older_PovStatusDetermined,Pop_65older_in_Poverty,Pct_Pop_65older_inPoverty,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,4932,429,8.7,1006,78,7.8,3527,333,9.4,399,18,4.5,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,9656,1748,18.1,2548,616,24.2,5967,1056,17.7,1141,76,6.7,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,2935,1209,41.2,753,448,59.5,1979,716,36.2,203,45,22.2,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,4095,617,15.1,1003,153,15.3,2550,435,17.1,542,29,5.4,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,5940,1674,28.2,1671,657,39.3,3588,880,24.5,681,137,20.1,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,12086,2169,17.9,2850,733,25.7,7617,1257,16.5,1619,179,11.1,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,4088,612,15,1078,154,14.3,2504,402,16.1,506,56,11.1,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,5859,1031,17.6,1495,312,20.9,3629,665,18.3,735,54,7.3,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,7544,1741,23.1,1648,437,26.5,4753,1089,22.9,1143,215,18.8,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,6113,1043,17.1,1553,304,19.6,3848,633,16.5,712,106,14.9,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
11,910701,13045910701,9107.01,ARC 20,7870,1301,16.5,2084,397,19,4881,658,13.5,905,246,27.2,{C5FC338E-46B1-4769-AAF5-F731DD58D680},
12,910703,13045910703,9107.03,ARC 20,8764,1977,22.6,2424,677,27.9,5319,1189,22.4,1021,111,10.9,{A75A89C0-6D48-4FA1-A775-55AD93F0AB4D},
13,910600,13045910600,9106,ARC 20,5878,1543,26.3,1614,766,47.5,3672,725,19.7,592,52,8.8,{590C317F-E389-4379-993E-554E466947D8},
14,910501,13045910501,9105.01,ARC 20,6468,2334,36.1,1435,509,35.5,4580,1774,38.7,453,51,11.3,{44DAD43E-B75D-4660-800B-EA9AFE6A6FC7},
15,910702,13045910702,9107.02,ARC 20,7422,1171,15.8,2012,616,30.6,4243,536,12.6,1167,19,1.6,{04BDA03B-EAA6-4B32-A85F-6F58B0C3875A},
16,911200,13045911200,9112,ARC 20,5710,1296,22.7,1347,506,37.6,3457,686,19.8,906,104,11.5,{29319C52-57EA-4D1F-80A7-654E4BAD1DCB},
17,910400,13045910400,9104,ARC 20,3269,546,16.7,685,181,26.4,1964,290,14.8,620,75,12.1,{A1EBCEF5-5629-45D4-91C6-FE659D411D6A},
18,140207,13113140207,1402.07,ARC 10,5265,138,2.6,1182,0,0,3170,76,2.4,913,62,6.8,{4EAE4DC0-AD3B-4B54-98BF-F10FA12F7340},
19,140208,13113140208,1402.08,ARC 10,7796,1032,13.2,2476,443,17.9,4561,515,11.3,759,74,9.7,{29C8E9B1-0698-489A-A0CB-A56B3E2C41C4},
20,140303,13113140303,1403.03,ARC 10,4587,265,5.8,1008,16,1.6,2979,208,7,600,41,6.8,{C02EB793-6BFE-4DE1-AC60-392CB01CFFDA},
21,140304,13113140304,1403.04,ARC 10,5729,210,3.7,1362,11,0.8,3419,134,3.9,948,65,6.9,{720591AF-4282-4C53-9629-C8DC1522485A},
22,140307,13113140307,1403.07,ARC 10,4818,15,0.3,1565,0,0,2992,0,0,261,15,5.7,{C2C14EE5-EE1E-4885-B9FD-D65A3282EEF1},
23,140408,13113140408,1404.08,ARC 10,3053,77,2.5,615,41,6.7,1970,36,1.8,468,0,0,{3D05A39A-A2C4-4ABE-B901-516340922EF7},
24,140407,13113140407,1404.07,ARC 10,7650,298,3.9,1776,132,7.4,4523,151,3.3,1351,15,1.1,{FB4CB008-AA2A-4DC3-B954-7AAB777FDB3D},
25,140405,13113140405,1404.05,ARC 10,3697,580,15.7,1041,337,32.4,2105,200,9.5,551,43,7.8,{9DB28DA9-A556-4F73-9B18-269778D2A895},
26,140404,13113140404,1404.04,ARC 10,5596,457,8.2,1295,147,11.4,3397,209,6.2,904,101,11.2,{395C50C2-2D7B-41FE-BAAE-F065FF6A0BC1},
27,140206,13113140206,1402.06,ARC 10,4487,342,7.6,1122,59,5.3,2608,241,9.2,757,42,5.5,{2616EDD5-D182-4739-822F-26C47C77DA0E},
28,140203,13113140203,1402.03,ARC 10,5756,323,5.6,1402,68,4.9,3694,245,6.6,660,10,1.5,{B5336E0C-C134-4B6B-AA7E-32322D4E9C91},
29,140204,13113140204,1402.04,ARC 10,5543,828,14.9,1428,240,16.8,3523,573,16.3,592,15,2.5,{A31B282E-5A37-4A11-85B1-076955AF9E9C},
30,140305,13113140305,1403.05,ARC 10,5325,625,11.7,1517,185,12.2,3196,384,12,612,56,9.2,{905F0D8D-A9C9-481B-8FC9-E88DE4D3BA56},
31,140403,13113140403,1404.03,ARC 10,5357,147,2.7,1276,47,3.7,3084,79,2.6,997,21,2.1,{6DEA8A8A-8D61-45F6-B065-EFF01004643E},
32,140406,13113140406,1404.06,ARC 10,3754,662,17.6,885,168,19,2158,444,20.6,711,50,7,{189820F5-D088-4922-83EE-DF2BF7E75D6C},
33,140306,13113140306,1403.06,ARC 10,7628,1086,14.2,1946,538,27.6,4476,519,11.6,1206,29,2.4,{89A3C886-E869-417C-A11E-C10799D03124},
34,140102,13113140102,1401.02,ARC 10,5617,528,9.4,936,200,21.4,3581,327,9.1,1100,1,0.1,{C77A2C16-1CA6-44AC-8558-AD25771D5DF6},
35,140101,13113140101,1401.01,ARC 10,6793,1120,16.5,1174,448,38.2,4153,570,13.7,1466,102,7,{AB948FCE-70DC-4C50-A3E8-5182A973BA73},
36,140502,13113140502,1405.02,ARC 10,3610,181,5,954,75,7.9,2157,85,3.9,499,21,4.2,{1A7C599C-A5A3-4C54-852C-DE66C2EA9CB9},
37,140501,13113140501,1405.01,ARC 10,5915,215,3.6,1431,33,2.3,3521,162,4.6,963,20,2.1,{1FA8E172-989C-45C7-B88D-9013AFAA350F},
38,060404,13247060404,604.04,ARC 10,6005,598,10,1416,251,17.7,3776,324,8.6,813,23,2.8,{8EB8999E-026B-4616-854E-53AAD22A9E8E},
