OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,Population_16_years_and_over,Civilian_Labor_Force,Percent_Civilian_Labor_Force,Pct_Unemp_Civil_Lab_Force,Percent_Percent_Unemployed__Civ,GlobalID,last_edited_date
1,910103,13045910103,9101.03,ARC 20,4022,2668,66.3,345,12.9,{74E40FC2-FB43-4A53-A28A-7B35A2CCA5FD},
2,910104,13045910104,9101.04,ARC 20,7380,5143,69.7,479,9.3,{FF873F0C-D691-4B9A-91AA-B4A7D2905CCB},
3,910502,13045910502,9105.02,ARC 20,2283,1557,68.2,292,18.8,{7D693468-C2C1-4304-A958-452DF37297F1},
4,910800,13045910800,9108,ARC 20,3192,1908,59.8,250,13.1,{9C1CC1B6-B261-4DFB-800F-72089C5B1974},
5,910101,13045910101,9101.01,ARC 20,4460,2860,64.1,401,14,{1464256B-026B-4CBF-B62B-9FE7ABDEECA1},
6,910200,13045910200,9102,ARC 20,9841,6100,62,966,15.8,{61D6E123-70A7-41F8-9C7E-5A2DEC2658C9},
7,910900,13045910900,9109,ARC 20,3110,1844,59.3,241,13.1,{FB776B7A-8AB7-4026-A0F0-5D1FADB66C42},
8,910300,13045910300,9103,ARC 20,4457,2715,60.9,361,13.3,{86204ED3-9834-423C-8A64-AA1BC134186E},
9,911100,13045911100,9111,ARC 20,6172,3793,61.5,328,8.6,{9C35D0F7-4A36-42EA-8D2B-7EB57761191E},
10,911000,13045911000,9110,ARC 20,4836,2959,61.2,171,5.8,{EB58A0CA-4547-49EC-A8DD-0355C7969602},
11,910701,13045910701,9107.01,ARC 20,6738,3710,55.1,280,7.5,{C5FC338E-46B1-4769-AAF5-F731DD58D680},
12,910703,13045910703,9107.03,ARC 20,6649,3690,55.5,558,15.1,{A75A89C0-6D48-4FA1-A775-55AD93F0AB4D},
13,910600,13045910600,9106,ARC 20,4521,2839,62.8,141,5,{590C317F-E389-4379-993E-554E466947D8},
14,910501,13045910501,9105.01,ARC 20,7726,4530,58.6,829,18.3,{44DAD43E-B75D-4660-800B-EA9AFE6A6FC7},
15,910702,13045910702,9107.02,ARC 20,5652,3334,59,367,11,{04BDA03B-EAA6-4B32-A85F-6F58B0C3875A},
16,911200,13045911200,9112,ARC 20,4497,2746,61.1,284,10.3,{29319C52-57EA-4D1F-80A7-654E4BAD1DCB},
17,910400,13045910400,9104,ARC 20,2632,1496,56.8,227,15.2,{A1EBCEF5-5629-45D4-91C6-FE659D411D6A},
18,140207,13113140207,1402.07,ARC 10,4281,2566,59.9,70,2.7,{4EAE4DC0-AD3B-4B54-98BF-F10FA12F7340},
19,140208,13113140208,1402.08,ARC 10,5715,3904,68.3,332,8.5,{29C8E9B1-0698-489A-A0CB-A56B3E2C41C4},
20,140303,13113140303,1403.03,ARC 10,3683,2078,56.4,121,5.8,{C02EB793-6BFE-4DE1-AC60-392CB01CFFDA},
21,140304,13113140304,1403.04,ARC 10,4595,3217,70,346,10.8,{720591AF-4282-4C53-9629-C8DC1522485A},
22,140307,13113140307,1403.07,ARC 10,3570,2325,65.1,82,3.5,{C2C14EE5-EE1E-4885-B9FD-D65A3282EEF1},
23,140408,13113140408,1404.08,ARC 10,2475,1708,69,86,5,{3D05A39A-A2C4-4ABE-B901-516340922EF7},
24,140407,13113140407,1404.07,ARC 10,6467,4063,62.8,333,8.2,{FB4CB008-AA2A-4DC3-B954-7AAB777FDB3D},
25,140405,13113140405,1404.05,ARC 10,2832,1737,61.3,171,9.8,{9DB28DA9-A556-4F73-9B18-269778D2A895},
26,140404,13113140404,1404.04,ARC 10,4613,2788,60.4,188,6.7,{395C50C2-2D7B-41FE-BAAE-F065FF6A0BC1},
27,140206,13113140206,1402.06,ARC 10,3686,2266,61.5,183,8.1,{2616EDD5-D182-4739-822F-26C47C77DA0E},
28,140203,13113140203,1402.03,ARC 10,4615,2954,64,214,7.2,{B5336E0C-C134-4B6B-AA7E-32322D4E9C91},
29,140204,13113140204,1402.04,ARC 10,4330,2848,65.8,266,9.3,{A31B282E-5A37-4A11-85B1-076955AF9E9C},
30,140305,13113140305,1403.05,ARC 10,3946,2365,59.9,243,10.3,{905F0D8D-A9C9-481B-8FC9-E88DE4D3BA56},
31,140403,13113140403,1404.03,ARC 10,4283,2663,62.2,205,7.7,{6DEA8A8A-8D61-45F6-B065-EFF01004643E},
32,140406,13113140406,1404.06,ARC 10,2974,1906,64.1,254,13.3,{189820F5-D088-4922-83EE-DF2BF7E75D6C},
33,140306,13113140306,1403.06,ARC 10,5831,3839,65.8,286,7.4,{89A3C886-E869-417C-A11E-C10799D03124},
34,140102,13113140102,1401.02,ARC 10,4984,3020,60.6,347,11.5,{C77A2C16-1CA6-44AC-8558-AD25771D5DF6},
35,140101,13113140101,1401.01,ARC 10,5822,3200,55,239,7.5,{AB948FCE-70DC-4C50-A3E8-5182A973BA73},
36,140502,13113140502,1405.02,ARC 10,2812,1717,61.1,60,3.5,{1A7C599C-A5A3-4C54-852C-DE66C2EA9CB9},
37,140501,13113140501,1405.01,ARC 10,4654,2749,59.1,92,3.3,{1FA8E172-989C-45C7-B88D-9013AFAA350F},
38,060404,13247060404,604.04,ARC 10,4746,3217,67.8,377,11.7,{8EB8999E-026B-4616-854E-53AAD22A9E8E},
39,060304,13247060304,603.04,ARC 10,4050,2498,61.7,309,12.4,{29E4AF96-F628-4678-AD9E-61E620E5E648},
40,060101,13247060101,601.01,ARC 10,2696,1520,56.4,159,10.5,{C7A05B77-F232-4660-9759-D8AF42081DB6},
41,060202,13247060202,602.02,ARC 10,7623,5110,67,418,8.2,{D6CC4602-3687-47E5-B768-1768DB1A79B5},
42,060201,13247060201,602.01,ARC 10,3576,2012,56.3,134,6.7,{E2BD8EF4-7148-4CAD-8DFB-DA5F6D21B7A7},
43,060306,13247060306,603.06,ARC 10,2256,1505,66.7,167,11.1,{DA5DC06F-6EFD-41AE-93D3-79AE728B60B5},
44,060407,13247060407,604.07,ARC 10,2577,1588,61.6,130,8.2,{AED60C39-6C7E-4176-AB8C-61DDF235F77F},
45,060403,13247060403,604.03,ARC 10,2856,1640,57.4,121,7.4,{903F3962-CFE3-4725-ADD3-8B0C2E00DCFD},
46,060406,13247060406,604.06,ARC 10,4555,2739,60.1,313,11.4,{6C496150-8B45-4AE7-8B4F-1FE8593CCB75},
47,060305,13247060305,603.05,ARC 10,4082,2937,72,300,10.2,{0FB095DE-7867-4A40-ADEE-09D8C7EC5552},
48,060309,13247060309,603.09,ARC 10,4098,2282,55.7,400,17.5,{A14D772D-581F-4DAF-A0B8-0B6DA957377D},
49,060308,13247060308,603.08,ARC 10,6059,3835,63.3,655,17.1,{AE9CA717-041A-42EB-B39A-4277E189AC22},
50,060405,13247060405,604.05,ARC 10,5245,3145,60,232,7.4,{C2A97765-1211-4523-A898-E45F4B0C45F9},
51,060307,13247060307,603.07,ARC 10,8173,5249,64.2,563,10.7,{A4EF640D-C273-44CE-A88E-4A528816C23C},
52,060102,13247060102,601.02,ARC 10,4265,2799,65.6,424,15.1,{3C68B25E-F15C-493E-9EB2-16B7CAD19BE1},
