OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Square_Miles,Total_Jobs__2015,Total_Jobs__2020,Total_Jobs__2030,Total_Jobs__2035,Total_Jobs__2040,Change_in_Jobs__2015_2040,GlobalID,Pop_Change_per_SqMi_2000_2010,Chng_in_jobs_per_SqMi_2015_2040
1,13045910103,9101.03,ARC 20,2015-05-19T13:59:08.000Z,20.7,57188,21.8,2310,2012,2694,3121,3428,1870,{E0EFFC8F-5FF3-461B-A661-6E274C4CEDC2},100.3,85.8
2,13045910104,9101.04,ARC 20,2015-05-19T13:59:08.000Z,13.2,54987,17.4,3632,3441,3863,4335,4306,1164,{06C8CEDC-8F35-47F8-BCBE-4D1212887979},201.1,66.9
3,13045910502,9105.02,ARC 20,2015-05-19T13:59:08.000Z,7.9,18975,1.7,1594,1481,1716,1860,1985,661,{C605162D-413B-4804-BB9E-63A1BD75A8F5},-368.8,388.8
4,13045910800,9108,ARC 20,2015-05-19T13:59:08.000Z,8.9,50194,66.5,722,610,825,951,1049,560,{C9F8BAC4-1405-4D33-B8C1-F29703E74F5D},1.1,8.4
5,13045910101,9101.01,ARC 20,2015-05-19T13:59:08.000Z,16.4,46840,6.4,3625,3146,4142,4593,5126,2436,{3A06161E-6CA4-4393-B3AF-61D78611B584},397.3,380.6
6,13045910200,9102,ARC 20,2015-05-19T13:59:08.000Z,10.7,46942,46.4,2954,2463,3569,4300,4829,3023,{1D97C18A-E2B6-4794-8B23-1101D4ACE816},93.9,65.2
7,13045910900,9109,ARC 20,2015-05-19T13:59:08.000Z,22.7,56964,51,912,822,1028,1170,1281,590,{06039340-61BD-4915-9087-A11EA1A68457},7.8,11.6
8,13045910300,9103,ARC 20,2015-05-19T13:59:08.000Z,15.2,42287,57.1,2174,2006,2352,2547,2790,1000,{F1D8B513-76D9-49C0-A521-37676663F76C},17.1,17.5
9,13045911100,9111,ARC 20,2015-05-19T13:59:08.000Z,29.8,42438,20.2,9012,8779,9272,9569,9742,1278,{BAABC4EE-4EC4-4374-BA84-62635A24CD9D},24.2,63.3
10,13045911000,9110,ARC 20,2015-05-19T13:59:08.000Z,29.3,45026,19.8,4901,4443,5405,5956,6830,2827,{44D5CD30-51EC-4986-BA43-0013E8CA4E24},27.2,142.8
