OBJECTID,NAME,TYPE,LCI_NAME,LCI_YEAR,Major_Act_,last_edited_date,GlobalID
1,Oakland City,Station Community,Not an LCI Center,N/A,,,{F69E9B7C-A8A8-4286-8676-22E91B2B7D7E}
2,Lindbergh Center,Station Community,Not an LCI Center,N/A,,,{FCD0B720-E21D-4E81-8030-DBD35CEF5D3B}
3,Edgewood-Candler Park,Station Community,Not an LCI Center,N/A,,,{38B9893E-35F0-4022-AA67-0200B0FBE1D4}
4,East Lake,Station Community,Not an LCI Center,N/A,,,{B30E3266-637B-4FCA-8C4B-BCD96A6803E9}
5,Ashby,Station Community,Not an LCI Center,N/A,,,{54A13F7E-0F8C-4281-91FB-B028BB844864}
6,West Lake,Station Community,Not an LCI Center,N/A,,,{ADD3A18F-A62C-4A9C-8F7F-54AFA09BDDFE}
7,Haralson,Town Center,Not an LCI Center,N/A,,,{A2A67E5B-3922-495C-BA78-1DF1A3CBCE3F}
8,Grantville,Town Center,Not an LCI Center,N/A,,,{005D6209-05D2-40BC-A44C-8B939D0A9BA8}
9,Moreland,Town Center,Not an LCI Center,N/A,,,{B2C9E6D5-03FD-49FB-9B09-FDC36A752817}
10,Brooks,Town Center,Not an LCI Center,N/A,,,{1F60E845-4697-48A1-BE43-C8E153A09C23}
11,Senoia,Town Center,Not an LCI Center,N/A,,,{2608E945-0EE6-4CAD-AED4-9F7F0692D9FE}
12,Turin,Town Center,Not an LCI Center,N/A,,,{5D2916A4-8D59-4A26-9944-C680CF5BFD77}
13,Sharpsburg,Town Center,Not an LCI Center,N/A,,,{11ABBFAC-46A4-4562-8DF1-7DDFD0C3201F}
14,Locust Grove,Town Center,Not an LCI Center,N/A,,,{439C40F7-B0C1-4EF4-BED8-3B79EB86B507}
15,Woolsey,Town Center,Not an LCI Center,N/A,,,{6AD06C6D-942F-4816-80BC-6FBEAD36ECBA}
16,Newnan,Town Center,Not an LCI Center,N/A,,,{C88D6AFD-F8C8-424B-A47B-11393ADA3923}
17,Hampton,Town Center,Not an LCI Center,N/A,,,{77F67177-025F-422A-A1AB-3E960F7D1A71}
18,Peachtree City,Town Center,Peachtree City,2000,,,{2A8574B8-CB6B-497A-87B8-061BE1C8C1A4}
19,Newnan Crossing,Regional Center,Not an LCI Center,N/A,,,{28F21132-6AFE-4724-BFFC-EBB183BBAEF1}
