X,Y,Name,Type,Location,ESRI_OID
-84.219607083868624,34.087139804704506,GOLF CLUB OF GEORGIA,GOLF COURSES AND COUNTRY CLUBS,1 GOLF CLUB DRIVE,1
-84.294866180402181,34.075464628992613,COMEBACK VINYL,ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),1 SOUTH MAIN STREET,2
-84.294274516230161,34.078763091473604,ELLER DESIGNS LLC,INTERIOR DESIGN SERVICES,10 CUMMING STREET,34
-84.328619733871363,34.040533166093752,AVENTUS LLC,TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,10 MANSELL COURT EAST 500,35
-84.296306725116224,34.075404276928779,ARIA SALON,BEAUTY SALONS,10 ROSWELL STREET,36
-84.277780514067089,34.070789564724848,CAFE INTERMEZZO,FULL-SERVICE RESTAURANTS,100 AVALON BOULEVARD,3
-84.276507109339661,34.078202915184242,SOUTH COM DATA,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,100 LAURELWOOD LANE,37
-84.328305600264969,34.04172174835756,STERLING PAYMENT TECHNOLOGIES,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",100 MANSELL COURT EAST,38
-84.328305600264969,34.04172174835756,HUMANA INC.,ALL OTHER INSURANCE RELATED ACTIVITIES,100 MANSELL COURT EAST,39
-84.328305600264969,34.04172174835756,HSGA GEORGIA PROPERTIES,OFFICES OF REAL ESTATE AGENTS AND BROKERS,100 MANSELL COURT EAST,40
-84.328473048692672,34.041621336228594,"MERRITT, HAWKINS & ASSOCIATES, LLC",EXECUTIVE SEARCH SERVICES,100 MANSELL COURT EAST 500,6
-84.328473048692672,34.041621336228594,AMN HEALTHCARE INC.,TEMPORARY HELP SERVICES,100 MANSELL COURT EAST 500,4
-84.328473048692672,34.041621336228594,NURSEFINDERS LLC,TEMPORARY HELP SERVICES,100 MANSELL COURT EAST 500,5
-84.298949780726332,34.045612800203472,IPSWITCH,SOFTWARE PUBLISHERS,100 NORTH POINT CENTER EAST,41
-84.298949780726332,34.045612800203472,ACCESSO SERVICES LLC,RESIDENTIAL PROPERTY MANAGERS,100 NORTH POINT CENTER EAST,42
-84.298860140948975,34.045501806952664,MEDICUS IT LLC,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",100 NORTH POINT CENTER EAST 150,43
-84.29886153627713,34.045667410311211,WELLCENTIVE,SOFTWARE PUBLISHERS,100 NORTH POINT CENTER EAST 320,7
-84.298949780726332,34.045612800203472,GOLDEN PEANUT COMPANY,POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),100 NORTH POINT CENTER EAST 400,44
-84.298949780726332,34.045612800203472,"GP BLANCHING, INC.",POSTHARVEST CROP ACTIVITIES (EXCEPT COTTON GINNING),100 NORTH POINT CENTER EAST 400,45
