OBJECTID,PARKID2,NAME,CLASS,NPU1,DISTRICT,ADDRESS,GIS_AC,FILE_AC,PARCEL_ID,PARKID,PARKID2_1,FORMERNAME,NEIGHBOR,ZIP,CDP,X_TRLPAV,X_TRLNPAV,COUNTY,ACQ_NOTES,PAVILIONS,PLAYGROUND,PIC_SHEL,PLAYGR_SF,UPARR,FUND_SRC,LWCF,GAZEBO,PICNICTABL,PARKGRILL1,RESTROOMS,PV_PRKSPAC,BALLFIELDS,SOCCER,TENNIS,TRL_TYPE,TRL_NUM,TRL_LEN,TEN_PRAC,BBALL,VOLLEYBALL,POOL,POOLSIZE,GYM,PV_SQ_FT,GZBOSQFT,PARKDRINK,PARKBENCH,PSPACES,RECCEN,ADOPTED,SURV_TYPE,SURV_DATE,SURV_AC,FEATURE,COVBB,DOGPARK,TRACK,NAT,GOLF,OPFIELD,AREA_FIN,FACIL_YN,ACQUIRED,POOLENGTH,BELTLIN,PLSIZYDS,SPLASHYDS,NOTES,RECCTRCLS,RECCTRNM,RECCTRFT2,SPECFAC,COMCTRNAM,COMCTRCLS,SPFACFT2,OWNER,COMCTRFT2,XDLIST,GIS_ISTHER,GIS_WPIN,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
1315,HOLU,Holderness/Lucile Park,G,T,4,471 Holderness Ave. SW (at Lucile Ave.),0.17468226907,0.179,14 01400009035,HOLU,, ,West End,30310, ,0,0,FULTON,approx.,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0,0,0,0, , ,,0,Vacant lo,0,0,0,0,0,0,0.175,0,,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{565FBDAB-5BE8-4B70-A81B-66E3DAB4BE1D},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1316,EMLN,Emma Lane,CN,B,7,Emma Lane,6.31357145423,8.8,17 00640004004, ,, ,Northeast,30342, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,1989-09-26T00:00:00.000Z,8.5, ,0,0,0,0,0,0,8.8,0,2003-10-06T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{F125A578-8C81-43EB-97EE-6DC81A4C8AEF},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1317,GRBR,Greenbriar,CN,R,11,SE side of Greenbriar Pkwy,6.88798335743,7.049,14 0252 LL073, ,, ,Greenbriar,30331, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, , ,,0, ,0,0,0,0,0,0,7.049,0,2003-12-19T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{9202DD60-8C45-4905-BD3D-3D1D952448A9},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1318,CUMB,Cumberlander,CN,I,10,Ivan Hill Circle,8.51293095067,8.665,14 02360003044, ,, ,West Manor,30311, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,2004-04-05T00:00:00.000Z,8.665, ,0,0,0,0,0,0,8.665,0,2004-06-03T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{2476BF97-F32D-4D2A-8039-57456EFD937E},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1319,FALL,Falling Water,CN,R,11,Panther Trail,25.8004176675,25.84,14 0231 LL034, ,, ,Childress-Landrum,30311, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,2004-05-07T00:00:00.000Z,25.84, ,0,0,0,0,0,0,25.84,0,2004-06-03T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{FB930427-D97C-487C-848B-BE76CF3F5681},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1320,LIHA,Lionel Hampton,NP,I,10,Willis Mill Rd,49.3840236956,48.44,14 0204 LL025, ,, ,Chalet-Peyton Woods,30311, ,0,0,FULTON, ,0,1,0,0, , , ,0,0,0, , ,0, ,0,Path FT, , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,2000-03-10T00:00:00.000Z,48.44, ,0,0,0,0,0,0,48.44,0,2002-12-03T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{66CDBEE4-0EB2-43DF-8CD8-2707B6D7608C},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1321,SWAN,Swann Preserve,NP,"Y, Z",1,Bromack Dr,33.8933984228,34.28,14 0059 LL013, ,, ,Lakewood,30315, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,2002-02-05T00:00:00.000Z,18.034, ,0,0,0,0,0,0,34.28,0,2002-04-29T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{03591A75-C418-4122-94AB-DC6B6F3403E4},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1322,HEGR,Herbert Greene,NP,H,10,Boulder Park Drive,61.1963330827,56.44,14F0049 LL008, ,, ,Boulder Park,30331, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,2004-04-29T00:00:00.000Z,56.44, ,0,0,0,0,0,0,56.44,0,2004-09-02T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{A4E9F4BA-435E-471C-8CAE-C17CAEC32772},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1323,VICI,June Elois Mundy,B,L,3,Walnut St. NW,0.89095867633,0.757,14 00830004079,VICI,, ,Vine City,30314, ,0,0,FULTON, ,0,1,0,0, ,Community, ,0,0,0, , ,0, ,0, ,0,0, ,0,0, ,0, ,0,0,0,0,0,0, ,Boundary,2004-05-13T00:00:00.000Z,0.757, ,0,0,0,0,0,0,1.44,0,2004-08-09T00:00:00.000Z,0, ,0,0,How much land was added?, , ,0, , , ,0, ,0, ,0,1,{27F46AC3-A617-4FA7-8DAF-717DA245CEC6},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
1324,SUMM,Summerhill Triangle,G,V,1,Fulton St/Sydney St,0.55593566811,0.265,14 00530005166, ,, ,Summerhill-Capitol Homes,30312, ,0,0,FULTON, ,0,0,0,0, , , ,0,0,0, , ,0, ,0, , , , ,0,0, ,0, ,0,0,0, , ,0, ,Boundary,2004-05-05T00:00:00.000Z,0.265, ,0,0,0,0,0,0,0.265,0,2004-05-05T00:00:00.000Z,0, ,0,0, , , ,0, , , ,0, ,0, ,0,1,{D4B9B677-F2CD-4DFC-BE24-F5B7F42ED440},GIS,2018-11-30T18:56:26.000Z,GIS,2018-11-30T18:56:26.000Z
