OBJECTID,X,Y,Organization_Name,Study_Region,Street,City,ZIP,State,Data_Source,last_edited_date,GlobalID,Expenditures_2015_16,Attendance_2105_16
1,-84.743889,33.745143,Cultural Arts Council Douglasville Douglas County,Rest of 10-county Metro Atlanta Area, 8652 Campbellton St,DOUGLASVILLE,30134,GA,Paper Survey,2018-02-08T21:22:28.000Z,{886409D1-15D4-4DE7-BE17-46CC00B379B1},213130,26000
2,-84.766981,33.795841,Old Paths Trio,Rest of 10-county Metro Atlanta Area,10 BRYSON LAKE CT,DOUGLASVILLE,30134-5910,GA,Paper Survey,2018-02-08T21:22:28.000Z,{C1FFED09-DD4D-4109-849E-F19BDB561F6E},502548,0
3,-84.550686,33.952725,Marietta Museum of History,Rest of 10-county Metro Atlanta Area,1 DEPOT STREET,MARIETTA,30060-1900,GA,Paper Survey,2018-02-08T21:22:28.000Z,{45417672-4D9E-4508-A1EA-04D583744473},261578,0
4,-84.360871,33.93576,Artsnow,Rest of Fulton County,"10 Glenlake Parkway, Suite 130",Atlanta,30328,GA,Paper Survey,2018-02-08T21:22:28.000Z,{DC4E4B19-5F1F-4FF8-A5AA-EFAAE45DDD5F},309915,10000
5,-84.393086,33.751941,MurMur Media,City of Atlanta,100 Broad St SW,Atlanta,30303,GA,Paper Survey,2018-02-08T21:22:28.000Z,{32F338B1-C39E-4981-B839-326F48D890DF},3360,1500
6,-84.490474,34.237376,Cherokee County Historical Society,Rest of 10-county Metro Atlanta Area,100 North Street,CANTON,30114,GA,Paper Survey,2018-02-08T21:22:28.000Z,{0A06A562-31CD-4838-98EE-7674DE3C0E69},192083,3000
7,-84.318253,34.086785,Milton Actors Support Krew,Rest of Fulton County,1000 OAKVALE RISE,ALPHARETTA,30004-1174,GA,Paper Survey,2018-02-08T21:22:28.000Z,{64882092-5A14-4F52-A4D1-E4DC8344F0CC},110547,0
8,-84.392699,33.764475,National Center for Civil and Human Rights,City of Atlanta,100 Ivan Allen Jr. Boulevard,ATLANTA,30313,GA,Paper Survey,2018-02-08T21:22:28.000Z,{7BDE4471-7395-45F4-A3E7-0EDA2F953542},5562195,200000
9,-84.295835,33.774948,DeKalb Historical Society,Rest of 10-county Metro Atlanta Area,101 E COURT SQ,DECATUR,30030-2544,GA,Paper Survey,2018-02-08T21:22:28.000Z,{85CCE493-94F6-4162-A061-BB496F09A412},368643,0
10,-84.375456,33.964335,Reforming Arts,Was City of Atlanta,1016 CIMARRON PKWY,SANDY SPGS,30350-6854,GA,Paper Survey,2018-02-08T21:22:28.000Z,{FA57416A-C14F-49F4-841B-48CAA941E4C0},28786,533
