OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_HH_wBroadandAccess_5isBest
1,13045910103,9101.03,ARC 20,2015-05-19T14:17:34.000Z,20.7,57188,{664155B6-8D9F-4172-8AFC-7019AFC62BE3},100.3,4
2,13045910104,9101.04,ARC 20,2015-05-19T14:17:34.000Z,13.2,54987,{83CA437D-3D1E-4D10-8045-868656B737F6},201.1,4
3,13045910502,9105.02,ARC 20,2015-05-19T14:17:34.000Z,7.9,18975,{85C6F77D-3EDF-4310-98B6-7484DC8A4C42},-368.8,2
4,13045910800,9108,ARC 20,2015-05-19T14:17:34.000Z,8.9,50194,{013F5870-36A5-4B09-AF07-1134BA473D2B},1.1,3
5,13045910101,9101.01,ARC 20,2015-05-19T14:17:34.000Z,16.4,46840,{6E66B379-F926-4CA4-BEE2-4CBE2BC3C043},397.3,4
6,13045910200,9102,ARC 20,2015-05-19T14:17:34.000Z,10.7,46942,{17E4ED60-66EB-4EF4-8A8F-64C64D5C594A},93.9,4
7,13045910900,9109,ARC 20,2015-05-19T14:17:34.000Z,22.7,56964,{896C5ED8-91C6-4A3A-B3F9-1F0E367E6CB6},7.8,3
8,13045910300,9103,ARC 20,2015-05-19T14:17:34.000Z,15.2,42287,{00B78A6D-01FD-4252-AF4A-B7CC80C0BDEA},17.1,3
9,13045911100,9111,ARC 20,2015-05-19T14:17:34.000Z,29.8,42438,{6C794D6B-6FCE-4942-953B-802F90509047},24.2,3
10,13045911000,9110,ARC 20,2015-05-19T14:17:34.000Z,29.3,45026,{AD9D5E5E-09EA-4A5E-BFBE-BCC10599FECC},27.2,3
11,13045910701,9107.01,ARC 20,2015-05-19T14:17:34.000Z,20.6,44002,{B4335CD6-2262-4E22-8953-12D40709A893},116.1,3
12,13045910703,9107.03,ARC 20,2015-05-19T14:17:34.000Z,17.7,43517,{1CB48912-4A30-413E-BA80-D0BFCEF75A93},68.9,3
13,13045910600,9106,ARC 20,2015-05-19T14:17:34.000Z,19.1,48420,{F43490FC-318B-4414-A3E6-22BA34993A5D},70.5,3
