OBJECTID,NAME_R,YEAR_,STORIES,BUILDING_NO,CITY,USAGE_DM,HISTORIC,SHAPEarea,SHAPElen
58742583,The Retreat at Windy Hill,2006,1,2000,Y,Apartments,,11594.1129857244,527.795716816825
58742585,The Retreat at Windy Hill,0,1,2100,Y,Apartments,,12458.2042534799,563.159169254199
58742602,The Retreat at Windy Hill,0,1,1900,Y,Apartments,,11541.3046015268,525.410200352557
58742607,The Retreat at Windy Hill,0,1,2400,Y,Apartments,,10846.4239562566,559.491780645774
58742609,Building,0,1,2540,Y,Hospital,,74216.2654733614,2129.33556595511
58742611,Building,0,1, ,Y,Retail,,37538.2632029984,1208.35840147059
58742613,Building,0,1, ,Y,Medical,,13617.2037528893,502.038692481322
58742634,Building,0,1, ,Y,Retail,,8373.39744176376,526.01208869414
58742636,The Retreat at Windy Hill,0,1,Office,Y,Apartments,,8385.19025179726,542.801948723347
58742637,The Retreat at Windy Hill,0,1,2200,Y,Apartments,,7938.24741304289,397.295250969405
58742648,Building,0,1, ,Y,Retail,,5150.47293364993,358.571392203698
58742655,Building,0,1, ,Y,Retail,,13586.4467034488,583.592304348958
58742656,Building,0,1, ,Y,Retail,,2269.06199392871,207.22371529354
58742658,The Retreat at Windy Hill,0,1,1700,Y,Apartments,,11669.34679331,527.766085174668
58742698,Building,0,1, ,Y,Retail,,16432.9119296396,539.176483886012
58742701,Building,0,1, ,Y,Retail,,40025.7091061427,1026.97613533822
58742705,The Retreat at Windy Hill,0,1,2300,Y,Apartments,,5493.73814834167,335.751362944704
58742712,The Retreat at Windy Hill,0,1,200,Y,Apartments,,9597.53487310332,448.169085314293
58742715,The Retreat at Windy Hill,0,1,600,Y,Apartments,,8507.25354933855,407.815036333327
58742727,Building,0,1, ,Y,Professional Building,,2345.25887633887,228.91239935756
58742729,Building,0,1, ,Y,Warehouse,,12708.9564271815,502.883723386683
58742732,Building,0,1, ,Y,Retail,,4484.09439306425,267.854703874397
58742733,The Retreat at Windy Hill,0,1,800,Y,Apartments,,8536.33957449807,410.323191131238
58742739,The Retreat at Windy Hill,0,1,400,Y,Apartments,,12176.6426461269,533.868640492783
58742743,Building,0,1, ,Y,Medical,,13481.0915285039,559.233862839754
58742744,Building,0,1, ,Y,Warehouse,,5072.00798626475,302.009868709385
58742750,Building,0,1, ,Y,Retail,,9148.80411208397,432.346298591214
58742753,Building,0,1, ,Y,Regional Mall,,3565.13829821911,252.726581100744
58742758,The Retreat at Windy Hill,0,1,1000,Y,Apartments,,9580.41454474474,447.245731110467
58742764,The Retreat at Windy Hill,0,1,1500,Y,Apartments,,12747.852088577,538.995084064652
58742766,The Retreat at Windy Hill,0,1,1600,Y,Apartments,,8920.52156508637,414.547674365901
58742776,Building,0,1, ,Y,Professional Building,,10493.1136430199,446.670826354092
58742778,Building,0,1, ,Y,Warehouse,,5140.02264945163,303.218341072945
58742784,Building,0,1, ,Y,Retail,,32734.8881469507,790.62260554638
58742792,The Retreat at Windy Hill,0,1,500,Y,Apartments,,8479.94629983454,408.19659007781
58742794,The Retreat at Windy Hill,0,1,100,Y,Apartments,,12117.281178601,533.119085495091
58742803,Building,0,1, ,Y,Warehouse,,5365.62205116277,325.430466782593
58742835,Building,0,1, ,Y,Retail,,9398.31295026178,430.662076888734
58742836,The Retreat at Windy Hill,0,1,2600,Y,Apartments,,12049.9980395159,567.247051600194
58742841,The Retreat at Windy Hill,0,1,900,Y,Apartments,,8440.62832904471,407.650936788539
58742847,The Retreat at Windy Hill,0,1,1200,Y,Apartments,,12681.933730887,568.885489987711
58742848,The Retreat at Windy Hill,0,1,700,Y,Apartments,,9688.45900454953,449.100756514367
58742861,Building,0,1, ,Y,Professional Building,,12962.4851674677,650.828160190807
58742870,Building,0,1, ,Y,Warehouse,,4054.57505236075,261.067504251953
58742871,Building,0,3, ,Y,Warehouse,,6111.5520960205,322.782784062565
58742875,Building,0,1, ,Y,Warehouse,,5332.70418421589,309.200899852616
58742879,Building,0,1, ,Y,Retail,,2711.58374514511,210.061032983329
58742881,Building,0,1, ,Y,Warehouse,,2415.50184593639,290.91386876158
58742883,Building,0,1, ,Y,Warehouse,,13754.9772891888,500.703732085585
58742885,Building,0,1, ,Y,Professional Building,,6695.04484936441,415.70724170176
58742888,Building,0,1, ,Y,Warehouse,,916.513440562313,150.298677364567
58742890,Building,0,1, ,Y,Warehouse,,6088.2279696464,341.145996175754
58742891,Building,0,1, ,Y,Warehouse,,5234.12381493604,323.353117561469
58742895,Building,0,1, ,Y,Warehouse,,10149.3050798107,402.9751952575
58742900,Building,0,1, ,Y,Warehouse,,12750.2865146343,456.752292717522
58742937,Building,0,1, ,Y,Retail,,29764.858776292,992.858669697983
58742940,Building,0,1, ,Y,Warehouse,,8578.25394103022,440.071741106187
