X,Y,OBJECTID,BusinessName,OwnerCorpName,LocationAddress,Unit,City,State,Zip,Phone,Website,MailingAddress,MailingCity,MailingState,MailingZip,NAICS,NAICS2Digit,BusinessActDesc,OpenDateInCity,HomeBasedBusiness,LicenseFiscalYear,LicenseNumber,IssueDate,Expiration,AddressPtID,Directions,MapCategory,MapCategory_Waze
-84.134324129425082,34.04953493603152,1001,"JJ Bell Enterprises, LLC","JJ Bell Enterprises, LLC",10985 Bell Rd  ,,Johns Creek,GA,30097,,,10985 Bell Rd  ,Johns Creek,GA,30097,238210,23,Electrical Contractors,2010-09-11T00:00:00.000Z,Y,2019,25103,2019-02-15T00:00:00.000Z,2019-12-31T00:00:00.000Z,AP101509,"http://maps.google.com/?daddr=10985 Bell Rd   Johns Creek, GA 30097","Construction, Supplies, & Trades",
-84.132240679078876,34.050045522432079,1002,International Youth Fellowship,"The Good News Atlanta Church, Inc",11000 Rogers Cir  ,,Johns Creek,GA,30097,404-966-6352,,11000 Rogers Cir  ,Johns Creek,GA,30097,813110,81,Religious Organizations,2018-07-12T00:00:00.000Z,N,2018,33713,2018-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP103065,"http://maps.google.com/?daddr=11000 Rogers Cir   Johns Creek, GA 30097",Community Organizations & Government,"COLLEGE_UNIVERSITY,GOVERNMENT,ORGANIZATION_OR_ASSOCIATION"
-84.129435051171669,34.040986889694913,1003,Suzette Prettyman Interiors,Suzette Prettyman Interiors,10655 Nellie Brook Ct  ,,Johns Creek,GA,30097,,,10655 Nellie Brook Ct  ,Johns Creek,GA,30097,541410,54,Interior Design Services,2009-10-29T00:00:00.000Z,Y,2018,30116,2018-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP100393,"http://maps.google.com/?daddr=10655 Nellie Brook Ct   Johns Creek, GA 30097","Construction, Supplies, & Trades",
-84.122414543074555,34.05164728000269,1004,Caribbean Vybz,Caribbean Vybx,990 Blackmar Way  ,,Johns Creek,GA,30024,404-431-7530,,990 Blackmar Way  ,Johns Creek,GA,30024,453998,45,All Other Miscellaneous Store Retailers,2018-06-11T00:00:00.000Z,Y,2018,33683,2018-06-11T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP101510,"http://maps.google.com/?daddr=990 Blackmar Way   Johns Creek, GA 30024",Food & Health Stores,"MARKET,SUPERMARKET_GROCERY"
-84.125932422182714,34.048089677700858,1005,"Blossom Landscaping, LLC",Blossom Landscaping LLC,505 Longcross Ct  ,,Johns Creek,GA,30024,,,505 Longcross Ct  ,Johns Creek,GA,30024,561730,56,Landscaping Services,2008-01-01T00:00:00.000Z,Y,2019,20900,2019-03-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,AP101302,"http://maps.google.com/?daddr=505 Longcross Ct   Johns Creek, GA 30024","Construction, Supplies, & Trades",
-84.125932422182714,34.048089677700858,1006,"Blossom Landscaping, LLC",Blossom Landscaping LLC,505 Longcross Ct  ,,Johns Creek,GA,30024,,,505 Longcross Ct  ,Johns Creek,GA,30024,561730,56,Landscaping Services,2008-01-01T00:00:00.000Z,Y,2018,20900,2018-04-06T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP101302,"http://maps.google.com/?daddr=505 Longcross Ct   Johns Creek, GA 30024","Construction, Supplies, & Trades",
-84.12569749658924,34.049180606256805,1007,SDL Construction,"SDL Construction, Inc.",460 Longcross Ct  ,,Suwanee,GA,30024.,,,460 Longcross Ct  ,Suwanee,GA,30024.,236115,23,general contractor new residential,2007-01-01T00:00:00.000Z,N,2018,29299,2018-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP101528,"http://maps.google.com/?daddr=460 Longcross Ct   Johns Creek, GA 30024.","Construction, Supplies, & Trades",
-84.12569749658924,34.049180606256805,1008,SDL Construction,"SDL Construction, Inc.",460 Longcross Ct  ,,Suwanee,GA,30024.,,,460 Longcross Ct  ,Suwanee,GA,30024.,236115,23,general contractor new residential,2007-01-01T00:00:00.000Z,N,2019,29299,2019-03-15T00:00:00.000Z,2019-12-31T00:00:00.000Z,AP101528,"http://maps.google.com/?daddr=460 Longcross Ct   Johns Creek, GA 30024.","Construction, Supplies, & Trades",
-84.123878217059897,34.049504263819564,1009,"Klavier Music, Inc",Klavier Music Inc.,775 Potters Bar Ln  ,,Johns Creek,GA,30024,404-981-6493,,775 Potters Bar Ln  ,Johns Creek,GA,30024,611610,61,Fine Arts Schools,2006-12-01T00:00:00.000Z,Y,2018,25608,2018-03-21T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP101535,"http://maps.google.com/?daddr=775 Potters Bar Ln   Johns Creek, GA 30024","Daycare, Home Care, & Tutoring",
-84.123878217059897,34.049504263819564,1010,"Klavier Music, Inc",Klavier Music Inc.,775 Potters Bar Ln  ,,Johns Creek,GA,30024,404-981-6493,,775 Potters Bar Ln  ,Johns Creek,GA,30024,611610,61,Fine Arts Schools,2006-12-01T00:00:00.000Z,Y,2019,25608,2019-02-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,AP101535,"http://maps.google.com/?daddr=775 Potters Bar Ln   Johns Creek, GA 30024","Daycare, Home Care, & Tutoring",
-84.123878217059897,34.049504263819564,1011,"Klavier Music, Inc",Klavier Music Inc.,775 Potters Bar Ln  ,,Johns Creek,GA,30024,404-981-6493,,775 Potters Bar Ln  ,Johns Creek,GA,30024,611610,61,Fine Arts Schools,2006-12-01T00:00:00.000Z,Y,2020,25608,2019-01-01T00:00:00.000Z,2020-12-13T00:00:00.000Z,AP101535,"http://maps.google.com/?daddr=775 Potters Bar Ln   Johns Creek, GA 30024","Daycare, Home Care, & Tutoring",
-84.12372602508897,34.050150017182567,1012,Justneighbors.com Corp,"Huang, Jimmy",730 Potters Bar Ln  ,,Johns Creek,GA,30024,,,730 Potters Bar Ln  ,Johns Creek,GA,30024,541611,54,Administrative Management & General Mgmt,2006-12-01T00:00:00.000Z,Y,2018,25343,2018-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP100473,"http://maps.google.com/?daddr=730 Potters Bar Ln   Johns Creek, GA 30024",Business Management & Consulting,PROFESSIONAL_AND_PUBLIC
-84.12372602508897,34.050150017182567,1013,Justneighbors.com Corp,"Huang, Jimmy",730 Potters Bar Ln  ,,Johns Creek,GA,30024,,,730 Potters Bar Ln  ,Johns Creek,GA,30024,541611,54,Administrative Management & General Mgmt,2006-12-01T00:00:00.000Z,Y,2019,25343,2019-03-25T00:00:00.000Z,2019-12-31T00:00:00.000Z,AP100473,"http://maps.google.com/?daddr=730 Potters Bar Ln   Johns Creek, GA 30024",Business Management & Consulting,PROFESSIONAL_AND_PUBLIC
-84.122178035502998,34.049338771293129,1014,"Yogna, Inc","Yogna, Inc.",8035 Cavendish Pl  ,,Johns Creek,GA,30024,,,8035 Cavendish Pl  ,Johns Creek,GA,30024,541511,54,Custom Computer Programming Services,2009-01-01T00:00:00.000Z,Y,2018,31676,2018-04-06T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP100477,"http://maps.google.com/?daddr=8035 Cavendish Pl   Johns Creek, GA 30024",Software Development & IT,PROFESSIONAL_AND_PUBLIC
-84.11864790536211,34.04497342657401,1015,Eden Landscaping,Eden Landscaping,310 Abbotbury Ln  ,,Johns Creek,GA,30024,,,310 Abbotbury Ln  ,Johns Creek,GA,30024,561730,56,Landscaping Services,2006-12-01T00:00:00.000Z,Y,2018,22823,2018-04-06T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP101584,"http://maps.google.com/?daddr=310 Abbotbury Ln   Johns Creek, GA 30024","Construction, Supplies, & Trades",
-84.120653224461975,34.048461559598259,1016,"Elumenotion, LLC","Ware, Douglas",8075 Cavendish Pl  ,,Johns Creek,GA,30024,,,8075 Cavendish Pl  ,Johns Creek,GA,30024,541611,54,Administrative Management & General Mgmt,2007-05-24T00:00:00.000Z,Y,2018,22908,2018-04-06T00:00:00.000Z,2018-12-31T00:00:00.000Z,AP101608,"http://maps.google.com/?daddr=8075 Cavendish Pl   Johns Creek, GA 30024",Business Management & Consulting,PROFESSIONAL_AND_PUBLIC
-84.120653224461975,34.048461559598259,1017,"Elumenotion, LLC","Ware, Douglas",8075 Cavendish Pl  ,,Johns Creek,GA,30024,,,8075 Cavendish Pl  ,Johns Creek,GA,30024,541611,54,Administrative Management & General Mgmt,2007-05-24T00:00:00.000Z,Y,2019,22908,2019-03-01T00:00:00.000Z,2019-12-31T00:00:00.000Z,AP101608,"http://maps.google.com/?daddr=8075 Cavendish Pl   Johns Creek, GA 30024",Business Management & Consulting,PROFESSIONAL_AND_PUBLIC
