OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Percent_BA_or_Higher,Median_household_income,Under_5_population__2010,GlobalID,Pop_Change_per_SqMi_2000_2010,Pct_Population_under_5_2010
1,13045910103,9101.03,ARC 20,2015-05-19T14:22:23.000Z,20.7,57188,406,{474ED726-4128-4C4D-9B16-0734EAD2A558},100.3,8.09
2,13045910104,9101.04,ARC 20,2015-05-19T14:22:23.000Z,13.2,54987,774,{820B20CA-9BDD-4D7C-B2C2-C52705DAB823},201.1,8.35
3,13045910502,9105.02,ARC 20,2015-05-19T14:22:23.000Z,7.9,18975,257,{9D7941E9-A214-494D-AD52-E93197D2459A},-368.8,8.8
4,13045910800,9108,ARC 20,2015-05-19T14:22:23.000Z,8.9,50194,238,{4EEF5C71-84A5-4185-9121-7ACEB050E623},1.1,5.99
5,13045910101,9101.01,ARC 20,2015-05-19T14:22:23.000Z,16.4,46840,527,{58A9F101-241C-4CF7-B821-42C21D490462},397.3,8.89
6,13045910200,9102,ARC 20,2015-05-19T14:22:23.000Z,10.7,46942,907,{CBA0AFB5-75FB-4227-A546-62781A2591D6},93.9,7.73
7,13045910900,9109,ARC 20,2015-05-19T14:22:23.000Z,22.7,56964,261,{92689793-3550-4952-978E-996629B5B5F4},7.8,6.71
8,13045910300,9103,ARC 20,2015-05-19T14:22:23.000Z,15.2,42287,441,{ED338816-5EC7-43BE-AAB1-715F17583CE6},17.1,6.99
9,13045911100,9111,ARC 20,2015-05-19T14:22:23.000Z,29.8,42438,417,{B7D33AB5-3286-4BCF-B3BF-93BD65AEB982},24.2,5.96
10,13045911000,9110,ARC 20,2015-05-19T14:22:23.000Z,29.3,45026,461,{578BEAE5-BA6A-41E2-A1F7-D627F60BAA44},27.2,7.49
11,13045910701,9107.01,ARC 20,2015-05-19T14:22:23.000Z,20.6,44002,632,{97738A36-2317-4955-B777-90C2334910B7},116.1,6.89
12,13045910703,9107.03,ARC 20,2015-05-19T14:22:23.000Z,17.7,43517,545,{261386CB-FEAD-409D-AE06-5650ADCF54E1},68.9,6.84
13,13045910600,9106,ARC 20,2015-05-19T14:22:23.000Z,19.1,48420,472,{83A969C6-9CC8-483B-98FB-EBC40C27C3A4},70.5,8.48
14,13045910501,9105.01,ARC 20,2015-05-19T14:22:23.000Z,16.5,30625,424,{0C686CA8-A4F3-464A-9BD2-F7CF4AB38619},153.2,4.78
15,13045910702,9107.02,ARC 20,2015-05-19T14:22:23.000Z,27.6,62459,496,{878A7281-4E78-4251-96E1-FFDCF46356B1},104.1,6.41
