X,Y,OBJECTID,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID,last_edited_date
-84.284392219061544,33.389122514788532,539,Hampton City Hall,6,20 E Main St, ,Hampton,Georgia,30228,770,946-4306, , ,13151,City Hall,Henry,GPS,2015-12-29T00:00:00.000Z, ,{67F8D1F4-569A-4F05-8328-4EE125050D78},2015-12-29T21:12:38.000Z
-84.372649190815878,34.382086356575513,540,Nelson City Hall,6,Dogwood Dr, ,Nelson,Georgia,30151,770,735-2211,Arlene Dean, ,13057,City Hall,Cherokee,GPS,2015-12-29T00:00:00.000Z, ,{98B3EEBB-7A19-479B-B103-C5A40B1D814A},2015-12-29T21:12:38.000Z
-84.372649190815878,34.382086356575513,541,Nelson City Hall,6,Dogwood Dr, ,Nelson,Georgia,30151,770,735-2211,Arlene Dean, ,13057,City Hall,Cherokee,GPS,2015-12-29T00:00:00.000Z, ,{C8839DC9-A34F-4400-B6A4-AF69C4D50DA1},2015-12-29T21:12:38.000Z
-84.112967482664274,33.352531525097618,542,Locust Grove City Hall,6,3644 Highway 42, ,Locust Grove,Georgia,30248,770,957-5043, , ,13151,City Hall,Henry,GPS,2015-12-29T00:00:00.000Z, ,{F80E5579-F03D-450A-AD0C-D40114413ECC},2015-12-29T21:12:38.000Z
-84.144516124655041,33.44709844538388,543,McDonough City Hall,6,88 Keys Ferry Rd, ,McDonough,Georgia,30253,770,957-3915, , ,13151,City Hall,Henry,GPS,2015-12-29T00:00:00.000Z, ,{A31FF52B-4585-48A5-A469-723A4EF81176},2015-12-29T21:12:38.000Z
-84.228693301999286,33.543684237130478,544,Stockbridge City Hall,6,4545 N Henry Blvd, ,Stockbridge,Georgia,30281,770,389-7900, , ,13151,City Hall,Henry,GPS,2015-12-29T00:00:00.000Z, ,{A826550D-E2DF-4CDB-A352-7B28E5BFCEA0},2015-12-29T21:12:38.000Z
-84.006005724112228,34.119001391608109,545,Buford City Hall,6,95 Scott St, ,Buford,Georgia,30518,770,945-6761, , ,13135,City Hall,Gwinnett,GPS,2015-12-29T00:00:00.000Z, ,{088EFC08-D31A-410E-9170-83C41E9707EB},2015-12-29T21:12:38.000Z
-84.034409920669503,34.106414980861295,546,Sugar Hill City Hall,6,4988 W Broad St, ,Sugar Hill,Georgia,30518,770,945-6716, , ,13135,City Hall,Gwinnett,GPS,2015-12-29T00:00:00.000Z, ,{6E53A9AA-A1D9-4695-B9B4-F1B1AD4321E0},2015-12-29T21:12:38.000Z
-84.063291082310613,34.055849414997674,547,Suwanee City Hall,6,373 Hwy 23, ,Suwanee,Georgia,30024,770,945-8996, , ,13135,City Hall,Gwinnett,GPS,2015-12-29T00:00:00.000Z, ,{B84F8AD6-D262-49E0-B8F6-98BCC5EEE552},2015-12-29T21:12:38.000Z
-83.899103067085662,33.988782323788698,548,Dacula City Hall,6,2434 Winder Hwy, ,Dacula,Georgia,30019,770,963-7451, , ,13135,City Hall,Gwinnett,GPS,2015-12-29T00:00:00.000Z, ,{D8DBF6FD-9AE9-4E07-BE0B-FCA2DD740196},2015-12-29T21:12:38.000Z
