OBJECTID,PK_ID,ParkType,Name,GeoZone,AcquisitionDate,DevelopmentDate,DevelopedAcres,UndevelopedAcres,TotalAcres,MowingSportsTurf,MowingCommons,ParkingSpaces,HandicappedParking,Restrooms,Concessions,Storage,BaseballFields,BattingCages,FootballFields,GolfCourse,MultiUseCourts,SoccerFields,RecreationCenter,SoftballFields,TennisCourts,SwimmingPools,Volleyball,CommunityCenter,Fishing,Lakes,Pavillions,PicnicAreas,Playgrounds,TrailMiles,DogPark,shapearea,shapelen,Address,Status
1,50,County,TROLLEY LINE PARK,C,2001-01-02T00:00:00.000Z,2004-07-10T00:00:00.000Z,1,0,1.266,0,0.5,,,,,,,,,,,,,,,,,,,,,,,0.3,,55156.7772260669,1837.90403521555,,Active
2,55,County,WRIGHT ENVIRONMENTAL CENTER,E,2003-11-11T00:00:00.000Z,2004-10-04T00:00:00.000Z,0,18.51,19.642,0,0.5,31,1,1,,1,,,,,,,,,,,,,,,,1,,0.06,,855587.836507741,4008.40158551157,,Active
3,35,County,OREGON PARK,W,1967-09-14T00:00:00.000Z,1975-07-01T00:00:00.000Z,44.17,0,44.315,3.5,8.5,289,17,3,2,1,8,5,,,,,,,4,,,,,,3,1,1,1.25,,1930341.41768589,6856.4728506286,,Active
4,2,County,SKIP WELLS PARK,E,1967-08-10T00:00:00.000Z,1975-01-01T00:00:00.000Z,38.11,5,38.291,3.9,6.1,154,6,1,1,2,,2,,,,,,4,4,,,,,,1,1,1,0.38,,1667945.3184324,6893.68119671946,,Active
5,27,County,MILFORD PARK,C,2002-08-10T00:00:00.000Z,,8.3,0,8.124,3.7,2.3,155,2,1,1,1,4,4,1,,,,,,,,,,,,,,,,,353892.361824064,2429.71080042221,,Active
6,3,County,BIG SHANTY PARK/THE ART STN,W,1997-07-28T00:00:00.000Z,1999-05-08T00:00:00.000Z,38.63,10,48.203,10,5.5,295,9,1,1,2,4,4,,,,2,,,,,,,,,,,1,1,,2099722.11530746,6267.03390466275,,Active
7,23,County,LIONS PARK,C,1968-03-04T00:00:00.000Z,1968-06-01T00:00:00.000Z,25.28,0,24.78,2.1,0.9,101,12,2,2,1,2,1,,,,,,,,,,1,,,,2,1,,,1079428.25324184,5452.2166195264,,Active
8,42,County,SHAW PARK,E,1966-09-02T00:00:00.000Z,1970-07-01T00:00:00.000Z,33.18,0,24.648,3.7,4.3,362,22,3,3,,5,9,,,1,,,,4,,,1,,,1,1,1,0.5,,1073656.87781925,5458.33773754647,,Active
9,9,County,EAST COBB PARK,E,2001-04-12T00:00:00.000Z,2003-06-23T00:00:00.000Z,13.3,7,20.55,2.52,4.5,194,10,1,,,,,,,,,,,,,,,,,5,5,2,1,,895164.208675753,3939.09920938694,,Active
10,24,County,LOST MOUNTAIN PARK,W,1986-12-31T00:00:00.000Z,1990-03-01T00:00:00.000Z,161,5,152.803,21.8,24.2,696,25,3,3,2,1,6,2,,,,1,8,12,,,,Y,2,3,1,2,2.9,,6656089.57005806,10718.5735973541,,Active
11,44,County,SWEAT MOUNTAIN PARK,E,1980-04-01T00:00:00.000Z,1980-08-01T00:00:00.000Z,23,0,22.818,2.3,3.7,149,11,1,1,,5,4,,,,,,,4,,,,,,1,1,1,1,1,993941.59934828,4138.36436514345,,Active
12,34,County,OLD CLARKDALE PARK,W,1985-01-02T00:00:00.000Z,,4.28,2.2,6.323,0,2.5,,,,,,3,,,,,,,,,,,,,,,,,,,275446.248433071,2290.97277340906,,Active
13,4,County,CATO PROPERTY,C,2003-01-14T00:00:00.000Z,,12.3,2,13.219,0,2.5,,,1,,1,,,,,,,,,,,,,Y,1,,,,0.4,,575827.998597857,4943.47545245934,,Active
14,15,County,HURT ROAD PARK,C,1977-03-24T00:00:00.000Z,1980-06-01T00:00:00.000Z,45.52,0,45.635,5,6,350,11,2,2,1,,2,1,,,,,5,4,,,,,,1,1,1,0.25,,1987860.14009567,5961.52968597077,,Active
15,32,County,NICKAJACK PARK,C,1970-03-04T00:00:00.000Z,1971-07-01T00:00:00.000Z,31.49,0,29.429,4.6,3.4,124,5,1,1,1,1,,1,,1,,,2,4,,,,,,2,2,1,0.5,,1281927.82596153,5166.85615779487,,Active
16,39,County,RHYNE PARK,C,1967-03-31T00:00:00.000Z,1974-06-01T00:00:00.000Z,28,0,28.313,2.3,4.7,210,19,1,1,1,,2,,,,,,2,4,,,,,,4,2,2,0.2,,1233308.8588951,5957.25254734224,,Active
17,54,County,WILD HORSE CREEK PARK,W,1967-03-30T00:00:00.000Z,1974-07-13T00:00:00.000Z,70.15,0,68.265,8.75,5.25,426,19,5,4,5,1,1,2,,,,1,5,4,,,,,1,2,,1,,,2973613.74511004,7418.36898522699,,Active
18,52,County,WEST COBB AQUATIC CENTER,W,2000-01-01T00:00:00.000Z,2001-05-29T00:00:00.000Z,5,28.09,32.996,0,2.75,97,2,1,,1,,,,,,,,,,1,,,,,,,,,,1437286.13504345,5826.92586546456,,Active
19,28,County,MOUNT BETHEL PARK,E,1976-10-01T00:00:00.000Z,,5,0,3.767,1.4,1.1,22,2,1,1,3,1,2,,,,,,,,,,,,,,,,,,164082.575051332,1690.81341645259,,Active
20,58,County,COLLINS PROPERTY,C,2003-04-09T00:00:00.000Z,,0,29,30.905,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1346207.06743243,9202.43224186792,,
21,61,County,CUMBERLAND PROPERTY,C,2003-12-18T00:00:00.000Z,,0,4.95,4.89,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,212995.453796634,1924.99770614117,,
22,62,County,JACKSON YARBROUGH PROPERTY,W,1971-03-17T00:00:00.000Z,,0,6.1,6.761,0,0,,,,,,,,,,,,,,,,,,Y,1,,,,,,294521.382818575,2916.52667520931,,
23,47,County,THE ART PLACE,E,1989-07-11T00:00:00.000Z,1992-01-13T00:00:00.000Z,4.01,0,13.844,0,0.5,100,4,,,,,,,,,,,,,,,1,,,,,,,,603027.212599584,4670.70581301342,,Active
24,12,County,FULLERS PARK,E,1967-04-13T00:00:00.000Z,1974-06-01T00:00:00.000Z,50.04,0,51.366,7.3,11.7,326,20,3,3,4,5,10,1,,,,1,,4,,,,,1,2,2,1,1,,2237477.57232952,9766.31173662287,,Active
25,45,County,SWEETWATER PARK,W,1967-06-07T00:00:00.000Z,1975-07-01T00:00:00.000Z,36.03,0,36.624,3.5,0.5,200,13,1,1,1,,,,,,,,4,8,,,,,,2,2,1,0.75,,1595325.70021263,5301.86271845042,,Active
26,51,County,WALLACE PARK,C,1966-08-30T00:00:00.000Z,1970-08-01T00:00:00.000Z,31.38,0,30.828,5,1.5,216,10,2,2,1,2,1,1,,1,,,1,4,,,,,,2,,1,,,1342842.03816283,6136.52363488529,,Active
