OBJECTID,ID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,TYPEOFAGEN,INMATE_MEN,INMATE_WOM,INMATE_JUV,INMATE_COE,PS,GlobalID,last_edited_date
393,10230481, ,POINT,UNCLASSIFIED,YOUTH DETENTION CENTER - DEKALB,404,244-2183,2946 CLIFTON SPRINGS RD, ,DECATUR,GA,30034,3820,DEKALB,13089, , , , ,, ,,PROVIDED,623990,"BOYS' AND GIRLS' RESIDENTIAL FACILITIES (E.G., HOMES, RANCHES, VILLAGES)",0,-84.275839,33.690759, , , , , ,STATE PRISON, , ,YES, , ,{65787703-384D-4C2E-ABA4-185DE790E98A},2015-12-30T22:00:33.000Z
394,10309827, ,POINT,UNCLASSIFIED,COBB COUNTY SHERIFF'S OFFICE,770,499-4609,185 ROSWELL STREET, ,MARIETTA,GA,30060,1931,COBB,13067,LOC ON THE NE SIDE OF ROSWELL ST BETWEEN WADDELL ST NE AND HAYNES ST NE, , , ,,PHONE,,MANUAL,922120,SHERIFFS' OFFICES (EXCEPT COURT FUNCTIONS ONLY),22675380,-84.54752,33.952141,NAVTEQ,2006Q4,ONENTITY,YES,TGS,SHERIFFS OFFICE, , , , ,Y,{4E1305BB-B194-4E2D-A59B-E81379C560FE},2015-12-30T22:00:33.000Z
395,10174510, ,POINT,UNCLASSIFIED,GRADY DETENTION CENTER,404,616-4133,80 JESSE HILL JUNIOR DRIVE SOUTHEAST, ,ATLANTA,GA,30303,3031,FULTON,13121,ON THE SOUTH CORNER OF JESSE HILL JR DR SE AND ARMSTRONG ST SE INTERSECTION., , , ,,PHONE,,MANUAL,922140,CORRECTIONAL INSTITUTIONS,22699041,-84.38294,33.751666,NAVTEQ,2006Q3,ONENTITY,YES,TGS, , , ,NO, , ,{FBD2FDE0-84D4-4CC2-A35A-0070D4B0BE08},2015-12-30T22:00:33.000Z
396,10309849, ,POINT,UNCLASSIFIED,SUWANEE POLICE DEPARTMENT,770,945-8995,373 UNITED STATES HIGHWAY 23, ,SUWANEE,GA,30024,0,GWINNETT,13135,LOCATED ON THE NORTHWEST SIDE OF UNITED STATES HIGHWAY 23. DIRECTLY ACROSS FROM TOWN CENTER AVENUE NORTHWEST., , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),127201942,-84.072518,34.049505,NAVTEQ,2006Q4,ONENTITY,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{6386CDD0-AB38-4C7E-93D2-14D80F7E45EB},2015-12-30T22:00:33.000Z
397,10309858, ,POINT,UNCLASSIFIED,FAIRBURN POLICE DEPARTMENT,770,964-1441,191 SOUTH WEST BROAD STREET, ,FAIRBURN,GA,30213,0,FULTON,13121,LOCATED ON NW SIDE OF INTERSECTION OF W BROAD ST AND SENOIA RD., , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22829309,-84.585863,33.561154,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{126918E8-3E93-42F7-97BF-73A3A6E1CE7A},2015-12-30T22:00:33.000Z
398,10230472, ,POINT,UNCLASSIFIED,COBB COUNTY ADULT DETENTION CENTER,770,499-4600,1825 COUNTY SERVICES PARKWAY, ,MARIETTA,GA,30008,4013,COBB,13067,"FROM POWDER SPRINGS ROAD HEAD SOUTH ON COUNTY SERVICES PARKWAY .67 MILES, THEN TURN EAST ONTO ACCESS ROAD .20 MILES AND FACILITY IS AT THE EAST END.", , , ,,PHONE,,MANUAL,922140,CORRECTIONAL INSTITUTIONS,22673488,-84.58245,33.90839,NAVTEQ,2006Q3,ONENTITY,YES,TGS,COUNTY JAIL, , , , ,N,{7F8C0AF4-D9EB-4C35-B2ED-7DB279946D81},2015-12-30T22:00:33.000Z
399,10309822, ,POINT,UNCLASSIFIED,GWINNETT COUNTY SHERIFF'S DEPARTMENT / GWINNETT COUNTY DETENTION CENTER,770,619-6500,2900 UNIVERSITY PARKWAY, ,LAWRENCEVILLE,GA,30043,4588,GWINNETT,13135,"LOCATED ON THE NORTHWEST SIDE OF UNIVERSITY PARKWAY. .23 MILES SOUTHWEST OF HI-HOPE ROAD NORTHEAST. FROM THE INTERSECTION OF ACCESS ROAD AND UNIVERSITY PARKWAY GO .04 MILES NORTHWEST TO ENTITY LOCATION,ENTITY SITS NORTHWEST OF REYNOLDS ROAD NORTHEAST.", , , ,,PHONE,,MANUAL,922140,CORRECTIONAL INSTITUTIONS,22802359,-83.997564,33.976684,NAVTEQ,2006Q4,ONENTITY,YES,TGS,SHERIFFS OFFICE, , , , ,Y,{80C872AA-651B-4215-B354-7912802D8681},2015-12-30T22:00:33.000Z
400,10309845, ,POINT,UNCLASSIFIED,SNELLVILLE POLICE DEPARTMENT,770,985-3555,2315 WISTERIA DRIVE, ,SNELLVILLE,GA,30039,3602,GWINNETT,13135,LOCATED ON THE SOUTH SIDE OF SPRINGDALE ROAD SOUTHWEST..02 MILES WEST OF ROBIE LANE SOUTHWEST., , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22823084,-84.014128,33.85895,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{CE103C69-FB9B-4837-81DE-51067E9A3F4E},2015-12-30T22:00:33.000Z
401,10309852, ,POINT,UNCLASSIFIED,LILBURN POLICE DEPARTMENT,770,921-2211,76 MAIN STREET NORTHWEST, ,LILBURN,GA,30047,5020,GWINNETT,13135,LOCATED ON THE SOUTH CORNER OF RAILROAD AVENUE NORTHWEST AND MAIN STREET NORTHWEST., , , ,,PHONE,,MANUAL,922120,POLICE DEPARTMENTS (EXCEPT AMERICAN INDIAN OR ALASKA NATIVE),22707412,-84.134318,33.886018,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,POLICE STATION,YES,YES,NO,YES,Y,{C7EC6F6D-AE55-40F1-8A46-AFB7220C93A9},2015-12-30T22:00:33.000Z
402,10230199, ,POINT,UNCLASSIFIED,COLLEGE CITY POLICE DEPARTMENT / COLLEGE PARK CITY JAIL,404,761-3131,3717 COLLEGE STREET, ,COLLEGE PARK,GA,30337,3517,FULTON,13121,WEST SIDE OF COLLEGE ST BEWEEN PRINCETON AVE AND HARVARD AVE., , , ,,PHONE,,MANUAL,922140,JAILS (EXCEPT PRIVATE OPERATION OF),22715979,-84.451456,33.654034,NAVTEQ,2006Q4,ONENTITY,YES,TGS,CITY JAIL,YES,YES,NO,YES,Y,{CCF88F82-2623-49B1-B7F1-607E3746812B},2015-12-30T22:00:33.000Z
