OBJECTID,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edited_date
1,13,173,13173,Lanier,Lanier County,10078,N,N,N,N,N,N,N,Southern Georgia,127874,199.802994,LANIER,{7D637994-1D29-4646-A85C-439C1A06EA0E},
2,13,029,13029,Bryan,Bryan County,30233,N,N,N,N,N,N,N,Coastal Regional Commission,291269,455.108002,BRYAN,{AB662CC0-3C43-4DFC-A03B-ED6CA5322980},
3,13,001,13001,Appling,Appling County,18236,N,N,N,N,N,N,N,Heart of Georgia Altamaha,328037,512.557983,APPLING,{DE5A63BB-4A0F-47A0-8306-85F49CF71F18},
4,13,241,13241,Rabun,Rabun County,16276,N,N,N,N,N,N,N,Georgia Mountains,241186,376.854004,RABUN,{9D3BC405-11BB-4510-85AB-C97A8ADC6B07},
5,13,023,13023,Bleckley,Bleckley County,13063,N,N,N,N,N,N,N,Heart of Georgia Altamaha,140237,219.121002,BLECKLEY,{7667A96C-97FB-49CF-928D-C58C7E4156D7},
6,13,113,13113,Fayette,Fayette County,106567,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,127543,199.285995,FAYETTE,{0089049C-AF9E-48C9-83D8-75FE86DFE045},
7,13,163,13163,Jefferson,Jefferson County,16930,N,N,N,N,N,N,N,Central Savannah River Area,339141,529.90802,JEFFERSON,{BE814DFF-62AC-4909-8B25-C2638D21012D},
8,13,253,13253,Seminole,Seminole County,8729,N,N,N,N,N,N,N,Southwest Georgia,164181,256.532013,SEMINOLE,{D227238E-663F-4D59-A9D0-179A2579919C},
9,13,039,13039,Camden,Camden County,50513,N,N,N,N,N,N,N,Coastal Regional Commission,501015,782.836975,CAMDEN,{555DA342-487B-4B0D-B256-5CC3469005F0},
10,13,127,13127,Glynn,Glynn County,79626,N,N,N,N,N,N,N,Coastal Regional Commission,375084,586.067993,GLYNN,{6208F96C-ED25-40A7-A0AD-E5B058E9F826},
11,13,233,13233,Polk,Polk County,41475,N,N,N,N,N,N,N,Northwest Georgia,199774,312.147003,POLK,{750B0C1D-5CE0-47F6-8605-ADFE1B0E676B},
12,13,211,13211,Morgan,Morgan County,17868,N,N,N,N,Y,N,N,Northeast Georgia,226933,354.583008,MORGAN,{77264900-C504-4F22-BA88-409240758961},
13,13,263,13263,Talbot,Talbot County,6865,N,N,N,N,N,N,N,River Valley,252604,394.694,TALBOT,{3389D449-5ABA-4E65-A632-2E0E1FDB6EA4},
14,13,249,13249,Schley,Schley County,5010,N,N,N,N,N,N,N,River Valley,107386,167.789993,SCHLEY,{2F5FBCAA-09BB-4772-8AE4-FBA26B1847B9},
15,13,291,13291,Union,Union County,21356,N,N,N,N,N,N,N,Georgia Mountains,210522,328.940002,UNION,{93971501-44A7-418F-B32B-5B331706FAD4},
16,13,315,13315,Wilcox,Wilcox County,9255,N,N,N,N,N,N,N,Heart of Georgia Altamaha,244539,382.092011,WILCOX,{A70295BA-6C76-4EA8-992F-3C0DAD146AF5},
17,13,299,13299,Ware,Ware County,36312,N,N,N,N,N,N,N,Southern Georgia,581392,908.424988,WARE,{BAB3887B-1194-4503-9B32-1CE8A6A3ACB5},
