OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,MedianAge2015,TotalHH2015,MedianHHIncome2015,Ed25Older2015_onlyHS,Ed25Older2015_uptoBachelors,Ed25Older2015_uptoGradDegree,MedianHomeValue2015,VehiclesPerHouse2015,AvgTravelTimeToWorkRelative,DiversityIndex2015,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Ed25Older2015_TotalPop,Ed25Older2015_onlyHS_PerOfTotal,Ed25Older2015_uptoBachelors_Per,Ed25Older2015_uptoGradDegree_Pe,Ed25Older2015_onlyHS_PerOfTot_1,Ed25Older2015_uptoBachelors_P_1,Ed25Older2015_uptoGradDegree__1,MedianHHIncome2015_AmtFromMedia,MedianHHIncome2015_PerFromMedia,Score_MedianAge,Score_TotalHH2015,Score_MedianHHIncome2015,Score_MedianHomeValue2015,Score_VehiclesPerHouse2015,Score_DiversityIndex,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Score_Education_onlyHS,Score_Education_upToBachelors,Score_Education_upToGradDegree,Shape_Length,Shape_Area
1,SA100494,Abberly Towneship,Townhomes,38.52794267,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,1268,989,311,594,84,39.9,499,103533,141,293,125,342276,2,3,62.1,31.4459,60.0606,8.4934,0.619917,1.184021,0.167437,1.9017,559,25.2236,52.415,22.3613,3.741045,1.724543,1.220703,-12342.395683,-10.6514377881954,2 - Average,3 - High,2 - Average,1 - Low,2 - Average,3 - High,2 - Average,2 - Average,1 - Low,3 - High,2 - Average,1 - Low,5711.95451285927,1672304.39067912
2,SA100476,Abbotts Bridge Place,Townhomes,40.91171739,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2007,Yes,Yes,398,306,64,210,32,36.3,152,95200,28,71,77,357813,3,3,61.5,20.915,68.6274,10.4575,0.127571,0.418593,0.063785,0.5969,176,15.909,40.3409,43.75,0.742902,0.417892,0.751953,-20675.39568,-17.8427832424077,2 - Average,2 - Average,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6565.55503287138,1782051.45736495
3,SA100519,Abbotts Falls,Townhomes,3.48787571,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,Yes,56,41,9,29,3,41,19,114700,6,18,9,527778,0,0,62.4,21.9512,70.7317,7.317,0.017939,0.057805,0.005979,0.0839,33,18.1818,54.5454,27.2727,0.159193,0.105944,0.08789,-1175.39568,-1.01436174269085,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1547.69714181535,151931.872795012
4,SA100496,Abbotts Mill,Townhomes,13.97787028,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,Yes,418,342,74,244,24,39.6,226,112731,22,126,68,818750,3,3,63.6,21.6374,71.345,7.0175,0.147504,0.486365,0.047839,0.6269,216,10.1851,58.3333,31.4814,0.583709,0.741612,0.664062,-3144.395683,-2.71360081617508,2 - Average,2 - Average,2 - Average,3 - High,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3806.20653909816,608860.529979076
5,SA100418,Abbotts Pond,Subdivision,60.06437328,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,114,88,31,51,6,36.4,36,114230,5,34,8,372727,3,3,61.3,35.2272,57.9545,6.8181,0.061792,0.101658,0.011959,0.1709,47,10.6382,72.3404,17.0212,0.132661,0.200117,0.078125,-1645.39568,-1.41996985063274,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,8530.74200921204,2616362.73262791
6,SA100282,Abbotts Run,Subdivision,49.08351464,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,315,235,51,166,18,40.5,88,118106,33,101,54,536111,0,0,61.8,21.7021,70.6382,7.6595,0.101658,0.330888,0.035879,0.4724,188,17.5531,53.7234,28.7234,0.875563,0.594467,0.527343,2230.604317,1.92500254592637,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,7864.33731620674,2138046.97236094
7,SA100302,Abbotts Station,Subdivision,21.28727867,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,88,62,13,43,6,35.3,29,109439,2,22,14,366667,3,3,67.2,20.9677,69.3548,9.6774,0.025912,0.085712,0.011959,0.1319,38,5.2631,57.8947,36.8421,0.053064,0.129487,0.136718,-6436.39568,-5.55458356371703,2 - Average,1 - Low,2 - Average,2 - Average,3 - High,3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,4560.91662220731,927241.525622405
8,SA100419,Abbotts View,Subdivision,9.41948127,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,48,37,8,26,3,41,18,110304,5,16,8,541667,0,0,61.5,21.6216,70.2702,8.1081,0.015946,0.051825,0.005979,0.0719,29,17.2413,55.1724,27.5862,0.132661,0.094173,0.078125,-5571.39568,-4.80809204590908,2 - Average,1 - Low,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,3435.90463724201,410191.959300452
9,SA100303,Abbotts Walk,Subdivision,25.81797386,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2001,No,No,198,147,32,104,11,40.7,58,117548,21,63,34,538793,0,0,61.7,21.7687,70.7482,7.4829,0.063785,0.207303,0.021926,0.2969,118,17.7966,53.3898,28.8135,0.557176,0.370806,0.332031,1672.604317,1.44345079224216,2 - Average,2 - Average,2 - Average,2 - Average,(no data),3 - High,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,1 - Low,6315.850375317,1124713.24915891
10,SA100491,Addison Place,Apartments,49.41108844,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,2121,1550,466,914,170,34.8,741,116487,120,496,235,413571,2,0,62.6,30.0645,58.9677,10.9677,0.928878,1.821878,0.338861,3.181,851,14.101,58.2843,27.6145,3.183868,2.919364,2.294921,611.604317000005,0.527812063462695,1 - Low,3 - High,2 - Average,2 - Average,2 - Average,3 - High,3 - High,2 - Average,2 - Average,3 - High,2 - Average,2 - Average,6995.60547267916,2152346.64642475
