OBJECTID,FeatureID,Name,DevType,Acres,SchoolES,SchoolMS,SchoolHS,YearBuilt,Gated,Private,TotalPop2015,TotalPop2015_MaritalStatus,TotalPop2015_NeverMarried,TotalPop2015_Married,TotalPop2015_Divorced,TotalPop2015_NeverMarried_PerOf,TotalPop2015_Married_PerOfTotal,TotalPop2015_Divorced_PerOfTota,TotalPop2015_NeverMarried_Per_1,TotalPop2015_Married_PerOfTot_1,TotalPop2015_Divorced_PerOfTo_1,TotalPop2015_PerOfTotalCity,Score_NeverMarriedPercentOfCity,Score_MarriedPercentOfCity,Score_DivorcedPercentOfCity,Shape_Length,Shape_Area
1,SA100494,Abberly Towneship,Townhomes,38.527943,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,1268,989,311,594,84,31.4459,60.0606,8.4934,0.619917,1.184021,0.167437,1.9017,2 - Average,2 - Average,1 - Low,5711.954513,1672304.390679
2,SA100476,Abbotts Bridge Place,Townhomes,40.911717,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2007,Yes,Yes,398,306,64,210,32,20.915,68.6274,10.4575,0.127571,0.418593,0.063785,0.5969,1 - Low,1 - Low,1 - Low,6565.555033,1782051.457365
3,SA100519,Abbotts Falls,Townhomes,3.487876,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,Yes,56,41,9,29,3,21.9512,70.7317,7.317,0.017939,0.057805,0.005979,0.0839,1 - Low,1 - Low,1 - Low,1547.697142,151931.872795
4,SA100496,Abbotts Mill,Townhomes,13.97787,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,Yes,418,342,74,244,24,21.6374,71.345,7.0175,0.147504,0.486365,0.047839,0.6269,1 - Low,1 - Low,1 - Low,3806.206539,608860.529979
5,SA100418,Abbotts Pond,Subdivision,60.064373,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,114,88,31,51,6,35.2272,57.9545,6.8181,0.061792,0.101658,0.011959,0.1709,1 - Low,1 - Low,1 - Low,8530.742009,2616362.732628
6,SA100282,Abbotts Run,Subdivision,49.083515,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,315,235,51,166,18,21.7021,70.6382,7.6595,0.101658,0.330888,0.035879,0.4724,1 - Low,1 - Low,1 - Low,7864.337316,2138046.972361
7,SA100302,Abbotts Station,Subdivision,21.287279,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,88,62,13,43,6,20.9677,69.3548,9.6774,0.025912,0.085712,0.011959,0.1319,1 - Low,1 - Low,1 - Low,4560.916622,927241.525622
8,SA100419,Abbotts View,Subdivision,9.419481,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,No,No,48,37,8,26,3,21.6216,70.2702,8.1081,0.015946,0.051825,0.005979,0.0719,1 - Low,1 - Low,1 - Low,3435.904637,410191.9593
9,SA100303,Abbotts Walk,Subdivision,25.817974,Wilson Creek Elementary School,River Trail Middle School,Northview High School,2001,No,No,198,147,32,104,11,21.7687,70.7482,7.4829,0.063785,0.207303,0.021926,0.2969,1 - Low,1 - Low,1 - Low,6315.850375,1124713.249159
10,SA100491,Addison Place,Apartments,49.411088,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,2121,1550,466,914,170,30.0645,58.9677,10.9677,0.928878,1.821878,0.338861,3.181,3 - High,2 - Average,2 - Average,6995.605473,2152346.646425
11,SA100463,Duck Pond,Apartments,18.615051,Ocee Elementary School,Taylor Road Middle School,Chattahoochee High School,,Yes,Yes,802,641,138,468,35,21.5288,73.0109,5.4602,0.275075,0.932865,0.069765,1.2028,2 - Average,2 - Average,1 - Low,3653.238679,810871.638781
12,SA100414,Amberleigh,Subdivision,69.637079,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,388,293,69,211,13,23.5494,72.0136,4.4368,0.137537,0.420586,0.025912,0.5819,1 - Low,1 - Low,1 - Low,9553.972775,3033394.948817
13,SA100479,Ammersee,Subdivision,91.983086,Medlock Bridge Elementary School,Autrey Mill Middle School,Johns Creek High School,2000,Yes,Yes,103,77,6,71,0,7.7922,92.2077,0,0.011959,0.141524,0,0.1544,1 - Low,1 - Low,(no data),9464.109719,4006734.529862
14,SA100497,Andover,Subdivision,5.109501,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,Yes,3,2,1,1,0,50,50,0,0.001993,0.001993,0,0.0044,1 - Low,1 - Low,(no data),2090.50333,222575.908075
15,SA100450,Ashland,Subdivision,26.64943,Abbotts Hill Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,399,278,57,193,28,20.5035,69.4244,10.0719,0.113618,0.384707,0.055812,0.5984,1 - Low,1 - Low,1 - Low,5445.90219,1160874.729626
16,SA100410,Aviary,Subdivision,67.865422,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,1175,917,288,551,78,31.4067,60.0872,8.5059,0.574071,1.098309,0.155477,1.7622,2 - Average,2 - Average,1 - Low,6937.178281,2956217.779657
17,SA100487,Aylesbury Farms,Apartments,34.253482,Wilson Creek Elementary School,River Trail Middle School,Northview High School,,Yes,Yes,469,360,75,247,38,20.8333,68.6111,10.5555,0.149497,0.492345,0.075745,0.7033,1 - Low,1 - Low,1 - Low,5529.653986,1492065.342989
18,SA100307,Beckton Hall,Subdivision,12.122186,State Bridge Crossing Elementary School,Taylor Road Middle School,Chattahoochee High School,,No,No,41,32,10,19,3,31.25,59.375,9.375,0.019933,0.037872,0.005979,0.0614,1 - Low,1 - Low,1 - Low,3390.252338,527951.836914
19,SA100308,Bellacree,Subdivision,35.556183,Shakerag Elementary School,River Trail Middle School,Northview High School,,No,No,55,37,10,26,1,27.027,70.2702,2.7027,0.019933,0.051825,0.001993,0.0824,1 - Low,1 - Low,1 - Low,5014.452534,1548634.984606
20,SA100309,Bellemont Farms,Subdivision,38.599037,Shakerag Elementary School,River Trail Middle School,Northview High School,1993,No,No,601,416,115,289,12,27.6442,69.4711,2.8846,0.229229,0.576064,0.023919,0.9013,1 - Low,1 - Low,1 - Low,6428.39254,1670238.550783
