OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,TotPop_Civil_Noninst,TotPop_Civil_Noninst_MOE,Num_Civil_Noninst_wDisabil,Num_Civil_Noninst_wDisabil_MOE,Pct_Civil_Noninst_wDisabil,Pct_Civil_Noninst_wDisabil_MOE,TotPop_Civil_Noninst_U18yrs,TotPop_Civil_Noninst_U18yrs_MOE,Num_CivNoninst_U18_wDisabil,Num_CivNoninst_U18_wDisabil_MOE,Pct_CivNoninst_U18_wDisabil,Pct_CivNoninst_U18_wDisabil_MOE,TotPop_Civ_Noninst_18_64yrs,TotPop_Civ_Noninst_18_64yrs_MOE,Num_CivNoninst_18_64_wDisab,Num_CivNoninst_18_64_wDisab_MOE,Pct_CivNoninst_18_64_wDisab,Pct_CivNoninst_18_64_wDisab_MOE,Num_Civil_Noninst_65yrs_Ovr,Num_Civil_Noninst_65yrs_Ovr_MOE,Num_CivNoninst_65Ovr_wDisab,Num_CivNoninst_65Ovr_wDisab_MOE,Pct_CivNoninst_65Ovr_wDisab,Pct_CivNoninst_65Ovr_wDisab_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
861,13089021301,13089,"Census Tract 213.01, DeKalb County",3860,526,3860,526,267,171,6.9,4,884,248,21,33,2.4,3.7,2862,408,203,165,7.1,5.7,114,49,43,31,37.7,21.7,ARC 10,897.1550293,0,897.1550293,1.40180004,0,1.40180004,021301,DeKalb,{D4A9CFFF-46C9-4576-9131-0033F28728D2},
213,13067030327,13067,"Census Tract 303.27, Cobb County",4547,225,4547,225,349,99,7.7,2,1221,155,40,42,3.3,3.5,2776,214,163,71,5.9,2.5,550,98,146,54,26.5,8.7,ARC 10,1194.55004883,5.39801979,1199.94995117,1.86647999,0.00843441,1.87492001,030327,Cobb,{CCCA9BCD-F47F-467B-A23D-00C3DFEAFADA},
589,13121010400,13121,"Census Tract 104, Fulton County",8557,679,8508,681,1182,225,13.9,2,2339,434,36,44,1.5,1.9,5043,487,647,185,12.8,3.4,1126,182,499,121,44.3,8,ARC 10,45015.30078125,738.26898193,45753.6015625,70.33640289,1.15355003,71.48999786,010400,Fulton,{E2E187F7-EFDA-40DF-A832-010E7D9FD569},
847,13089021704,13089,"Census Tract 217.04, DeKalb County",5484,415,5484,415,654,208,11.9,4,1190,226,11,36,0.9,3,3383,307,318,143,9.4,4.2,911,196,325,146,35.7,14.1,ARC 10,1766.13000488,3.04803991,1769.18005371,2.7595799,0.00476256,2.76433992,021704,DeKalb,{9F30C254-DC4A-4829-B15A-015536103A75},
601,13121004800,13121,"Census Tract 48, Fulton County",1141,164,1141,164,278,84,24.4,6,198,114,45,46,22.7,19.2,808,168,148,53,18.3,5.4,135,46,85,45,63,25.5,ARC 10,97.14530182,0,97.14530182,0.15178999,0,0.15178999,004800,Fulton,{05905418-E0C2-451D-B470-0164D364B632},
374,13135050209,13135,"Census Tract 502.09, Gwinnett County",9679,792,9679,792,426,159,4.4,2,2021,421,0,36,0,1.8,6907,735,237,129,3.4,1.8,751,171,189,85,25.2,9.7,ARC 10,1716.04003906,63.89500046,1779.93994141,2.68130994,0.0998359,2.78116012,050209,Gwinnett,{B475F806-518A-4876-8023-017896E79DF5},
381,13135050605,13135,"Census Tract 506.05, Gwinnett County",15160,1146,15160,1146,1139,367,7.5,2,4582,801,106,104,2.3,2.2,9117,927,325,172,3.6,1.9,1461,365,708,307,48.5,17.1,ARC 10,5102.79003906,40.20009995,5142.99023438,7.9731102,0.0628127,8.03592014,050605,Gwinnett,{DD262CCA-AC17-4C3C-ACAB-01D9C549DB1B},
846,13089021805,13089,"Census Tract 218.05, DeKalb County",6949,693,6938,692,682,189,9.8,2,1905,379,51,67,2.7,3.5,4138,417,375,149,9.1,3.5,895,182,256,95,28.6,8.8,ARC 10,1564.29003906,1.62224996,1565.91003418,2.44420004,0.00253477,2.4467299,021805,DeKalb,{30AD10EF-6E96-407F-85DC-01FCA89A6397},
414,13135050429,13135,"Census Tract 504.29, Gwinnett County",7329,523,7329,523,379,143,5.2,2,1909,336,36,48,1.9,2.5,4370,365,127,87,2.9,2,1050,180,216,102,20.6,9.1,ARC 10,2178.98999023,40.11809921,2219.10009766,3.40467,0.0626845,3.46733999,050429,Gwinnett,{DABFBB02-DE7C-46EC-B528-020E6A9847E5},
481,13121006000,13121,"Census Tract 60, Fulton County",3401,436,3401,436,531,121,15.6,3,949,247,20,29,2.1,3,2012,291,278,86,13.8,3.8,440,109,233,79,53,12.3,ARC 10,385.6499939,0,385.6499939,0.60257798,0,0.60257798,006000,Fulton,{A6D564A4-C95F-4B3E-92EF-03301C55D7C8},
