X,Y,OBJECTID,SYSSCHOOL,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,FAC_SCHTYP,GRADE_RANGE,SCHOOL_ADD,SCHOOL_CITY,STATE,SCHOOL_ZIP,SCHOOL_PHONE,Num_Tested_All_2017,Average_Score_All_2017,Num_in_HFZ_All_2017,Pct_in_HFZ_All_2017,Num_Tested_Male_2017,Average_Score_Male_2017,Num_in_HFZ_Male_2017,Pct_in_HFZ_Male_2017,Num_Tested_Female_2017,Average_Score_Female_2017,Num_in_HFZ_Female_2017,Pct_in_HFZ_Female_2017,GlobalID,last_edited_date
-84.961576000064511,31.372890999942097,1,6490194,649,Early County,0194,Early County Elementary School,E,PK-05,283 Martin Luther King Jr Blvd,Blakely,GA,39823-3455,229.723.4101,269,43.56,153,56.9,135,44.91,91,67.4,134,42.19,62,46.3,{6232EC02-3C00-4FAF-A6EE-A0036C9C2A5F},
-84.576299000273906,30.884857999841639,2,6433052,643,Decatur County,3052,John Johnson Elementary School,E,PK-04,1947 S West St,Bainbridge,GA,39819-4941,229.248.2215,77,43.33,51,66.2,43,45.22,33,76.7,34,40.93,18,52.9,{A753D25A-ACAD-4EF0-9E72-2E0EDF97525F},
-84.574036000822744,30.899823999373726,3,6430191,643,Decatur County,0191,Potter Street Elementary School,E,PK-04,725 Potter St,Bainbridge,GA,39819-4535,229.248.2253,45,46.99,41,91.1,24,48.39,22,91.7,21,45.38,19,90.5,{6095DC60-03FB-44EC-AB4C-8DCC0B59158E},
-84.568826999954425,30.893830000290592,4,6431052,643,Decatur County,1052,Elcan-King Elementary School,E,PK-04,725 E Louise St,Bainbridge,GA,39819-4625,229.248.2212,72,45.07,59,81.9,32,46.45,27,84.4,40,43.96,32,80,{F3329A73-816D-4BC6-B20E-40C713BAAF93},
-84.558860000547938,30.909013999584733,5,6432052,643,Decatur County,2052,Hutto Middle School,E,05-06,1201 Martin Luther King Jr Dr,Bainbridge,GA,39817-3815,229.248.2224,608,40.71,283,46.5,327,42.05,189,57.8,281,39.14,94,33.5,{23BD0345-485B-4BA0-8EFE-A97CD65B2067},
-84.55523599995017,30.905389000043495,6,6434052,643,Decatur County,4052,Jones-Wheat Elementary School,E,PK-04,1400 E Broughton St,Bainbridge,GA,39817-4204,229.248.2218,75,42.46,52,69.3,31,44.61,29,93.5,44,40.95,23,52.3,{49838123-3810-4B28-AF73-A60B7618BC78},
-84.880515000627781,31.032656999808545,7,7250296,725,Seminole County,0296,Seminole County Elementary School,E,PK-05,800 Marianna Hwy,Donalsonville,GA,39845-1916,229.524.5235,322,42.2,133,41.3,164,43.75,82,50,158,40.6,51,32.3,{D11127AA-57DD-4FD5-B763-C31821B89936},
-84.71028000087351,31.190919999968347,8,7000110,700,Miller County,0110,Miller County Elementary School,E,PK-05,996 Phillipsburg Rd,Colquitt,GA,39837-6538,229.758.4140,160,42.36,78,48.8,87,43.21,47,54,73,41.34,31,42.5,{26EBCBEF-31AD-42FE-BE03-047B25C1DBAB},
-84.708900000576932,31.450548999615322,9,6190179,619,Calhoun County,0179,Calhoun County Elementary School,E,PK-05,18904 Morgan Rd,Arlington,GA,39813-6710,229.213.0147,,,,,,,,,,,,,{A7A3FF5F-6DB0-4080-9E3A-E4D7A1F75CB2},
-84.612542000767974,30.933248999895632,10,6430105,643,Decatur County,0105,West Bainbridge Elementary School,E,PK-04,915 Zorn Rd,Bainbridge,GA,39817-6708,229.248.2821,109,40.89,54,49.5,52,41.58,27,51.9,57,40.27,27,47.4,{C3DAE086-5571-4BE4-81A1-06A34E77F7BE},
-84.328831999402183,30.881670999520789,11,6651054,665,Grady County,1054,Whigham Elementary School,E,PK-08,211 W Broad Ave,Whigham,GA,39897-3222,229.762.4167,190,40.38,88,46.3,91,41.63,49,53.8,99,39.23,39,39.4,{3ECEAEBF-7148-4E9D-8627-22F996DA1E6A},
-84.20527799988318,30.871389000551506,12,6652050,665,Grady County,2050,Southside Elementary School,E,PK-05,491 3rd St SE,Cairo,GA,39828-2762,229.377.3723,171,42.45,100,58.5,101,44.3,81,80.2,70,39.78,19,27.1,{1F0135B5-84A6-45D2-A4FB-AD6ADC85EA84},
-84.210091999748087,30.887220999947722,13,6651550,665,Grady County,1550,Northside Elementary School,E,PK-05,985 1st St NW,Cairo,GA,39828-1972,229.377.2422,89,39.84,33,37.1,44,40.01,17,38.6,45,39.68,16,35.6,{5A849E59-C26E-43EB-BDB1-E7EEA74CAE94},
-84.186013000159519,30.881971000260901,14,6650185,665,Grady County,0185,Eastside Elementary School,E,PK-05,1201 20th St NE,Cairo,GA,39828-3720,229.377.8441,281,38.54,47,16.7,135,39.05,34,25.2,146,38.06,13,8.9,{F55185BF-0141-4CA2-BCFB-84C9D0C51A2B},
-83.983753999725948,30.830809999605879,15,7894050,789,Thomasville City,4050,Harper Elementary School,E,PK-05,520 Fletcher St,Thomasville,GA,31792-6438,229.225.2622,105,39.07,37,35.2,51,39.53,22,43.1,54,38.63,15,27.8,{A1456F2D-9D50-43BA-A185-4BDB9A5E48B5},
-83.968863000412242,30.824963000344031,16,7895050,789,Thomasville City,5050,Jerger Elementary School,E,PK-05,1006 S Broad St,Thomasville,GA,31792-6701,229.225.2625,227,42.98,152,67,113,44.35,81,71.7,114,41.62,71,62.3,{703980C6-AE89-4006-AEEF-E89DF63BFCE7},
