OBJECTID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,FDID,FRST_MBRS,EMS_MBRS,TOTALPERS,NUMTRKS,NUMABUL,TOTAL_VEHI,NBR_STA,OWNER,LEVEL_,TYPE,SPECIALTY,EMSLICENSE,EMERPHONE,FRST,PERM_ID,GNIS_ID,GlobalID,last_edited_date
1375,UNCLASSIFIED,RURAL/METRO CORPORATION,404-762-4018,5165 WELCOME ALL ROAD, ,COLLEGE PARK,GA,30349,2551,FULTON,13121,"LOCATED ON THE WEST SIDE OF WELCOME ALL ROAD, APPX .2 MI SOUTH OF S FULTON PKWY", , , ,,PHONE,,MANUAL,621910,"AMBULANCE SERVICES, AIR OR GROUND",124579842,-84.525532,33.614914,NAVTEQ,2007Q2,ONENTITY,NO,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,N, , ,{998E7810-C679-479B-90F6-2F05E09FDA1F},2015-12-30T22:07:46.000Z
1376,UNCLASSIFIED,DEKALB COUNTY DEPARTMENT OF FIRE AND RESCUE SERVICES STATION 16,678-406-7750,2750 PLEASANTWOOD DRIVE, ,DECATUR,GA,30034,2435,DEKALB,13089,"LOCATED ON THE EAST SIDE OF PLEASANTWOOD DR, LESS THAN .1 MILES NORTH SNAPFINGER RD.", , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22731176,-84.21426,33.706052,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6816, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{02B95679-2707-4EC3-89A1-E04A1CCE9768},2015-12-30T22:07:46.000Z
1377,UNCLASSIFIED,FOREST PARK DEPARTMENT OF FIRE AND EMERGENCY SERVICES STATION 1,404-608-2383,4539 JONESBORO ROAD, ,FOREST PARK,GA,30297,3542,CLAYTON,13063,WEST SIDE OF JONESBORO RD BETWEEN ERNEST DR AND OLD JONESBORO RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22670854,-84.35687,33.630896,NAVTEQ,2007Q2,ONENTITY,YES,TGS,0,3103,0,0,52,0,0,0,2,LOCAL, ,CAREER, , , ,Y, , ,{FDE78472-C1E8-401D-B9DB-2D73C39C601D},2015-12-30T22:07:46.000Z
1378,UNCLASSIFIED,PEACHTREE CITY FIRE AND RESCUE STATION 83 - WEBER,770-631-2529,482 PEACHTREE PARKWAY SOUTH, ,PEACHTREE CITY,GA,30269,2934,FAYETTE,13113,LOCATED ON THE SOUTHWEST SIDE OF S PEACHTREE PKY LESS THAN .1 MILES NORTHWEST OF BALMORAL LN, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,105301648,-84.571891,33.425693,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6782, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{7D8B1D8D-6CF8-4741-A1E1-C0783670C24A},2015-12-30T22:07:46.000Z
1379,UNCLASSIFIED,METROATLANTA AMBULANCE SERVICE,770-693-8480,3653 CANTON ROAD,SUITE 201,MARIETTA,GA,30066,7602,COBB,13067,ON THE NORTHWEST CORNER OF THE INTERSECTION OF COVENTRY DR NE AND CANTON HWY., , , ,,PHONE,,MANUAL,621910,"AMBULANCE SERVICES, AIR OR GROUND",22827599,-84.529112,34.041274,NAVTEQ,2007Q2,BLOCKFACE,NO,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,N, , ,{0A633B83-290B-4D41-AACA-0A375C866F1C},2015-12-30T22:07:46.000Z
1380,UNCLASSIFIED,DEKALB COUNTY DEPARTMENT OF FIRE AND RESCUE SERVICES STATION 6,678-406-7750,2342 FLAT SHOALS ROAD, ,ATLANTA,GA,30316,3706,DEKALB,13089,LOCATED ON THE EAST CORNER OF SHAWN WAYNE CT SE AND FLAT SHOALS RD SE., , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22668700,-84.311696,33.720394,NAVTEQ,2007Q2,ONENTITY,NO,TGS,0, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{1DCF067C-A143-4886-9B99-F2B96BA49E4E},2015-12-30T22:07:46.000Z
1381,UNCLASSIFIED,DEKALB COUNTY FIRE SERVICES STATION 21,404-406-7750,1090 CROWN POINTE PARKWAY, ,ATLANTA,GA,30338,4775,DEKALB,13089,NW CORNER OF CROWN POINTE PKY AND RIDGEVIEW RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22725770,-84.344187,33.930937,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6803, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{AA9E3E41-A86C-4F7D-9603-E9F5013DB4EB},2015-12-30T22:07:46.000Z
1382,UNCLASSIFIED,HENRY COUNTY FIRE DEPARTMENT STATION 8,770-288-6600,1672 FLIPPEN ROAD, ,STOCKBRIDGE,GA,30281,5054,HENRY,13151,LESS THAN A TENTH OF A MILE SOUTH OF VINCENT AVENUE ON THE WEST SIDE OF FLIPPEN ROAD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22810379,-84.245335,33.502397,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6662, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{339136FE-8004-4A21-8934-33AE9AD843B9},2015-12-30T22:07:46.000Z
1383,UNCLASSIFIED,AUSTELL CITY FIRE AND EMERGENCY MEDICAL SERVICES STATION 2,770-944-4322,5300 AUSTELL POWDER SPRINGS ROAD, ,AUSTELL,GA,30106,3104,COBB,13067,ENTRANCE IS LOCATED ON THE NW SIDE OF GA-6 SPUR APPROX 0.04 MILES SW OF THE T-INTERSECTION OF AUSTELL POWDER SPRINGS RD AND GA-6 SPUR, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,111685651,-84.645094,33.825385,NAVTEQ,2007Q2,ONENTITY,YES,TGS,6885,3303,0,0,17,0,0,0,1,LOCAL, ,CAREER, , , ,Y, , ,{6020110E-0B58-4E6A-B710-9AFD3E853C19},2015-12-30T22:07:46.000Z
1384,UNCLASSIFIED,DEKALB COUNTY FIRE RESCUE STATION 2,678-406-7731,1316 DRESDEN DRIVE NORTHEAST, ,ATLANTA,GA,30319,3438,DEKALB,13089,LOCATED ON THE NORTH SIDE OF DRESDEN DR NE BETWEEN APPLE VALLEY RD NE AND PARKSIDE DR NE, , , ,,PHONE,,MANUAL,922160,FIRE AND RESCUE SERVICE,22655479,-84.335944,33.860585,NAVTEQ,2007Q2,ONENTITY,NO,TGS,6812, ,0,0,0,0,0,0,0, , , , , , ,Y, , ,{98F6442F-62A2-44EA-96FC-CC3F5B56863B},2015-12-30T22:07:46.000Z
