OBJECTID,COUNTY_FIP,ROAD_NAME,Label,GlobalID,last_edited_date
128,121, Georgia Highway 400  SB,400,{A1085D49-83EB-4E0D-93AB-82BF6DE0C270},2016-08-01T14:08:16.000Z
138,121, Georgia Highway 400  NB,400,{195386A0-89B2-4231-9468-DF0FF3BF762C},2016-08-01T14:08:25.000Z
296,103,Interstate 95 SB,95,{C1B89717-F15B-4C67-8714-58BFDD49C51E},2016-07-29T18:11:35.000Z
361,039,Interstate 95 NB,95,{947A40DD-DA45-4165-954B-3D9EBB684515},2016-07-29T17:59:31.000Z
406,083,Interstate 59 NB,59,{EFB8821E-C7EF-415E-BCB0-A5AF4BFB2DAB},2016-07-28T18:21:33.000Z
407,083,Interstate 59 SB,59,{86D9810A-D19C-41D4-B8A3-A10778A49E68},2016-08-01T14:12:44.000Z
410,083,Interstate 24 WB,24,{2EFBACE7-8553-46AC-AE4A-4EF67EF91188},2016-07-28T18:10:09.000Z
415,083,Interstate 24 EB,24,{D0F4301D-DE0A-4AED-89BB-AE84537B3610},2016-08-01T13:59:29.000Z
551,047,Interstate 75 NB,75,{7DBCC5D0-AFA9-473D-8F52-A3983976402D},2016-08-04T13:45:31.000Z
829,285,Interstate 85 NB,85,{9D1ACAB4-474D-4AA3-B7A2-0A7D12AB792E},2016-08-04T13:47:53.000Z
1405,207,Interstate 75 SB,75,{A1C1EAB1-2708-4C2C-8DA4-8758632AF45E},2016-08-04T13:46:36.000Z
1767,139,Interstate 985 NB,985,{5CD91777-9EE5-43A3-A84D-9EB44E1261EE},2016-08-01T13:54:35.000Z
1769,139,Interstate 985 SB,985,{D5A08272-743F-47D4-A719-AEC7897DC31A},2016-08-01T13:37:24.000Z
1928,021,Interstate 16 EB,16,{6DFDAADE-9451-4490-97A8-74534DAA12CD},2016-07-29T14:23:07.000Z
1990,021,Interstate 475 NB,475,{486FBC27-3455-429E-9B6B-4DB741B53051},2016-07-29T13:28:46.000Z
2193,021,Interstate 475 SB,475,{AED54CA6-76AD-4770-947E-E54A5107A60E},2016-07-29T13:31:50.000Z
2238,245,Interstate 520 WB,520,{2404BAF1-C94B-4318-BFC2-7DCD2DC7D7DE},2016-07-28T20:51:09.000Z
2240,245,Interstate 520 EB,520,{227B08E1-B8D0-4C43-9CB2-1D85CBBA274A},2016-07-28T20:53:33.000Z
2279,051,Interstate 516 NB,516,{FD181FA8-54B8-468F-BC10-BE766031857A},2016-07-29T16:47:35.000Z
2281,051,Interstate 516 SB,516,{3F548438-A111-4F52-8CE1-F020A6D0AF58},2016-07-29T16:50:09.000Z
2306,051,Interstate 16 WB,16,{3FD43A2F-3139-45B2-B9F8-F777775B7719},2016-08-01T14:02:36.000Z
2429,215,Interstate 185 NB,185,{B514ADAB-47BC-48BE-89EB-C4DF2FE2A364},2016-07-29T13:24:58.000Z
2448,215,Interstate 185 SB,185,{305E3C3A-5113-4287-A089-C173CFE802AE},2016-07-29T13:24:03.000Z
2905,121,I-285 Exwy NW,285,{CC6E935C-E887-4A8E-A1F6-83006FD05104},2016-08-01T13:24:52.000Z
2919,121,I-285 Exwy SW,285,{A8689DE0-0F17-44F4-A688-216CED52436E},2016-07-29T16:44:51.000Z
2925,121,Interstate 75/85 NB,75,{F72810E9-35CE-4D97-BF4D-47584928A5AB},2016-08-01T19:06:14.000Z
2980,121,I-285 Exwy SE,285,{090358BD-775E-4A9D-8526-E160CB7FF2C3},2016-08-01T13:46:04.000Z
3578,121,Interstate 75/85 SB,75,{E220FABF-B84E-409C-AF44-CA967D72AD55},2016-08-01T19:06:25.000Z
3705,089,I-285 Exwy NE,285,{34BF0CB4-ED48-404C-B2D7-41BD82CFA06F},2016-08-01T13:22:19.000Z
4257,067,I-575 Exwy NB,575,{B4AF7489-A223-4AEA-9D70-A22473D1EE1D},2016-08-01T21:05:58.000Z
4354,067,I-575 Exwy SB,575,{E17F5D3F-6B2C-4469-BE01-DEA1E49B2371},2016-08-01T21:05:40.000Z
4540,063,Interstate 675 NB,675,{9840BFB0-96E4-4247-8EF6-5EAF5D90F18F},2016-08-01T14:12:08.000Z
4559,063,Interstate 675 SB,675,{7F92C30E-1655-4A26-9EEC-9FAB38BAE634},2016-08-01T14:12:27.000Z
5064,045,Interstate 20 EB,20,{70F2221A-2778-4230-8790-E0B6494FFBB6},2016-08-04T13:31:28.000Z
5065,147,Interstate 85 SB ,85,{D3D9051F-3938-4672-BED7-F5B38B2AA254},2016-08-01T20:46:21.000Z
5066,047,Interstate 75 NB,75,{BCC42979-A363-4C2A-8713-A407C979B185},2016-08-01T19:01:44.000Z
5067,015,Interstate 75 SB,75,{2222BB1C-E39D-415E-9DC2-01B971CDC5E0},2016-08-01T19:01:59.000Z
5068,089,Interstate 85 NB ,85,{CE591C02-F629-4C85-85BA-D969DF114CDD},2016-08-01T20:55:35.000Z
5069,045,Interstate 20 EB,20,{88F6D4DE-BBB0-4519-BBCF-1B69C7E1E72C},2016-08-04T13:25:58.000Z
5070,147,Interstate 85 SB ,85,{A85AC384-A496-41E5-BE0A-77DF7FF579A0},2016-08-01T20:47:58.000Z
5071,073,Interstate 20 WB,20,{501147AF-C05E-4F70-B591-4DC763C6248F},2016-08-04T13:34:31.000Z
5072,147,Interstate 85 SB ,85,{679A7248-230F-45AF-87B1-44832C764B60},2016-08-04T13:49:23.000Z
5073,089,Interstate 85 NB ,85,{4CE16C21-A42A-4839-A8F2-EAF7E1CD5AE2},2016-08-01T20:47:08.000Z
5074,073,Interstate 20 WB,20,{6F0ACEF6-2F84-42A8-8B2E-A6DDFEF2DEC3},2016-08-04T13:43:23.000Z
