OBJECTID,ID,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,NBR_STA,TYPE,EMS,GlobalID,last_edited_date
1714,10288435,DEKALB COUNTY FIRE DEPARTMENT STATION 26,404,244-4910,2522 MCAFEE RD, ,DECATUR,GA,30032,4161,DEKALB,13089, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.286632,33.732023, , , , , ,6830,0, , ,{6771CC65-4F66-4110-8320-1C097B893930},2015-12-30T22:12:40.000Z
1715,10288455,COBB COUNTY FIRE DEPARTMENT STATION 12,770,528-8000,810 BRACKETT ROAD, ,MARIETTA,GA,30066,3864,COBB,13067,SW SIDE OF BRACKETT RD APPROX 0.05 MILES SE OF CANTON RD NE, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22828253,-84.527653,34.027636,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6853,0, ,Y,{CA9B74AA-14AB-42CC-AE58-836CE2EACEF5},2015-12-30T22:12:40.000Z
1716,10290452,ROSWELL FIRE DEPARTMENT STATION 7,770,641-3730,8025 HOLCOMB BRIDGE ROAD, ,ALPHARETTA,GA,30022,1604,FULTON,13121,NE SIDE OF HOLCOMB BRIDGE RD 0.63 MILES SE OF BARNWELL RD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,127200398,-84.264194,33.975852,NAVTEQ,2006Q4,ONENTITY,NO,TGS, ,0, ,Y,{ECC72C52-D71B-4086-A52F-96A10B5BCFA5},2015-12-30T22:12:40.000Z
1717,10288340,ATLANTA BUREAU OF FIRE STATION 28,404,799-0388,2040 MAIN ST NW, ,ATLANTA,GA,30318,1889,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.472041,33.811403, , , , , ,6717,0, , ,{ED309CFE-9C34-46AE-ABC2-644B207C0B9A},2015-12-30T22:12:40.000Z
1718,10139871,CHEROKEE COUNTY STATION 4 - FREE HOME,770,889-4451,9253 FREEHOME HIGHWAY, ,CANTON,GA,30115,4801,CHEROKEE,13057,"EAST SIDE OF FREEHOME HIGHWAY, 250 YARDS SOUTHWEST OF STATE HIGHWAY 20 INTERSECTION", , , ,,PHONE,,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",124520173,-84.289022,34.237754,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,0, , ,{B006D0F5-723A-477E-A483-F33DD8D9BB35},2015-12-30T22:12:40.000Z
1719,10288301,GWINNETT COUNTY FIRE AND EMERGENCY SERVICES STATION 10,678,518-4800,642 RUSSELL ROAD, ,LAWRENCEVILLE,GA,30043,3636,GWINNETT,13135,"LOCATED S SIDE OF RUSSELL RD NE, .04 MILE W OF BUFORD DR NE", , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,23005894,-83.993664,34.006197,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6676,0, ,Y,{FA1B8AA3-B776-43F3-9C2A-53BDE502E8AB},2015-12-30T22:12:40.000Z
1720,10288427,DEKALB COUNTY FIRE DEPARTMENT STATION 13,404,244-4910,5619 REDAN RD, ,STONE MOUNTAIN,GA,30088,3415,DEKALB,13089, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.16471,33.755505, , , , , ,6819,0, , ,{CE3CB894-C83B-400E-B7B2-2FCCF659410D},2015-12-30T22:12:40.000Z
1721,10288333,ROSWELL FIRE DEPARTMENT STATION 3,770,641-3730,740 JONES ROAD, ,ROSWELL,GA,30075,2842,FULTON,13121,SW CORNER OF JONES RD AND LAKE CHARLES DR, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22681100,-84.383469,34.046761,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6710,0, ,Y,{E2B77439-4BB7-4371-A1C5-2ED32479B4CE},2015-12-30T22:12:40.000Z
1722,10288480,AUSTELL CITY FIRE AND EMERGENCY MANAGEMENT SERVICES STATION 1,770,944-4324,5890 MULBERRY STREET, ,AUSTELL,GA,30168,4016,COBB,13067,W SIDE OF MULBERRY ST BETWEEN BILL MARK AVE SW AND CAROL WAY SW, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22691684,-84.632872,33.811175,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6880,0, ,Y,{7C62E5B4-C040-440C-93B3-6C59530A9AD4},2015-12-30T22:12:40.000Z
1723,10288412,DEKALB COUNTY FIRE DEPARTMENT STATION 12,404,244-4910,5323 ROBERTS DR, ,DUNWOODY,GA,30338,3834,DEKALB,13089, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.335938,33.956131, , , , , ,6804,0, , ,{27C75989-FA3A-418A-8536-829778A088C2},2015-12-30T22:12:40.000Z
1724,10139862,CITY OF WOODSTOCK FIRE STATION 24,770,926-6027,1000 RIVER PARK BOULEVARD, ,WOODSTOCK,GA,30188,0,CHEROKEE,13057,NORTH CORNER OF RIVER PARK BOULEVARD AND RIVER PARK NORTH DRIVE INTERSECTION, , , ,,PHONE,,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",127169337,-84.510308,34.141726,NAVTEQ,2006Q3,ONENTITY,YES,TGS, ,0, , ,{FE09FBBD-8CF3-48BB-B9E7-38ED68725279},2015-12-30T22:12:40.000Z
1725,10288355,FULTON COUNTY FIRE DEPARTMENT HEADQUARTERS,404,505-5700,5440 FULTON INDUSTRIAL BLVD,FULTON COUNTY AIRPORT,ATLANTA,GA,30336,1514,FULTON,13121,SW SIDE OF AVIATION CIR APPROX 0.37 MILES NW OF FULTON INDUSTRIAL BLVD, , , ,,PHONE,,MANUAL,922160,AMBULANCE AND FIRE SERVICE COMBINED,22695903,-84.564973,33.738316,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,6735,0, ,Y,{24802086-7A11-489A-A3D5-E976951D84FC},2015-12-30T22:12:40.000Z
1726,10288437,CLAYTON COUNTY FIRE DEPARTMENT STATION 06,770,471-2235,10580 PANHANDLE RD, ,HAMPTON,GA,30228,3316,CLAYTON,13063, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.342475,33.46628, , , , , ,6833,0, , ,{7CC53148-32D0-40B2-A3EB-D70E24C89E3E},2015-12-30T22:12:40.000Z
1727,10288317,ATLANTA BUREAU OF FIRE STATION 19,404,876-2777,1063 N HIGHLAND AVE NE, ,ATLANTA,GA,30306,3455,FULTON,13121, , , , ,, ,,PROVIDED,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))", ,-84.354453,33.783734, , , , , ,6694,0, , ,{2F133AED-9709-44CD-8395-84F2C07E5ED4},2015-12-30T22:12:40.000Z
1728,10288399,FAYETTE COUNTY FIRE DEPARTMENT STATION 7,770,460-5730,220 HAMPTON ROAD, ,FAYETTEVILLE,GA,30215,5725,FAYETTE,13113,LOCATED ON THE NORTHWEST SIDE OF HAMPTON RD BETWEEN ANNA LN AND HILL AVE, , , ,,PHONE,,MANUAL,922160,"FIRE DEPARTMENTS (E.G., GOVERNMENT, VOLUNTEER (EXCEPT PRIVATE))",114448862,-84.415269,33.360631,NAVTEQ,2006Q4,ONENTITY,NO,TGS,6780,0, ,N,{9DB46E30-A09C-454C-BFB1-4698D5F7B0EC},2015-12-30T22:12:40.000Z
