OBJECTID,GEOID10,NAME10,PLNG_REGION,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,GlobalID
1,13045910103,9101.03,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1733,0,0,0,5020,R,4560.050754,0.908377,928.643255,0.184989,1330.181374,0.89214,427.293891,0.955915,32.936042,0.019005,4168.828564,0.830444,832.244207,0.165786,1212.092423,0.812939,388.429152,0.868969,30.598599,0.017656,{5550A054-FDCE-4733-8B0C-A1947228CE5D}
2,13045910104,9101.04,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,3181,0,0,0,9273,U,8923.358003,0.962295,2873.063683,0.309831,2623.877557,0.969294,748.312598,0.937735,141.618675,0.04452,8424.506346,0.908498,2714.580415,0.29274,2531.804935,0.935281,613.913957,0.769316,105.395259,0.033133,{C6FF347E-7A0E-49CC-95F8-6442CAB49326}
3,13045910502,9105.02,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1001,6,0.002055,1,2920,C,2903.442168,0.99433,2388.115731,0.817848,657.226749,0.99279,211.600393,0.998115,261.955122,0.261693,1979.496369,0.67791,1634.143695,0.559638,394.285953,0.595598,108.87461,0.513559,141.638535,0.141497,{59E4487C-A509-45FF-95E5-D3C0BBE650BB}
4,13045910800,9108,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1460,0,0,1,3974,R,3974.000026,1,1557.335152,0.391881,958.000006,1,491.000002,1,41.470898,0.028405,3974.000026,1,1557.335152,0.391881,958.000006,1,491.000002,1,41.470898,0.028405,{B14B7E5F-B673-439E-9C6E-638AD0B38A33}
5,13045910101,9101.01,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2262,7,0.001181,1,5929,U,4519.483605,0.762267,2164.547997,0.365078,1256.990076,0.744221,415.740265,0.765636,141.605206,0.062602,1464.668253,0.247035,738.495538,0.124557,400.600253,0.237182,153.517815,0.282722,61.471188,0.027176,{C3D7DA7F-5468-4F0E-A705-CA99B9E57806}
6,13045910200,9102,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,4091,3,0.000256,0,11728,U,11061.713867,0.943188,3480.197243,0.296743,3138.150575,0.947509,1012.746069,0.924882,110.637592,0.027044,9346.658357,0.796952,2933.63795,0.25014,2588.38251,0.781516,878.320414,0.802119,90.954185,0.022233,{68A7D1D7-2258-4893-A214-168B6A59D4C3}
7,13045910900,9109,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1372,0,0,0,3891,R,3890.999969,1,1206.904336,0.310178,995.999991,1,424.999999,1,44.147085,0.032177,3890.999969,1,1206.904336,0.310178,995.999991,1,424.999999,1,44.147085,0.032177,{62804BAE-BE05-4B1E-A0C3-B757E5EDDC3E}
8,13045910300,9103,ARC 20,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2213,0,0,1,6310,R,6292.548557,0.997234,2730.352472,0.432702,1687.427482,0.997298,705.699527,0.993943,120.666379,0.054526,6263.921802,0.992698,2715.58649,0.430362,1680.549227,0.993232,700.954203,0.987259,119.929392,0.054193,{9F9F8444-46BA-47B7-85C9-488314D8C0C4}
9,13045911100,9111,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2947,119,0.017022,1,6991,C,6293.834842,0.900277,2773.954538,0.396789,1383.005102,0.907484,1161.413008,0.86479,134.123189,0.045512,4149.583895,0.593561,1926.070755,0.275507,959.658726,0.629697,673.262292,0.501312,33.802884,0.01147,{FBD6B0EB-0998-41C8-8281-2DF74B210199}
10,13045911000,9110,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2277,21,0.003411,0,6157,C,5580.625392,0.906387,2098.48466,0.340829,1572.18891,0.917263,614.511093,0.880388,167.925897,0.073749,3470.736044,0.563706,1196.484276,0.194329,932.919863,0.544294,403.827638,0.57855,64.534005,0.028342,{A652755F-496A-4A95-8F6D-019EB0C4D41A}
11,13045910701,9107.01,ARC 20,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2986,783,0.085378,1,9171,C,8300.926951,0.905128,3162.535149,0.344841,2146.934966,0.91049,659.188537,0.832309,45.070251,0.015094,7485.067673,0.816167,2543.83395,0.277378,1977.680169,0.838711,594.915442,0.751156,30.803524,0.010316,{32BEB674-8E4A-474B-A8F6-C06484083E4A}
12,13045910703,9107.03,ARC 20,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2960,127,0.015931,1,7972,C,7306.112659,0.916472,3265.82232,0.409662,1961.745124,0.935947,875.190999,0.865669,232.19896,0.078446,5172.373683,0.648818,2320.438722,0.291074,1476.544574,0.704458,485.791246,0.480506,109.610127,0.03703,{FCA1D62F-E2E6-48CC-A46E-A3225CE8740D}
13,13045910600,9106,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2006,126,0.022629,0,5568,C,5313.673321,0.954324,1533.831557,0.275473,1458.765543,0.959083,647.439955,0.957751,107.193628,0.053436,3340.362462,0.599921,933.166542,0.167595,960.397121,0.631425,437.659589,0.647425,77.612116,0.03869,{46F3C5F8-98F0-4592-A22A-58CA446EB3A4}
14,13045910501,9105.01,ARC 20,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2286,2370,0.267012,1,8876,C,8454.760534,0.952542,4772.025568,0.537632,1216.939047,0.900769,391.749176,0.928316,76.668597,0.033538,7600.754696,0.856327,4398.467251,0.495546,977.469824,0.723516,314.442703,0.745125,66.287897,0.028997,{3FD77FEB-E21C-4064-AEFA-4ACD91962F9F}
15,13045910702,9107.02,ARC 20,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2909,0,0,0,7738,C,7738.000019,1,1102.178963,0.142437,1975.000012,1,1011.000003,1,0,0,7738.000019,1,1102.178963,0.142437,1975.000012,1,1011.000003,1,0,0,{A76BC087-4EE7-4F4F-ADA1-9C131C970BCE}
16,13045911200,9112,ARC 20,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,2201,21,0.003666,1,5728,R,5460.923005,0.953373,2208.384348,0.385542,1267.699181,0.952441,827.091803,0.944169,117.285747,0.053287,4651.603368,0.812082,1781.300343,0.310981,1041.457471,0.782462,698.256576,0.797097,102.579793,0.046606,{D5A918BA-4B0B-40DC-89E2-44A46B186A30}
17,13045910400,9104,ARC 20,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1302,0,0,1,3281,R,2976.41094,0.907166,1193.680967,0.363816,676.818653,0.906049,507.868023,0.910158,96.665418,0.074244,2345.028913,0.71473,858.979446,0.261804,522.261697,0.699146,402.781925,0.721831,76.474365,0.058736,{1A2F1C55-CC2D-471E-977C-C4A8A10D5F59}
18,13113140207,1402.07,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2208,0,0,0,5530,U,4737.417269,0.856676,138.037981,0.024962,1184.89315,0.883589,661.323309,0.903447,32.885603,0.014894,3105.415489,0.561558,81.874532,0.014806,775.347065,0.578186,443.808879,0.606296,8.782476,0.003978,{4CE75EC9-6C84-4B61-95CB-0559E9674103}
19,13113140208,1402.08,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2749,118,0.015299,0,7713,U,6536.637064,0.847483,1006.024462,0.130432,1964.863411,0.845466,669.236042,0.914257,22.719644,0.008265,3251.804581,0.4216,528.048979,0.068462,994.092664,0.427751,272.64148,0.372461,11.681039,0.004249,{C851E0E2-AAB8-4426-996B-6C5C2B86EBC5}
20,13113140303,1403.03,ARC 10,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1702,0,0,0,4550,U,3984.209043,0.87565,526.739981,0.115767,1060.706965,0.858872,551.952024,0.924543,40.043788,0.023527,1900.698065,0.417736,259.816848,0.057103,476.434935,0.385777,307.160762,0.514507,20.318478,0.011938,{F2CD1FBD-EB46-4D48-8ED2-E03103BB9314}
