OBJECTID,GEOID10,NAME10,PLNG_REGIO,last_edited_user,Percent_BA_or_Higher,Median_household_income,Change_in_Total_Jobs__2015_2040,GlobalID,Pop_Chng_per_SqMi_2000_2010,Chng_AgForFshHnt_jobs_2015_2040,Change_Mining_jobs_2015_2040,Chng_Util_Sect_jobs_2015_2040,Chng_Const_jobs_2015_2040,Chng_Manuf_jobs_2015_2040,Chng_Whlsl_Trade_jobs_2015_2040,Chng_Retail_Trad_jobs_2015_2040,Chng_Trans_Wareh_jobs_2015_2040,Chng_Info_jobs_2015_2040,Chng_Finance_jobs_2015_2040,Chng_RealEs_Rent_jobs_2015_2040,Chng_ProSciTech_jobs_2015_2040,Chng_Mgmt_Comps_jobs_2015_2040,Chng_Ad_Wst_Mgmt_jobs_2015_2040,Chng_Educ_Svcs_jobs_2015_2040,Chng_HealthSocAs_jobs_2015_2040,Chng_ArtsEntRec_jobs_2015_2040,Chng_AccFoodSvcs_jobs_2015_2040,Chg_OthrNotPubAd_jobs_2015_2040,Chng_PubAdmin_jobs_2015_2040,Chg_Pct_AgFoFiHu_jobs_2015_2040,Chng_Pct_Mining_jobs_2015_2040,Chg_Pct_Util_Sec_jobs_2015_2040,Chng_Pct_Const_jobs_2015_2040,Chng_Pct_Manuf_jobs_2015_2040,Chng_Pct_WhlslTr_jobs_2015_2040,Chg_Pct_RetailTr_jobs_2015_2040,Chg_Pct_TranspWH_jobs_2015_2040,Chng_Pct_Info_jobs_2015_2040,Chng_Pct_Finance_jobs_2015_2040,ChgPct_RlEs_Rent_jobs_2015_2040,ChgPct_ProSciTec_jobs_2015_2040,ChgPct_MgmtComps_jobs_2015_2040,ChgPct_AdWstMgmt_jobs_2015_2040,ChgPct_EducSvcs_jobs_2015_2040,ChgPct_HlthSocAs_jobs_2015_2040,ChgPct_ArtEntRec_jobs_2015_2040,ChgPct_AcFoodSvc_jobs_2015_2040,ChPct_OthNotPubAd_job_2015_2040,ChgPct_PubAdmin_jobs_2015_2040
1,13045910103,9101.03,ARC 20,SDE,20.7,57188,1870,{02617766-B3B9-4E52-8446-24428D00E511},100.3,0,18,0,230,0,5,398,4,0,254,66,182,6,118,149,46,0,306,82,6,0,-0.6,0,3.6,-0.1,0,-3.9,-0.1,0,-1.6,0.1,3,-0.3,0.4,-1.1,0.9,0,-1.4,0.8,0.2
2,13045910104,9101.04,ARC 20,SDE,13.2,54987,1164,{218325C0-5783-4C53-903A-163922735C0F},201.1,0,0,0,251,6,179,23,51,0,84,168,60,1,132,63,53,0,69,18,6,0,0,0,4.6,-9.6,-2.4,-0.5,0.5,0,1.2,2.5,1.1,0,2,-0.1,1,0,-0.2,0.2,-0.4
3,13045910502,9105.02,ARC 20,SDE,7.9,18975,661,{B156248D-3D60-4418-8CDE-E89EA87C1922},-368.8,0,0,0,214,-3,35,21,28,0,34,10,53,0,38,0,173,0,27,31,0,0,0,0,7.3,-17.6,-1,-0.4,-0.2,-0.1,0.7,0.2,1.9,0,1,0,7.3,0,0.1,0.8,0
4,13045910800,9108,ARC 20,SDE,8.9,50194,560,{B1633732-08FD-4B84-BCA6-2F935BF74904},1.1,-4,0,0,95,9,9,33,10,0,4,7,22,0,110,143,3,4,25,0,90,-6.9,0,0,2.4,-1.4,-1.4,-0.2,-0.1,0,-0.2,0.7,1.4,0,1.4,-2.6,0.2,0.4,1.3,0,5.2
5,13045910101,9101.01,ARC 20,SDE,16.4,46840,2436,{BBC49DE9-9409-41F1-871E-0ECDE5C7864A},397.3,-1,0,-1,160,42,18,3,11,0,31,4,33,0,130,173,1384,93,76,129,151,-0.2,0,-0.1,1.8,-2.8,-0.2,-1.9,-3.7,-1,-1.3,-2.2,-0.1,-0.9,-0.1,0.8,13.9,0.5,-1,0.6,-2
6,13045910200,9102,ARC 20,SDE,10.7,46942,3023,{6DA878ED-2315-49F3-B8AE-C1663B744055},93.9,0,0,0,476,293,5,252,87,-7,196,46,291,6,258,268,93,7,66,481,205,-0.1,0,0,5.4,-7.2,-0.3,-0.8,0,-0.5,-0.9,0.3,2.9,0,0.2,-3.5,1,0.1,-1.1,2.4,2
7,13045910900,9109,ARC 20,SDE,22.7,56964,590,{76BB819F-4EB4-4571-A93D-C4E3DABB2B8B},7.8,-4,0,0,132,52,3,126,21,0,30,13,55,12,41,56,2,0,0,49,2,-4.8,0,0,-3.7,-0.8,-1.7,4.2,0.7,-0.2,1.5,0.7,3.1,-0.7,1.2,-2.1,0.2,0,0,2.5,0.2
8,13045910300,9103,ARC 20,SDE,15.2,42287,1000,{92B8F837-8E2B-4829-B241-1219ED44A7D3},17.1,0,0,0,290,0,5,-84,38,0,6,81,53,2,65,95,332,3,40,6,68,0,0,0,5.2,-0.4,-0.1,-15.9,0.8,0,0.1,1.7,1.5,0,0.9,-0.2,11.6,0.1,-6.9,0,1.4
9,13045911100,9111,ARC 20,SDE,29.8,42438,1278,{74C7A43B-DC7B-4A51-B0D3-40E3CFD46CF7},24.2,0,0,0,123,-12,16,-195,69,-46,-8,53,107,0,117,110,704,21,109,51,59,0,0,0,1.1,-0.2,0,-4,0.3,-1.1,-0.5,0.3,0.8,0,0.8,-0.6,3.1,0,0.1,0.3,-0.6
10,13045911000,9110,ARC 20,SDE,29.3,45026,2827,{957329FC-A498-4036-ACC7-A7B0D335A412},27.2,0,0,0,149,-6,10,62,0,0,101,149,154,15,109,1227,662,6,96,42,51,0,0,0,1.3,-15.7,0,-1.4,0,0,-0.9,0.7,1.1,-6.1,0.2,12.7,8.7,0.1,-0.6,0.1,0
