OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Num_US_Native,Num_US_Native_MOE,Pct_US_Native,Pct_US_Native_MOE,USnative_Born_in_US,USnative_Born_in_US_MOE,Pct_USnative_Born_US,Pct_USnative_Born_US_MOE,USnative_Born_State_Resid,USnative_Born_State_Resid_MOE,Pct_USnativ_Born_StateResid,Pct_USnativ_Born_StateResid_MOE,US_Native_Born_Diff_State,US_Native_Born_Diff_State_MOE,Pct_US_Nativ_Born_DiffState,Pct_US_Nativ_Born_DiffState_MOE,Foreign_Born,Foreign_Born_MOE,Percent_Foreign_Born,Percent_Foreign_Born_MOE,ForBorn_Nat_UScitizen,ForBorn_Nat_UScitizen_MOE,Pct_ForBorn_Nat_UScitizen,Pct_ForBorn_Nat_UScitizen_MOE,ForeignBorn_notUS_Citizen,ForeignBorn_notUS_Citizen_MOE,Pct_ForBorn_notUS_Citizen,Pct_ForBorn_notUS_Citizen_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
861,13089021301,13089,"Census Tract 213.01, DeKalb County",3860,526,2598,435,67,6.5,2555,495,66.2,9.1,1426,387,36.9,8.7,1129,308,29.2,6.9,1262,354,33,8,150,103,11.9,7.4,1112,343,88.1,11.3,ARC 10,897.1550293,0,897.1550293,1.40180004,0,1.40180004,021301,DeKalb,{D4A9CFFF-46C9-4576-9131-0033F28728D2},
213,13067030327,13067,"Census Tract 303.27, Cobb County",4547,225,4031,253,89,3.4,3967,399,87.2,7.6,1768,283,38.9,5.9,2199,281,48.4,5.7,516,155,11,3.4,356,119,69,10.1,160,118,31,20.9,ARC 10,1194.55004883,5.39801979,1199.94995117,1.86647999,0.00843441,1.87492001,030327,Cobb,{CCCA9BCD-F47F-467B-A23D-00C3DFEAFADA},
589,13121010400,13121,"Census Tract 104, Fulton County",8557,679,8069,667,94,2.2,7995,798,93.4,5.7,5693,616,66.5,4.9,2302,507,26.9,5.5,488,178,6,2,206,127,42.2,21,282,145,57.8,20.9,ARC 10,45015.30078125,738.26898193,45753.6015625,70.33640289,1.15355003,71.48999786,010400,Fulton,{E2E187F7-EFDA-40DF-A832-010E7D9FD569},
847,13089021704,13089,"Census Tract 217.04, DeKalb County",5484,415,4637,427,85,4.4,4596,465,83.8,5.6,2050,340,37.4,5.5,2546,317,46.4,4.6,847,193,15,3.3,503,180,59.4,16.4,344,164,40.6,17,ARC 10,1766.13000488,3.04803991,1769.18005371,2.7595799,0.00476256,2.76433992,021704,DeKalb,{9F30C254-DC4A-4829-B15A-015536103A75},
601,13121004800,13121,"Census Tract 48, Fulton County",1141,164,960,193,84,11.8,960,209,84.1,13.7,475,155,41.6,12.2,485,140,42.5,10.6,181,128,16,11,35,47,19.3,22.1,146,136,80.7,48.9,ARC 10,97.14530182,0,97.14530182,0.15178999,0,0.15178999,004800,Fulton,{05905418-E0C2-451D-B470-0164D364B632},
374,13135050209,13135,"Census Tract 502.09, Gwinnett County",9679,792,5515,764,57,6.4,5243,772,54.2,6.6,2226,402,23,3.7,3017,659,31.2,6.3,4164,884,43,8.4,1487,385,35.7,5.3,2677,819,64.3,14.2,ARC 10,1716.04003906,63.89500046,1779.93994141,2.68130994,0.0998359,2.78116012,050209,Gwinnett,{B475F806-518A-4876-8023-017896E79DF5},
381,13135050605,13135,"Census Tract 506.05, Gwinnett County",15160,1146,12682,917,84,8.8,12423,1388,81.9,6.7,6180,939,40.8,5.4,6243,1022,41.2,6,2478,908,16,5.9,1474,457,59.5,28.6,1004,732,40.5,25.5,ARC 10,5102.79003906,40.20009995,5142.99023438,7.9731102,0.0628127,8.03592014,050605,Gwinnett,{DD262CCA-AC17-4C3C-ACAB-01D9C549DB1B},
846,13089021805,13089,"Census Tract 218.05, DeKalb County",6949,693,5571,599,80,3.2,5499,729,79.1,6.9,2805,485,40.4,5.7,2694,544,38.8,6.8,1378,499,20,6.9,751,357,54.5,16.8,627,397,45.5,23.6,ARC 10,1564.29003906,1.62224996,1565.91003418,2.44420004,0.00253477,2.4467299,021805,DeKalb,{30AD10EF-6E96-407F-85DC-01FCA89A6397},
414,13135050429,13135,"Census Tract 504.29, Gwinnett County",7329,523,6070,517,83,3.9,5974,738,81.5,8.2,2288,588,31.2,7.7,3686,446,50.3,4.9,1259,265,17,3.4,849,160,67.4,19.1,410,240,32.6,17.8,ARC 10,2178.98999023,40.11809921,2219.10009766,3.40467,0.0626845,3.46733999,050429,Gwinnett,{DABFBB02-DE7C-46EC-B528-020E6A9847E5},
481,13121006000,13121,"Census Tract 60, Fulton County",3401,436,3349,435,98,2.1,3322,488,97.7,7,2319,397,68.2,7.7,1003,283,29.5,7.4,52,38,2,1.1,38,30,73.1,21.8,14,21,26.9,35.3,ARC 10,385.6499939,0,385.6499939,0.60257798,0,0.60257798,006000,Fulton,{A6D564A4-C95F-4B3E-92EF-03301C55D7C8},
