X,Y,OBJECTID_1,Name,County,Address_Li,City,ZIP,Source,GlobalID,last_edited_date,Subtype,Type
-84.654286001999651,34.05757315700049,1,Acworth Intermediate School,Cobb,4220 Cantrell Road,Acworth,30101,Captain Planet Foundation_ Project Learning Garden,{FBF9CF8B-0B67-44B6-B9A2-E656E5E1DD23},2015-01-30T21:10:09.000Z,School,Garden
-84.514229097999532,33.755057445000489,2,Adamsville Elementary School,Fulton,286 WILSON MILL RD SW,ATLANTA,30331,Captain Planet Foundation_ Project Learning Garden,{1B604B10-95F8-4A98-AA4E-E1724000E343},2015-01-30T21:10:09.000Z,School,Garden
-84.489897570999631,34.024089828000513,3,Addison Elementary School,Cobb,3055 Ebenezer Rd,Marietta,30066,Captain Planet Foundation_ Project Learning Garden,{D448E18B-5C53-42B5-9258-FEAA4901C09B},2015-01-30T21:10:09.000Z,School,Garden
-84.30136954299968,34.068042534000483,4,Amana Academy Charter School,Fulton,285 South Main Street,Alpharetta,30009,Captain Planet Foundation_ Project Learning Garden,{1464119A-6CD1-4F69-8A0F-8E28DE3BDA50},2015-01-30T21:10:09.000Z,School,Garden
-84.04814179699963,33.775121455000601,5,Anderson-Livsey Elementary School,Gwinnett,4521 CENTERVILLE HWY,SNELLVILLE,30039,Captain Planet Foundation_ Project Learning Garden,{CF22BB4D-11E4-47AC-9595-75F494F6E10F},2015-01-30T21:10:09.000Z,School,Garden
-84.131169449999675,33.645830141000545,6,Arabia Mountain High School,Dekalb,6610 Brownsmill Road,Lithonia,30038,Captain Planet Foundation_ Project Learning Garden,{8666DDBF-01FA-4BE1-AF38-3E0E77A97201},2015-01-30T21:10:09.000Z,School,Garden
-84.141043299999524,33.872540796000465,7,Arcado Elementary School,Gwinnett,5150 ARCADO RD SW,LILBURN,30047,Captain Planet Foundation_ Project Learning Garden,{06EE0051-E8ED-4966-80E2-8C0FE4A3E802},2015-01-30T21:10:09.000Z,School,Garden
-84.462514918999659,33.735407020000594,8,BEECHER HILLS ELEMENTARY SCHOOL,Fulton,2257 BOLLING BROOK DR SW,ATLANTA,30311,Captain Planet Foundation_ Project Learning Garden,{D9F07BF4-A7FA-424B-BB69-124D48302309},2015-01-30T21:10:09.000Z,School,Garden
-84.548240372999601,34.014826484000594,9,BELLS FERRY ELEMENTARY SCHOOL,Cobb,2600 BELLS FERRY RD,MARIETTA,30066,Captain Planet Foundation_ Project Learning Garden,{C97AC141-2CF3-4AEC-8764-C139B34C8B91},2015-01-30T21:10:09.000Z,School,Garden
-84.535247722999657,33.891057003000469,10,BELMONT HILLS ELEMENTARY SCHOOL,Cobb,605 GLENDALE PL SE,SMYRNA,30080,Captain Planet Foundation_ Project Learning Garden,{46D8AA98-8045-4FDC-B826-DAF2C0E95BF3},2015-01-30T21:10:09.000Z,School,Garden
-84.403244752297326,33.760489312788422,11,BETHUNE ELEMENTARY SCHOOL,Fulton,220 NORTHSIDE DR NW,ATLANTA,30314,Captain Planet Foundation_ Project Learning Garden,{8327EFFB-5099-448D-B833-F1567BB71B8D},2016-06-14T15:58:19.000Z,School,Garden
-84.596290516999659,34.028221475000521,12,BIG SHANTY ELEMENTARY SCHOOL,Cobb,1575 BEN KING RD NW,KENNESAW,30144,Captain Planet Foundation_ Project Learning Garden,{5522E967-04DC-411F-B4D0-4752815B2404},2015-01-30T21:10:09.000Z,School,Garden
-84.527632814999663,34.036292192000474,13,BLACKWELL ELEMENTARY SCHOOL,Cobb,3470 CANTON RD,MARIETTA,30066,Captain Planet Foundation_ Project Learning Garden,{1ED36E53-7C82-4EB0-97CA-385DB69F74BE},2015-01-30T21:10:09.000Z,School,Garden
-84.454955537999638,33.817503806000502,14,BOLTON ACADEMY,Fulton,2268 ADAMS DR NW,ATLANTA,30318,Captain Planet Foundation_ Project Learning Garden,{436A6CAE-71A3-4A9B-962B-208C5575D9D6},2015-01-30T21:10:09.000Z,School,Garden
-84.33766404999966,33.810793227000488,15,BRIAR VISTA ELEMENTARY SCHOOL,Dekalb,1131 BRIAR VISTA TER NE,ATLANTA,30324,Captain Planet Foundation_ Project Learning Garden,{432C9BAD-DA80-44F9-87FE-FC545B63D139},2015-01-30T21:10:09.000Z,School,Garden
-84.223251903999653,33.8370887840004,16,BROCKETT ELEMENTARY SCHOOL,Dekalb,1855 Brockett Road,Tucker,30084,Captain Planet Foundation_ Project Learning Garden,{72411D68-9DAA-4867-A447-781C93569A54},2015-01-30T21:10:09.000Z,School,Garden
-84.372506568999597,33.699599901000397,17,BURGESS-PETERSON ELEMENTARY SCHOOL,Fulton,2025 Jonesboro Road,Atlanta,30315,Captain Planet Foundation_ Project Learning Garden,{89BE3FFB-DBE4-47B5-AD4C-863135DD2A1F},2015-01-30T21:10:09.000Z,School,Garden
-84.465383313999666,33.717942524000478,18,CASCADE ELEMENTARY SCHOOL,Fulton,2326 VENETIAN DR SW,ATLANTA,30311,Captain Planet Foundation_ Project Learning Garden,{4F10CFE5-36FC-4595-B498-8BF66CF801B8},2015-01-30T21:10:09.000Z,School,Garden
-84.29153520799963,33.686310403000391,19,CEDAR GROVE MIDDLE SCHOOL,Dekalb,2300 WILDCAT RD,DECATUR,30034,Captain Planet Foundation_ Project Learning Garden,{DC4FFB83-1327-42DC-B83D-6CC3A645D5E0},2015-01-30T21:10:09.000Z,School,Garden
-84.556935910999641,34.046393490000469,21,CHALKER ELEMENTARY SCHOOL,Cobb,325 N BOOTH RD NW,KENNESAW,30144,Captain Planet Foundation_ Project Learning Garden,{2C210DAE-35B6-43A0-9240-63474A9A58BF},2015-01-30T21:10:09.000Z,School,Garden
-84.311832267999648,33.897110351000549,22,CHAMBLEE MIDDLE SCHOOL,Dekalb,3601 Sexton Woods Drive,Chamblee,30341,Captain Planet Foundation_ Project Learning Garden,{4C14043C-AD2E-4D20-A7FC-123DC9519A27},2015-01-30T21:10:09.000Z,School,Garden
-84.17324728699964,33.805809512000508,23,CHAMPION MIDDLE THEME SCHOOL,Dekalb,5265 MIMOSA DR,STONE MOUNTAIN,30083,Captain Planet Foundation_ Project Learning Garden,{5A845E0C-6A32-4E0D-9871-30B1040CC193},2015-01-30T21:10:09.000Z,School,Garden
-84.314256373999683,33.74483014800046,24,CHARLES DREW CHARTER SCHOOL,Dekalb,301 E LAKE BLVD SE,ATLANTA,30317,Captain Planet Foundation_ Project Learning Garden,{EA2A68C1-7340-4757-9BB4-E9EB8853DEFA},2015-01-30T21:10:09.000Z,School,Garden
-84.650830659999656,33.844131239000546,25,CLARKDALE ELEMENTARY SCHOOL,Cobb,4455 WESLEY DR,AUSTELL,30106,Captain Planet Foundation_ Project Learning Garden,{7578585C-5950-4FFB-8311-6ED0D8D04701},2015-01-30T21:10:09.000Z,School,Garden
