OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Pop_wHealth_Insurance,Pop_wHealth_Insurance_MOE,Pct_Pop_wHealth_Insurance,Pct_Pop_wHealth_Insurance_MOE,Pop_wPriv_Health_Insurance,Pop_wPriv_Health_Insurance_MOE,Pct_Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins_MOE,Pop_wPublic_Health_Ins,Pop_wPublic_Health_Ins_MOE,Pct_Pop_wPublic_Health_Ins,Pct_Pop_wPublic_Health_Ins_MOE,Pop_wNo_Health_Insurance,Pop_wNo_Health_Insurance_MOE,Pct_Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins_MOE,Pop_u18_wNo_Health_Ins,Pop_u18_wNo_Health_Ins_MOE,Pct_Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins_MOE,Pop18_64_Employed,Pop18_64_Employed_MOE,Pop18_64_Empl_No_Health_Ins,Pop18_64_Empl_No_Health_Ins_MOE,Pct18_64_Emp_No_Health_Ins,Pct18_64_Emp_No_Health_Ins_MOE,Pop18_64_Unemployed,Pop18_64_Unemployed_MOE,Pop18_64_Unemp_No_HealthIns,Pop18_64_Unemp_No_HealthIns_MOE,Pct18_64_Unemp_No_HealthIns,Pct18_64_Unemp_No_HealthIns_MOE,Pop18_64_Not_in_Labor_Force,Pop18_64_Not_in_Labor_Force_MOE,Pop18_64_NotLabor_NoHlthIns,Pop18_64_NotLabor_NoHlthIns_MOE,Pct18_64_NotLabor_NoHlthIns,Pct18_64_NotLabor_NoHlthIns_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
861,13089021301,13089,"Census Tract 213.01, DeKalb County",3860,526,2587,411,67,5.5,1991,363,51.6,6.3,753,239,19.5,5.6,1273,332,33,7.3,97,81,11,8.6,2173,368,844,280,38.8,11.1,142,82,111,76,78.2,29,547,170,201,80,37,9.1,ARC 10,897.1550293,0,897.1550293,1.40180004,0,1.40180004,021301,DeKalb,{D4A9CFFF-46C9-4576-9131-0033F28728D2},
213,13067030327,13067,"Census Tract 303.27, Cobb County",4547,225,4336,248,95.4,2.8,4031,250,88.7,3.3,736,133,16.2,2.8,211,84,4.6,1.8,9,19,0.7,1.6,2145,170,101,52,4.7,2.4,76,38,17,19,22.4,22,555,115,52,37,9,6.4,ARC 10,1194.55004883,5.39801979,1199.94995117,1.86647999,0.00843441,1.87492001,030327,Cobb,{CCCA9BCD-F47F-467B-A23D-00C3DFEAFADA},
589,13121010400,13121,"Census Tract 104, Fulton County",8557,679,6877,693,80.8,5,4685,556,55.1,4.8,3127,517,36.8,5.3,1631,408,19.2,4.5,144,136,6.2,5.7,3239,369,840,247,25.9,7,566,235,325,238,57.4,35,1238,265,293,124,24,8.6,ARC 10,45015.30078125,738.26898193,45753.6015625,70.33640289,1.15355003,71.48999786,010400,Fulton,{E2E187F7-EFDA-40DF-A832-010E7D9FD569},
847,13089021704,13089,"Census Tract 217.04, DeKalb County",5484,415,5116,449,93.3,4.2,4552,423,83,4.5,1178,242,21.5,4.1,368,172,6.7,3.1,17,34,1.4,2.9,2706,285,244,135,9,4.9,44,44,0,18,0,41,633,197,87,89,14,13.4,ARC 10,1766.13000488,3.04803991,1769.18005371,2.7595799,0.00476256,2.76433992,021704,DeKalb,{9F30C254-DC4A-4829-B15A-015536103A75},
601,13121004800,13121,"Census Tract 48, Fulton County",1141,164,947,165,83,8.1,668,139,58.5,8.8,393,114,34.4,8.7,194,94,17,7.9,8,18,4,8.6,489,101,100,54,20.4,10.2,38,30,20,26,52.6,54,281,108,66,56,24,17.8,ARC 10,97.14530182,0,97.14530182,0.15178999,0,0.15178999,004800,Fulton,{05905418-E0C2-451D-B470-0164D364B632},
374,13135050209,13135,"Census Tract 502.09, Gwinnett County",9679,792,7088,669,73.2,3.5,5892,688,60.9,5.1,1754,391,18.1,3.8,2591,974,26.8,9.8,218,166,10.8,7.9,4867,672,1578,645,32.4,12.5,657,303,221,157,33.6,18,1383,375,555,365,40,24,ARC 10,1716.04003906,63.89500046,1779.93994141,2.68130994,0.0998359,2.78116012,050209,Gwinnett,{B475F806-518A-4876-8023-017896E79DF5},
381,13135050605,13135,"Census Tract 506.05, Gwinnett County",15160,1146,13877,1033,91.5,9.7,11345,996,74.8,3.3,3833,942,25.3,5.9,1283,739,8.5,4.8,43,69,0.9,1.5,7167,640,647,399,9,5.5,374,329,269,308,71.9,53,1576,487,290,191,18,10.7,ARC 10,5102.79003906,40.20009995,5142.99023438,7.9731102,0.0628127,8.03592014,050605,Gwinnett,{DD262CCA-AC17-4C3C-ACAB-01D9C549DB1B},
846,13089021805,13089,"Census Tract 218.05, DeKalb County",6949,693,5543,592,79.9,3.1,4048,477,58.3,3.7,2283,439,32.9,5.4,1395,357,20.1,4.7,222,149,11.7,7.5,3092,381,682,257,22.1,7.9,345,180,248,148,71.9,21,701,200,243,104,35,11.1,ARC 10,1564.29003906,1.62224996,1565.91003418,2.44420004,0.00253477,2.4467299,021805,DeKalb,{30AD10EF-6E96-407F-85DC-01FCA89A6397},
414,13135050429,13135,"Census Tract 504.29, Gwinnett County",7329,523,6585,580,89.8,4.6,5999,656,81.9,6.8,1535,303,20.9,3.8,744,318,10.2,4.3,114,118,6,6.1,3340,379,264,172,7.9,5.1,201,134,133,132,66.2,49,829,196,212,140,26,15.8,ARC 10,2178.98999023,40.11809921,2219.10009766,3.40467,0.0626845,3.46733999,050429,Gwinnett,{DABFBB02-DE7C-46EC-B528-020E6A9847E5},
481,13121006000,13121,"Census Tract 60, Fulton County",3401,436,2685,366,78.9,3.7,1216,226,35.8,4.8,1741,329,51.2,7.1,716,179,21.1,4.5,27,44,2.8,4.6,1266,244,353,156,27.9,11.1,215,94,162,88,75.3,24,531,154,165,64,31,8,ARC 10,385.6499939,0,385.6499939,0.60257798,0,0.60257798,006000,Fulton,{A6D564A4-C95F-4B3E-92EF-03301C55D7C8},
404,13135050310,13135,"Census Tract 503.10, Gwinnett County",5890,561,5221,576,89.3,4.9,4391,503,75.1,4.7,1496,389,25.6,6.2,628,284,10.7,4.7,16,32,1.5,3,2978,370,326,195,10.9,6.4,218,189,116,164,53.2,59,613,190,170,123,28,18.1,ARC 10,1800.93005371,27.14529991,1828.06994629,2.81395006,0.0424145,2.85635996,050310,Gwinnett,{457E7AAF-35ED-4481-91C8-035FFC2B32EF},
897,13297110400,13297,"Census Tract 1104, Walton County",6446,560,5114,577,81.4,5.9,3100,484,49.3,6.4,2409,456,38.3,6.5,1169,313,18.6,4.7,74,89,3.7,4.4,2525,351,670,216,26.5,7.7,313,156,244,127,78,12,865,256,181,115,21,11.8,ARC 20,8329.95996094,219.89399719,8549.84960938,13.0156002,0.343584,13.35910034,110400,Walton,{53F5F6AE-A620-446D-8B69-03602E0FAD27},
857,13089021211,13089,"Census Tract 212.11, DeKalb County",4786,270,4630,302,96.7,3.2,4080,289,85.2,3.7,1407,183,29.4,3.5,156,120,3.3,2.5,9,19,0.9,1.9,2000,219,49,42,2.5,2.1,49,30,0,13,0,26,424,140,98,106,23,23.8,ARC 10,1213.88000488,29.67980003,1243.56005859,1.89669001,0.0463747,1.94306004,021211,DeKalb,{17D7ADBF-9ACB-442C-802F-037B5EE65601},
916,13013180106,13013,"Census Tract 1801.06, Barrow County",2773,323,2213,246,79.8,12.8,1553,222,56,4.6,871,188,31.4,5.7,560,164,20.2,5.4,40,35,5.8,4.8,1389,207,331,139,23.8,9.4,86,45,49,34,57,26,329,95,140,66,43,15.9,ARC 20,3054.9699707,20.22850037,3075.19995117,4.77338982,0.031607,4.80499983,180106,Barrow,{19EF1AF0-DF18-43B9-9D04-03E620AF7A2D},
12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,7395,784,85.6,2.9,4904,725,56.8,6.2,3370,574,39,5.4,1244,467,14.4,5.2,183,270,8.3,12.1,3176,467,744,296,23.4,8.7,427,206,75,57,17.6,10,1854,372,227,180,12,9.4,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,{BC2BE477-E5A9-407B-B2CF-03EC6C338A22},
