X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Pop_wHealth_Insurance,Pct_Pop_wHealth_Ins,Pop_wPriv_Health_Ins,Pct_Pop_wPriv_Health_Ins,Population_with_public_coverage,Pct_Pop_with_public_coverage,Pop_wNo_Health_Ins,Pct_Pop_wNo_Health_Ins,Pop_u18_wNo_Health_Ins,Pct_Pop_u18_wNo_Health_Ins,Pop_18to64_Employed,Pop_18to64_Empl_wNo_Health_Ins,Pct_Pop_18to64_Emp_wNo_Hlth_Ins,Pop_18to64_Unemployed,Pop_18to64_Unemp_wNo_Health_Ins,Pct_Pop_18to64_Unemp_No_HlthIns,Pop_18to64_Not_in_Labor_Force,Pop_18to64_Not_LabFor_NoHlthIns,PctPop_18to64_NotLFor_NoHlthIns,GlobalID,last_edited_date
-84.747188706008643,34.282510371813778,1,White,583.2789917,0.91137302,yes, ,612,82.7,416,56.2,244,33,128,17.3,8,3.7,263,59,22.4,17,8,47.1,162,53,32.7,{C20A40A6-70E0-41BD-9FFA-69A5C4E0636B},
-84.94463042566889,34.23168256514446,2,Kingston,791.59002686,1.23686004,yes, ,518,66,262,33.4,318,40.5,267,34,28,17.9,238,71,29.8,62,55,88.7,254,113,44.5,{4F733FCA-CE5B-40D3-937C-194E1F61C32E},
-84.932657158350821,34.143962915926501,3,Euharlee,3458.67993164,5.40419006,yes, ,3676,88.1,2896,69.4,1124,26.9,496,11.9,56,4.8,1947,201,10.3,113,81,71.7,558,158,28.3,{F40CE536-2627-4331-8A6B-6F6D6B4A1ADF},
-85.509652913286104,34.874155237743075,4,Trenton,2058.65991211,3.21665001, , ,1666,87,1217,63.6,682,35.6,249,13,29,6.2,730,121,16.6,31,13,41.9,376,86,22.9,{CEFBC6BA-8FB8-4B38-8519-3FF157CFA73F},
-83.0748118918671,31.0410225180913,5,Lakeland,2006.07995605,3.13450003, , ,2387,78.1,1090,35.7,1616,52.9,670,21.9,43,5.2,817,323,39.5,147,75,51,765,229,29.9,{45FD9581-7594-41C4-B555-9488BD50C3BC},
-81.313271548726405,31.931206625371129,6,Richmond Hill,9391.74023438,14.67459965, , ,8364,86.7,7445,77.2,1763,18.3,1278,13.3,270,8.6,4429,699,15.8,325,99,30.5,1118,201,18,{B0B74DAB-C9D5-4467-817B-CC50ABA8C89B},
-81.618613818445965,32.145506414874497,7,Pembroke,4915.20996094,7.68000984, , ,2438,85.9,1567,55.2,1153,40.6,400,14.1,36,3.5,873,214,24.5,101,63,62.4,475,87,18.3,{82E13361-8F4C-42AD-923E-148DA4EB57D1},
-82.19873511304786,31.721584516555016,8,Surrency,496.04699707,0.77507401, , ,140,88.6,104,65.8,54,34.2,18,11.4,0,0,64,7,10.9,11,0,0,31,11,35.5,{78E4AACB-13F8-4085-B130-63BF2FB6AF47},
-82.502968676470971,31.829162114887449,9,Graham,1119.58996582,1.74935997, , ,312,79.2,165,41.9,184,46.7,82,20.8,25,16.8,113,28,24.8,2,2,100,102,27,26.5,{5EA05731-57D8-40BC-8B3B-DE8446339494},
-82.351005590608196,31.764802897199033,10,Baxley,5372.50976563,8.39455032, , ,3145,74.8,2162,51.4,1314,31.2,1062,25.2,282,29.4,1794,499,27.8,114,74,64.9,592,207,35,{2135CDA4-A167-4396-934A-1A7A5C1A13EE},
