OBJECTID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STATE_ID,GlobalID,created_user,created_date,last_edited_user,last_edited_date
172,10417213,UNCLASSIFIED,SHEPHERD CENTER,404-352-2020,2020 PEACHTREE ROAD NORTHWEST, ,ATLANTA,GA,30309,1426,FULTON,13121,LOCATED ON THE W SIDE OF PEACHTREE RD NW BETWEEN PEACHTREE VALLY RD NW AND BROOKWOOD VALLEY CIR NE., , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-24T00:00:00.000Z,MANUAL,622310,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",22691933,-84.39439,33.810181,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6473,{E3F90597-0954-4BCC-AAD8-E44946C85C96},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
173,10417063,UNCLASSIFIED,CHILDREN'S HEALTHCARE OF ATLANTA AT HUGHES SPALDING,404-785-9500,35 JESSE HILL JUNIOR DRIVE SOUTHEAST, ,ATLANTA,GA,30303,3032,FULTON,13121,WEST CORNER OF JESSE HILL JR DR SE AND COCA COLA PL SE, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,MANUAL,622110,"CHILDREN'S HOSPITALS, GENERAL",22698831,-84.381733,33.753623,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6928,{9CFB3F04-D6AA-4678-8BAF-5F15224CDCBB},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
174,10417233,UNCLASSIFIED,GRADY MEMORIAL HOSPITAL,404-616-1000,80 JESSE HILL JUNIOR DRIVE SOUTHEAST, ,ATLANTA,GA,30303,3031,FULTON,13121,SOUTH CORNER OF BUTLER ST SE AND ARMSTRONG ST SE, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22699041,-84.381952,33.752559,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6929,{DC1B4E2C-53C7-4D3D-95FC-CBB055085EE2},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
175,10417210,UNCLASSIFIED,SUMMITRIDGE PSYCHIATRIC HOSPITAL,770-822-2200,250 SCENIC HIGHWAY, ,LAWRENCEVILLE,GA,30045,5675,GWINNETT,13135,SOUTHEAST SIDE OF SCENIC HWY BETWEEN GWINNETT DR SW AND CONSTITUTION BLVD SW., , , ,2008-01-22T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",22803242,-83.989642,33.942378,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6464,{84BDB715-97D3-4E67-A969-1D60C81D929B},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
176,10417065,UNCLASSIFIED,SAINT JOSEPH'S HOSPITAL OF ATLANTA,404-851-7120,5665 PEACHTREE DUNWOODY ROAD, ,ATLANTA,GA,30342,1701,FULTON,13121,EAST OF PEACHTREE DUNWOODY RD BETWEEN JOHNSON FERRY RD NE AND LAKE HEARN DR NE, , , ,2012-01-18T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",133502876,-84.349791,33.908407,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6924,{D9C51F5A-35A6-4ABB-9E56-D0490C0D3FE9},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
177,10416868,UNCLASSIFIED,PEACHFORD BEHAVIORAL HEALTH SYSTEM OF ATLANTA,770-455-3200,2151 PEACHFORD ROAD NORTHEAST, ,ATLANTA,GA,30338,6534,DEKALB,13089,NORTHWEST SIDE OF PEACHFORD RD. BETWEEN PINERIDGE CIR AND BARCLAY DR., , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622210,"HOSPITALS, MENTAL (EXCEPT MENTAL RETARDATION)",22726009,-84.298354,33.927533,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS, ,{8D256BB2-A358-4793-9581-EEB9ABECED28},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
178,10416867,UNCLASSIFIED,NORTHSIDE HOSPITAL - CHEROKEE,770-720-5100,201 HOSPITAL ROAD, ,CANTON,GA,30114,2408,CHEROKEE,13057,"LOCATED W SIDE OF HOSPITAL DR, BETWEEN HOSPITAL RD AND CANTON HWY.", , , ,2011-12-23T00:00:00.000Z,PHONE,2008-01-25T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",133507028,-84.490301,34.245389,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,{F9B61745-F04E-4114-8AED-EB32A8A2B095},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
179,10417239,UNCLASSIFIED,EMORY UNIVERSITY HOSPITAL,404-712-2000,1364 CLIFTON ROAD NORTHEAST, ,ATLANTA,GA,30322,1061,DEKALB,13089,LOCATED ON THE W SIDE OF CLIFTON ROAD NE 0.02 MILES N OF LOWERGATE DR NE., , , ,2012-01-10T00:00:00.000Z,PHONE,2008-01-24T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",17037586,-84.322139,33.792165,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6936,{2337F75E-351D-4679-80E5-3DD61C4BB042},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
180,10416880,UNCLASSIFIED,WELLSTAR COBB HOSPITAL,770-732-4000,3950 AUSTELL ROAD, ,AUSTELL,GA,30106,1121,COBB,13067,LOCATED ON THE W SIDE OF AUSTELL ROAD SW 0.25 MILES N OF EAST WEST CONN SW., , , ,2012-01-04T00:00:00.000Z,PHONE,2008-01-22T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",22687912,-84.604717,33.857161,NAVTEQ,2006Q4,ONENTITY,YES,TGS, ,{C1DBA030-B348-4B1B-A8AC-A227F074AD18},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
181,10417209,UNCLASSIFIED,HENRY MEDICAL CENTER,678-604-1000,1133 EAGLES LANDING PARKWAY, ,STOCKBRIDGE,GA,30281,5085,HENRY,13151,LOCATED ON THE NW SIDE OF EAGLES LANDING PKY BETWEEN EAGLE SPRING DR AND HOSPITAL DR, , , ,2008-01-22T00:00:00.000Z,PHONE,2008-01-28T00:00:00.000Z,MANUAL,622110,"HOSPITALS, GENERAL MEDICAL AND SURGICAL",127198850,-84.227424,33.510918,NAVTEQ,2006Q4,ONENTITY,YES,TGS,6463,{0B6192AB-52B1-457A-B83F-40AB10C9DB75},SDE,2015-12-30T22:18:28.000Z,SDE,2015-12-30T22:18:28.000Z
