OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,GlobalID,Pop_Chng_per_SqMi_2000_2010,HousUnits_MonthOwnerCosts_toInc,Sel_Mo_Own_Costs_30pct_of_Incom,Pct_Sel_Mo_Own_Costs_30pct_Inc,HousUnits_Compute_RentPctIncome,Rent_Pct_of_Inc_More30Pct,PctRent_PctIncome_More30Pct,HousUnits_OwnRent_Compute,HousCosts_Units_30pctMore_Inc,PctHousCost_30pctMore_Income
1,910103,13045910103,9101.03,ARC 20,2015-05-21T18:32:35.000Z,{7CDEFB60-07B3-46A4-8565-0D9DE549F3D6},100.3,1369,433,31.6,553,233,42.1,1922,666,34.7
2,910104,13045910104,9101.04,ARC 20,2015-05-21T18:32:35.000Z,{A76747E9-98CA-41BD-B6B6-A4014FE1964E},201.1,2351,526,22.4,715,391,54.7,3066,917,29.9
3,910502,13045910502,9105.02,ARC 20,2015-05-21T18:32:35.000Z,{4C49C559-2382-41E0-905F-FA22C0C2B2AE},-368.8,228,58,25.4,689,411,59.7,917,469,51.1
4,910800,13045910800,9108,ARC 20,2015-05-21T18:32:35.000Z,{2808E4EA-DDCC-4E25-80C3-FB561B95B72C},1.1,1029,224,21.8,347,122,35.2,1376,346,25.1
5,910101,13045910101,9101.01,ARC 20,2015-05-21T18:32:35.000Z,{E5A2A31C-1394-41CB-BCF8-12823E5B3A3A},397.3,1246,359,28.8,970,486,50.1,2216,845,38.1
6,910200,13045910200,9102,ARC 20,2015-05-21T18:32:35.000Z,{0BA64875-946A-4BFF-8A9D-32D9BDE8A88A},93.9,3389,960,28.3,820,385,47,4209,1345,32
7,910900,13045910900,9109,ARC 20,2015-05-21T18:32:35.000Z,{C407F8DB-2DE5-4112-878D-9AB47064515C},7.8,1026,241,23.5,224,130,58,1250,371,29.7
8,910300,13045910300,9103,ARC 20,2015-05-21T18:32:35.000Z,{772CF99F-3DAF-4AE1-ADA5-0E0434718D4A},17.1,1548,443,28.6,580,328,56.6,2128,771,36.2
9,911100,13045911100,9111,ARC 20,2015-05-21T18:32:35.000Z,{45C6C04E-16AC-4A09-A4EB-2524E16CC1A9},24.2,1650,322,19.5,1315,710,54,2965,1032,34.8
10,911000,13045911000,9110,ARC 20,2015-05-21T18:32:35.000Z,{5A05E6E6-51D6-489C-AB37-1F5D01A95BD0},27.2,1477,266,18,751,458,61,2228,724,32.5
11,910701,13045910701,9107.01,ARC 20,2015-05-21T18:32:35.000Z,{9EF16FBA-6901-42C4-B604-ADE56ED9F9AF},116.1,1732,550,31.8,1199,736,61.4,2931,1286,43.9
12,910703,13045910703,9107.03,ARC 20,2015-05-21T18:32:35.000Z,{6ACFE4B2-0C60-43CA-8DBB-A3E0A4AB6660},68.9,1839,573,31.2,891,521,58.5,2730,1094,40.1
13,910600,13045910600,9106,ARC 20,2015-05-21T18:32:35.000Z,{5A62E058-BDE8-4645-A4EB-1DDBD79F0D3E},70.5,1543,339,22,578,394,68.2,2121,733,34.6
14,910501,13045910501,9105.01,ARC 20,2015-05-21T18:32:35.000Z,{053E0617-9F62-4CED-BCB4-B7EABC7FA39A},153.2,751,288,38.3,1359,858,63.1,2110,1146,54.3
15,910702,13045910702,9107.02,ARC 20,2015-05-21T18:32:35.000Z,{BF632A40-A546-44C5-83EF-8A9E2383DC38},104.1,2296,543,23.6,274,167,60.9,2570,710,27.6
16,911200,13045911200,9112,ARC 20,2015-05-21T18:32:35.000Z,{0A7E6861-6DD3-418E-8B6F-ADF57A71F123},2.8,1628,516,31.7,498,282,56.6,2126,798,37.5
