OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Housing_units_built_since_2000,Owner_occupied_housing_units,Renter_occupied_housing_units,GlobalID,Pop_Chng_per_SqMi_2000_2010,Percent_1Unit_Detached,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,Pct_Owner_Occ_HousUnits,Pct_Renter_Occ_Units
1,910103,13045910103,9101.03,ARC 20,2015-05-21T19:05:59.000Z,2151,2006,93.3,145,6.7,1.5,0,1559,1058,1404,602,{AC0E1A03-A1E3-4DF6-971D-AE3012B618C6},100.3,72.5,49.2,504,589,27.4,70,30
2,910104,13045910104,9101.04,ARC 20,2015-05-21T19:05:59.000Z,3478,3107,89.3,371,10.7,5.1,9.1,2657,1515,2366,741,{C645F4F1-0FE1-4E5C-AE94-E7D38219DB1E},201.1,76.4,43.6,1355,608,17.5,76.2,23.8
3,910502,13045910502,9105.02,ARC 20,2015-05-21T19:05:59.000Z,1206,981,81.3,225,18.7,0,13.7,523,208,228,753,{16AD3726-729F-46E3-9231-4D7FADB6903B},-368.8,43.4,17.2,86,912,75.6,23.2,76.8
4,910800,13045910800,9108,ARC 20,2015-05-21T19:05:59.000Z,1692,1433,84.7,259,15.3,0,0,1128,311,1051,382,{9236796E-64AB-43D1-9044-2ACB0BC257E5},1.1,66.7,18.4,766,615,36.3,73.3,26.7
5,910101,13045910101,9101.01,ARC 20,2015-05-21T19:05:59.000Z,2513,2316,92.2,197,7.8,2.6,9.6,1790,1025,1256,1060,{5E46C523-431E-4676-95C2-DCA0802D2A25},397.3,71.2,40.8,529,959,38.2,54.2,45.8
6,910200,13045910200,9102,ARC 20,2015-05-21T19:05:59.000Z,4673,4327,92.6,346,7.4,1.6,2.3,3621,2200,3459,868,{90597603-1103-4286-95D8-BA193DF7F9F1},93.9,77.5,47.1,1333,1140,24.4,79.9,20.1
7,910900,13045910900,9109,ARC 20,2015-05-21T19:05:59.000Z,1454,1295,89.1,159,10.9,0,9.7,1089,265,1044,251,{BB6E312D-8418-4A6F-9387-8BC78930AF1D},7.8,74.9,18.2,569,620,42.6,80.6,19.4
8,910300,13045910300,9103,ARC 20,2015-05-21T19:05:59.000Z,2380,2186,91.8,194,8.2,2.4,1.7,2027,526,1548,638,{D8DE998F-9AAC-4A2C-B021-1363C416C5BA},17.1,85.2,22.1,884,970,40.8,70.8,29.2
9,911100,13045911100,9111,ARC 20,2015-05-21T19:05:59.000Z,3422,3088,90.2,334,9.8,3.1,3,2132,385,1687,1401,{42B89FE4-89B6-4013-BE60-66078E789262},24.2,62.3,11.3,1328,1709,49.9,54.6,45.4
10,911000,13045911000,9110,ARC 20,2015-05-21T19:05:59.000Z,2638,2266,85.9,372,14.1,2.6,9.9,1937,467,1477,789,{1D1973B8-1874-4B0A-89D8-F5D980A52441},27.2,73.4,17.7,862,1309,49.6,65.2,34.8
11,910701,13045910701,9107.01,ARC 20,2015-05-21T19:05:59.000Z,3430,3065,89.4,365,10.6,3.6,7.4,2333,1211,1743,1322,{A6EAD5EA-B3E8-4B5F-8AF4-A939A4550C1D},116.1,68,35.3,1328,891,26,56.9,43.1
12,910703,13045910703,9107.03,ARC 20,2015-05-21T19:05:59.000Z,3329,2824,84.8,505,15.2,8.8,7.3,2392,663,1872,952,{3E81E310-ADBA-4C61-9362-42CFAB640551},68.9,71.9,19.9,1587,1079,32.4,66.3,33.7
13,910600,13045910600,9106,ARC 20,2015-05-21T19:05:59.000Z,2391,2226,93.1,165,6.9,0,8,1872,435,1543,683,{FAEF00C6-0E31-4046-B63F-B53121E4CCE6},70.5,78.3,18.2,631,1325,55.4,69.3,30.7
