OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_housing_units,Total_housing_units_MOE,Num_Total_housing_units_2000,ChgNum_Housing_units_2000_16,Num_Occupied_housing_units,Num_Occupied_housing_units_MOE,Pct_Occupied_housing_units,Pct_Occupied_housing_units_MOE,Num_Occupied_housing_units_2000,Num_OwnOcc_HousUnits_2000,Num_RentOcc_HousUnits_2000,Pct_Occupied_housing_units_2000,Pct_OwnOcc_HousUnits_2000,Pct_RentOcc_HousUnits_2000,ChgNum_OccHousUnits_2000_16,ChgPct_OccHousUnits_2000_16,ChgPct_OwnOcc_HousUnits_2000_16,ChgPct_RentOcc_Units_2000_16,Num_Vacant_housing_units,Num_Vacant_housing_units_MOE,Pct_Vacant_housing_units,Pct_Vacant_housing_units_MOE,Num_VacHousUnits_2000,Pct_VacHousUnits_2000,Chg_Pct_VacHousUnits_2000_16,Homeowner_vacancy_rate,Homeowner_vacancy_rate_MOE,Rental_vacancy_rate,Rental_vacancy_rate_MOE,Num_1Unit_Detatched,Num_1Unit_Detatched_MOE,Pct_1Unit_Detached,Pct_1Unit_Detached_MOE,Hous_Units_Built_Since_2000,Hous_Units_Built_Since_2000_MOE,Pct_Units_Built_Since_2000,Pct_Units_Built_Since_2000_MOE,Units_Built_1980_to_1999,Units_Built_1980_to_1999_MOE,Pct_Units_Built_1980_1999,Pct_Units_Built_1980_1999_MOE,Units_Built_1979_or_Earlier,Units_Built_1979_or_Earlier_MOE,Pct_Units_Built_1979earlier,Pct_Units_Built_1979earlier_MOE,Owner_Occ_Housing_Units,Owner_Occ_Housing_Units_MOE,Pct_Owner_Occ_Housing_Units,Pct_Owner_Occ_Housing_Units_MOE,Renter_Occ_Housing_Units,Renter_Occ_Housing_Units_MOE,Pct_Renter_Occ_Units,Pct_Renter_Occ_Units_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date
861,13089021301,13089,"Census Tract 213.01, DeKalb County",3860,526,1826,108,1501,325,1445,139,79.1,6,1443,311,1132,96.1,21.6,78,2,-17,-8,7.8,381,112,20.9,6,57,3.8,17,18,19.1,15.2,6.5,326,100,17.9,5.4,226,88,12.4,4.8,676,156,37,8.3,924,184,51,9.6,200,65,13.8,4.3,1245,149,86.2,6.1,ARC 10,897.1550293,0,897.1550293,1.40180004,0,1.40180004,021301,DeKalb,{D4A9CFFF-46C9-4576-9131-0033F28728D2},
213,13067030327,13067,"Census Tract 303.27, Cobb County",4547,225,1662,51,1530,132,1586,79,95.4,3.7,1511,1395,116,98.8,92.3,8,75,-3,-5,4.8,76,55,4.6,3.3,19,1.2,3,0,0.9,0,6.5,1651,52,99.3,0.7,197,68,11.9,4.1,592,126,35.6,7.5,873,116,52,6.8,1387,117,87.5,6,199,86,12.5,5.4,ARC 10,1194.55004883,5.39801979,1199.94995117,1.86647999,0.00843441,1.87492001,030327,Cobb,{CCCA9BCD-F47F-467B-A23D-00C3DFEAFADA},
589,13121010400,13121,"Census Tract 104, Fulton County",8557,679,3241,259,2423,818,2661,199,82.1,9,2323,1725,598,95.9,74.3,26,338,-14,0,-0.5,580,183,17.9,5.5,100,4.1,14,0.8,1.3,5.1,5.5,2637,232,81.4,3,1204,183,37.1,4.8,865,185,26.7,5.3,1172,254,36,7.3,1991,155,74.8,1.6,670,169,25.2,6.1,ARC 10,45015.30078125,738.26898193,45753.6015625,70.33640289,1.15355003,71.48999786,010400,Fulton,{E2E187F7-EFDA-40DF-A832-010E7D9FD569},
847,13089021704,13089,"Census Tract 217.04, DeKalb County",5484,415,2375,73,2329,46,2134,146,89.9,5.5,2257,1763,494,96.9,78.1,22,-123,-7,0,-0.4,241,130,10.1,5.5,72,3.1,7,2.3,3.7,6.5,8.5,1925,145,81.1,5.6,214,101,9,4.2,488,154,20.5,6.5,1673,275,70,11.4,1676,155,78.5,4.9,458,152,21.5,7,ARC 10,1766.13000488,3.04803991,1769.18005371,2.7595799,0.00476256,2.76433992,021704,DeKalb,{9F30C254-DC4A-4829-B15A-015536103A75},
601,13121004800,13121,"Census Tract 48, Fulton County",1141,164,632,37,949,-317,600,43,94.9,3.9,905,48,857,95.4,5.3,95,-305,0,-2,2,32,27,5.1,4.3,44,4.6,0,0,65,3.7,4,64,38,10.1,6,418,68,66.1,10,132,52,20.9,8.2,82,54,13,8.4,20,23,3.3,3.8,580,51,96.7,4.9,ARC 10,97.14530182,0,97.14530182,0.15178999,0,0.15178999,004800,Fulton,{05905418-E0C2-451D-B470-0164D364B632},
374,13135050209,13135,"Census Tract 502.09, Gwinnett County",9679,792,3579,71,2421,1158,3284,187,91.8,4.9,2367,1757,610,97.8,74.2,26,917,-6,-24,23.8,295,171,8.2,4.8,54,2.2,6,4.2,4.5,9.7,7.4,1800,186,50.3,5.1,1159,232,32.4,6.4,1889,296,52.8,8.2,531,141,15,3.9,1654,175,50.4,4.5,1630,242,49.6,6.8,ARC 10,1716.04003906,63.89500046,1779.93994141,2.68130994,0.0998359,2.78116012,050209,Gwinnett,{B475F806-518A-4876-8023-017896E79DF5},
381,13135050605,13135,"Census Tract 506.05, Gwinnett County",15160,1146,4917,133,2377,2540,4660,252,94.8,4.4,2305,2213,92,97,96,4,2355,-2,-22,21.6,257,228,5.2,4.6,71,3,2,0,0.6,11.8,10.8,4366,292,88.8,5.4,2439,394,49.6,7.9,2243,426,45.6,8.6,235,186,5,3.8,3467,348,74.4,6.3,1193,389,25.6,8.2,ARC 10,5102.79003906,40.20009995,5142.99023438,7.9731102,0.0628127,8.03592014,050605,Gwinnett,{DD262CCA-AC17-4C3C-ACAB-01D9C549DB1B},
846,13089021805,13089,"Census Tract 218.05, DeKalb County",6949,693,2799,120,2607,192,2479,159,88.6,4.2,2535,1861,674,97.2,73.4,27,-56,-9,0,-0.5,320,156,11.4,5.6,72,2.8,9,4.5,4.7,0,2.8,2094,200,74.8,6.4,146,89,5.2,3.2,733,202,26.2,7.1,1920,287,69,9.8,1833,188,73.9,5.9,646,172,26.1,6.7,ARC 10,1564.29003906,1.62224996,1565.91003418,2.44420004,0.00253477,2.4467299,021805,DeKalb,{30AD10EF-6E96-407F-85DC-01FCA89A6397},
414,13135050429,13135,"Census Tract 504.29, Gwinnett County",7329,523,2542,48,2229,313,2351,109,92.5,3.9,2203,2109,94,98.8,95.7,4,148,-6,-4,3.7,191,104,7.5,4.1,26,1.2,6,1.4,2.2,13.4,20.4,2542,48,100,0,347,131,13.7,5.1,1345,257,52.9,10.1,850,169,33,6.6,2164,175,92,6.1,187,131,8,5.6,ARC 10,2178.98999023,40.11809921,2219.10009766,3.40467,0.0626845,3.46733999,050429,Gwinnett,{DABFBB02-DE7C-46EC-B528-020E6A9847E5},
481,13121006000,13121,"Census Tract 60, Fulton County",3401,436,1745,51,1726,19,1272,112,72.9,6.1,1599,797,802,92.6,49.8,50,-327,-20,-14,13.6,473,103,27.1,5.8,127,7.4,20,3.1,5.3,14.3,7.9,1148,93,65.8,5,7,21,0.4,1.2,119,67,6.8,3.8,1619,203,93,11.3,460,87,36.2,6.1,812,131,63.8,8.6,ARC 10,385.6499939,0,385.6499939,0.60257798,0,0.60257798,006000,Fulton,{A6D564A4-C95F-4B3E-92EF-03301C55D7C8},
