X,Y,OBJECTID,Name,Acres,Sq_Miles,County20,County10,Total_housing_units,Occupied_housing_units,Percent_Occupied_housing_units,Vacant_housing_units,Percent_Vacant_housing_units,Homeowner_vacancy_rate,Rental_vacancy_rate,One_unit_detatched_housing_unit,Percent_1Unit_Detached,Housing_units_built_since_2000,Pct_Units_Built_Since_2000,Units_Built_1980_to_1999,Pct_Units_Built_1980_to_1999,Units_Built_1979_or_Earlier,Pct_Units_Built_1979_or_Earlier,GlobalID,last_edited_date
-84.747188706008643,34.282510371813778,1,White,583.2789917,0.91137302,yes, ,266,245,92.1,21,7.9,6.3,6.7,198,74.4,39,14.7,48,18,179,67.3,{C20A40A6-70E0-41BD-9FFA-69A5C4E0636B},
-84.94463042566889,34.23168256514446,2,Kingston,791.59002686,1.23686004,yes, ,324,270,83.3,54,16.7,0,15.6,202,62.3,53,16.4,120,37,151,46.6,{4F733FCA-CE5B-40D3-937C-194E1F61C32E},
-84.932657158350821,34.143962915926501,3,Euharlee,3458.67993164,5.40419006,yes, ,1530,1338,87.5,192,12.5,1.4,0,1387,90.7,413,27,945,61.8,172,11.2,{F40CE536-2627-4331-8A6B-6F6D6B4A1ADF},
-85.509652913286104,34.874155237743075,4,Trenton,2058.65991211,3.21665001, , ,910,775,85.2,135,14.8,4.2,15.1,671,73.7,152,16.7,277,30.4,481,52.9,{CEFBC6BA-8FB8-4B38-8519-3FF157CFA73F},
-83.0748118918671,31.0410225180913,5,Lakeland,2006.07995605,3.13450003, , ,1384,1174,84.8,210,15.2,11.6,6.7,654,47.3,266,19.2,550,39.7,568,41,{45FD9581-7594-41C4-B555-9488BD50C3BC},
-81.313271548726405,31.931206625371129,6,Richmond Hill,9391.74023438,14.67459965, , ,4141,3712,89.6,429,10.4,4.2,7.1,2900,70,1592,38.4,1583,38.2,966,23.3,{B0B74DAB-C9D5-4467-817B-CC50ABA8C89B},
-81.618613818445965,32.145506414874497,7,Pembroke,4915.20996094,7.68000984, , ,1132,1033,91.3,99,8.7,3,9.4,724,64,248,21.9,260,23,624,55.1,{82E13361-8F4C-42AD-923E-148DA4EB57D1},
-82.19873511304786,31.721584516555016,8,Surrency,496.04699707,0.77507401, , ,108,70,64.8,38,35.2,0,0,75,69.4,10,9.3,32,29.6,66,61.1,{78E4AACB-13F8-4085-B130-63BF2FB6AF47},
-82.502968676470971,31.829162114887449,9,Graham,1119.58996582,1.74935997, , ,144,121,84,23,16,3,3.8,87,60.4,6,4.2,72,50,66,45.8,{5EA05731-57D8-40BC-8B3B-DE8446339494},
-82.351005590608196,31.764802897199033,10,Baxley,5372.50976563,8.39455032, , ,2292,1923,83.9,369,16.1,0,7.3,1354,59.1,188,8.2,927,40.4,1177,51.4,{2135CDA4-A167-4396-934A-1A7A5C1A13EE},
-83.352410662717375,32.387705558976286,11,Cochran,3046.81005859,4.76064014, , ,1941,1334,68.7,607,31.3,3.3,22.1,1436,74,210,10.8,385,19.8,1346,69.3,{91302E0C-2195-4C1D-89BC-8B07701214D1},
-83.225827419136991,32.592674063040469,12,Allentown,1968.68994141,3.07608008, , ,103,86,83.5,17,16.5,0,0,73,70.9,2,1.9,39,37.9,62,60.2,{D2DD7290-8188-418F-A822-E547FFB316E4},
-83.433056077556913,34.845793052754345,13,Tiger,530.53100586,0.82895499, , ,203,155,76.4,48,23.6,14.5,6.7,143,70.4,47,23.2,78,38.4,78,38.4,{7F32E4D3-A4B1-458A-A4A3-CB7681715EC7},
-83.331360240928973,34.984071220571202,14,Sky Valley,1963.90002441,3.06858993, , ,838,193,23,645,77,15.7,80.6,621,74.1,78,9.3,574,68.5,186,22.2,{D517FB6D-F352-4AD4-AD1B-D376C0617298},
-83.385374154014556,34.919636572417325,15,Mountain City,1167.41003418,1.82407999, , ,556,337,60.6,219,39.4,9.8,35.5,280,50.4,84,15.1,164,29.5,308,55.4,{E638E6D9-FE2F-4676-AEA9-5B728C223D19},
-83.382032679715607,34.974766361697974,16,Dillard,1134.18005371,1.77216005, , ,203,148,72.9,55,27.1,5.5,10.8,165,81.3,42,20.7,82,40.4,79,38.9,{0F08824A-524B-4AE1-B6ED-CE4EBBFF0932},
-84.81331673828376,31.013588535263732,17,Iron City,510.99798584,0.79843402, , ,163,137,84,26,16,0,0,147,90.2,10,6.1,29,17.8,124,76.1,{10C1F75E-7DE8-4C9B-BDFC-60C09EC6F136},
-84.87917375217431,31.040438258485501,18,Donalsonville,2554.36010742,3.99117994, , ,1236,973,78.7,263,21.3,4,13.6,991,80.2,48,3.9,373,30.2,815,65.9,{492F0F18-EF7F-430A-A972-041B79ECC79D},
-82.387820991116641,33.207010670333858,19,Wrens,2010.61999512,3.14159012, , ,1189,1038,87.3,151,12.7,0,7.4,837,70.4,55,4.6,324,27.2,810,68.1,{34B9FDA7-C4C5-4BE2-82C2-F5950D38424C},
-82.401375319690288,32.866325807288945,20,Wadley,2945.47998047,4.60232019, , ,898,715,79.6,183,20.4,1.9,13.3,520,57.9,88,9.8,373,41.5,437,48.7,{0CA60DB6-96A6-4018-B254-6FD2C02FEB50},
-82.467244243524775,33.216895358923928,21,Stapleton,1116.5300293,1.74458003, , ,184,164,89.1,20,10.9,0,0,118,64.1,31,16.8,29,15.8,124,67.4,{4BA39ADE-1616-46A7-BD8D-8267E2FAC895},
-82.400017055872013,32.995542996466327,22,Louisville,2355.08007813,3.67981005, , ,1201,965,80.3,236,19.7,4.8,2.8,782,65.1,104,8.7,263,21.9,834,69.4,{2D77D9B5-35D5-4B53-A303-4A3D8F0A0932},
-82.471160747733549,32.88157883049292,23,Bartow,723.83300781,1.13099003, , ,150,117,78,33,22,2.5,0,115,76.7,8,5.3,36,24,106,70.7,{3EB9DB1E-9344-41F4-91C6-B79A38A47F07},
-82.528735497220637,33.193429094923637,24,Avera,416.13699341,0.65021503, , ,137,109,79.6,28,20.4,3.6,11.1,102,74.5,10,7.3,26,19,101,73.7,{DD9A1972-0B28-446B-8A7F-E8AA4E2DE3F5},
-83.401722256014793,34.87760884382832,25,Clayton,2095.66992188,3.2744801, , ,1131,831,73.5,300,26.5,4.3,13.5,665,58.8,166,14.7,492,43.5,473,41.8,{62D74FA5-F188-4751-918F-1FB5CE24062A},
-83.381654417426205,34.725761448791175,26,Tallulah Falls,5462.18994141,8.53468037, , ,65,32,49.2,33,50.8,0,0,64,98.5,3,4.6,17,26.2,45,69.2,{BA76D6CF-F471-4C6E-9B90-ACA3B8CFD879},
-81.473948043333195,31.145000103476431,27,Brunswick,16186.29980469,25.29100037, , ,7161,5869,82,1292,18,0.9,3.1,4874,68.1,572,8,1252,17.5,5337,74.5,{17546989-7A99-48FD-B003-F282538CF3D8},
-81.717460195513794,30.959513869691396,28,Woodbine,1645.86999512,2.57167006, , ,597,522,87.4,75,12.6,1.2,7.1,368,61.6,82,13.7,225,37.7,290,48.6,{8699710B-25C8-4149-AAAA-56E94FEFE04E},
-81.57215523099002,30.756670879395642,29,St. Marys,15951,24.92340088, , ,7412,6488,87.5,924,12.5,1.7,8.7,5032,67.9,2037,27.5,3393,45.8,1982,26.7,{301351CF-0396-45A6-B5E7-EC97526173A2},
-81.721747618684333,30.81938988424136,30,Kingsland,28812.5,45.01959991, , ,6475,5803,89.6,672,10.4,3.6,6.6,4309,66.5,2372,36.6,3238,50,865,13.4,{F706C002-A2BC-47FF-AD25-B416B715DC5C},
-85.044201695657492,34.010275416089883,31,Rockmart,3653.76000977,5.70900011, , ,1885,1670,88.6,215,11.4,3.3,13,1442,76.5,310,16.4,343,18.2,1232,65.4,{0505663A-0D2E-477C-9BCA-8D71DF91C827},
-85.250086914761596,34.021563224803607,32,Cedartown,5582.02978516,8.72192001, , ,3952,3270,82.7,682,17.3,9,10.5,2546,64.4,356,9,836,21.2,2760,69.8,{0EE11036-F37E-46BC-950D-6505137957C5},
-85.057081949250133,34.045694458802309,33,Aragon,731.47399902,1.14293003, , ,553,485,87.7,68,12.3,8.6,7.7,471,85.2,156,28.2,97,17.5,300,54.2,{1E9566B7-B929-45C0-B905-41B51D4D70BE},
-83.611275845059367,33.626303117910538,34,Rutledge,2115.2199707,3.30503988, , ,392,317,80.9,75,19.1,1.9,32.4,330,84.2,44,11.2,120,30.6,228,58.2,{9B3557E4-8B60-41AB-92EF-71CCDBE58AE7},
-83.475834636871738,33.57908875704647,35,Madison,5621.20996094,8.78314018, , ,1731,1407,81.3,324,18.7,0,9.4,1267,73.2,340,19.6,676,39.1,715,41.3,{7DC5543F-8C2E-4F8F-A758-088CBAF66F68},
-83.362311742670897,33.568458472341518,36,Buckhead,513.20898438,0.801889, , ,112,97,86.6,15,13.4,0,0,88,78.6,6,5.4,39,34.8,67,59.8,{4967A30B-19E8-41FF-AB46-90A5958938FD},
-83.514963823408692,33.737807252310098,37,Bostwick,2009.42004395,3.13970995, , ,195,179,91.8,16,8.2,0,0,187,95.9,28,14.4,80,41,87,44.6,{A55EF740-59E7-4196-82B8-7D8AD799FBDC},
-84.560624633719087,32.787680700104318,38,Woodland,505.98699951,0.79060501, , ,234,167,71.4,67,28.6,4.8,18.6,160,68.4,19,8.1,91,38.9,124,53,{2FFC4B5E-98ED-41FF-835A-3E876A0823F4},
-84.540597882672756,32.67727423634534,39,Talbotton,1999.56005859,3.12431002, , ,582,484,83.2,98,16.8,4.7,3.9,252,43.3,32,5.5,291,50,259,44.5,{F70EAA6E-B51B-4713-ADA1-C793367939C2},
