OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_1__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp1_HousTranCsts_Pct_Income,Tp1_HousCosts_Pct_Income,Tp1_TranspCosts_Pct_Income,Tp1_AnnVehicleMilesTraveled
1,13045910103,9101.03,ARC 20,57188,3.07,{6C28C635-3C70-4004-A2BA-F746266EBD70},100.3,50.49,29.02,21.47,25888
2,13045910104,9101.04,ARC 20,54987,32.14,{4E997ACF-81B9-4DE1-AFD7-1E1F0BF98A34},201.1,50.18,28.79,21.39,25744
3,13045910502,9105.02,ARC 20,18975,125.75,{C9393BC7-DA43-4E6C-A325-0DAFFF8CAEDA},-368.8,37.41,20.3,17.11,21107
4,13045910800,9108,ARC 20,50194,0,{5ABACEE2-5833-4B60-AA37-7DE7687E169F},1.1,51.34,29.24,22.11,26631
5,13045910101,9101.01,ARC 20,46840,19.85,{CB4BB040-9436-4DBC-8D1B-72CDD809F8C3},397.3,47.43,27.75,19.69,23280
6,13045910200,9102,ARC 20,46942,18.77,{269AF949-556A-4900-B010-B7ABD0B53DA3},93.9,50.9,29.12,21.77,26360
7,13045910900,9109,ARC 20,56964,3.74,{416168EC-4048-4304-B8EA-71E3696EC2C3},7.8,50.18,28.18,22,26519
8,13045910300,9103,ARC 20,42287,0,{4E76B6F7-5331-4BF0-BBE6-3FDEA4323CC5},17.1,50.06,28.27,21.79,26080
9,13045911100,9111,ARC 20,42438,18.64,{EB4DE195-3280-45EF-973A-61D83C68EA68},24.2,45.46,26.11,19.35,22153
10,13045911000,9110,ARC 20,45026,18.28,{2782EF88-7486-4CB3-9250-4CBF72D57D9A},27.2,47.93,27.59,20.34,23976
11,13045910701,9107.01,ARC 20,44002,26.21,{1EE1841C-15DF-4834-8192-2B19AD20FE02},116.1,48.16,27.68,20.49,23859
12,13045910703,9107.03,ARC 20,43517,34.92,{ECA10BD5-5BC7-4E08-A4E5-CE82B621E965},68.9,47.84,27.54,20.3,24245
