OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_2__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp2_HousTranspCosts_Pct_Income,Tp2_HousCosts_Pct_Income,Tp2_TranspCosts_Pct_Income,Tp2_AnnualVehMilesTrav
1,13045910103,9101.03,ARC 20,57188,0,{DBCB3B1A-3264-4632-98C6-880CD6BF0E7F},2015-06-02T12:14:51.000Z,100.3,145.44,75.93,69.51,20724
2,13045910104,9101.04,ARC 20,54987,9.89,{687C6F3B-C60D-40CC-813E-EEA616CA0B2E},2015-06-02T12:14:51.000Z,201.1,152.66,83.32,69.34,20924
3,13045910502,9105.02,ARC 20,18975,115.59,{D47C872B-3E1B-4F39-9985-88096D306DD5},2015-06-02T12:14:51.000Z,-368.8,114.07,61.33,52.74,16623
4,13045910800,9108,ARC 20,50194,0,{A02D8DF9-CE36-444D-8D7E-0B9A88E558D2},2015-06-02T12:14:51.000Z,1.1,156.91,85.62,71.3,20918
5,13045910101,9101.01,ARC 20,46840,9.17,{65220ABC-92A0-43ED-B487-1F55C991F18E},2015-06-02T12:14:51.000Z,397.3,134.35,71.74,62.61,18692
6,13045910200,9102,ARC 20,46942,1.87,{569E31B4-33E6-4428-A364-1C8ECB1B2456},2015-06-02T12:14:51.000Z,93.9,142.76,71.95,70.81,21406
7,13045910900,9109,ARC 20,56964,0,{941351D8-B121-452E-BCFF-94171011C417},2015-06-02T12:14:51.000Z,7.8,153.06,82.09,70.97,20883
8,13045910300,9103,ARC 20,42287,0,{3EACBBB1-634F-4DAA-A4AF-5C4150A00BC2},2015-06-02T12:14:51.000Z,17.1,142.48,72.27,70.2,20397
9,13045911100,9111,ARC 20,42438,10.8,{97CC7F43-BAAC-4897-A2DD-0ECC62B78AE0},2015-06-02T12:14:51.000Z,24.2,128.54,67.95,60.59,17308
10,13045911000,9110,ARC 20,45026,9.87,{753D8F6D-5613-4525-A59F-8655A8AB4BB0},2015-06-02T12:14:51.000Z,27.2,140.39,75.69,64.7,18956
11,13045910701,9107.01,ARC 20,44002,14.91,{BE53AC4F-8397-4353-8B87-9205E3E8B278},2015-06-02T12:14:51.000Z,116.1,144.06,78.75,65.31,18806
12,13045910703,9107.03,ARC 20,43517,16.59,{91D545DA-7CDE-4493-9575-80D6063BD811},2015-06-02T12:14:51.000Z,68.9,142.73,77.7,65.03,19575
13,13045910600,9106,ARC 20,48420,6.12,{5E51028F-01F4-4770-8264-E6DA1FF569A2},2015-06-02T12:14:51.000Z,70.5,152.45,86.34,66.11,19407
14,13045910501,9105.01,ARC 20,30625,46.25,{33A4A2A2-C9AA-4803-B186-27B30BBAB79A},2015-06-02T12:14:51.000Z,153.2,126.52,67.9,58.61,18378
15,13045910702,9107.02,ARC 20,62459,8.8,{8FE2AB79-68C9-4A39-B455-6CB84FFBB15C},2015-06-02T12:14:51.000Z,104.1,165.57,92.94,72.62,21817
16,13045911200,9112,ARC 20,38525,0,{8B67FBC8-3404-4DBB-A95E-FBFE55495DD0},2015-06-02T12:14:51.000Z,2.8,138.24,68.5,69.74,20000
17,13045910400,9104,ARC 20,37646,1.02,{D1236CE3-DF6C-480C-BA33-02CEAA129F9F},2015-06-02T12:14:51.000Z,-8.5,142.68,73.19,69.49,20155
18,13113140207,1402.07,ARC 10,105288,76.45,{A92CC09B-E826-4C92-9F62-5F2C43783914},2015-06-02T12:14:51.000Z,49,200.87,135.59,65.27,19279
19,13113140208,1402.08,ARC 10,74214,28.01,{8462E7A4-0182-4BF0-90DF-4568265EDA1D},2015-06-02T12:14:51.000Z,435.5,166.52,102.57,63.96,18717
20,13113140303,1403.03,ARC 10,78010,28.43,{FE6CB04C-DC82-437F-BE46-6598D4426272},2015-06-02T12:14:51.000Z,-88.6,166.61,100.7,65.91,19216
21,13113140304,1403.04,ARC 10,70740,41.96,{6393BAC1-6BB6-488C-BE9A-D6366F7D1138},2015-06-02T12:14:51.000Z,-109.8,179.92,113.06,66.86,19911
22,13113140307,1403.07,ARC 10,145086,31.89,{4128D3C8-BE3E-4AF8-B41E-CB315695D7A0},2015-06-02T12:14:51.000Z,123.4,232.24,157.12,75.13,21925
23,13113140408,1404.08,ARC 10,72200,10.74,{76E24F51-A675-4B16-ADA1-C5956D460511},2015-06-02T12:14:51.000Z,-26.1,172.34,99.64,72.7,21315
24,13113140407,1404.07,ARC 10,63433,39.51,{F4CC5180-5041-4F47-90F9-2E502ABB7240},2015-06-02T12:14:51.000Z,195.1,152.39,87.76,64.63,19193
25,13113140405,1404.05,ARC 10,85278,15.16,{5DFF3C0C-B8BC-43E3-9BF0-FC3E19D1CAF1},2015-06-02T12:14:51.000Z,14.3,176.38,103.88,72.5,21174
26,13113140404,1404.04,ARC 10,77888,48,{D41A124C-D9A8-495D-9801-10F33C0C36AC},2015-06-02T12:14:51.000Z,179.3,166.42,100.44,65.98,19438
27,13113140206,1402.06,ARC 10,105966,23.83,{110B51CF-A3AA-4D93-B9BC-6F414427E56D},2015-06-02T12:14:51.000Z,161.4,225.76,157.54,68.22,19681
28,13113140203,1402.03,ARC 10,83935,0.91,{27210516-D15D-4F72-8487-F7ABEFAEE2DC},2015-06-02T12:14:52.000Z,216.4,182.47,111.25,71.22,20332
29,13113140204,1402.04,ARC 10,76681,16.04,{600C5C37-6338-41A0-BD11-D8AEB059095E},2015-06-02T12:14:52.000Z,42.5,182.56,111.74,70.81,20464
30,13113140305,1403.05,ARC 10,97955,14.81,{905360FE-81FB-44DC-A512-37943A0E13F8},2015-06-02T12:14:52.000Z,247.1,201.83,131.25,70.58,20300
31,13113140403,1404.03,ARC 10,78324,22.81,{DF90E5EE-56DD-430F-9224-148BEA0F183D},2015-06-02T12:14:52.000Z,122.7,189.41,118.38,71.03,20645
32,13113140406,1404.06,ARC 10,57438,20.39,{1E42B5A6-11F5-4CDD-9AEF-FF6430FF569C},2015-06-02T12:14:52.000Z,37.3,154.16,88.22,65.93,19240
33,13113140306,1403.06,ARC 10,89699,30.34,{0A0D92CD-0452-43AE-BEA1-14F6832A5963},2015-06-02T12:14:52.000Z,56.3,184.43,117.52,66.91,19490
34,13113140102,1401.02,ARC 10,72549,3.35,{86575207-7896-44E4-88CF-E1818614E9CB},2015-06-02T12:14:52.000Z,-3.8,171.81,102.5,69.32,20184
35,13113140101,1401.01,ARC 10,64732,21.58,{655CE0C3-0933-4C46-B6E4-C4BBBC298C2F},2015-06-02T12:14:52.000Z,49.1,164.98,94,70.98,20715
36,13113140502,1405.02,ARC 10,73591,0,{524464F3-86F5-497C-A232-95E612797331},2015-06-02T12:14:52.000Z,12.4,175.59,100.64,74.94,21730
37,13113140501,1405.01,ARC 10,84885,6.89,{47A393B9-716F-4D08-97FF-5713FE1E4632},2015-06-02T12:14:52.000Z,42.3,156.42,81.31,75.11,21428
38,13247060404,604.04,ARC 10,54146,10.06,{E7671850-4296-43C9-BD42-10AF5262489E},2015-06-02T12:14:52.000Z,-45.3,147.96,79.09,68.87,20483
39,13247060304,603.04,ARC 10,42554,9.18,{B1ADB7A9-82B2-4234-82D4-6C70E470C80D},2015-06-02T12:14:52.000Z,120.7,141.9,85.21,56.69,16803
40,13247060101,601.01,ARC 10,51356,1.38,{15B2D2E8-F19C-4938-9809-5C394CEBEEFC},2015-06-02T12:14:52.000Z,9.5,139.07,69.89,69.18,20166
41,13247060202,602.02,ARC 10,54345,18.18,{CB7C44A6-B4F9-4531-B968-B01F9EA1F479},2015-06-02T12:14:52.000Z,174.6,155.5,88.67,66.82,20029
42,13247060201,602.01,ARC 10,35453,48.81,{1004720B-A967-4762-8186-B4B296ECB0C0},2015-06-02T12:14:52.000Z,31.8,136.08,73.2,62.88,19183
43,13247060306,603.06,ARC 10,65357,0,{CD3001C1-41E5-4F0D-867F-0541C21C9B96},2015-06-02T12:14:52.000Z,231.9,150.22,83.51,66.71,19588
44,13247060407,604.07,ARC 10,51714,24.55,{7E7B4E59-CF93-4402-8390-A905225CB077},2015-06-02T12:14:52.000Z,-84.8,148.92,79.33,69.59,20931
45,13247060403,604.03,ARC 10,69286,0,{06E29765-80FB-44BA-867E-8564DD32E0F5},2015-06-02T12:14:52.000Z,63.8,179.31,106.78,72.54,20629
46,13247060406,604.06,ARC 10,71833,16.75,{ABD7AC2E-24D7-4F78-B49D-E0133560E3A3},2015-06-02T12:14:52.000Z,41.4,160.44,88.54,71.9,21198
47,13247060305,603.05,ARC 10,37067,31.9,{95005A9A-8282-4D37-B4AA-58B780CFF2DE},2015-06-02T12:14:52.000Z,138.2,132.68,78.28,54.4,16336
48,13247060309,603.09,ARC 10,43438,41.47,{AB8B0D12-DEED-422A-B06D-80820E1F5E15},2015-06-02T12:14:52.000Z,323.4,136.02,75.61,60.42,18064
49,13247060308,603.08,ARC 10,43182,54.12,{BA39774A-A70A-4B24-B0F6-86ACA8A38780},2015-06-02T12:14:52.000Z,858.7,135.29,79.84,55.45,16718
50,13247060405,604.05,ARC 10,65704,4.58,{E4794EF2-9D8E-406E-B98A-A78DE6FE5BFA},2015-06-02T12:14:52.000Z,90.6,175.36,102.3,73.06,21575
51,13247060307,603.07,ARC 10,70478,48.62,{A4921845-10C2-4851-8494-BBB04DFC25A3},2015-06-02T12:14:52.000Z,483.7,171.02,106.12,64.9,19381
52,13247060102,601.02,ARC 10,44469,0,{6C9CD639-F87A-47A6-8B99-0EED6D2DFF79},2015-06-02T12:14:52.000Z,35.7,142.67,74.87,67.8,19850
53,13067030330,303.30,ARC 10,91825,62.1,{19ED3406-FB4A-44CA-B5BC-EE0AD48E74E1},2015-06-02T12:14:52.000Z,139.1,177.87,114.92,62.95,17722
54,13067030328,303.28,ARC 10,102594,53.92,{CB09F952-06B7-4E10-B75D-C342B35C4F1E},2015-06-02T12:14:52.000Z,-113.8,167.23,102.82,64.41,17991
55,13067030700,307,ARC 10,38140,83.22,{C00E2D74-98B8-462F-8FD5-6FC692AECC90},2015-06-02T12:14:52.000Z,-708.2,118.46,72.44,46.02,13282
56,13067030324,303.24,ARC 10,78363,57.73,{34BC1841-7D52-4C0F-8A00-5AB12EBEA245},2015-06-02T12:14:52.000Z,-220.7,155.92,91.19,64.72,19034
57,13067030312,303.12,ARC 10,68452,24.34,{6D2B8689-7ADF-485D-A110-4098603BE072},2015-06-02T12:14:52.000Z,-80.3,152.43,88.91,63.53,18027
58,13067030228,302.28,ARC 10,45275,107.49,{10D9C555-64B3-43CC-AADB-990CF060E25C},2015-06-02T12:14:52.000Z,27.8,139.29,93.17,46.12,13840
59,13067030231,302.31,ARC 10,95714,50.76,{644ACEAB-3ABD-4A44-9514-6F1577CBD3BF},2015-06-02T12:14:52.000Z,147,163.63,97.1,66.53,19073
60,13067030230,302.30,ARC 10,64554,68.57,{C8508D06-61BF-450C-8297-A7E31932BFD2},2015-06-02T12:14:52.000Z,1275.2,159.26,105.46,53.8,15604
61,13067030311,303.11,ARC 10,90809,30.7,{6DFF5AAC-8ADB-4DA9-8E2A-3D7D2EDE0751},2015-06-02T12:14:52.000Z,-90,163.55,99.16,64.38,18560
62,13067031001,310.01,ARC 10,30414,70.39,{D9242A83-ABC6-471E-A669-B895D89D405A},2015-06-02T12:14:52.000Z,-50.5,112.96,65.04,47.92,13765
63,13067030310,303.10,ARC 10,68512,20.75,{38BF8578-B56D-4E3C-99AE-45FAB809ABA8},2015-06-02T12:14:52.000Z,86.8,162.75,99.16,63.59,17904
64,13067030215,302.15,ARC 10,73646,53.8,{0BC6690E-235A-4A3B-A9EA-4B2DC39D6C4E},2015-06-02T12:14:52.000Z,364.3,161.68,99.73,61.95,18146
65,13067030601,306.01,ARC 10,48977,92.99,{2ADBB15D-B471-49F0-A9FF-5D19C8E13A03},2015-06-02T12:14:52.000Z,1384.4,135.47,90.96,44.52,12925
66,13067030227,302.27,ARC 10,58446,21.87,{1B781B64-3F5B-4128-A93D-6D41D80BB5AC},2015-06-02T12:14:52.000Z,87.9,159.29,102.37,56.92,16475
67,13067030602,306.02,ARC 10,61891,47.91,{76E657AE-9992-4D5A-AD59-689E4C076B9C},2015-06-02T12:14:52.000Z,61,151.79,98.27,53.52,15453
68,13067030506,305.06,ARC 10,51922,36.66,{A43D841A-BA03-4B69-A7ED-2125E4E04EE7},2015-06-02T12:14:52.000Z,267.1,137.56,85.55,52.01,15022
69,13067030507,305.07,ARC 10,61017,38.78,{756CC00D-B554-4FB7-B7FA-BAEDEEEB7906},2015-06-02T12:14:52.000Z,51.3,144.45,83.89,60.55,17405
70,13067030229,302.29,ARC 10,51905,16.44,{E9BDCF73-775A-4402-B85F-AC473A7A9AB9},2015-06-02T12:14:52.000Z,409.8,139.41,82.87,56.54,16192
71,13067031208,312.08,ARC 10,63125,172.33,{72E255DD-CD77-4B82-9593-A77918303C89},2015-06-02T12:14:52.000Z,960.7,132.81,91.58,41.23,11679
72,13067031207,312.07,ARC 10,52945,198.79,{E552FB51-DE04-461F-9B7D-3E1F7D3BDF1D},2015-06-02T12:14:52.000Z,176.4,132.25,95.07,37.18,10652
73,13067030226,302.26,ARC 10,70357,79.52,{F3AD4D2A-FBE5-464C-83A4-CEC00EB6AAA3},2015-06-02T12:14:52.000Z,1151.9,177.38,117.01,60.37,18104
74,13067031505,315.05,ARC 10,62903,22.48,{1CDADB10-61A6-47B8-9BA5-6B28902EB1EA},2015-06-02T12:14:52.000Z,-27.4,154.91,90.75,64.16,18957
75,13067030313,303.13,ARC 10,77872,19.17,{D1F5F17B-E4B4-44ED-A0AB-96CB27088FEA},2015-06-02T12:14:52.000Z,201.1,170.33,107.96,62.36,17537
76,13067031310,313.10,ARC 10,27802,139.92,{EC047F96-85C5-44E1-A4E5-ED878904BFA8},2015-06-02T12:14:52.000Z,244.1,119.56,71.85,47.71,14150
77,13067030214,302.14,ARC 10,74347,36.82,{826F9D20-76C9-4544-85D6-1509ED8BFA10},2015-06-02T12:14:52.000Z,299,166.19,101.72,64.47,18878
78,13067031212,312.12,ARC 10,125000,58.71,{61B1223C-4EC2-4C8C-AD92-6DDED4F13082},2015-06-02T12:14:52.000Z,-71.3,174.43,116.88,57.56,15967
79,13067031211,312.11,ARC 10,53891,260.85,{3423563B-028D-4111-AB8E-4467CB9323D8},2015-06-02T12:14:52.000Z,-73.3,121.69,87.02,34.67,10407
80,13067031209,312.09,ARC 10,120987,84.13,{24EF2882-0E6B-4D22-A2B7-CD93BC31AA21},2015-06-02T12:14:52.000Z,600.8,220.89,164.14,56.75,15786
81,13067030224,302.24,ARC 10,69803,63.82,{81F9C3C9-FE8E-4873-9BF3-F2C0C3DE2AD6},2015-06-02T12:14:52.000Z,1697.2,168.16,106.72,61.44,17957
82,13067031205,312.05,ARC 10,83000,145.26,{94EA64E9-CC14-44C0-9755-1FBB8CFF75A8},2015-06-02T12:14:52.000Z,688.6,163.86,116.01,47.85,14293
83,13067031206,312.06,ARC 10,78214,104.92,{336BCF41-2385-49FF-9DA4-54544EB24C59},2015-06-02T12:14:52.000Z,1112.2,157.98,109.48,48.5,14055
84,13067030220,302.20,ARC 10,63523,31.39,{EDDB6B02-A951-4FE9-9AEF-206284083282},2015-06-02T12:14:52.000Z,-44.3,179.42,115.19,64.23,17960
85,13067030905,309.05,ARC 10,52669,66.33,{605B949F-6930-4BF1-B253-B39E2DD0D652},2015-06-02T12:14:52.000Z,398.3,142.94,83.52,59.41,17571
86,13067030502,305.02,ARC 10,83229,51.9,{C3D640EF-C17C-46B3-AC0D-AC05D16317D0},2015-06-02T12:14:52.000Z,114.1,169.29,110.88,58.42,16710
87,13067030209,302.09,ARC 10,82328,20.17,{5A7866B8-BB0A-4012-B437-42DEED1DE60A},2015-06-02T12:14:52.000Z,253.6,175.96,109.41,66.54,19098
88,13067030326,303.26,ARC 10,122371,36.16,{06322367-0F5C-4D01-B8DC-A418E64A00E1},2015-06-02T12:14:52.000Z,-70.4,232.16,164.2,67.95,19270
89,13067031108,311.08,ARC 10,35563,169.78,{35887EA2-20CF-4233-A766-BF09809A8C28},2015-06-02T12:14:52.000Z,-380.8,120.47,77.25,43.21,13046
90,13117130105,1301.05,ARC 20,38306,0,{B77A98E9-12AE-43A0-B524-6069355A6E98},2015-06-02T12:14:52.000Z,106.5,135.79,69.91,65.88,19053
91,13117130205,1302.05,ARC 20,65795,0.14,{0FC2ED82-9701-409F-915E-7AAB6BB20D1C},2015-06-02T12:14:52.000Z,113.9,187.47,117.43,70.04,20389
92,13117130603,1306.03,ARC 20,118902,60.71,{08B23BCC-7D8A-4C1D-91CE-E55B2C3A753B},2015-06-02T12:14:52.000Z,391.4,230.34,165.97,64.37,18684
93,13117130610,1306.10,ARC 20,120685,48.37,{83BF9B85-F365-4225-B4EA-D98F64215AFF},2015-06-02T12:14:52.000Z,125.9,236.57,167.82,68.76,19377
94,13117130606,1306.06,ARC 20,116714,65.64,{F99B67C1-FA56-4469-943C-85F0C9DC9DEF},2015-06-02T12:14:52.000Z,263.5,221.37,157.61,63.76,17969
95,13117130604,1306.04,ARC 20,126058,63.07,{2420117A-911A-47F4-AB0D-DD9D02C618DA},2015-06-02T12:14:52.000Z,693.6,188.6,121.93,66.67,18715
96,13117130611,1306.11,ARC 20,127304,59.82,{58D30B7A-5BC9-482B-B24C-DDA288416445},2015-06-02T12:14:52.000Z,633.3,225.59,156.47,69.12,19754
97,13117130609,1306.09,ARC 20,125688,40.63,{331C47CC-05AB-48EF-85E7-029DBA329AD3},2015-06-02T12:14:52.000Z,1147.7,228.17,159.01,69.17,19582
98,13117130607,1306.07,ARC 20,120000,46.38,{6C76C5D2-A0AC-438B-B7BF-AEE153D24986},2015-06-02T12:14:52.000Z,1206.3,220.38,153.08,67.29,19783
99,13117130605,1306.05,ARC 20,99028,48.32,{7C54DAE6-26F3-41E3-97F5-1A28600AF521},2015-06-02T12:14:52.000Z,684.5,183.91,114.65,69.26,19606
100,13117130602,1306.02,ARC 20,83445,77.72,{256745F9-2615-4270-BD8F-0B4B9B53FCCD},2015-06-02T12:14:52.000Z,810.9,172.69,110.81,61.89,18413
101,13117130508,1305.08,ARC 20,104912,43.25,{0B5A1FAB-9AF2-4462-8FA0-D9EF0AE6473E},2015-06-02T12:14:52.000Z,491.8,191.39,121.26,70.13,20222
102,13117130507,1305.07,ARC 20,71765,10.76,{2CBD1CEE-7831-4B4B-BCD3-8A6E72A1DE84},2015-06-02T12:14:52.000Z,80,182.13,115.19,66.95,19910
