OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_3__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp3_HousTranspCosts_Pct_Income,Tp3_HousingCosts_Pct_Income,Tp3_TransportCosts_Pct_Income,Tp3_AnnualVehMilesTraveled
1,13045910103,9101.03,ARC 20,57188,0,{C029A7B9-78B3-46F7-BEF9-9020860AA5A5},100.3,86.39,44.13,42.26,21158
2,13045910104,9101.04,ARC 20,54987,5.57,{6DEFE106-6BDB-4AA9-8048-6EB5DE507D99},201.1,89.03,47.01,42.02,21257
3,13045910502,9105.02,ARC 20,18975,105.63,{6156103A-CA45-46BC-B2E4-85A57F9B6D80},-368.8,72.47,40.03,32.44,17007
4,13045910800,9108,ARC 20,50194,0,{57992C92-FB1D-4057-B956-94DC854CA15B},1.1,92.26,48.91,43.35,21482
5,13045910101,9101.01,ARC 20,46840,5.73,{7F56BB36-8666-4034-8647-84A84F41B2F1},397.3,80.52,42.34,38.18,19019
6,13045910200,9102,ARC 20,46942,0.42,{6E597326-42DE-43FA-A648-CBEE26ACDABB},93.9,84.59,41.77,42.82,21782
7,13045910900,9109,ARC 20,56964,0,{12A61FC1-89EA-489D-9BBB-3680B92DC226},7.8,88.93,45.71,43.22,21432
8,13045910300,9103,ARC 20,42287,0,{063086AA-8C73-4911-B0DC-04944A74530E},17.1,84.47,41.68,42.79,20922
9,13045911100,9111,ARC 20,42438,8.56,{B383943A-0BFB-4900-9D7C-B1B76599B0F2},24.2,79.45,42.28,37.17,17699
10,13045911000,9110,ARC 20,45026,7.11,{713EB3BD-E77A-437F-8FBB-9E4324ECA573},27.2,83.66,44.24,39.41,19367
11,13045910701,9107.01,ARC 20,44002,11.74,{56413BDB-7A0D-43F3-9573-FE9422296218},116.1,85.72,45.84,39.87,19223
12,13045910703,9107.03,ARC 20,43517,7.99,{FD673085-6976-4E90-A053-F6B311721337},68.9,84.67,45.15,39.52,19894
13,13045910600,9106,ARC 20,48420,3.28,{F012CDDA-38F6-48EF-84A9-8EDDECB3D1BF},70.5,90.63,50.36,40.26,19750
14,13045910501,9105.01,ARC 20,30625,38.75,{2D48442D-830F-44B0-9731-2A2DDD1264C9},153.2,77.24,41.34,35.9,18831
15,13045910702,9107.02,ARC 20,62459,3.29,{C3A8979D-45ED-4DBB-9D0C-687618DD4E58},104.1,96.04,52.12,43.92,22121
16,13045911200,9112,ARC 20,38525,0,{DB14514E-ACE6-4613-A5EA-10B86528377D},2.8,84.52,41.98,42.54,20519
17,13045910400,9104,ARC 20,37646,0,{164C1CA5-9E9E-48C9-8334-4ED6E181158E},-8.5,86.39,43.98,42.4,20689
18,13113140207,1402.07,ARC 10,105288,63.83,{4888D2C1-A90D-4541-BB26-37D4C557873B},49,115.85,76.34,39.51,19428
19,13113140208,1402.08,ARC 10,74214,19.15,{1ECC1A8A-8C1D-48C9-946F-4B98F67C96B1},435.5,95.97,57.14,38.83,18977
