OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_4__Annual_Transit_Trips,GlobalID,Pop_Chng_per_SqMi_2000_2010,Tp4_HousTranspCosts_Pct_Income,Tp4_HousingCosts_Pct_Income,Tp4_TranspCosts_Pct_Income,Tp4_AnnualVehMilesTraveled
1,13045910103,9101.03,ARC 20,57188,0,{3D70CBAB-E9C0-454C-8CB2-A28193E479AE},100.3,51.79,28.43,23.36,21976
2,13045910104,9101.04,ARC 20,54987,2.7,{98F4D91B-A8E8-43E8-BC8C-FBB1BAEEE6BF},201.1,51.52,28.35,23.17,21886
3,13045910502,9105.02,ARC 20,18975,94.8,{330BE0BD-7C22-4BEF-8D1C-00535EA0C0D8},-368.8,45.55,27.27,18.28,17732
4,13045910800,9108,ARC 20,50194,0,{7A149E01-ABD4-4970-AC62-A23D807214E4},1.1,51.86,27.8,24.06,22549
5,13045910101,9101.01,ARC 20,46840,3.22,{3080AC9B-7947-43D5-BACB-7D8F75788F2C},397.3,48.72,27.52,21.2,19638
6,13045910200,9102,ARC 20,46942,0,{0B2BC9CC-C7B0-4A08-9D3D-244BD7FAFD77},93.9,51.44,27.83,23.61,22491
7,13045910900,9109,ARC 20,56964,0,{271AF886-53EF-42BB-A3F1-19757028D20D},7.8,51,27.04,23.97,22467
8,13045910300,9103,ARC 20,42287,0,{C85D54FA-40EB-4B90-BAD5-80059887BB7B},17.1,50.11,26.4,23.71,21910
9,13045911100,9111,ARC 20,42438,6.87,{06245C83-26A0-4762-B5D6-1FAAC5630436},24.2,48.6,27.85,20.75,18437
10,13045911000,9110,ARC 20,45026,5.32,{BC02C2F4-0695-476B-B068-7A4273C74F90},27.2,49.42,27.51,21.91,20143
11,13045910701,9107.01,ARC 20,44002,8.52,{7B22E0A2-5C15-4777-B80B-295B242BE2A0},116.1,50.84,28.67,22.17,20012
12,13045910703,9107.03,ARC 20,43517,4.13,{AC6DEC53-5E2B-4870-8FCF-3B66CD043E9B},68.9,49.11,27.23,21.88,20497
13,13045910600,9106,ARC 20,48420,1.22,{EE2A9D56-199E-4A87-B611-EF824E31DEFF},70.5,51.48,29.19,22.29,20398
14,13045910501,9105.01,ARC 20,30625,30.72,{EF545F69-B64A-46C4-AEEB-2D31D1A9BFE3},153.2,45.98,25.87,20.11,19687
15,13045910702,9107.02,ARC 20,62459,0.05,{AD2AD89B-395A-4EE9-8487-0673CA5D5DB0},104.1,52.92,28.84,24.08,22696
16,13045911200,9112,ARC 20,38525,0,{9D0EF528-A44F-4BE2-AF09-20339F8DD26A},2.8,50.11,26.49,23.62,21498
17,13045910400,9104,ARC 20,37646,0,{F6AE5124-141A-4ECD-91D7-CCB732AC8782},-8.5,50.27,26.72,23.55,21698
18,13113140207,1402.07,ARC 10,105288,47.85,{4FDDAB3D-BCF3-4004-B404-9C566860F5DE},49,62.37,40.65,21.72,19709
19,13113140208,1402.08,ARC 10,74214,9.45,{C7345AD5-4D16-4058-B4B4-6C19B67FB2FD},435.5,52.56,31.08,21.48,19467
20,13113140303,1403.03,ARC 10,78010,11.96,{AB55FD60-5EB8-42EC-B1B7-CE2E13EFC33C},-88.6,54.54,32.53,22.01,19894
