OBJECTID,GEOID10,NAME10,PLNG_REGIO,Median_household_income,Type_8__Annual_Transit_Trips,GlobalID,last_edited_date,Pop_Chng_per_SqMi_2000_2010,Tp8_HousTranspCosts_Pct_Income,Tp8_HousingCosts_Pct_Income,Tp8_TransportCosts_Pct_Income,Tp8_AnnualVehMilesTraveled
1,13045910103,9101.03,ARC 20,57188,4.6,{BB0FBD18-1DE0-460B-8015-13BB6C9923BA},2015-06-02T14:23:55.000Z,100.3,47.42,25.1,22.32,32567
2,13045910104,9101.04,ARC 20,54987,33.13,{298B4E45-3352-4590-B3D2-D7B1D1522D8F},2015-06-02T14:23:55.000Z,201.1,46.98,24.73,22.25,32394
3,13045910502,9105.02,ARC 20,18975,118.47,{61306042-30DA-4539-AF88-F3B41804865B},2015-06-02T14:23:55.000Z,-368.8,35.45,17.07,18.37,27235
4,13045910800,9108,ARC 20,50194,2.94,{2DA2B7D4-01AB-4D6B-81AF-B077C27C1B6C},2015-06-02T14:23:55.000Z,1.1,48.22,25.33,22.89,33460
5,13045910101,9101.01,ARC 20,46840,17.67,{36C27760-C037-4266-B12A-725ECA8C2092},2015-06-02T14:23:55.000Z,397.3,45.03,24.33,20.7,29668
6,13045910200,9102,ARC 20,46942,20.47,{015BCACF-801A-4FE1-BDB5-112602B08FEA},2015-06-02T14:23:55.000Z,93.9,47.79,25.25,22.54,33000
7,13045910900,9109,ARC 20,56964,6.6,{CA389238-6379-4E5F-AC0F-A364E4145DBB},2015-06-02T14:23:55.000Z,7.8,47.23,24.41,22.82,33328
8,13045910300,9103,ARC 20,42287,0,{F8123824-D305-4E35-A882-02F0A107A840},2015-06-02T14:23:55.000Z,17.1,47.15,24.5,22.65,32952
9,13045911100,9111,ARC 20,42438,18.73,{39C2B036-4071-465F-B8A6-21633860CA41},2015-06-02T14:23:55.000Z,24.2,42.89,22.45,20.44,28602
10,13045911000,9110,ARC 20,45026,17.28,{3D2F5A41-E4FC-4A33-93B0-316C93324C17},2015-06-02T14:23:55.000Z,27.2,45.07,23.76,21.31,30557
11,13045910701,9107.01,ARC 20,44002,25.92,{E956071C-BB37-4964-B36C-6A38C402A04B},2015-06-02T14:23:55.000Z,116.1,45.82,24.34,21.48,30481
12,13045910703,9107.03,ARC 20,43517,33.83,{2788FF86-35D5-4F49-94CF-C110668949A5},2015-06-02T14:23:55.000Z,68.9,44.87,23.6,21.27,30758
13,13045910600,9106,ARC 20,48420,15.13,{8084F596-50D8-494B-B4E9-CA5A3E2FBA5A},2015-06-02T14:23:55.000Z,70.5,46.4,24.78,21.62,30843
14,13045910501,9105.01,ARC 20,30625,54.29,{B47BAF6A-2DC5-4FC4-B7B0-5B770E37A0F6},2015-06-02T14:23:55.000Z,153.2,44.25,24.48,19.77,29500
15,13045910702,9107.02,ARC 20,62459,35.87,{C65C6D4E-1E23-4C21-85FD-8995828026F8},2015-06-02T14:23:55.000Z,104.1,48.83,25.81,23.02,33453
16,13045911200,9112,ARC 20,38525,4,{93D2C82A-AD8F-4853-9A65-7D7C41ECA654},2015-06-02T14:23:55.000Z,2.8,44.72,22.13,22.58,32409
17,13045910400,9104,ARC 20,37646,10.87,{A3497F27-E110-4928-BC35-2A4792AAF8A3},2015-06-02T14:23:55.000Z,-8.5,46.92,24.45,22.47,32538
18,13113140207,1402.07,ARC 10,105288,107.38,{29BF7334-BB4C-4695-8E09-15D4AA0A7843},2015-06-02T14:23:55.000Z,49,51.95,30.69,21.26,29628
19,13113140208,1402.08,ARC 10,74214,49.44,{C1B09818-1434-4261-8B58-C2C99822D8E0},2015-06-02T14:23:55.000Z,435.5,47.81,26.84,20.97,29446
20,13113140303,1403.03,ARC 10,78010,45.2,{97F5E5DC-6D4D-4F89-8753-2EB324C27174},2015-06-02T14:23:55.000Z,-88.6,48.71,27.23,21.48,30206
21,13113140304,1403.04,ARC 10,70740,65.61,{5BCBA307-65DA-4037-BEB2-3BAE59F2F09E},2015-06-02T14:23:55.000Z,-109.8,49.48,27.8,21.68,30678
22,13113140307,1403.07,ARC 10,145086,71.23,{BF4FB6A5-672C-4C33-BB93-B7804C5D6C38},2015-06-02T14:23:55.000Z,123.4,53.41,29.82,23.59,33510
23,13113140408,1404.08,ARC 10,72200,47,{DA741889-F751-45C3-8AF6-F91CE55DC248},2015-06-02T14:23:55.000Z,-26.1,50.09,26.96,23.14,33046
24,13113140407,1404.07,ARC 10,63433,66.77,{C4DA96DD-B8C9-4516-AEE1-68645773E69E},2015-06-02T14:23:55.000Z,195.1,48.06,26.85,21.21,30009
25,13113140405,1404.05,ARC 10,85278,50.71,{942222E9-2216-4831-970B-3A628B9F78B0},2015-06-02T14:23:55.000Z,14.3,50.2,27.07,23.13,32977
26,13113140404,1404.04,ARC 10,77888,81.48,{A4033726-0083-45DF-9F81-D3F5EC5F53CC},2015-06-02T14:23:55.000Z,179.3,49.41,27.83,21.58,30250
27,13113140206,1402.06,ARC 10,105966,55.56,{9DDB9FA7-5640-45C9-B18F-230341E44009},2015-06-02T14:23:56.000Z,161.4,53.41,31.38,22.03,30765
28,13113140203,1402.03,ARC 10,83935,25.16,{ADB3ACE0-7057-4F71-8A41-E2ACF8A34AF6},2015-06-02T14:23:56.000Z,216.4,49.83,27.03,22.79,32062
29,13113140204,1402.04,ARC 10,76681,42.95,{23ADA698-977B-410E-8C38-4B8E9803D681},2015-06-02T14:23:56.000Z,42.5,50.27,27.54,22.74,32198
