X,Y,OBJECTID,EXIT_,INTERSTATE,GlobalID,last_edited_date
-83.951021946793105,33.053688246847969,1,188,I75,{C3A2CF92-235F-4FB7-B7DB-2B81A76EEEB0},
-84.002804099901141,33.112244439900358,2,193,I75,{AFF074D0-18D7-4F0C-A8A6-84B32455EB2E},
-84.040197159858621,33.166393405952903,3,198,I75,{F7CAF049-7681-4EFD-AFE7-F2823D71C2AB},
-84.061004236486298,33.207363313813971,4,201,I75,{F34D4359-C622-4EDE-A5D0-EACE9C15D5DA},
-84.095225002344151,33.261411405624258,5,205,I75,{875CD680-ACD4-4FA5-A6A5-B6C2E2631064},
-84.124936192523052,33.352919432311218,6,212,I75,{794C88CC-EB7E-421D-A757-BBFB60D89F59},
-84.161191219825255,33.411340241996278,7,216,I75,{40AD7AFF-5255-47B5-B000-70E90A0684EF},
-84.181554997181834,33.427451357041711,8,218,I75,{8DE21F9A-A74C-462C-847C-CB48B09C0D18},
-84.210108251806517,33.462622388803887,9,221,I75,{51E80D75-8C8A-447F-8307-D14E6E2BDD61},
-84.217161216667023,33.481938326968944,10,222,I75,{95F2692E-D545-4C75-8A88-D87FAD09C55B},
-84.23086901964318,33.506019497284406,11,224,I75,{18D741F0-347C-4B55-A0C8-D9E3C082E209},
-84.278547274639223,33.546845521912516,12,228,I75,{36CCF894-A907-47BD-AD19-0C3720A41744},
-85.017772196214466,32.747215307425854,13,25,I185,{8A185153-7721-4EE2-B4C7-D2DD0D1E0E6E},
-84.980490324331399,32.662551159223923,14,19,I185,{46130789-E70B-4134-BDF8-AACFC6DA75CF},
-85.021151178961446,32.813459079651935,15,30,I185,{3F383AB3-3F9F-4B0A-9C16-8BD4866D1376},
-84.97896237539554,32.857186121983673,16,34,I185,{3EC3A1D6-0E00-4F4E-8386-E74AC3C566FA},
-84.955938295426577,32.961760161581836,17,42,I185,{9FBB2825-72F9-442E-A9A9-CF945CE67AF2},
-84.952773435991503,33.012429344988952,18,46,I185,{C0BA8B31-6DC2-44F7-B427-37D37B3C1B3E},
-85.151499261355582,32.877792250568845,19,2,I85,{B501F889-24A0-4682-A941-767F1AF784A3},
-85.029583285797841,32.988879326712031,20,13,I85,{B7370167-A951-4524-B656-93AD2C339555},
-85.012375313709782,33.000144276053717,21,14,I85,{BBE89283-8647-425B-9035-45094F01DD0E},
-84.96987045122539,33.04207437924299,22,18,I85,{955568F3-BC5D-428A-B910-AC0AF2A19C94},
-84.945124350077776,33.061721315292885,23,21,I85,{BF11EE6F-A7C4-4ED6-BD5E-32635E43EA85},
-84.868482390102187,33.160011391220316,24,28,I85,{66364C60-A772-4EDB-A4F5-89E1F257BF51},
-84.806649421472002,33.242267384765746,25,35,I85,{C23EE4F6-F039-4E74-AB55-908105D3F4C7},
-84.777641199359266,33.323567250793111,26,41,I85,{B9DA6227-C412-478B-A4C2-6BA1CB96FC77},
-84.748884238081899,33.396792381915596,27,47,I85,{161A4629-2AFA-4E75-9058-A66A9C796166},
-84.694026115316447,33.443242442633995,28,51,I85,{7DF300EF-2D72-4CA7-95DC-4FC7DAD5824B},
-84.638842223252894,33.500209450356273,29,56,I85,{006CF9B6-C78C-4966-B18A-9750CD276902},
