OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,CHNG_JOBS_2002_07,CHNG_JOBS_AGE_29_YNGR_2002_07,CHNG_JOBS_AGE_30_54_2002_07,CHNG_JOBS_AGE_55_OLDR_2002_07,CHNG_JOBS_1250_LESS_2002_07,CHNG_JOBS_1251_3333_2002_07,CHNG_JOBS_3333_MORE_2002_07,CHNG_PCT_JOBS_29_YNGR_2002_07,CHNG_PCT_JOBS_30_54_2002_07,CHNG_PCT_JOBS_55_OLDR_2002_07,CHNG_PCT_JOBS_1250_LESS_2002_07,CHNG_PCT_JOBS_1251_3333_2002_07,CHNG_PCT_JOBS_3333_MORE_2002_07,CHNG_JOBS_2007_10,CHNG_JOBS_AGE_29_YNGR_2007_10,CHNG_JOBS_AGE_30_54_2007_10,CHNG_JOBS_AGE_55_OLDR_2007_10,CHNG_JOBS_1250_LESS_2007_10,CHNG_JOBS_1251_3333_2007_10,CHNG_JOBS_3333_MORE_2007_10,CHNG_PCT_JOBS_29_YNGR_2007_10,CHNG_PCT_JOBS_30_54_2007_10,CHNG_PCT_JOBS_55_OLDR_2007_10,CHNG_PCT_JOBS_1250_LESS_2007_10,CHNG_PCT_JOBS_1251_3333_2007_10,CHNG_PCT_JOBS_3333_MORE_2007_10,CHNG_JOBS_2010_15,CHNG_JOBS_AGE_29_YNGR_2010_15,CHNG_JOBS_AGE_30_54_2010_15,CHNG_JOBS_AGE_55_OLDR_2010_15,CHNG_JOBS_1250_LESS_2010_15,CHNG_JOBS_1251_3333_2010_15,CHNG_JOBS_3333_MORE_2010_15,CHNG_PCT_JOBS_29_YNGR_2010_15,CHNG_PCT_JOBS_30_54_2010_15,CHNG_PCT_JOBS_55_OLDR_2010_15,CHNG_PCT_JOBS_1250_LESS_2010_15,CHNG_PCT_JOBS_1251_3333_2010_15,CHNG_PCT_JOBS_3333_MORE_2010_15,CHNG_JOBS_2002_15,CHNG_JOBS_AGE_29_YNGR_2002_15,CHNG_JOBS_AGE_30_54_2002_15,CHNG_JOBS_AGE_55_OLDR_2002_15,CHNG_JOBS_1250_LESS_2002_15,CHNG_JOBS_1251_3333_2002_15,CHNG_JOBS_3333_MORE_2002_15,CHNG_PCT_JOBS_29_YNGR_2002_15,CHNG_PCT_JOBS_30_54_2002_15,CHNG_PCT_JOBS_55_OLDR_2002_15,CHNG_PCT_JOBS_1250_LESS_2002_15,CHNG_PCT_JOBS_1251_3333_2002_15,CHNG_PCT_JOBS_3333_MORE_2002_15,GlobalID,last_edited_date
1,13045910103,13045,"Census Tract 9101.03, Carroll County",4824,361,ARC 20,13733.90039063,211.03199768,13945,21.45919991,0.32973701,21.78910065,910103,Carroll,1369,411,724,234,326,682,361,-0.80000001,-3.29999995,4.0999999,-16.60000038,9.39999962,7.19999981,-905,-239,-510,-156,-180,-424,-301,3.5,-1.89999998,-1.60000002,9.5,-0.69999999,-8.69999981,368,151,136,81,147,121,100,1.89999998,-4.0999999,2.20000005,0,-3.29999995,3.29999995,832,323,350,159,293,379,160,4.5999999,-9.30000019,4.69999981,-7.19999981,5.4000001,1.79999995,{05AEDD3E-A057-4AF5-BF88-8F482D12A6B9},
2,13045910104,13045,"Census Tract 9101.04, Carroll County",10068,865,ARC 20,10931.29980469,177.147995,11108.5,17.0802002,0.27679399,17.35700035,910104,Carroll,249,57,111,81,30,-58,277,0.1,-2.20000005,2.0999999,-0.40000001,-7.80000019,8.19999981,-295,-121,-166,-8,-65,-203,-27,-2.70000005,1,1.70000005,-0.89999998,-3.9000001,4.80000019,483,97,238,148,107,9,367,0.1,-2.79999995,2.70000005,1.39999998,-6.9000001,5.5,437,33,183,221,72,-252,617,-2.5,-4.0999999,6.5999999,0.1,-18.60000038,18.5,{8994B304-A68E-48F4-B9D1-11EC06E21DA6},
3,13045910502,13045,"Census Tract 9105.02, Carroll County",3339,523,ARC 20,1039.95996094,35.62200165,1075.58996582,1.62494004,0.0556594,1.68060994,910502,Carroll,-1656,-419,-1014,-223,-752,-615,-289,-1.10000002,-1.10000002,2.20000005,-10,9.10000038,0.89999998,-62,-18,-49,5,-55,-8,1,-0.89999998,-3.4000001,4.30000019,-9.80000019,6.30000019,3.5999999,179,54,79,46,71,42,66,2.4000001,-4.19999981,1.79999995,5.5999999,-10.60000038,5,-1539,-383,-984,-172,-736,-581,-222,0.40000001,-8.60000038,8.19999981,-14.30000019,4.80000019,9.39999962,{F77D1842-07DC-4F77-B75B-293150942C62},
4,13045910800,13045,"Census Tract 9108, Carroll County",4188,451,ARC 20,42136.6015625,437.87399292,42574.5,65.83840179,0.68417799,66.52269745,910800,Carroll,-4,-23,9,10,-56,35,17,-5.5,2.79999995,2.70000005,-13.69999981,9.19999981,4.5,-70,-22,-32,-16,-13,-53,-4,-1.60000002,2.5,-0.89999998,1.10000002,-5.4000001,4.19999981,-48,-13,-41,6,-9,-34,-5,-0.80000001,-4.4000001,5.19999981,1.10000002,-4.4000001,3.29999995,-122,-58,-64,0,-78,-52,8,-7.9000001,0.89999998,7,-11.5,-0.60000002,12.10000038,{388F20F3-E10D-4D8E-9AAE-E9629089D3E4},
5,13045910101,13045,"Census Tract 9101.01, Carroll County",6224,495,ARC 20,4104.14990234,16.12610054,4120.27001953,6.41273022,0.025197,6.43792009,910101,Carroll,-392,-41,-308,-43,-194,-257,59,3.20000005,-3.9000001,0.60000002,-2.0999999,-3.5,5.5,525,49,366,110,70,186,269,-4.30000019,3.20000005,1.10000002,-4.4000001,-1.39999998,5.80000019,339,37,222,80,-21,152,208,-1.79999995,1,0.80000001,-4.19999981,0.40000001,3.79999995,472,45,280,147,-145,81,536,-2.9000001,0.40000001,2.5999999,-10.60000038,-4.5,15.10000038,{DBA55F9C-E305-4226-819F-22D55368D131},
6,13045910200,13045,"Census Tract 9102, Carroll County",11669,1080,ARC 20,29329.30078125,392.24899292,29721.59960938,45.82699966,0.61288899,46.43999863,910200,Carroll,653,178,364,111,160,304,189,1,-3.70000005,2.79999995,-7,0.89999998,6.0999999,-303,-99,-175,-29,-90,-157,-56,-1.89999998,0.5,1.39999998,0.60000002,-1.79999995,1.29999995,215,58,158,-1,-5,74,146,0.5,2.29999995,-2.79999995,-6,-1.60000002,7.69999981,565,137,347,81,65,221,279,-0.5,-0.80000001,1.29999995,-12.5,-2.5999999,15,{9F565431-FCAB-407D-9136-9691DF48D99D},
7,13045910900,13045,"Census Tract 9109, Carroll County",4064,348,ARC 20,32149.59960938,480.14801025,32629.69921875,50.2336998,0.75023103,50.98389816,910900,Carroll,-67,-23,-26,-18,-42,-28,3,-3,4.69999981,-1.60000002,-7.69999981,0.5,7.30000019,-37,-10,-21,-6,-8,-18,-11,-1.20000005,0.40000001,0.69999999,1.60000002,-1,-0.60000002,71,11,42,18,23,20,28,-1.29999995,0,1.29999995,0.40000001,-4.0999999,3.70000005,-33,-22,-5,-6,-27,-26,20,-5.5,5,0.40000001,-5.80000019,-4.5999999,10.39999962,{7BDABE53-13DC-4551-BA01-E47E1082152A},
8,13045910300,13045,"Census Tract 9103, Carroll County",5978,488,ARC 20,36344.8984375,214.26400757,36559.1015625,56.78889847,0.33478799,57.12360001,910300,Carroll,81,82,-17,16,39,-9,51,4.9000001,-5.5,0.60000002,0.40000001,-4,3.5999999,-66,-91,10,15,-34,-61,29,-6.19999981,4,2.20000005,-0.60000002,-3.29999995,3.9000001,436,116,190,130,112,215,109,-1.79999995,-2.79999995,4.5999999,-4.9000001,3.9000001,1,451,107,183,161,117,145,189,-3.20000005,-4.19999981,7.4000001,-5,-3.5,8.39999962,{2634B394-F916-46E2-A743-21A16981DF42},
9,13045911100,13045,"Census Tract 9111, Carroll County",7217,756,ARC 20,12758.70019531,138.08599854,12896.79980469,19.93549919,0.21575899,20.15119934,911100,Carroll,1120,401,498,221,226,38,856,0.80000001,-1.79999995,1.10000002,-2.79999995,-6.30000019,9.19999981,2153,96,1557,500,-383,741,1795,-6.5999999,4.4000001,2.0999999,-12.5,-0.30000001,12.89999962,-544,-3,-526,-15,432,66,-1042,1.60000002,-2.5,0.89999998,6.5,3.0999999,-9.60000038,2729,494,1529,706,275,845,1609,-4.19999981,0.1,4.0999999,-8.80000019,-3.5999999,12.39999962,{60DA917A-9F2C-46D3-A75D-B14AB62DF590},
10,13045911000,13045,"Census Tract 9110, Carroll County",6083,761,ARC 20,12543,130.88600159,12673.79980469,19.59840012,0.204509,19.80279922,911000,Carroll,310,196,31,83,61,56,193,5.80000019,-7.5999999,1.79999995,-2.20000005,-3.70000005,5.9000001,343,36,208,99,145,230,-32,-2.5999999,0.89999998,1.70000005,1.39999998,3.9000001,-5.19999981,2614,740,1385,489,225,3,2386,0.80000001,-1.10000002,0.30000001,-13,-22.20000076,35.29999924,3267,972,1624,671,431,289,2547,4,-7.80000019,3.79999995,-13.89999962,-22,35.90000153,{50AFCA81-0A57-45F4-97FA-E046B38D4EF9},
11,13045910701,13045,"Census Tract 9107.01, Carroll County",9360,796,ARC 20,16111.20019531,125.41100311,16236.59960938,25.17370033,0.19595499,25.36969948,910701,Carroll,2753,525,1713,515,480,1662,611,-9.19999981,5.5999999,3.5,-13.69999981,10,3.70000005,-823,-362,-403,-58,-348,-271,-204,-3.0999999,1.5,1.60000002,-2.29999995,3.4000001,-1.10000002,-2153,-399,-1424,-330,-478,-1530,-145,5.4000001,-7.0999999,1.70000005,5,-15.5,10.5,-223,-236,-114,127,-346,-139,262,-6.80000019,0,6.80000019,-11,-2.0999999,13.10000038,{9D99CFEE-F4A6-4BD7-933E-B207D9362C53},
12,13045910703,13045,"Census Tract 9107.03, Carroll County",8743,899,ARC 20,8591.16992188,261.16799927,8852.33984375,13.42370033,0.408075,13.83180046,910703,Carroll,-201,-92,-141,32,-126,-108,33,-1.70000005,-3,4.69999981,-2.79999995,-2.0999999,4.9000001,-86,-25,-44,-17,-18,-48,-20,0.40000001,-0.1,-0.30000001,1.79999995,-1.29999995,-0.5,253,20,122,111,21,109,123,-4.9000001,-0.30000001,5.19999981,-6.9000001,0.89999998,6,-34,-97,-63,126,-123,-47,136,-6.30000019,-3.29999995,9.60000038,-7.9000001,-2.4000001,10.39999962,{D4AF3A1F-3333-4C05-9CE9-39FB0B9611BA},
13,13045910600,13045,"Census Tract 9106, Carroll County",6391,522,ARC 20,8041.37988281,0.54437298,8041.91992188,12.56470013,0.00085058,12.56550026,910600,Carroll,458,184,151,123,72,126,260,3.0999999,-5.5999999,2.5999999,-1.20000005,-6.4000001,7.5999999,161,-27,131,57,19,46,96,-2.9000001,1.60000002,1.20000005,-0.60000002,-1.60000002,2.20000005,59,42,-57,74,105,-32,-14,1.10000002,-3.5999999,2.5,3.70000005,-2.5,-1.20000005,678,199,225,254,196,140,342,1.29999995,-7.5999999,6.30000019,1.89999998,-10.5,8.60000038,{85E064BD-AFD8-4065-B161-B61752EC75D1},
14,13045910501,13045,"Census Tract 9105.01, Carroll County",8615,712,ARC 20,7382.89013672,0,7382.89013672,11.53579998,0,11.53579998,910501,Carroll,2693,671,1400,622,578,535,1580,0.80000001,-3.5,2.5999999,2.20000005,-11.80000019,9.60000038,-2656,-837,-1507,-312,-421,-894,-1341,-3.70000005,1.29999995,2.4000001,0.30000001,5.5,-5.80000019,508,498,-18,28,285,-336,559,6.0999999,-5,-1.10000002,3,-9.10000038,6.0999999,545,332,-125,338,442,-695,798,3.20000005,-7.19999981,3.9000001,5.5,-15.39999962,9.89999962,{26785037-B262-4092-A857-1F170DFE16A8},
15,13045910702,13045,"Census Tract 9107.02, Carroll County",8052,958,ARC 20,14868.5,304.74301147,15173.29980469,23.23200035,0.476161,23.70829964,910702,Carroll,-90,-59,-44,13,-31,-35,-24,-12,1.29999995,10.69999981,0.60000002,1.5,-2.0999999,-11,-20,9,0,-5,-1,-5,-8.69999981,7.5,1.20000005,-0.5,1.89999998,-1.39999998,679,166,421,92,94,233,352,5.5999999,1.10000002,-6.69999981,-17,-9,26.10000038,578,87,386,105,58,197,323,-15,9.80000019,5.0999999,-17,-5.5,22.5,{8DCC8932-3D7E-4260-BBF6-2C8414622862},
16,13045911200,13045,"Census Tract 9112, Carroll County",5615,622,ARC 20,41791.80078125,67.61920166,41859.5,65.29969788,0.105655,65.40550232,911200,Carroll,-130,73,-140,-63,-130,-18,18,7.5999999,-5.19999981,-2.4000001,-6.69999981,4.4000001,2.29999995,209,58,169,-18,35,151,23,0.1,4.19999981,-4.30000019,-1.39999998,1.39999998,0,-190,-108,-101,19,10,-196,-4,-4.30000019,0.30000001,4,4.4000001,-5.69999981,1.29999995,-111,23,-72,-62,-85,-63,37,3.4000001,-0.69999999,-2.70000005,-3.70000005,0.1,3.5999999,{95C1F67C-03B6-4C52-9869-82777BA731AF},
17,13045910400,13045,"Census Tract 9104, Carroll County",3326,320,ARC 20,27550.09960938,53.30459976,27603.40039063,43.04700089,0.0832884,43.13029861,910400,Carroll,139,38,65,36,-25,100,64,-0.60000002,-2.70000005,3.20000005,-13.89999962,7.5,6.4000001,-217,-82,-105,-30,-93,-59,-65,-4.5,4.0999999,0.40000001,-6.19999981,9.69999981,-3.5,-118,-40,-71,-7,-16,-121,19,-3.70000005,0.1,3.5999999,4.5,-19.10000038,14.5,-196,-84,-111,-1,-134,-80,18,-8.69999981,1.5,7.19999981,-15.60000038,-1.89999998,17.5,{C5453D87-1A21-4E02-BD57-FB7EBF7E1E8A},
18,13113140207,13113,"Census Tract 1402.07, Fayette County",5652,400,ARC 10,1817.18005371,197.76800537,2014.94995117,2.83933997,0.30901301,3.14836001,140207,Fayette,130,-26,70,86,-6,54,82,-7.19999981,0.2,7,-6.30000019,0.2,6.0999999,-25,-47,10,12,34,-33,-26,-3.9000001,2.29999995,1.60000002,4.30000019,-2.29999995,-2.0999999,822,294,360,168,303,336,183,4.0999999,-4.9000001,0.80000001,-3.0999999,1.39999998,1.79999995,927,221,440,266,331,357,239,-7,-2.4000001,9.39999962,-5.0999999,-0.69999999,5.80000019,{CEF96666-DE02-4F2F-A0D5-810779ED62A7},
19,13113140208,13113,"Census Tract 1402.08, Fayette County",7538,616,ARC 10,4174.27001953,123.97299957,4298.25,6.52229977,0.193708,6.71602011,140208,Fayette,1924,570,956,398,371,564,989,0.60000002,-4.0999999,3.5,-6.30000019,-3.9000001,10.19999981,245,-130,299,76,26,207,12,-4,3.20000005,0.80000001,-0.89999998,2.4000001,-1.5,565,64,107,394,188,157,220,-1.29999995,-4.0999999,5.4000001,0.60000002,-1,0.40000001,2734,504,1362,868,585,928,1221,-4.69999981,-5,9.69999981,-6.5999999,-2.5,9.10000038,{99A0529A-BB18-4033-8A4E-B4EE52071981},
20,13113140303,13113,"Census Tract 1403.03, Fayette County",4828,268,ARC 10,3397.15991211,234.27900696,3631.43994141,5.30806017,0.366061,5.67411995,140303,Fayette,33,65,-242,210,215,-615,433,0.89999998,-4.0999999,3.20000005,3.20000005,-9.89999962,6.5999999,-1114,-631,-478,-5,-411,-537,-166,-5.9000001,2.79999995,3,-2,-1.89999998,3.9000001,1302,319,592,391,168,334,800,0.30000001,-2.70000005,2.4000001,-2.5,-2.29999995,4.80000019,221,-247,-128,596,-28,-818,1067,-4.69999981,-4,8.69999981,-1.20000005,-14.10000038,15.30000019,{B1697C12-4207-49E0-9F61-F740938EDB55},
21,13113140304,13113,"Census Tract 1403.04, Fayette County",5927,416,ARC 10,3411.91992188,33.34960175,3445.27001953,5.33112001,0.0521088,5.38323021,140304,Fayette,-286,-99,-195,8,-62,-160,-64,-1.60000002,-1.89999998,3.5,2.79999995,-3.5999999,0.80000001,278,10,201,67,18,167,93,-4.30000019,2.5999999,1.70000005,-5.5999999,4.30000019,1.29999995,312,147,94,71,94,37,181,4.4000001,-5.4000001,1,-0.1,-5.19999981,5.30000019,304,58,100,146,50,44,210,-1.5,-4.5999999,6.19999981,-2.9000001,-4.5,7.4000001,{82C6FFFA-181F-4ED4-9736-2414DE2A751F},
