OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,TOTAL_JOBS_2014,JOBS_PER_SQ_MILE_2014,JOB_TO_WORKER_RATIO_2014,JOBS_AGE_29_YNGR_2014,JOBS_AGE_30_54_2014,JOBS_AGE_55_OLDR_2014,PCT_JOBS_AGE_29_YNGR_2014,PCT_JOBS_AGE_30_54_2014,PCT_JOBS_AGE_55_OLDR_2014,JOBS_EARN_1250_MO_LESS_2014,JOBS_EARN_1251_3333_MO_2014,JOBS_EARN_MORE_3333_MO_2014,PCT_JOBS_EARN_1250_MO_LESS_2014,PCT_JOBS_EARN_1251_3333_MO_2014,PCT_JOBS_EARN_MORE_3333_MO_2014,JOBS_NAICS_11_AG_FOR_FISH_2014,JOBS_NAICS_21_MINE_OIL_GAS_2014,JOBS_NAICS_22_UTILITIES_2014,JOBS_NAICS_23_CONSTRUCTION_2014,JOBS_NAICS_31_33_MANUFACT_2014,JOBS_NAICS_42_WHOLESALE_2014,JOBS_NAICS_44_45_RETAIL_2014,JOBS_NAICS_48_49_TRANS_WHS_2014,JOBS_NAICS_51_INFORMATION_2014,JOBS_NAICS_52_FINANCE_INS_2014,JOBS_NAICS_53_REAL_ESTATE_2014,JOBS_NAICS_54_PRO_SCI_TECH_2014,JOBS_NAICS_55_MANAGEMENT_2014,JOBS_NAICS_56_ADMIN_WASTE_2014,JOBS_NAICS_61_EDUCATION_2014,JOBS_NAICS_62_HEALTH_SOC_2014,JOBS_NAICS_71_ARTS_ENT_REC_2014,JOBS_NAICS_72_ACCOMM_FOOD_2014,JOBS_NAICS_81_OTHER_SERV_2014,JOBS_NAICS_92_PUBLIC_ADMIN_2014,TOTAL_JOBS_2015,JOBS_PER_SQ_MILE_2015,JOB_TO_WORKER_RATIO_2015,JOBS_AGE_29_YNGR_2015,JOBS_AGE_30_54_2015,JOBS_AGE_55_OLDR_2015,JOBS_EARN_1250_MO_LESS_2015,JOBS_EARN_1251_3333_MO_2015,JOBS_EARN_MORE_3333_MO_2015,PCT_JOBS_AGE_29_YNGR_2015,PCT_JOBS_AGE_30_54_2015,PCT_JOBS_AGE_55_OLDR_2015,PCT_JOBS_EARN_1250_MO_LESS_2015,PCT_JOBS_EARN_1251_3333_MO_2015,PCT_JOBS_EARN_MORE_3333_MO_2015,JOBS_NAICS_11_AG_FOR_FISH_2015,JOBS_NAICS_21_MINE_OIL_GAS_2015,JOBS_NAICS_22_UTILITIES_2015,JOBS_NAICS_23_CONSTRUCTION_2015,JOBS_NAICS_31_33_MANUFACT_2015,JOBS_NAICS_42_WHOLESALE_2015,JOBS_NAICS_44_45_RETAIL_2015,JOBS_NAICS_48_49_TRANS_WHS_2015,JOBS_NAICS_51_INFORMATION_2015,JOBS_NAICS_52_FINANCE_INS_2015,JOBS_NAICS_53_REAL_ESTATE_2015,JOBS_NAICS_54_PRO_SCI_TECH_2015,JOBS_NAICS_55_MANAGEMENT_2015,JOBS_NAICS_56_ADMIN_WASTE_2015,JOBS_NAICS_61_EDUCATION_2015,JOBS_NAICS_62_HEALTH_SOC_2015,JOBS_NAICS_71_ARTS_ENT_REC_2015,JOBS_NAICS_72_ACCOMM_FOOD_2015,JOBS_NAICS_81_OTHER_SERV_2015,JOBS_NAICS_92_PUBLIC_ADMIN_2015,GlobalID,last_edited_date
1,13045910103,13045,"Census Tract 9101.03, Carroll County",4824,361,ARC 20,13733.90039063,211.03199768,13945,21.45919991,0.32973701,21.78910065,910103,Carroll,1257,57.7,0.6,419,627,211,33.3,49.9,16.8,545,488,224,43.4,38.8,17.8,0,22,0,76,7,19,525,10,7,9,1,52,0,5,149,78,11,251,34,1,1378,63.2,0.62,493,664,221,550,579,249,35.8,48.2,16,39.9,42,18.1,0,26,0,124,1,5,539,4,5,13,0,45,0,12,144,94,8,317,41,0,{05AEDD3E-A057-4AF5-BF88-8F482D12A6B9},
2,13045910104,13045,"Census Tract 9101.04, Carroll County",10068,865,ARC 20,10931.29980469,177.147995,11108.5,17.0802002,0.27679399,17.35700035,910104,Carroll,2515,144.5,0.7,495,1563,457,19.7,62.1,18.2,424,819,1272,16.9,32.6,50.6,0,21,0,121,996,446,91,132,4,9,10,20,1,271,143,40,0,140,28,42,2527,145.2,1.14,493,1548,486,406,786,1335,19.5,61.3,19.2,16.1,31.1,52.8,0,16,0,151,966,457,81,178,0,9,7,19,2,238,144,57,0,132,26,44,{8994B304-A68E-48F4-B9D1-11EC06E21DA6},
3,13045910502,13045,"Census Tract 9105.02, Carroll County",3339,523,ARC 20,1039.95996094,35.62200165,1075.58996582,1.62494004,0.0556594,1.68060994,910502,Carroll,559,328.8,0.6,143,277,139,25.6,49.6,24.9,150,253,156,26.8,45.3,27.9,0,0,0,26,102,68,105,40,0,0,22,38,0,6,0,38,0,5,30,79,531,312.4,0.24,135,278,118,152,235,144,25.4,52.4,22.2,28.6,44.3,27.1,1,0,32,37,110,68,116,41,0,0,26,32,0,3,0,34,0,2,29,0,{F77D1842-07DC-4F77-B75B-293150942C62},
4,13045910800,13045,"Census Tract 9108, Carroll County",4188,451,ARC 20,42136.6015625,437.87399292,42574.5,65.83840179,0.68417799,66.52269745,910800,Carroll,216,3.2,0.1,41,122,53,19,56.5,24.5,52,82,82,24.1,38,38,1,0,0,38,27,21,37,3,0,1,0,4,0,7,41,2,0,15,1,18,280,4.2,0.13,60,155,65,73,114,93,21.4,55.4,23.2,26.1,40.7,33.2,56,0,0,62,24,22,46,0,0,0,0,0,0,0,37,3,0,21,0,9,{388F20F3-E10D-4D8E-9AAE-E9629089D3E4},
5,13045910101,13045,"Census Tract 9101.01, Carroll County",6224,495,ARC 20,4104.14990234,16.12610054,4120.27001953,6.41273022,0.025197,6.43792009,910101,Carroll,2181,340.8,0.9,597,1184,400,27.4,54.3,18.3,740,887,554,33.9,40.7,25.4,22,0,0,123,91,95,271,223,7,88,20,66,1,93,149,323,0,397,89,123,3059,478,1.38,785,1754,520,837,1275,947,25.7,57.3,17,27.4,41.7,31,21,0,0,152,91,123,377,175,32,82,27,64,0,83,141,975,12,462,106,136,{DBA55F9C-E305-4226-819F-22D55368D131},
6,13045910200,13045,"Census Tract 9102, Carroll County",11669,1080,ARC 20,29329.30078125,392.24899292,29721.59960938,45.82699966,0.61288899,46.43999863,910200,Carroll,980,21.1,0.2,281,574,125,28.7,58.6,12.8,332,389,259,33.9,39.7,26.4,0,0,0,74,228,29,146,14,1,10,2,26,0,33,174,32,0,146,33,32,1232,26.6,0.56,306,769,157,323,519,390,24.8,62.4,12.7,26.2,42.1,31.7,0,0,0,63,501,26,143,16,0,12,4,21,0,36,161,29,0,137,41,42,{9F565431-FCAB-407D-9136-9691DF48D99D},
7,13045910900,13045,"Census Tract 9109, Carroll County",4064,348,ARC 20,32149.59960938,480.14801025,32629.69921875,50.2336998,0.75023103,50.98389816,910900,Carroll,294,5.8,0.2,62,173,59,21.1,58.8,20.1,92,122,80,31.3,41.5,27.2,0,0,0,85,1,10,58,7,1,2,5,10,2,14,70,3,1,1,20,4,255,5,0.12,48,151,56,80,99,76,18.8,59.2,22,31.4,38.8,29.8,0,0,0,51,0,10,62,3,0,0,4,10,0,12,76,2,0,1,20,4,{7BDABE53-13DC-4551-BA01-E47E1082152A},
8,13045910300,13045,"Census Tract 9103, Carroll County",5978,488,ARC 20,36344.8984375,214.26400757,36559.1015625,56.78889847,0.33478799,57.12360001,910300,Carroll,1476,25.8,0.6,472,730,274,32,49.5,18.6,596,566,314,40.4,38.3,21.3,0,0,0,318,15,19,500,26,0,1,10,19,1,55,85,26,0,387,2,12,1481,25.9,0.67,459,744,278,553,593,335,31,50.2,18.8,37.3,40,22.6,0,0,0,333,16,7,516,27,1,0,10,35,0,32,83,38,0,373,0,10,{2634B394-F916-46E2-A743-21A16981DF42},
9,13045911100,13045,"Census Tract 9111, Carroll County",7217,756,ARC 20,12758.70019531,138.08599854,12896.79980469,19.93549919,0.21575899,20.15119934,911100,Carroll,6196,306.7,2.3,1877,3322,997,30.3,53.6,16.1,2230,2332,1634,36,37.6,26.4,0,0,0,106,29,88,1124,13,693,187,43,142,2,203,772,1210,125,944,89,426,8442,417.9,3.82,2270,4706,1466,2406,3252,2784,26.9,55.7,17.4,28.5,38.5,33,0,0,0,153,29,55,1151,16,624,165,37,113,0,126,756,3532,143,1052,56,434,{60DA917A-9F2C-46D3-A75D-B14AB62DF590},
10,13045911000,13045,"Census Tract 9110, Carroll County",6083,761,ARC 20,12543,130.88600159,12673.79980469,19.59840012,0.204509,19.80279922,911000,Carroll,5221,263.7,2.1,1461,2780,980,28,53.2,18.8,1076,1251,2894,20.6,24,55.4,0,0,0,62,2324,69,313,2,11,39,24,72,1150,161,636,79,0,221,54,4,5071,256.1,2.29,1397,2738,936,1058,1065,2948,27.5,54,18.5,20.9,21,58.1,0,0,0,44,2197,67,339,0,2,28,33,47,1230,138,596,73,0,219,58,0,{50AFCA81-0A57-45F4-97FA-E046B38D4EF9},
