OBJECTID,GEOID,STATE,STUSAB,STATE_NAME,COUNTY,COUNTY_NAME,CNTY_FIPS,TRACT,lbr_idx,Shape__Area,Shape__Length
27114,13181970200,13,GA,Georgia,181,Lincoln,13181,970200,33,0.0344255628523355,0.993451844904702
27115,13153021500,13,GA,Georgia,153,Houston,13153,21500,29,0.0485216027648637,1.20821795709546
27116,13255160600,13,GA,Georgia,255,Spalding,13255,160600,26,0.0112205552088027,0.715541250094308
27229,13237960201,13,GA,Georgia,237,Putnam,13237,960201,35,0.018716472774046,0.704301320437354
34003,13069010700,13,GA,Georgia,69,Coffee,13069,10700,16,0.00848828728586501,0.485052277013273
34004,13069010500,13,GA,Georgia,69,Coffee,13069,10500,32,0.00423572368010659,0.292460091988926
34005,13135050544,13,GA,Georgia,135,Gwinnett,13135,50544,69,0.000978813533461793,0.158454701016535
34011,13135050429,13,GA,Georgia,135,Gwinnett,13135,50429,74,0.000874851421832828,0.186116262077501
34012,13135050713,13,GA,Georgia,135,Gwinnett,13135,50713,87,0.000648557071920341,0.117834923774475
34013,13105000200,13,GA,Georgia,105,Elbert,13105,200,8,0.0289672476783987,0.90363128764033
34014,13105000500,13,GA,Georgia,105,Elbert,13105,500,17,0.031839306535808,1.00809812270459
34015,13117130204,13,GA,Georgia,117,Forsyth,13117,130204,81,0.00169512393582441,0.204472874435066
34016,13117130202,13,GA,Georgia,117,Forsyth,13117,130202,85,0.00151939520914378,0.194605766150594
34017,13069010801,13,GA,Georgia,69,Coffee,13069,10801,11,0.00837107120558935,0.501163661543025
34033,13105000400,13,GA,Georgia,105,Elbert,13105,400,12,0.00118599313530154,0.185897133287515
34034,13105000300,13,GA,Georgia,105,Elbert,13105,300,19,0.0189322594427014,0.703909666567014
34035,13105000100,13,GA,Georgia,105,Elbert,13105,100,24,0.0137835973027041,0.582070249895237
34036,13025960100,13,GA,Georgia,25,Brantley,13025,960100,13,0.0279812370405084,1.07757005119
34037,13025960200,13,GA,Georgia,25,Brantley,13025,960200,8,0.04778634849702,1.55800511406017
34038,13051004212,13,GA,Georgia,51,Chatham,13051,4212,60,0.000597655752196256,0.116343012216504
34039,13245010506,13,GA,Georgia,245,Richmond,13245,10506,20,0.000446919506695913,0.101791915812827
34040,13245010105,13,GA,Georgia,245,Richmond,13245,10105,62,0.000490792145332465,0.122679546664964
34041,13067031112,13,GA,Georgia,67,Cobb,13067,31112,94,0.000398054506705323,0.0897038632750423
34042,13025960300,13,GA,Georgia,25,Brantley,13025,960300,20,0.0338423903046612,1.16224718757155
34043,13225040101,13,GA,Georgia,225,Peach,13225,40101,42,0.00483096758079241,0.329138722503457
34044,13225040102,13,GA,Georgia,225,Peach,13225,40102,49,0.00798388534457573,0.412761052800726
34045,13225040400,13,GA,Georgia,225,Peach,13225,40400,11,0.00542930572780116,0.435996040854072
