OBJECTID,MAXGISID,FACILITY_ID,LAKENAME,SUBDIVISION_NAME,EST_DEPTH,ACCESSIBLE,ACCESS_REMARKS,INSTALLDATE,ABANDONED,JURISDICTION,LANDDISTRICT,LANDLOT,PLTBKNUM,PLTBKPG,FEMA_ZONE,EPD_REACH_NAME,EPD_CRITERION_VIOLATED,EPD_POTENTIAL_CAUSES,EPD_IMPAIRED_CATEGORY,EPD_IMPAIRED_PRIORITY,EPD_IMPAIRED_NOTES,EPD_305B_303D_LIST,EPD_IMPAIRED_WATERSHED,EPD_IMPAIRED_USE,LOCATIONVERIFIED,MAPDATE,IMAGES,BRE,REMARKS,EDITOR,EDITDATE,COLLECTED_BY,INVENTORY_DATE,SURVEY_METH,INSIDE_COBB_COUNTY,shapearea,shapelen
607502,,PD1800860001,Orr Pond,N/A,,,,,NO,PRIVATE,18,86,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:40.000Z,,,ORTHO,YES,11054.1247374199,403.279364166681
607503,,PD1801420001,Ingram No. 2 Pond,N/A,,,,,NO,PRIVATE,18,142,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:42.000Z,,,ORTHO,YES,41859.2443830053,839.456844018867
607504,,PD1801420002,Ingram No. 3 Pond,N/A,,,,,NO,PRIVATE,18,142,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:43.000Z,,,ORTHO,YES,28841.4319176319,910.768966929882
607505,,LK1803080001,Green Acres Lake,N/A,,,,,NO,PRIVATE,18,308,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:45.000Z,,,ORTHO,YES,52751.1919250094,896.493226823542
607506,,PD1803770001,Green Acres Pond,N/A,,,,,NO,PRIVATE,18,377,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Private Road is Dam,YAGADJ,2015-06-17T12:03:47.000Z,,,ORTHO,YES,14079.141811549,563.379330715918
607507,,PD1807770001,Mableton Lodge Pond,N/A,,,,,NO,PRIVATE,18,777,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:49.000Z,,,ORTHO,YES,38543.5499256557,835.000699360833
607508,,PD1807800001,Troon Circle Pond,N/A,,,,,NO,PRIVATE,18,780,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:55.000Z,,,ORTHO,YES,26162.4464017283,763.07311172182
607509,,LK1806960001,Six Flags Over Georgia No. 1 Lake,N/A,,,,,NO,PRIVATE,18,696,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:57.000Z,,,ORTHO,YES,109283.006813921,1440.48792337727
607510,,LK1806950001,Six Flags Over Georgia No. 2 Lake,N/A,,,,,NO,PRIVATE,18,695,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:03:59.000Z,,,ORTHO,YES,89978.8645083574,1494.31929875008
607511,,PD1803910001,Owens Pond,N/A,,,,,NO,PRIVATE,18,391,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:02.000Z,,,ORTHO,YES,20277.8712493032,654.76181201266
607512,,LK1703240001,Girl Scouts of Greater Atlanta Lake,N/A,,,,,NO,PRIVATE,17,324,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Private Road is Dam,YAGADJ,2015-06-17T12:04:04.000Z,,,ORTHO,YES,100485.012967178,1965.76484611412
607513,,PD1704710001,Chapman Pond,N/A,,,,,NO,PRIVATE,17,471,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:06.000Z,,,ORTHO,YES,10541.5380030034,468.66626124062
607514,,PD1705380001,Bledsoe No. 2 Pond,N/A,,,,,NO,PRIVATE,17,538,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:08.000Z,,,ORTHO,YES,10498.3908763221,442.580485382748
607515,,PD1706100001,Whitefield Academy Pond,N/A,,,,,NO,PRIVATE,17,610,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-17T12:04:10.000Z,,,ORTHO,YES,17820.3897211719,562.178790010086
607516,,PD1703300001,Lakeview at Vinings Pond,Lakeview at Vinings,,,,,NO,PRIVATE,17,330,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-06-17T12:04:12.000Z,,,ORTHO,YES,30574.329283556,814.842947312956
607517,,PD1703300002,Cobb County No. 3 Pond,Thompson Park,,YES,,,NO,CCPARKS,17,330,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Private Road is Dam,YAGADJ,2015-05-11T18:08:56.000Z,,,ORTHO,YES,43167.3697765687,872.326691401411
607518,,LK1700170001,Cobb County No. 3 Lake,N/A,,YES,,,NO,CCPARKS,17,17,,,Zone X Shaded,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-05-11T18:08:25.000Z,,,ORTHO,YES,108278.462150443,1311.03876775358
607519,,LK1905610001,Rustic Village Lake,Rustic Village,,YES,,,NO,PRIVATE,19,561,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Cobb Road is Dam,YAGADJ,2015-07-13T14:45:33.000Z,,,ORTHO,YES,49996.2804692235,841.356617202479
607520,,PD1905620001,Barringer Pond,N/A,,YES,,,NO,PRIVATE,19,562,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:23:58.000Z,,,ORTHO,YES,29888.5363485213,765.243279189007
607521,,LK1905490001,Mann Lake,N/A,,YES,,,NO,PRIVATE,19,549,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:23:59.000Z,,,ORTHO,YES,75809.0232269108,1145.48186316223
607522,,LK1904740001,Hammond Lake,N/A,,YES,,,NO,PRIVATE,19,474,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:24:02.000Z,,,ORTHO,YES,237926.244132369,2704.40251985512
607523,,LK1904190001,Charleston No. 1 Lake,N/A,,YES,,,NO,PRIVATE,19,419,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:39:50.000Z,,,ORTHO,YES,169491.241171062,2682.31059271244
607524,,PD1904190001,Charleston Pond,N/A,,YES,,,NO,PRIVATE,19,419,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-07-13T14:39:56.000Z,,,ORTHO,YES,41423.2575508036,934.696875541455
607525,,LK1904710001,Kamis Lake,N/A,,,,,NO,PRIVATE,19,471,,,Zone X,,,,,,,Not on EPA List,,,ORTHO,,,,Dam Not Road,YAGADJ,2015-06-04T19:17:39.000Z,,,ORTHO,YES,94435.0187402741,1370.97652188366
