OBJECTID,Acres,LCI_Name,Year,Name,yr_gf,Study_Type,GlobalID,last_edited_date
122,271,Kennesaw,2003,Kennesaw,2003,Town Center,{92338C8F-58C9-4F5A-B484-93CB39D8C48C},2015-09-01T14:09:51.000Z
123,249,Mableton,2002,Mableton,GF,Activity Center,{8346F57B-39B8-4E40-8D92-F584586DE378},2015-09-01T14:09:51.000Z
124,812,Moreland,2007,Moreland,GF,Corridor,{E2F2D90C-F060-43EB-B08B-9DBE766F55C7},2015-09-01T14:09:51.000Z
125,255,Duluth,2000,Duluth,2000,Town Center,{9911E481-37D1-45B4-8EEC-A01A5F26BDAA},2015-09-01T14:09:51.000Z
126,1292,Oakland City / Fort McPherson,2004,Oakland City / Fort McPherson,GF,Activity Center,{D79F8983-36CD-491F-9D06-A5DE5350A73E},2015-11-13T18:32:39.000Z
127,883,Indian Trail-Lilburn,2006,Indian Trail-Lilburn,2006,Corridor,{B9F587EF-F027-447A-9676-34A4FAC6AF31},2015-09-01T14:09:51.000Z
128,3364,Town Center,2004,Town Center,2004,Activity Center,{0BC0A096-162D-43F8-9708-AD73E0D15BD3},2015-09-01T14:09:51.000Z
129,4343,McDonough,2004,McDonough,2004,Town Center,{7BE4EA3F-E2BB-406D-AD54-3A5FFFA07DC9},2015-09-01T14:09:51.000Z
130,1447,ChattHill Country West Village,2003,ChattHill Country West Village,2003,Activity Center,{2545AC22-171D-455E-889D-7E70FAFFEC20},2015-09-01T14:09:51.000Z
131,125,Avondale Estates,2013,Avondale Estates,2013,Town Center,{E6EF187B-7238-439A-9AF5-4FF1135AEDDA},2015-09-01T14:09:51.000Z
132,520,Medline,2013,Medline,2013,Activity Center,{C2E101F9-A102-4B31-8C95-8C0A651E12F3},2015-09-01T14:09:51.000Z
133,1081,Cumberland,2001,Cumberland,2001,Activity Center,{80B185EF-D078-457F-AABD-F0F2879D6AE8},2015-11-24T15:18:47.000Z
134,1511,Bells Ferry,2005,Bells Ferry,2005,Corridor,{088364C3-B340-4E43-B706-21574C9E9CDC},2015-09-01T14:09:51.000Z
135,1480,Wesley Chapel Activity Center,2010,Wesley Chapel,2010,Activity Center,{D77B08CA-D183-4693-949B-432FE09B8FEE},2015-09-01T14:09:51.000Z
136,2113,McFarland-Stoney Point,2005,McFarland-Stoney Point,2005,Activity Center,{D820EBF6-9D2B-407C-AB9F-8E410E60E368},2015-09-01T14:09:51.000Z
137,2196,Six Flags,2011,Six Flags,2011,Activity Center,{5F4AB995-E91F-4D68-8422-FD70627E5864},2015-09-01T14:09:51.000Z
138,112,Austell,2002,Austell,2002,Town Center,{070CF9FE-5896-4C66-93D7-1ECF5FA8969B},2015-09-01T14:09:51.000Z
139,1900,Candler-Flat Shoals,2006,Candler-Flat Shoals,2006,Activity Center,{15C12497-6D88-4400-B635-566FBE4A0431},2015-09-01T14:09:51.000Z
140,659,Holly Springs,2004,Holly Springs,2004,Town Center,{D4B827D4-1FEA-4616-BEAD-1311C9192417},2015-09-01T14:09:51.000Z
141,1303,Hudson Bridge,2009,Hudson Bridge,2009,Corridor,{966872C8-57BF-4BB7-919E-52079294CB66},2015-09-01T14:09:51.000Z
143,614,Winder,2009,Winder,2009,Town Center,{707FD69C-3E04-498C-82A6-632350837817},2015-09-01T14:09:51.000Z
144,1978,Milton - Hwy 9,2011,Milton - Hwy 9,2011,Activity Center,{D04648C9-9AA2-4381-843A-06A04FA25DFA},2015-09-01T14:09:51.000Z
145,1125,Roswell,2014,Holcomb Bridge Road,GF,Corridor,{24C3E2EA-384D-4EF5-924B-B13A8C8DCFD8},2015-09-01T14:09:51.000Z
146,812,Monroe,2007,Monroe,2007,Town Center,{32DE080B-A05F-4F9B-8640-36C9C86F1DFA},2015-09-01T14:09:51.000Z
147,374,Georgetown / North Shallowford,2011,Georgetown / North Shallowford,GF,Activity Center,{B09BDF26-F294-415A-B6C5-4BBF9866C238},2015-09-01T14:09:51.000Z
148,945,Northlake-Tucker,2001,Northlake,2001,Activity Center,{E4B5A45E-3EB9-400B-B454-4A4A6D238C4F},2015-12-10T19:55:07.000Z
149,769,Union City,2003,Union City,2003,Town Center,{390C34FE-AA46-442F-9FA5-878978459A76},2015-09-01T14:09:51.000Z
150,513,Hampton Town Center,2010,Hampton,2010,Town Center,{A6D6DBFD-6A51-4F14-AD00-623AD2F00EBA},2015-09-01T14:09:51.000Z
151,2295,Douglasville,2000,Douglasville,2000,Town Center,{3E4DC638-74AB-4E6E-A4E9-3CD67DDD5AB4},2015-09-01T14:09:51.000Z
152,195,Canton,2000,Canton,2000,Town Center,{D68FB78F-5D29-4B78-B743-9E0633296252},2015-09-01T14:09:51.000Z
153,341,Griffin,2006,Griffin,2006,Town Center,{6C2DFE50-BF88-4166-A2CF-73914D1AD465},2015-09-01T14:09:51.000Z
154,328,Hiram,2014,Hiram,2014,Activity Center,{91865795-DB70-4B7A-A9CE-B80FE9DBE700},2015-09-01T14:09:51.000Z
155,1052,Midtown,2000,Midtown,GF,Activity Center,{3AF6CDB5-E2A5-44A4-99CC-B8E51429003C},2016-01-06T20:22:54.000Z
156,480,Conyers,2000,Conyers,2000,Town Center,{BEFC7AED-7B72-4C21-B97C-57B6DA67E0BE},2015-09-01T14:09:51.000Z
157,1052,Powder Springs,2002,Powder Springs,2002,Town Center,{DB3D6711-4829-4B3F-8CB7-04DAD197BFD5},2015-09-01T14:09:51.000Z
158,429,Central Conyers Activity Center,2008,Central Conyers,2008,Activity Center,{1EB4B74B-D519-4737-B7B5-46A6BFDC8B95},2015-09-01T14:09:51.000Z
159,568,Lithonia,2003,Lithonia,2003,Town Center,{2B2FA72A-E469-4E34-A66B-DB3B51CB43A8},2015-09-01T14:09:51.000Z
160,1409,East Point,2004,East Point,2004,Town Center,{E250FD3E-9E98-40B1-AF85-2228881550D2},2015-09-01T14:09:51.000Z
162,336,Newnan,2013,Newnan,2013,Town Center,{9660CCFD-D757-4EE5-8F58-9E7DFA79842A},2015-09-01T14:09:51.000Z
163,1500,Tri County Crossroads,2008,Tri-County,2008,Activity Center,{22C0C949-1853-46B1-B711-8B50133FEAF7},2015-09-01T14:09:51.000Z
164,1100,Loganville,2009,Loganville,2009,Town Center,{9B175B50-FDBC-4C20-B619-87AEB5638015},2015-09-01T14:09:51.000Z
165,762,College Park,2007,Historic College Park,2007,Activity Center,{2EEEECBF-4BC9-46F6-904B-B83FE299EF7A},2015-09-01T14:09:51.000Z
166,1696,Lakewood,2012,Lakewood,2012,Activity Center,{2D347165-A579-4E27-BE1C-0AFFEF31E2AD},2015-11-13T18:33:06.000Z
167,702,SR 9-Atlanta RD,2007,Atlanta RD,2007,Corridor,{99C7528B-0E88-4D3C-AF27-673C80D78A65},2015-09-01T14:09:51.000Z
168,911,Forest Park,2001,Forest Park,2001,Town Center,{97749E16-DF0C-497F-8D2D-21E31564810F},2015-09-01T14:09:51.000Z
169,547,Vine City,2008,Vine City,2008,Activity Center,{DA60DDBA-98A0-43E8-8ED2-D830110FAB65},2015-09-01T14:09:51.000Z
170,2485,Stonecrest,2012,Stonecrest,2012,Activity Center,{1F58D836-9F8E-4611-9BD9-BE094B469AE0},2015-09-01T14:09:51.000Z
