X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
-84.41757,33.740061,19147,113096,113096,JOSEPH E LOWERY BLVD @ OAK ST SW,,,,,,,
-84.417743,33.739363,19148,113098,113098,JOSEPH E LOWERY BLVD @ 577,,,,,,,
-84.4311,33.738886,19149,113102,113102,RALPH D ABERNATHY BLVD SW @ HOPKINS ST SW,,,,,,,
-84.429155,33.738744,19150,113104,113104,RALPH D ABERNATHY BLVD SW @ ATWOOD ST SW,,,,,,,
-84.426198,33.738443,19151,113108,113108,RALPH DAVID ABERNATH BLVD@GRADY PL,,,,,,,
-84.423013,33.738248,19152,113112,113112,RALPH DAVID ABERNATH BLVD@LAWTON S,,,,,,,
-84.420632,33.738,19153,113116,113116,RALPH DAVID ABERNATH BLVD@PEEPLES,,,,,,,
-84.418205,33.737913,19154,113120,113120,RALPH DAVID ABERNATH BLVD SW@ASHBY,,,,,,,
-84.415785,33.738201,19155,113122,113122,RALPH DAVID ABERNATH BLVD SW@EVANS,,,,,,,
-84.423405,33.730568,19156,113136,113136,LAWTON ST SW@RICHLAND RD SW,,,,,,,
-84.423383,33.729646,19157,113138,113138,LAWTON ST SW@MONTREAT AVE SW,,,,,,,
-84.423381,33.728679,19158,113140,113140,LAWTON ST SW@MERRILL AVE SW,,,,,,,
-84.425438,33.728714,19159,113142,113142,MERRILL AVE SW@HALL ST SW,,,,,,,
-84.427017,33.728752,19160,113144,113144,MERRILL AVE SW@OAKLAND DR SW,,,,,,,
-84.427152,33.728551,19161,113148,113148,OAKLAND DR SW@MERRILL AVE SW,,,,,,,
-84.425631,33.728641,19162,113150,113150,MERRILL AVE SW@HALL ST SW,,,,,,,
-84.423381,33.728608,19163,113152,113152,MERRILL AVE SW@LAWTON ST SW,,,,,,,
-84.423279,33.729511,19164,113154,113154,LAWTON ST SW@MONTREAT AVE SW,,,,,,,
-84.423294,33.730488,19165,113156,113156,LAWTON ST SW@RICHLAND RD SW,,,,,,,
-84.414819,33.738456,19166,113165,113165,RALPH DAVID ABERNATH BLVD@LEE ST,,,,,,,
-84.416122,33.738338,19167,113166,113166,RALPH D ABERNATH BLVD SW @ DUNN ST SW,,,,,,,
-84.422032,33.735841,19168,113174,113174,OGLETHORPE AVE SW@LAWTON ST SW,,,,,,,
-84.415588,33.737091,19169,114006,114006,YORK AVE SW @ EVANS ST SW,,,,,,,
-84.411743,33.738449,19170,114014,114014,RALPH D ABERNATHY BLVD @ MURPHY AVE,,,,,,,
-84.411713,33.737907,19171,114016,114016,RALPH D ABERNATHY BLVD @ MURPHY AVE,,,,,,,
-84.414238,33.741009,19172,114050,114050,LEE ST SW@OAK ST SW,,,,,,,
-84.414362,33.73949,19173,114054,114054,LEE ST SW@RALPH DAVID ABERNATH BLVD,,,,,,,
-84.414299,33.738354,19174,114056,114056,LEE ST@RALPH DAVID ABERNATH BLVD,,,,,,,
-84.408112,33.727154,19175,114068,114068,METROPOLITAN PKY SW@BROOKLINE ST SW,,,,,,,
-84.408164,33.728874,19176,114071,114071,METROPOLITAN PKY SW@ELBERT ST SW,,,,,,,
-84.40807,33.729703,19177,114072,114072,METROPOLITAN PKY SW@PEARCE ST SW,,,,,,,
-84.407906,33.730354,19178,114074,114074,METROPOLITAN PKY SW@HOPE ST SW,,,,,,,
-84.40831,33.731834,19179,114076,114076,METROPOLITAN PKY SW@ROCKWELL ST SW,,,,,,,
-84.408157,33.730682,19180,114077,114077,METROPOLITAN PKY SW@HOPE ST SW,,,,,,,
-84.408287,33.736042,19181,114078,114078,METROPOLITAN PKY SW@CHRISTMAN ST SW,,,,,,,
-84.408351,33.734742,19182,114079,114079,METROPOLITAN PKY SW@SHELTON AVE SW,,,,,,,
-84.408295,33.737141,19183,114080,114080,METROPOLITAN PKY@BRONNER BROS WAY,,,,,,,
-84.413158,33.738096,19184,114082,114082,RALPH D ABERNATHY BLVD @ W WHITEHALL ST,,,,,,,
-84.407664,33.727286,19185,114088,114088,METROPOLITAN PKY SW@BROOKLINE ST SW,,,,,,,
-84.407812,33.727967,19186,114089,114089,METROPOLITAN PKY SW@ARTHUR ST SW,,,,,,,
-84.407906,33.729164,19187,114092,114092,METROPOLITAN PKY SW@MARY ST SW,,,,,,,
-84.407898,33.731632,19188,114096,114096,METROPOLITAN PKY SW@ROCKWELL ST SW,,,,,,,
-84.40793,33.73296,19189,114097,114097,METROPOLITAN PKY SW@GILLETTE AVE SW,,,,,,,
-84.407982,33.734077,19190,114100,114100,METROPOLITAN PKY SW@SHELTON AVE SW,,,,,,,
-84.408012,33.735695,19191,114102,114102,METROPOLITAN PKY SW@CHRISTMAN ST SW,,,,,,,
-84.407921,33.737442,19192,114104,114104,METROPOLITAN PKY SW @ BRONNER BROS WAY,,,,,,,
-84.402786,33.741352,19193,114106,114106,MCDANIEL ST SW @ FULTON ST SW,,,,,,,
-84.402548,33.74035,19194,114110,114110,MCDANIEL ST SW @ 565,,,,,,,
-84.402309,33.740126,19195,114112,114112,MCDANIEL ST SW @ 565,,,,,,,
-84.401677,33.738148,19196,114114,114114,MCDANIEL ST SW@GLENN ST SW,,,,,,,
-84.40159,33.738157,19197,114116,114116,MCDANIEL ST SW@GLENN ST SW,,,,,,,
-84.401695,33.734075,19198,114124,114124,MCDANIEL ST SW@STEPHENS ST SW,,,,,,,
-84.401573,33.732937,19199,114130,114130,MCDANIEL ST SW@BERKELE ST SW,,,,,,,
-84.401649,33.732133,19200,114132,114132,MCDANIEL ST SW @ ROCKWELL ST SW,,,,,,,
-84.401736,33.731999,19201,114134,114134,MCDANIEL ST SW@ROCKWELL ST SW,,,,,,,
-84.401756,33.73071,19202,114136,114136,MCDANIEL ST SW@GARDNER ST SW,,,,,,,
-84.401512,33.730251,19203,114138,114138,MCDANIEL ST SW@GARDNER ST SW,,,,,,,
-84.401657,33.729358,19204,114140,114140,MCDANIEL ST SW@MARY ST SW,,,,,,,
-84.40152,33.729141,19205,114142,114142,MCDANIEL ST SW@MARY ST SW,,,,,,,
-84.401678,33.728176,19206,114144,114144,MCDANIEL ST SW@ARTHUR ST SW,,,,,,,
-84.401527,33.727833,19207,114146,114146,MCDANIEL ST SW@ARTHUR ST SW,,,,,,,
-84.415206,33.735793,19208,114152,114152,OGLETHORPE AVE SW @ EVANS ST SW,,,,,,,
-84.413981,33.738927,19209,114166,114166,LEE ST SW @ POOLE PL SW,,,,,,,
-84.413837,33.740429,19210,114168,114168,LEE ST SW @ OAK ST SW,,,,,,,
-84.39812,33.73859,19211,114170,114170,WINDSOR ST@GLENN ST SW,,,,,,,
-84.401608,33.734075,19212,114236,114236,MCDANIEL ST @ STEPHENS ST,,,,,,,
-84.408465,33.738095,19213,114238,114238,RALPH D ABERNATHY BLVD @ METROPOLITAN PKWY SW,,,,,,,
-84.413542,33.735899,19214,114900,114900,WEST END STATION,,,,,,,
-84.394582,33.740766,19215,115002,115002,PRYOR ST SW@RICHARDSON ST SW,,,,,,,
-84.394602,33.739531,19216,115004,115004,PRYOR ST SW@CRUMLEY ST SW,,,,,,,
-84.394612,33.737795,19217,115006,115006,PRYOR ST SW@GLENN ST SW,,,,,,,
-84.394075,33.733122,19218,115012,115012,PRYOR ST SW@DODD AVE SW,,,,,,,
-84.393095,33.730912,19219,115016,115016,PRYOR ST SW @ DOANE ST SW,,,,,,,
-84.393062,33.731064,19220,115018,115018,PRYOR ST SW@DOANE ST SW,,,,,,,
-84.393531,33.733248,19221,115020,115020,CENTRAL AVE SW@DODD AVE SW,,,,,,,
-84.393447,33.736175,19222,115022,115022,CENTRAL AVE SW@RALPH DAVID ABERNATH,,,,,,,
-84.393333,33.738284,19223,115024,115024,CENTRAL AVE SW@GLENN ST SW,,,,,,,
-84.398288,33.740773,19224,115034,115034,WINDSOR ST SW@RICHARDSON ST SW,,,,,,,
-84.39844,33.73951,19225,115036,115036,WINDSOR ST SW@CRUMLEY ST SW,,,,,,,
-84.397077,33.73637,19226,115038,115038,COOPER ST SW@RALPH DAVID ABERNATHY BLVD,,,,,,,
-84.397312,33.734595,19227,115040,115040,COOPER ST SW@LOVE ST SW,,,,,,,
-84.397172,33.73244,19228,115044,115044,COOPER ST SW@HENDRIX AVE SW,,,,,,,
-84.393813,33.73229,19229,115048,115048,HENDRIX AVE SW@PRYOR ST SW,,,,,,,
-84.392918,33.72734,19230,115052,115052,PRYOR RD SW@RIDGE AVE SW,,,,,,,
-84.393078,33.736757,19231,115080,115080,RALPH D ABERNATHY BLVD SW @ CENTRAL AVE SW,,,,,,,
-84.38781,33.736542,19232,115082,115082,HANK AARON DR SE @ GEORGIA AVE SE,,,,,,,
-84.386046,33.736779,19233,115084,115084,GEORGIA AVE SE @ FRASER ST SE,,,,,,,
-84.386299,33.731716,19234,115102,115102,ORMOND ST SE@FRASER ST SE,,,,,,,
-84.384465,33.730353,19235,115106,115106,ATLANTA AVE SE @ MARTIN ST SE,,,,,,,
-84.38328,33.730335,19236,115108,115108,ATLANTA AVE SE @ GREENFIELD AVE SE,,,,,,,
-84.380773,33.731716,19237,115110,115110,ORMOND ST SE@CONNALLY ST SE,,,,,,,
-84.383118,33.731689,19238,115112,115112,ORMOND ST SE@GREENFIELD AVE SE,,,,,,,
-84.384254,33.731686,19239,115114,115114,ORMOND ST SE@MARTIN ST SE,,,,,,,
-84.384166,33.736744,19240,115122,115122,GEORGIA AVE SE @ MARTIN ST SE,,,,,,,
-84.382027,33.736693,19241,115124,115124,GEORGIA AVE SE @ AMI ST SE,,,,,,,
-84.386345,33.730352,19242,115128,115128,ATLANTA AVE SE @ FRASER ST SE,,,,,,,
-84.381981,33.736799,19243,115130,115130,GEORGIA AVE SE @ AMI ST SE,,,,,,,
-84.383872,33.736807,19244,115132,115132,GEORGIA AVE SE@MARTIN ST SE,,,,,,,
-84.386242,33.736904,19245,115136,115136,GEORGIA AVE SE @ FRASER ST SE,,,,,,,
-84.398117,33.740486,19246,115138,115138,WINDSOR ST SW @ RICHARDSON ST SW,,,,,,,
-84.398117,33.739212,19247,115140,115140,WINDSOR ST SW@CRUMLEY ST SW,,,,,,,
-84.39695,33.73656,19248,115144,115144,COOPER ST @ RALPH D ABERNATHY BLVD,,,,,,,
-84.397001,33.735546,19249,115146,115146,COOPER ST SW@BASS ST SW,,,,,,,
-84.396956,33.735009,19250,115148,115148,COOPER ST SW@LOVE ST SW,,,,,,,
-84.397018,33.73241,19251,115152,115152,COOPER ST@HENDRIX AVE,,,,,,,
-84.394042,33.732361,19252,115154,115154,HENDRIX AVE SW@PRYOR ST,,,,,,,
