OBJECTID_1,FEATURE_TY,COUNTY_FIP,ROAD_NAME,GlobalID,last_edited_date
1,City Street,057,Baxter Ave,{A8C87383-93AF-4499-9A8F-F6B8DBA18D79},
2,City Street,063,College St,{7B9CCE2F-446D-488E-837F-3E39995E6792},
3,City Street,063,Main St,{970DD33F-B1A0-44E4-8A3D-E953C2C6A22A},
4,City Street,067,Cherokee St NE,{59BB48D0-A1B0-4E27-A8C0-3EF452056418},
5,City Street,067,E Park Sq NE,{4CB7DE70-901E-4868-B663-401121701F54},
6,City Street,067,W Atlanta St SE,{2111D52E-3888-4C69-AA8E-841CC9595AD6},
7,City Street,089,DeKalb Ave NE,{5919B5AE-01AF-47E8-ADF3-E250F2DCE7C5},
8,City Street,089,E Howard Ave,{33CF74BF-0BC2-457D-A9F6-CF7CC0C63DD1},
9,City Street,089,Main St,{46727459-0073-46DE-9E1B-FEE963850539},
10,City Street,089,N Candler St,{D65128A8-536D-4419-B5F0-CF08DDD86A2C},
11,City Street,089,Peachtree Rd,{11021C58-D5A8-402F-9447-ABC9EE370FB0},
12,City Street,089,Rock Chapel Rd,{ADCD808E-F728-4586-B635-841693E6EEE4},
13,City Street,089,S Candler St,{BCA08B9B-7E74-4097-95B8-71222A7A651F},
14,City Street,089,W Howard Ave,{3750C163-C2D1-44A0-8F93-C4A5B14A51E5},
15,City Street,121,Bolton Rd NW,{44E2AEEC-4DF2-41A4-9BF3-A3C9E5B8CE2E},
16,City Street,121,Capitol Ave SW,{6A8ED64F-D5DD-4D9C-8327-6AB2B9DF35FF},
17,City Street,121,Claire Dr SE,{D0E99927-E071-4F3D-B5A9-66BDA68D3B91},
18,City Street,121,Decatur St SE,{667A636D-8AB0-4348-82C6-86C2EF6CB8E3},
19,City Street,121,DeKalb Ave NE,{54AEF9C8-AD6A-4259-8AA7-2259EAAE38E5},
20,City Street,121,Dover Rd NW,{5163B2F4-F3BF-40CD-BE16-7A34ECB67070},
21,City Street,121,Fulton Industrial Blvd NW,{D8F64911-52E7-45F3-A795-7A01BDF8A9E4},
22,City Street,121,Gray St NW,{84280EC1-8931-42B6-8BAB-0F5251D23ECA},
23,City Street,121,Houze Rd,{6CAF5827-1F4E-4D0A-9291-5DFE85FD6A58},
24,City Street,121,Jonesboro Rd,{5328AFCF-5FF8-406D-BAAF-FC6B444A2AD8},
25,City Street,121,Lakewood Ave,{242ED17B-D994-46C5-A201-5826C78DD9C2},
26,City Street,121,Magnolia St,{1A808EB5-B006-422B-B891-2B907B64624C},
27,City Street,121,Marietta Blvd NW,{8EA9B800-D846-4059-AB8A-220389314065},
28,City Street,121,Marietta St NW,{B106C87C-C40E-43C7-BCA2-EA52D325AE6E},
29,City Street,121,Martin Luther King Jr Dr,{565FF6C7-C5AB-4E04-B20F-C9972C683798},
30,City Street,121,Mimosa Blvd,{ADE670E8-76AE-434E-B9AC-55DA08327E72},
31,City Street,121,Moores Mill Rd NW,{DE3F19DE-B623-4E11-B28D-3297E59AC0A7},
32,City Street,121,Pine Grove Rd,{FF19574A-AD0F-4C4A-9FE0-2A427CE5B818},
33,City Street,121,Ponce de Leon Ave,{71E5EE46-43F5-4E38-94BE-FA577BC356B8},
34,City Street,121,Ridge Ave SW,{7A05DE88-8E9C-4C79-BD9D-97EB073B64C7},
35,City Street,121,Senoia Rd,{53D3A6DF-1726-4B0C-AE3A-4C8C4E42532D},
36,City Street,121,Simpson Rd NW,{BB87CE7F-DDBB-4773-9126-3FB7820C9C41},
37,City Street,121,Watson St,{AB7B17BB-A9E1-443F-9F49-B9CC6D84C486},
38,City Street,135,Rosebud Rd SW,{44050789-D36F-4A47-B92C-5059C78A8CDC},
39,City Street,151,Lawrenceville St,{6E4BB85A-7B37-4F06-805B-6DB96B16C92F},
40,City Street,247,N Main St NW,{D93FEF64-4179-4930-B408-26B72A0F3343},
41,County Road,057, ,{A24467FF-3818-4066-9FA3-A8382BF8C71A},
42,County Road,057,Bells Ferry Rd,{6CBB0A1F-26B9-4558-9995-727C6CDCF151},
43,County Road,057,Canton Rd,{37E39280-01F7-4A82-A801-75676E10D05E},
44,County Road,057,Canton St,{9D41DAD6-5D47-406D-97AA-2CCE796545DD},
45,County Road,057,Holbrook Campground Rd,{F8E41F7C-0DC0-441E-AD5D-9BAE348A1BDF},
46,County Road,057,Holly Springs Pky,{2D38F222-97FA-4315-8AD2-EEB28E8C28C9},
47,County Road,063,Bouldercrest Rd,{06166A63-B45A-40A1-8753-A37046718553},
