OBJECTID_1,Status,FACTYPE1,FACTYPE2,ON_OFFROAD,REGION1,REGION2,Signed,Net_Aff,Comments,State_Rte,Surf_Struc,Marked,Signed_Rte,Edited,NAME,FEAT_MOD_D,WIDTH_USFT,Length_Miles,GlobalID,last_edited_date
1,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.098282,{281EF3E6-01E2-4E49-A127-D311680645A5},
2,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.472305,{47D301BA-4255-4A7B-9E45-C1D0A7707475},
3,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,4.667297,{0D24DC61-A9D7-4302-9B17-D5CE97476893},
4,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.593294,{98A76ACA-C275-4CD8-9262-E2B8FF1CBE79},
5,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Extension Trail,,,0.053556,{33355ED1-22FB-4879-9080-B88AFB3CD7B6},
6,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Extension Trail,,,0.899785,{36A2A9E1-2636-4A44-B28E-6006D5308B14},
7,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Extension Trail,,,0.83971,{161562D4-6F29-4C3F-BBCE-BD80A1FD6A89},
8,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Extension Trail,,,0.211208,{76C497B9-08EE-4802-B1AE-BA54526D213F},
9,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Pass,,,0.076707,{C923F151-C0EC-4AE8-98BB-EC43566AE263},
10,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.764308,{A24E578D-5100-471F-9FAA-3AD1DB572117},
11,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,River Run Trail,,,0.519933,{F3066099-16FF-401D-945F-238BB2CF0065},
12,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,River Run Trail,,,0.637899,{FD62FE9B-98EA-4EB7-9CF0-59A660CAD5F7},
13,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,1.887422,{543EBB43-6519-4E61-AB50-F726591E6275},
14,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Posey Branch Trail,,,0.552138,{48474176-B19F-48DA-A30A-7B696D8283A4},
15,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Posey Branch Trail,,,0.730204,{CF846939-517D-4BD1-BC29-6CA751E78F19},
16,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Posey Branch Trail,,,1.206791,{3F5ADED3-10FE-493B-9831-21D6F39231AD},
17,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Pass,,,0.646173,{6B4E4C64-DBE0-4550-9564-452332771BBD},
18,c,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,,No,,,,Yes,Education Connector Trail,,,0.285814,{C65B0DD6-0DC9-49D2-A756-29F3A379C219},
19,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dobbs Trail,,,0.387974,{84D43B3D-9A82-48D8-AE85-34B107180CA4},
20,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Education Connector Trail,,,0.228711,{58DD0BAF-9802-4CAC-825F-093B7CFC4D2B},
21,p,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Downtown Depot Greenway,,,0.884891,{658D3EA8-F616-40B4-B273-A0BD5BAD2BAC},
22,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Old Rope Mill Trail,,,0.444526,{B44694C0-1894-421C-AD0A-C43DA491C039},
23,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Downtown Depot Greenway,,,0.601056,{72857366-5A54-485D-BF40-CFF022421A58},
24,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.673331,{F1478868-CA33-4E81-8680-2468EE99EB50},
25,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Little River Trail,,,0.269595,{8CFEFE78-406D-408F-B406-7718A33BDC20},
26,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,1.394248,{A94AB131-8DB7-4703-9A4A-65D0C56537E6},
27,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,0.698917,{2584F701-A897-4002-ACCC-3D2B42556499},
28,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,0.743003,{47090AAA-EAD6-411E-AF50-343412806267},
29,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,0.465233,{A72BBC40-C9F2-4561-BBB0-C1039EA01E6D},
30,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.644315,{A96E2EC8-22ED-49B6-93B4-309AEA444AE5},
31,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.695281,{E76D2019-1A89-4F55-8EF8-37F62FC3D93F},
32,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.31463,{DE32C3B0-6752-4509-8827-1713D52E91A5},
33,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.444015,{502AEFDB-DF1C-4EC5-825E-1808930DFB2F},
34,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,1.053227,{F0FE16AB-ED3F-4D3C-8530-30A4FB59BA94},
35,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.212277,{EC705615-72DA-43DA-9FE3-F3770E3C6207},
36,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.080861,{0BBE5465-B4FB-45D8-808A-D2E7C38E8480},
37,p,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.558339,{872D5916-A4B1-4DA4-AF62-99E828FA1D53},
38,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.870871,{80A25EBF-2746-4C5F-92EC-1F8DDE8FE2BA},
39,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.474694,{36080376-AC29-4C6B-B88B-AED3FFAB44CA},
40,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.62454,{91EF5ACC-593F-4C63-A3D9-7F83A4A1693E},
41,f,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Downtown Depot Greenway,,,0.45961,{A39AC597-D4BE-473D-A664-FC7B85B9749D},
42,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Regional Connector Trail,,,0.616759,{51CF6085-0334-4454-80EB-65E102EE9B76},
43,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Regional Connector Trail,,,0.941477,{B5D44043-B799-4FB3-95C5-E2F7053B212A},
44,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Dupree Park Connector Trail,,,0.236635,{0C94EC75-3553-4FF2-95BF-C0C833030255},
45,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,0.15775,{66BC8C75-F987-410F-A596-383B42194319},
46,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Pass,,,0.122344,{BA088170-F2AD-4FDE-9AD7-870C943D930A},
47,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Towne Lake Pass,,,0.463532,{19E12128-0703-4FA6-855E-135BE6D21605},
48,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,4.968139,{C8117B80-22EA-4DB2-AE0B-E0017B63E1FB},
49,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Trestle Rock Trail,,,0.34532,{4317EA6C-AA3D-499B-BF7C-2DB2768CB9E3},
50,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,1.184674,{34AC8E2D-C0D0-4254-A7DF-3BF615D5514E},
51,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,6.247795,{1E2F4005-3564-42FA-B02B-E5C2109C4311},
52,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,1.279075,{5C6565EF-D151-4337-A189-2D2E214886D1},
53,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.299629,{081448E8-D64A-4259-A776-14737384543D},
54,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.307372,{11EF91E6-2773-4890-B5B9-F705854C2004},
55,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.269071,{414355DF-D054-43AF-ACD3-FBA9A7549315},
56,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Little River Trail,,,1.245817,{018D6EDB-E77B-4F7E-8E22-80DEF0957E6A},
57,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.269971,{E84D125A-2A09-4CE2-B76C-FD715E686ED9},
58,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Trestle Rock Trail,,,0.589718,{E46F1519-5A9D-4360-9BFD-3C2B7720AC62},
59,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Noonday Creek Trail,,,0.643472,{5216E1D7-63FB-4C03-A1E6-C954F5775E9E},
60,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,River Run Trail,,,0.240855,{F90CB643-053B-4947-86BD-BED0EB39058B},
61,p,Side Path,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Old Rope Mill Trail,,,0.28785,{6B60EA6A-9483-48E6-8909-2B8C6D3E9A8F},
62,f,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Downtown Depot Greenway,,,0.122986,{CA480539-3A38-4444-BCA6-DC70615DFFF1},
63,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null, ,,,2.389623,{E10A6880-25CB-4C9E-B87A-A1E179EA341C},
64,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.830411,{4CA51AAF-8139-495B-8220-1A953A44621E},
65,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,0.287489,{F2B32539-E4DB-4311-85E9-47718A3A8714},
66,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Mill Creek Connector Trail,,,0.308983,{76F5930E-23DE-4F73-9E18-FB8DA2AD9733},
67,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,The Woodlands Trail,,,1.467544,{4D0CF5E2-461E-4A09-807B-1F74357CE8FF},
68,p,,Off Road Bike Facility,Off,Cherokee County,Woodstock,,Greenprints Trail,Multi-use classify by Woodstock Needs verify,,,,,Null,Bridget Hammond Trail,,,0.066978,{E3DD551E-6B35-4500-81DA-A03B50BF2D40},
