OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Population__1_yr_and_older,Population_did_not_move,Percent_of_pop_did_not_move,Population_who_moved_last_year,Percent_of_population_who_moved,GlobalID,Pop_Chng_per_SqMi_2000_2010,Pop_Moved_From_Diff_State,Pct_Pop_Moved_Diff_State,Pop_Who_Moved_From_Abroad,Pct_Pop_Moved_From_Abroad
1,910103,13045910103,9101.03,ARC 20,2015-05-27T12:35:38.000Z,4787,3670,76.67,1105,23.08,{658E33D6-D6B2-42B1-B9AF-D3960A9B65F5},100.3,133,2.78,12,0.25
2,910104,13045910104,9101.04,ARC 20,2015-05-27T12:35:38.000Z,8628,7544,87.44,1084,12.56,{8273E88C-7B01-415A-B5B1-CA8A0368F1D6},201.1,0,0,0,0
3,910502,13045910502,9105.02,ARC 20,2015-05-27T12:35:38.000Z,3049,1935,63.46,1114,36.54,{B8475AE3-4269-493F-86F5-9CF41579D4F6},-368.8,86,2.82,0,0
4,910800,13045910800,9108,ARC 20,2015-05-27T12:35:38.000Z,4170,3341,80.12,816,19.57,{20CAF293-5216-4CA3-8CD6-67DEFD3317D4},1.1,181,4.34,13,0.31
5,910101,13045910101,9101.01,ARC 20,2015-05-27T12:35:38.000Z,5647,4488,79.48,1036,18.35,{E692BA9B-EE59-456A-B858-6E563CFD338D},397.3,211,3.74,123,2.18
6,910200,13045910200,9102,ARC 20,2015-05-27T12:35:38.000Z,11767,9946,84.52,1821,15.48,{314AABB1-E453-465F-B2CB-F35076C35884},93.9,167,1.42,0,0
7,910900,13045910900,9109,ARC 20,2015-05-27T12:35:38.000Z,3847,3069,79.78,778,20.22,{1DF57CDC-36B0-49BA-86CE-52581CC7154E},7.8,28,0.73,0,0
8,910300,13045910300,9103,ARC 20,2015-05-27T12:35:38.000Z,6130,4806,78.4,1324,21.6,{3867230C-AA8F-4030-ACD7-F42BDD57BC74},17.1,231,3.77,0,0
9,911100,13045911100,9111,ARC 20,2015-05-27T12:35:38.000Z,7312,6197,84.75,1104,15.1,{CAB4D1BA-B53E-4829-B544-F4A5300EFBC0},24.2,151,2.07,11,0.15
10,911000,13045911000,9110,ARC 20,2015-05-27T12:35:38.000Z,6690,5303,79.27,1371,20.49,{5F6C6132-7053-4D16-8B6B-D56A5008533F},27.2,220,3.29,16,0.24
11,910701,13045910701,9107.01,ARC 20,2015-05-27T12:35:38.000Z,9066,7061,77.88,2005,22.12,{BEBDA8E4-3237-4F40-9DDF-F3588B4D8204},116.1,145,1.6,0,0
