OBJECTID,MTAZ10,CTAZ10,TRACT10,TAD10,SD10,FIPS,COUNTY,ACRES,GlobalID,last_edited_date
1,1,13121018,13121011506,13121064,1,13121,Fulton,154.942109,{35470C8E-EF6B-449A-8C46-ABE05C4F3F0A},
2,2,13121018,13121011506,13121064,1,13121,Fulton,517.991536,{842A81CF-15F9-43AD-BFE0-A9E7B2203C36},
3,3,13121019,13121011506,13121064,1,13121,Fulton,2145.737194,{F21645DD-CBB9-4784-AD78-E836C6F49EFD},
4,4,13121020,13121011505,13121064,1,13121,Fulton,683.314117,{0563EB45-6A10-4086-931E-FF4FDA084637},
5,5,13121021,13121011505,13121064,1,13121,Fulton,359.12272,{85484820-A98F-4A4C-8370-BC55A77A6E0B},
6,6,13121021,13121011505,13121064,1,13121,Fulton,20.735132,{789543A9-AD49-4E45-9724-78AD1216195A},
7,7,13121014,13121011503,13121064,1,13121,Fulton,434.474079,{8E152A3D-C8DD-419A-B97E-963F1449F5AA},
8,8,13121013,13121011503,13121064,1,13121,Fulton,495.531644,{CD75A437-9700-4DED-A028-D6DF17A22D2C},
9,9,13121013,13121011503,13121064,1,13121,Fulton,178.845232,{333478CC-CE80-45E7-8150-A56AB4C48A09},
10,10,13121013,13121011503,13121064,1,13121,Fulton,431.195944,{ED626A32-3F98-4F3E-86BE-7FC27BD82A32},
11,11,13121013,13121011503,13121064,1,13121,Fulton,236.712476,{306FF846-825E-4737-AB04-8B56513B6837},
12,12,13121013,13121011503,13121064,1,13121,Fulton,197.695628,{8C9DA9BC-3796-4018-B163-DDC2C40DC992},
13,13,13121015,13121011503,13121064,1,13121,Fulton,1085.468417,{D8ABB6D7-2A5B-45AD-8BDD-EF5F5EEB8CBA},
14,14,13121015,13121011503,13121064,1,13121,Fulton,50.433641,{68FEB107-63F7-4683-B5D3-D3DA3C6FC54D},
15,15,13121017,13121011503,13121064,1,13121,Fulton,122.70647,{1C918059-5EF9-4A6C-955A-977192B3E47E},
16,16,13121017,13121011503,13121064,1,13121,Fulton,1132.787626,{7BB32EB9-F353-4F49-9BFC-114028E67D35},
17,17,13121017,13121011503,13121064,1,13121,Fulton,1042.30881,{0A9FE6CE-B1C2-4D63-B309-E5FF1CDE5B9E},
18,18,13121016,13121011503,13121064,1,13121,Fulton,830.84712,{7E4AF1B3-BCEC-45F5-94A0-5483C66E253F},
19,19,13121016,13121011503,13121064,1,13121,Fulton,756.611124,{14A0E7A2-9F7D-4AE4-81A9-04AC01C0ED25},
20,20,13121016,13121011503,13121064,1,13121,Fulton,681.759048,{CA8B6AF3-FA9C-4C70-A43D-C50B04BF7B08},
21,21,13121001,13121011504,13121064,1,13121,Fulton,513.989565,{CAE02C13-77A5-4A15-B5DB-A0717872DDDF},
22,22,13121001,13121011504,13121064,1,13121,Fulton,1425.729278,{2D5CF45F-2F2E-41DB-AEE4-41A3F285D5E9},
23,23,13121001,13121011504,13121064,1,13121,Fulton,414.662066,{A9749814-34E9-4D81-A891-97BA525AD162},
24,24,13121001,13121011504,13121064,1,13121,Fulton,359.118995,{E4A61E05-4237-4117-A469-39A3A4D635D1},
25,25,13121002,13121011504,13121064,1,13121,Fulton,835.093078,{48629BC1-5583-4D96-801F-31C53EEF76D6},
26,26,13121002,13121011504,13121064,1,13121,Fulton,1532.406142,{83AAFAF1-F900-47C7-B06C-A5F481E73E81},
27,27,13121002,13121011504,13121064,1,13121,Fulton,943.888175,{F0764430-FDAE-4AAF-97E6-9272F2E6C18C},
28,28,13121003,13121011504,13121064,1,13121,Fulton,571.326834,{22DF3F44-244D-40B8-ADF3-5E27C4BF51FF},
29,29,13121003,13121011504,13121064,1,13121,Fulton,121.35958,{7F14D033-C580-4F25-975C-7C6C1CB8DB02},
30,30,13121003,13121011504,13121064,1,13121,Fulton,1971.739646,{C06D129D-66EF-4845-B6C1-2861BDBFDA43},
31,31,13121004,13121011504,13121064,1,13121,Fulton,719.231441,{D0DAE584-F829-4D5E-BEE0-118F00BFC8E7},
32,32,13121004,13121011504,13121064,1,13121,Fulton,1407.975539,{15B70A5B-1BFA-4F45-8AF7-9E517D3A65EF},
33,33,13121007,13121011504,13121064,1,13121,Fulton,973.207114,{394DD9FC-6089-4412-B085-E1AE489B3AAC},
34,34,13121007,13121011504,13121064,1,13121,Fulton,753.981967,{DC8ABDAA-83E8-4194-8131-631C3473B820},
35,35,13121007,13121011504,13121064,1,13121,Fulton,690.880291,{E7757BB1-A40C-438B-90C0-B9B06C8D6FEE},
36,36,13121005,13121011504,13121064,1,13121,Fulton,833.676966,{B6203D53-AFCF-4F5B-854E-80FFEF076840},
37,37,13121006,13121011504,13121064,1,13121,Fulton,209.488417,{2EB5D936-B533-4578-A823-C7B5E04A4EBC},
38,38,13121006,13121011504,13121064,1,13121,Fulton,406.971993,{2516E7AB-E0D9-44C8-AF90-E3127DDFFB27},
39,39,13121008,13121011615,13121064,1,13121,Fulton,615.04274,{49523D91-4192-4734-9EB0-C81E8243443B},
40,40,13121008,13121011615,13121064,1,13121,Fulton,665.610981,{14712F06-166D-4A85-91AD-ECA3F69B027A},
41,41,13121009,13121011615,13121064,1,13121,Fulton,462.807552,{C73D4D2C-B499-4D68-873C-C6D490E1B22F},
42,42,13121009,13121011615,13121064,1,13121,Fulton,62.213819,{792A68B5-3FBA-45CD-B52C-3B5556C05D85},
43,43,13121009,13121011615,13121064,1,13121,Fulton,71.140201,{73E30B7F-0681-44D1-9340-0E2260844149},
44,44,13121010,13121011615,13121064,1,13121,Fulton,382.549897,{EEA0849C-9B7F-479A-A6FE-D78B34DF4399},
45,45,13121010,13121011615,13121064,1,13121,Fulton,494.184443,{D187D7EA-13FB-4CEE-BA01-1E14FD22FC44},
46,46,13121010,13121011615,13121064,1,13121,Fulton,50.721009,{96467AC6-19D1-451C-BFB4-2C414876C546},
47,47,13121010,13121011615,13121064,1,13121,Fulton,29.561429,{211951CC-0815-4C36-B78C-EB8EF3FFC303},
48,48,13121011,13121011615,13121064,1,13121,Fulton,765.335994,{EFE941E6-EBD3-423A-8D14-C6A9D726A5BB},
49,49,13121011,13121011615,13121064,1,13121,Fulton,296.414589,{5B7EEDAE-E237-4ADD-8CA5-47D4B014B365},
50,50,13121012,13121011615,13121064,1,13121,Fulton,807.574807,{0E86913E-1613-4C26-8FD7-016484656F49},
51,51,13121012,13121011615,13121064,1,13121,Fulton,380.856966,{115F3F89-FB77-42A6-A1C9-12ADD59E8E8C},
52,52,13121025,13121011610,13121064,1,13121,Fulton,743.011143,{0BF4952A-7176-482C-BFA3-CB8E66060FDC},
53,53,13121026,13121011610,13121064,1,13121,Fulton,423.91762,{D70481DD-A63B-4B29-94AA-C1F1D5986400},
54,54,13121027,13121011611,13121064,1,13121,Fulton,190.454352,{2BA24D45-1E20-4638-A965-D53F1076505D},
55,55,13121027,13121011611,13121064,1,13121,Fulton,346.676473,{E6D56CE3-7021-4ED7-9565-C3CA3B6D5D48},
56,56,13121028,13121011611,13121064,1,13121,Fulton,216.790966,{348E964C-7BE4-45C1-9E1F-D57FBBD3380F},
57,57,13121028,13121011611,13121064,1,13121,Fulton,47.833496,{57E7EF63-B17C-4190-9E24-92367B0C57A4},
58,58,13121029,13121011611,13121064,1,13121,Fulton,455.18629,{7B14283B-7852-498D-A45E-DE082C42B1B8},
59,59,13121029,13121011611,13121064,1,13121,Fulton,135.627535,{6E0294A4-141B-4C68-8AC7-14A830C2BE69},
60,60,13121029,13121011611,13121064,1,13121,Fulton,129.355469,{B15350A5-99FC-425D-8FB4-C49DFEFA60BC},
61,61,13121029,13121011611,13121064,1,13121,Fulton,516.343424,{30527FA0-C963-4CB3-87C1-3765146936EE},
62,62,13121030,13121011611,13121064,1,13121,Fulton,279.357848,{6643A91A-C4E9-4A90-9E7A-81A415F06AA0},
63,63,13121031,13121011611,13121064,1,13121,Fulton,284.304545,{50F3A796-25D5-47D7-A3F3-012F81CCA8E5},
64,64,13121031,13121011611,13121064,1,13121,Fulton,143.51848,{1C1221E1-1B3E-4977-B6D3-2985187BCF1A},
65,65,13121031,13121011611,13121064,1,13121,Fulton,53.901896,{04DA1777-3813-4CE6-8EBA-30ABB72061E3},
66,66,13121031,13121011611,13121064,1,13121,Fulton,100.003464,{57A51EF3-A9EA-4A69-B46A-045692EB155A},
67,67,13121031,13121011611,13121064,1,13121,Fulton,111.522638,{817E8FDA-0358-490A-A94D-D7F6DF819095},
68,68,13121031,13121011611,13121064,1,13121,Fulton,243.646894,{BC54779E-7526-4F5F-9384-10785E9A9FA8},
69,69,13121031,13121011611,13121064,1,13121,Fulton,250.581713,{E843A778-38F3-49E9-BF87-5342C958CDAF},
70,70,13121039,13121011616,13121064,1,13121,Fulton,327.695607,{E839C3FB-E616-4834-A0E2-4B39259DC822},
71,71,13121039,13121011616,13121064,1,13121,Fulton,193.513042,{EF638EBF-D205-444F-816E-EE065A095C9D},
72,72,13121038,13121011616,13121064,1,13121,Fulton,102.57599,{5C545D64-FE06-436B-A5D2-45054B7DD538},
73,73,13121038,13121011616,13121064,1,13121,Fulton,234.568561,{8F0F2DB5-DE11-4AF8-9A49-48A4A8E6CFAF},
74,74,13121038,13121011616,13121064,1,13121,Fulton,27.458086,{24D3DCE3-0578-49BB-A686-17BB720270C8},
75,75,13121037,13121011616,13121064,1,13121,Fulton,345.480282,{8A9CC1F8-A2FA-4C7A-AFB3-C458D96B16AD},
76,76,13121037,13121011616,13121064,1,13121,Fulton,186.160804,{852F3A76-298F-4F33-A205-F920F8D3CB1B},
77,77,13121032,13121011614,13121064,1,13121,Fulton,605.319933,{9ADDFDFF-58A5-448F-A0D1-E896BACBD53E},
78,78,13121033,13121011614,13121064,1,13121,Fulton,57.120043,{1FC51C89-BCC9-46BC-9C92-9384574BFD09},
79,79,13121033,13121011614,13121064,1,13121,Fulton,114.608413,{097BDAC2-7A0B-497F-AA88-517F25866F21},
80,80,13121033,13121011614,13121064,1,13121,Fulton,161.66456,{7731032D-D89C-4F84-8D35-7AAA1FC43755},
81,81,13121033,13121011614,13121064,1,13121,Fulton,104.458451,{7D9F1E17-148C-4448-96AF-C2EA2EBA49F9},
82,82,13121035,13121011614,13121064,1,13121,Fulton,420.397865,{6C928FFD-DB71-4D71-97C7-3F7864DF9B84},
83,83,13121036,13121011614,13121064,1,13121,Fulton,338.625158,{35079F37-47F5-4661-944F-C51CFA72FC32},
84,84,13121034,13121011614,13121064,1,13121,Fulton,298.935188,{DD9220D5-392A-49CE-B96A-E59D063B9C3C},
85,85,13121040,13121011621,13121065,1,13121,Fulton,377.424598,{1AA4C83A-5446-475F-9DD5-F431F57AADA7},
86,86,13121040,13121011621,13121065,1,13121,Fulton,210.821909,{DF801092-E5EC-4F22-9F1F-B7E823155FD1},
87,87,13121040,13121011621,13121065,1,13121,Fulton,579.690595,{4CFBB4C5-34A4-4238-A557-472978DC5047},
88,88,13121040,13121011621,13121065,1,13121,Fulton,510.023279,{6C31E36D-7C6F-4DBC-9E17-0F7DC85F9B3B},
89,89,13121041,13121011621,13121065,1,13121,Fulton,1042.321916,{7A99E295-C219-4179-B87A-05DA4913D920},
90,90,13121047,13121011620,13121065,1,13121,Fulton,1124.497121,{986CBD17-DF73-4E13-9F0D-BB87988D3BB3},
91,91,13121046,13121011620,13121065,1,13121,Fulton,382.728996,{A7DAEAD1-C805-4D47-B36B-1A3DEE817DD6},
92,92,13121048,13121011620,13121065,1,13121,Fulton,412.106807,{B88C446F-EE1A-4197-B81D-43FF54CFE18F},
93,93,13121049,13121011624,13121065,1,13121,Fulton,667.077179,{DB42E932-298A-4336-943F-BE6F244D50CB},
94,94,13121050,13121011626,13121065,1,13121,Fulton,923.576787,{DB5C9A20-4F11-416E-8AC3-9DCDA523F02C},
95,95,13121051,13121011626,13121065,1,13121,Fulton,508.954796,{D45BC29E-17A7-4C35-ABD8-F7A8DDC392CF},
96,96,13121052,13121011622,13121065,1,13121,Fulton,193.592684,{38AADB23-AEFC-4991-9764-45ACB04553E2},
97,97,13121052,13121011622,13121065,1,13121,Fulton,1605.487287,{B9606886-7E3A-4B7E-9C04-03389EA0DE68},
98,98,13121054,13121011622,13121065,1,13121,Fulton,1454.75384,{43231F66-82FD-4662-AFA5-69CFF095E0A3},
99,99,13121054,13121011622,13121065,1,13121,Fulton,526.459674,{67C2881F-9577-4645-A7B1-8C7A5623F9ED},
100,100,13121053,13121011622,13121065,1,13121,Fulton,454.80596,{66EEB190-FF72-41E0-9E03-61A560F13629},
101,101,13121055,13121011623,13121065,1,13121,Fulton,962.087505,{EFC79D05-869B-4DEE-A824-8EC0C9B96AF3},
102,102,13121055,13121011623,13121065,1,13121,Fulton,145.597988,{DACE6153-5E7F-48F5-BDC6-A452B830ABB5},
103,103,13121056,13121011623,13121065,1,13121,Fulton,505.888187,{D485C1EF-2409-4606-93BA-AEB283D045F6},
104,104,13121057,13121011623,13121065,1,13121,Fulton,686.145384,{2F3C0A93-785C-4D79-A852-BDFD82465E83},
105,105,13121058,13121011625,13121065,1,13121,Fulton,302.362982,{240DA468-A6B7-4378-BA3E-1BBEC1215FCF},
106,106,13121059,13121011625,13121065,1,13121,Fulton,681.794004,{ABDC8719-0E0C-4F23-B9BC-ABC5F9E542B0},
107,107,13121060,13121011625,13121065,1,13121,Fulton,523.435569,{4331399E-7054-46A4-A8B8-BF8BE46C4B54},
108,108,13121119,13121011612,13121065,1,13121,Fulton,858.249336,{9249D0CB-D46B-44FB-8404-091E74DE78A2},
109,109,13121118,13121011612,13121065,1,13121,Fulton,613.525861,{6262C9AF-B1AE-4F4E-A0F6-668339203959},
110,110,13121118,13121011612,13121065,1,13121,Fulton,370.011632,{71FFDA32-A1F5-496E-B703-69DCE33B68D1},
111,111,13121063,13121011613,13121065,1,13121,Fulton,1099.914423,{DC944467-2960-4693-8CC2-A2860B558EC1},
112,112,13121062,13121011613,13121065,1,13121,Fulton,312.101262,{2876E5A2-D252-4022-983A-233704A14D0F},
113,113,13121061,13121011613,13121065,1,13121,Fulton,205.200524,{56865199-46A8-4843-A519-E149757A4680},
114,114,13121064,13121011617,13121065,1,13121,Fulton,340.660446,{B5A068E0-1B2A-456F-AF09-B96C799D0F40},
115,115,13121065,13121011617,13121065,1,13121,Fulton,421.074,{003970E9-3CCA-4CF2-8C10-B5F7DED21BA8},
116,116,13121066,13121011617,13121065,1,13121,Fulton,307.8377,{31BA4671-8CB2-429D-B880-333ED542AB7E},
117,117,13121066,13121011617,13121065,1,13121,Fulton,405.738849,{1BE58BB0-B1AC-4080-BC86-6ED9F0DF8A9E},
118,118,13121066,13121011617,13121065,1,13121,Fulton,150.826229,{FF4D9626-971F-47FC-8D75-F188936827B7},
119,119,13121045,13121011618,13121065,1,13121,Fulton,321.245808,{6F90595D-F64F-4166-BC8D-AAB8B0E8E842},
120,120,13121045,13121011618,13121065,1,13121,Fulton,316.857739,{FA2182B8-DBA2-498B-A24C-5B994D5E2664},
121,121,13121045,13121011618,13121065,1,13121,Fulton,653.360658,{86B31D14-535D-4B2F-A03B-44C719F19C3D},
122,122,13121044,13121011619,13121065,1,13121,Fulton,399.650246,{411077FD-77FC-4CE9-842F-3F1ADF5AFA25},
123,123,13121043,13121011619,13121065,1,13121,Fulton,358.329198,{65A47421-9B6D-4B6F-9AA3-8EFCC510174C},
124,124,13121042,13121011619,13121065,1,13121,Fulton,801.034511,{FA2883E0-D65D-4505-A794-4E9FB38A2CFA},
125,125,13121042,13121011619,13121065,1,13121,Fulton,205.699864,{B67E57FF-2197-46C3-B18E-C656DFD9B748},
126,126,13121075,13121011420,13121066,2,13121,Fulton,206.305516,{098CAF83-43AA-4045-9270-EC8F978A4C35},
127,127,13121074,13121011420,13121066,2,13121,Fulton,204.694955,{44554BF5-EDF9-469F-AEA5-1404F27B645C},
128,128,13121072,13121011421,13121066,2,13121,Fulton,164.311046,{E72AD0C4-7CEF-4106-9998-B2AB19A56CEE},
129,129,13121072,13121011421,13121066,2,13121,Fulton,39.305629,{55FF0EFB-E0F2-4516-8049-11129F0AD31F},
130,130,13121073,13121011421,13121066,2,13121,Fulton,373.207335,{125DA57C-D76E-49D1-ACE3-28905EFC87C9},
131,131,13121073,13121011421,13121066,2,13121,Fulton,175.867239,{AF4C4812-BDC3-4398-8CE8-DCC7D844BC39},
132,132,13121073,13121011421,13121066,2,13121,Fulton,160.273724,{D061F5FC-56A1-4D81-87A4-4A74A502E7AF},
133,133,13121073,13121011421,13121066,2,13121,Fulton,60.337764,{1DF75287-B6CB-41BB-8B1B-99AF9714EACE},
134,134,13121024,13121011416,13121066,2,13121,Fulton,16.730484,{3690C9C9-C6B0-418E-9100-37474DB5B6D0},
135,135,13121024,13121011416,13121066,2,13121,Fulton,447.976211,{567B4372-1A4D-4790-B0E9-A54AD5A4C7C7},
136,136,13121023,13121011416,13121066,2,13121,Fulton,164.43957,{00A403B9-7F9B-4C90-8A38-6FE1EC3318BC},
137,137,13121023,13121011416,13121066,2,13121,Fulton,598.697229,{B6372C19-55C6-4E70-9838-D660EB4F5131},
138,138,13121022,13121011416,13121066,2,13121,Fulton,416.681169,{E7AA06B1-92F9-4BB9-A214-C09B065CD06E},
139,139,13121078,13121011417,13121066,2,13121,Fulton,437.731668,{7796C0CC-3292-4E7A-A9E9-9FDBFD42ADA8},
140,140,13121079,13121011417,13121066,2,13121,Fulton,107.267732,{8720E53E-570C-43FB-BF1E-CB20B1BA593E},
141,141,13121079,13121011417,13121066,2,13121,Fulton,508.906814,{228E5D5C-1265-4D61-A8CA-9204E172D8BA},
142,142,13121077,13121011417,13121066,2,13121,Fulton,476.883333,{C3D8B717-4ACE-4AB5-B15F-77011E6E00E3},
143,143,13121076,13121011417,13121066,2,13121,Fulton,310.35926,{7874A25B-B4E4-418A-87AA-0657E1B29629},
144,144,13121076,13121011417,13121066,2,13121,Fulton,41.585835,{93879E02-FE13-44BF-8847-AE333916F7F3},
145,145,13121082,13121011419,13121066,2,13121,Fulton,419.942174,{57090FA9-580B-488C-BA58-682E3A9DB4B9},
146,146,13121081,13121011419,13121066,2,13121,Fulton,642.427491,{EBEECA83-E1F9-4098-9E96-62EC7C2DC39A},
147,147,13121080,13121011419,13121066,2,13121,Fulton,645.700058,{199C1956-5341-4366-A744-B4EB57342AA5},
148,148,13121085,13121011418,13121066,2,13121,Fulton,819.077765,{39747570-A5CA-4C1C-901A-6B013BF46917},
149,149,13121084,13121011418,13121066,2,13121,Fulton,460.3318,{EF125A2A-FDC6-41F2-851E-6DBA1DA5E973},
150,150,13121083,13121011418,13121066,2,13121,Fulton,1359.99811,{8148E1D8-87DA-4ECC-8D62-190DD5A51C00},
151,151,13121083,13121011418,13121066,2,13121,Fulton,44.963417,{7FBA9714-9315-41BF-A5FD-F20D59A3F7FF},
152,152,13121086,13121011423,13121066,2,13121,Fulton,886.181761,{E77CC078-D538-40B4-AF57-614F1217D694},
153,153,13121087,13121011423,13121066,2,13121,Fulton,193.59775,{1DA230ED-28CC-4349-98D4-ECFDAA4D571E},
154,154,13121087,13121011423,13121066,2,13121,Fulton,538.0024,{FD74EDAC-C6C6-4162-A7FC-E7BF13823847},
155,155,13121088,13121011422,13121066,2,13121,Fulton,464.978799,{CAC431CC-1F24-42D8-9F1D-50F3D386CFF4},
156,156,13121089,13121011422,13121066,2,13121,Fulton,580.29651,{520118D2-3865-44CA-ADDB-E709D4567F8B},
157,157,13121093,13121011405,13121066,2,13121,Fulton,134.495085,{DBDE5933-98B3-4468-B8E7-7172331FC6F7},
158,158,13121093,13121011405,13121066,2,13121,Fulton,100.642579,{274A40CA-B091-4DA7-A823-94C76953A79D},
