OBJECTID,FeatureID,NbrhdID,DevName,DevType,DevPhase,PlatDate,PathToPlatGeo,PathToPlatNotGeo,PathToPlatGeoWeb,PathToPlatNotGeoWeb,PlatType,Comments,GlobalID,created_date,last_edited_date,Shape__Area,Shape__Length
1,NP100001,SA100293,Hillbrooke,Subdivision,Unit 2,1988-07-29T00:00:00.000Z,P:\Hillbrooke\plat_geo\Unit2_19880729.tif,X:\Records\Plats\Hillbrooke\Final\Unit 2 19880729.tif,http:\\gis.johnscreekga.gov\docs\Hillbrooke\plat_geo\Unit2_19880729.tif,http://gis.johnscreekga.gov/docs_records/Plats/Hillbrooke/Final/Unit 2 19880729.tif,Final,,3c696958-f0d8-4af4-aac5-15cc09608c45,2013-06-13T13:38:36.000Z,2013-06-13T13:38:36.000Z,103007.953125,3550.22530499555
2,NP100002,SA100293,Hillbrooke,Subdivision,"Unit 2, Phase 2",1989-10-22T00:00:00.000Z,P:\Hillbrooke\plat_geo\Unit2Phase2_19891027.tif,X:\Records\Plats\Hillbrooke\Final\Unit 2 Phase 2 19891027.tif,http:\\gis.johnscreekga.gov\docs\Hillbrooke\plat_geo\Unit2Phase2_19891027.tif,http://gis.johnscreekga.gov/docs_records/Plats/Hillbrooke/Final/Unit 2 Phase 2 19891027.tif,Final,,e9f05569-d790-4190-a904-57cfc9f544a5,2013-06-13T13:38:36.000Z,2013-06-13T13:38:36.000Z,27694.015625,1471.67839274487
3,NP100004,SA100293,Hillbrooke,Subdivision,Unit 6,1990-06-22T00:00:00.000Z,P:\Hillbrooke\plat_geo\Unit6_199000622.tif,X:\Records\Plats\Hillbrooke\Final\Unit 6 19900622.tif,http:\\gis.johnscreekga.gov\docs\Hillbrooke\plat_geo\Unit6_199000622.tif,http://gis.johnscreekga.gov/docs_records/Plats/Hillbrooke/Final/Unit 6 19900622.tif,Final,,8712de8f-aee5-4733-8298-d6059eddf79c,2013-06-13T13:38:36.000Z,2013-06-13T13:38:36.000Z,106079.0625,3587.47255712911
4,NP100005,SA100293,Hillbrooke,Subdivision,Unit 3,1991-11-18T00:00:00.000Z,P:\Hillbrooke\plat_geo\Unit3_19911118.tif,X:\Records\Plats\Hillbrooke\Final\Unit 3 19911118.tif,http:\\gis.johnscreekga.gov\docs\Hillbrooke\plat_geo\Unit3_19911118.tif,http://gis.johnscreekga.gov/docs/Hillbrooke/plat/Unit 3 19911118.tif,Final,,2afd7330-6f3f-4edb-b70a-a96b84e81cd2,2013-06-13T13:38:36.000Z,2014-01-24T11:38:52.000Z,65367.69140625,2257.59856364586
5,NP100009,SA100293,Hillbrooke,Subdivision,Unit 1,1988-09-16T00:00:00.000Z,P:\Hillbrooke\plat_geo\Unit1_19880916.tif,X:\Records\Plats\Hillbrooke\Final\Unit 1 19880916.tif,http:\\gis.johnscreekga.gov\docs\Hillbrooke\plat_geo\Unit1_19880916.tif,http://gis.johnscreekga.gov/docs_records/Plats/Hillbrooke/Final/Unit 1 19880916.tif,Final,,00128fa5-c82f-4f40-9468-9162a908019d,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,68036.61328125,2407.86526648408
6,NP100010,SA100292,Abbotts Chase,Subdivision,,2007-12-04T00:00:00.000Z,P:\AbbottsChase\plat_geo\20080530.tif,X:\Records\Plats\Abbotts_Chase\Final\20080530.tif,http:\\gis.johnscreekga.gov\docs\AbbottsChase\plat_geo\20080530.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Chase/Final/20080530.tif,Final,,492a4d53-9465-4eb0-88cf-f794082022ae,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,15065.48046875,875.094635762026
7,NP100011,SA100301,Abbotts Cove,Subdivision,,1992-12-04T00:00:00.000Z,P:\AbbottsCove\plat_geo\19921204.tif,X:\Records\Plats\Abbotts_Cove_AKA_Dunhill_Place_or_Roberts_Bridge\Final\19921204.tif,http:\\gis.johnscreekga.gov\docs\AbbottsCove\plat_geo\19921204.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Cove_AKA_Dunhill_Place_or_Roberts_Bridge/Final/19921204.tif,Final,,3e50e098-4aec-4c0e-b718-57d22121da04,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,161172.18359375,5013.8568821242
8,NP100012,SA100286,Westbury,Subdivision,Phase 2,1998-10-22T00:00:00.000Z,P:\Westbury\plat_geo\Phase2.tif,X:\Records\Plats\Westbury\Final\Phase2.tif,http:\\gis.johnscreekga.gov\docs\Westbury\plat_geo\Phase2.tif,http://gis.johnscreekga.gov/docs_records/Plats/Westbury/Final/Phase2.tif,Final,,95ce0419-40b4-42d9-9cbc-75ef6cb7ca7b,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,46708.89453125,1520.27623777207
9,NP100013,SA100271,Highlands at Johns Creek,Subdivision,,2010-06-01T00:00:00.000Z,P:\HighlandsAtJohnsCreek\plat_geo\Highlands at Johns Creek 20100601.tif,X:\Records\Plats\Highlands at Johns Creek\Final\Highlands at Johns Creek 20100601.tif,http:\\gis.johnscreekga.gov\docs\HighlandsAtJohnsCreek\plat_geo\Highlands at Johns Creek 20100601.tif,http://gis.johnscreekga.gov/docs_records/Plats/Highlands at Johns Creek/Final/Highlands at Johns Creek 20100601.tif,Final,,cc21e73f-2aa1-4d33-bada-dd6a0c7382e9,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,28087.43359375,1179.32300205591
10,NP100015,SA100271,Highlands at Johns Creek,Subdivision,,2010-06-01T00:00:00.000Z,P:\HighlandsAtJohnsCreek\plat_geo\Highlands at Johns Creek 20100601pg2.tif,X:\Records\Plats\Highlands at Johns Creek\Final\Highlands at Johns Creek 20100601.tif,http:\\gis.johnscreekga.gov\docs\HighlandsAtJohnsCreek\plat_geo\Highlands at Johns Creek 20100601pg2.tif,http://gis.johnscreekga.gov/docs_records/Plats/Highlands at Johns Creek/Final/Highlands at Johns Creek 20100601.tif,Final,,e43a13f3-75a4-4316-b4b5-3b57a0d31cfd,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,22366.5,1201.95479842909
11,NP100017,SA100266,Preserve at Johns Creek,Subdivision,,2008-03-25T00:00:00.000Z,P:\PreserveAtJohnsCreek\plat_geo\FP2007-26 R4 Preserve at Johns Creek 20080325.tif,X:\Records\Plats\Preserve_at_Johns_Creek_AKA_Findley_Manor\Final\FP2007-26 R4 Preserve at Johns Creek 20080325.tif,http:\\gis.johnscreekga.gov\docs\PreserveAtJohnsCreek\plat_geo\FP2007-26 R4 Preserve at Johns Creek 20080325.tif,http://gis.johnscreekga.gov/docs_records/Plats/Preserve_at_Johns_Creek_AKA_Findley_Manor/Final/FP2007-26 R4 Preserve at Johns Creek 20080325.tif,Final,,e5f443c6-6421-43fe-8904-79db7f06d78b,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,24667.71484375,936.252113652424
12,NP100018,SA100266,Preserve at Johns Creek,Subdivision,,2008-03-25T00:00:00.000Z,P:\PreserveAtJohnsCreek\plat_geo\FP2007-26 R4 Preserve at Johns Creek 20080325pg2.tif,X:\Records\Plats\Preserve_at_Johns_Creek_AKA_Findley_Manor\Final\FP2007-26 R4 Preserve at Johns Creek 20080325.tif,http:\\gis.johnscreekga.gov\docs\PreserveAtJohnsCreek\plat_geo\FP2007-26 R4 Preserve at Johns Creek 20080325pg2.tif,http://gis.johnscreekga.gov/docs_records/Plats/Preserve_at_Johns_Creek_AKA_Findley_Manor/Final/FP2007-26 R4 Preserve at Johns Creek 20080325.tif,Final,,80b42952-640b-4164-b1a0-5439afd0962a,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,38043.6953125,1231.11748091767
13,NP100019,SA100497,Andover,Subdivision,Park,2006-02-09T00:00:00.000Z,P:\Andover\plat_geo\Park_20060209.tif,X:\Records\Plats\Andover_Subdivision\Final\Park_20060209.tif,http:\\gis.johnscreekga.gov\docs\Andover\plat_geo\Park_20060209.tif,http://gis.johnscreekga.gov/docs_records/Plats/Andover_Subdivision/Final/Park_20060209.tif,Final,,3e380672-5960-4efc-8bef-f1cb3768e09d,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,25610.83203125,1187.87551480923
14,NP100020,SA100519,Abbotts Falls,Townhomes,,2005-08-08T00:00:00.000Z,P:\AbbottsFalls\plat_geo\20050808.tif,X:\Records\Plats\Abbotts_Falls\Final\20050808.tif,http:\\gis.johnscreekga.gov\docs\AbbottsFalls\plat_geo\20050808.tif,http://gis.johnscreekga.gov/docs_records/Plats/Abbotts_Falls/Final/20050808.tif,Final,,ed8b2474-a4bc-4c0c-b3d9-9dd060fa242e,2013-06-13T13:38:37.000Z,2013-06-13T13:38:37.000Z,19662.09765625,795.058228047943
