X,Y,OBJECTID,NAME,CITY,SPACES,GlobalID,StreetNumber,PostalCode,StreetName,Publish
-84.229027431967083,33.768392464077571,76,MARTA - INDIAN CREEK STATION,Stone Mountain,2350,{46FF823F-E6E7-4597-B5B7-3BEC503B47A8},3901,30083,Durham Park Road,Yes
-84.059624613029683,33.839017225769034,78,Hewatt Road park & ride,Snellville,125,{CCDA4DB1-A240-4013-A8F9-23741EAD99FF},2191,30039,Hewatt Rd,Yes
-84.828164328127016,33.722687412361118,79,POST RD,Winston,0,{CFDBFBE5-E50A-425C-A24F-90083AA7C746},3014,30187,Post Rd,Yes
-83.798811809679194,32.092034144473807,80,VIENNA,Vienna,32,{3D451501-D563-45A3-8A4B-CE740FF5C3F9},,31092,W Union St & 1st St,Yes
-84.656421667775106,34.077542827898974,81,Acworth Park & Ride,Acworth,0,{E7136D07-6D1B-42D3-A161-3CBC5BD6FEC6},6045,30101,Lake Acworth Dr,Yes
-84.312948593665027,33.764360296713079,82,MARTA - EAST LAKE STATION,Atlanta,611,{F10439E9-BE20-46B8-BB44-C3B3E854E046},2260,30307,College Avenue,Yes
-84.289162731854773,33.2667854953595,84,US 19/41 AT ATLANTA RD - GRIFFIN,Griffin,141,{C170B072-8FAF-41B4-AF31-B2EEC90F8F4E},1405,30223,Old Atlanta Rd,Yes
-84.420261161012618,34.408697631015883,87,SR 108 EAST OF SR 515 NEAR JASPER,Jasper,22,{5C50C57A-E291-4A8C-B5D8-3E722B045FB0},2199,30143,State Rte 143,Yes
-84.175876961651056,34.067658939873709,89,W Johns Crossing @ Emory Hospital,Johns Creek,150,{6BCACB4A-19BC-4C92-94F8-51FC175559CE},6325,30097,Hospital Parkway,Yes
-84.3057978291328,33.88719228050936,91,MARTA - CHAMBLEE STATION,Chamblee,1713,{5B6E2561-2135-4521-8389-400888DD2CE6},5200,30341,New Peachtree Rd,Yes
-81.46401255958159,32.179582483440463,92,Dillion Dr & SR 30,Ellabell,38,{6FAC6ABF-4AE1-4287-B8D2-8AF71A0DFA17},,31308,Dillion Dr & SR 30,Yes
-84.369661241846401,33.824147122759598,93,MARTA - LINDBERGH CENTER STATION,Atlanta,2907,{91C6DE53-9260-40B1-BE42-986139F6C468},2424,30324,Piedmont Rd NE,Yes
-85.145887383582661,33.716736320216434,94,HIGGENS GENERAL HOSPITAL AT POPLAR ST - BREMEN,Bremen,57,{91F039D5-FAA4-4634-844C-20E2CD77FCA7},200,30110,Allen Memorial Dr,Yes
-84.174965002884761,33.930050185975254,95,GCT Route 102 – I-85/Indian Trail,Norcross,506,{7549D6FA-08D5-4A6C-95DE-18C6C5087E91},1825,30071,Indian Trail Rd,Yes
-84.447190114829269,33.651471511177213,96,MARTA - COLLEGE PARK STATION,College Park,1971,{F11E5894-F4A8-4629-B4C0-996F4DF80279},3800,30337,Main Street,Yes
-84.353718182883938,33.758406437247338,98,MARTA - INMAN PARK/REYNOLDS TOWN STATION,Atlanta,366,{9976DC33-9CE2-4F27-923F-C5F3C4EFF512},1055,30307,Dekalb Ave NE,Yes
-84.739350219120411,33.884990044552261,99,Hiram 278 Theater Park-N-Ride,Hiram,160,{64C1A530-5ECB-4AA0-A30F-03E7A33EC8D1},185,30141,Metromont Rd.,Yes
-82.926852261787886,32.78035348657648,100,SR 57 & SR 68 - BALLS FERRY (VEAL),Tennille,32,{E1AC65D0-7378-48FB-A2CD-F6C591151791},,31089,Georgia 57 & Georgia 68,Yes
-84.418874422974326,33.756425928337777,101,MARTA - ASHBY STATION,Atlanta,159,{00B1348D-FC8A-4838-9E20-F231C879362D},65,30314,Joseph E. Lowery Boulevard NW,Yes
-84.278707492894881,33.547807437611034,102,Stockbridge Park/Ride,Stockbridge,337,{26EDA744-C818-4217-AB4D-4907711A4C94},656,30281,GA-138,Yes
-84.403712198004087,33.567192394549465,103,Riverdale P&R,Riverdale,271,{B6A3FC29-9B6B-4115-BAC5-BB26B4803ECC},6842,30274,Lamar Hutcheson Parkway,Yes
-84.475863279377236,34.679565028609652,104,Craig St,East Ellijay,34,{7E8F6C99-B7F6-4FFF-866E-EA5F790ECE2D},164,30540,Craig St,Yes
-84.084622815927332,33.983783069436832,105,Sugarloaf Mills Park/Ride,Lawrenceville,500,{5C01FF3B-64B4-402A-B463-46CF22DD11E7},5900,30043,Sugarloaf Pkwy,Yes
-84.339609759098693,33.761118521620112,107,MARTA - EDGEWOOD/CANDLER PARK STATION,Atlanta,679,{5C99D02C-FBB9-4488-B9BB-74E5E33220F7},1475,30307,Dekalb Ave NE,Yes
-84.350284964258734,33.932782312242011,108,MARTA - SANDY SPRINGS STATION,Sandy Springs,1050,{CB98C676-456B-47C3-9A05-879BDA4D37C6},1101,30338,Mount Vernon Highway,Yes
-84.060287117595081,33.839982997024421,110,US 78 & HEWATT RD,Stone Mountain,170,{121C5534-A2D7-4961-87AB-3A97BC6E4B5B},,30047,US 78 & HEWATT RD,Yes
-85.253454740901901,34.015812594405077,111,PHILPOT ST AT ALPHA WAY/MOON DR - CEDARTOWN,Cedartown,31,{3B03F966-EFBA-4BC9-89BC-B92D2C5A5B4B},126,30125,Philpot St,Yes
-85.025574181459547,33.713744446876134,112,I-20 & SR 113 - VILLA RICA,Temple,15,{7EFA0877-3217-49D0-BDBF-D68752A901EB},,30179,I-20 & SR 113,Yes
-84.469090754160007,33.753574926904385,113,MARTA - HAMILTON E. HOLMES STATION,Atlanta,1436,{F33B99FF-E1C2-4E21-8EBA-2B62B5B8C638},70,30311,Hamilton E. Holmes Drive NW,Yes
-84.438100541760434,34.466529397544356,115,SR 53 & MARY ST - JASPER,Jasper,160,{1DF2F36A-D304-4368-BB55-8BF1BA18C5C2},438,30143,W Church St,Yes
-83.319887103023902,30.816374888707742,116,I-75 & SR 38 - VALDOSTA,Valdosta,20,{A6FC1DD5-5820-4FD2-AF58-640A42F8D4DE},2112,31601,W Hill Ave,Yes
-84.313077354338049,34.038913382075449,117,Mansell Park & Ride,Roswell,418,{59E6BD95-5D65-4724-A6DA-7CA8D92CE99D},,30076,GA 400 & MANSELL RD,Yes
-84.440031689547169,33.676878482608316,118,MARTA - EAST POINT STATION,East Point,927,{3F4CD34A-8D2E-4269-AD13-E460AB0C8CF4},2848,30344,Main St,Yes
-83.996093803908977,34.084154138233508,119,I-985 & SR 20,Buford,335,{918459D2-F50F-462C-92F4-566BD542CDC1},,30518,I-985 & SR 20,Yes
-84.571406343493791,34.027594967496,121,Town Center Park and Ride,Kennesaw,250,{77482C3E-A569-410B-ACC7-952AC835850B},3019,30144,George Busbee Pkwy NW,Yes
