OBJECTID,OWNER,ADDRESS,ACREAGE,TYPE,PARK_NAME,SHAPEarea,SHAPElen
37863,City,75 S Cobb Dr,43.19,Greenspace,A L Burruss Nature Park,1881382.93267074,9186.88410983559
37864,City,486 S Marietta Pkwy,20.33,Softball/Baseball,Aviation Sports Complex,885760.400243774,5727.7858504159
37866,City,81 Reynolds St,2.99,Park,Henry Memorial Park,130279.538591306,1444.14617332707
37867,City,358 W Atlanta St,0.98,Park,Brown Park,42618.8526137476,922.380133055804
37868,City,832 S Park Dr,6.37,Park,Victory Park,277304.3572945,4494.93211066634
37870,City,50 Park Sq,1.35,Park,Glover Park,58606.5409675193,903.052788137544
37871,City,147 Haynes St,6.79,Pocket,Woods Park,2958.87687587587,217.827449486683
37872,City,128 Maple Ave,6.61,Pocket,Gantt Park,2880.3510212484,277.484052349598
37873,City,475 Campbell Hill St,6.87,Park,Lewis Park,299088.801120674,2176.38463198112
37874,City,501 Wallace Rd,5.1,Park,Merritt Park,222062.699005382,1991.65271836084
37875,City,151 Manning Road,24.68,Community Park,Laurel Park,1074911.70724974,4289.21485541027
37876,City,600 S Fairground St,1.26,Pocket,Bell Bomber Park,54848.1992717711,1441.85630795585
37877,City,390 Polk St,4.06,Greenspace,Polk Street Greenspace,176916.552589384,1981.74677762378
37878,City,181 Walthal St,1.38,Greenspace,Walthal Greenspace,60017.3611233613,1432.26464804563
37879,City,1040 Franklin Gateway,1.03,Greenspace,Franklin Gateway Greenspace,44676.9134516986,890.58962875086
37880,City,144 Lemon St ,0.13,Greenspace,Hill Park,5455.20780456653,316.974265030149
37881,City,475 Birney St,1.47,Park,Birney Street Park,63979.3714141578,1043.17386111395
37882,City,179 Roswell St,0.3,Pocket,Flournoy Park,13237.6830435517,557.823999605818
37884,City,1050 Barclay Cir,29.49,Greenspace,Wildwood Park,1284468.14735538,4969.80335881144
37885,City,400 Lake Dr,1.26,Park,Lake Park,55092.6175533052,2092.69923056586
37886,City,1540 Holcomb Lake Road,2.33,Park,Whitaker Park,101506.94891372,1459.82221523446
37887,City,400 Chestnut Hill Rd,10.81,Neighborhood Park,Tumlin Park at Hickory Hills,470806.597175357,2922.95240582263
37889,City,395 Powder Springs St ,18.3,Cemetery,Marietta City Cemetery,797188.43037296,3849.04127042522
37890,City,519 Powder Springs St,120.74,Golf,Marietta City Club,5259407.4698532,12261.3751871941
37891,City,190 Roswell St ,0.15,Pocket,Joe Mack Wilson Park,6661.85695426423,383.00766741176
37892,City,751 Merritt Rd,21.17,Greenspace,Merritt Road Greenspace,922088.572159205,7869.31824228738
37893,City,1034 Franklin Gateway,13.53,Park,Franklin Gateway Sports Complex,589224.486385683,3385.36448938759
37897,City,125 W Dixie Av,3.19,Park,West Dixie Park,138755.232534218,2075.13492404652
37898,City,246 Kennesaw Ave,0.11,Pocket,Monarch Park,4868.6174131408,344.278583013841
37899,City,1701 Gresham Rd,21.94,Golf,Marietta Golf Center,955815.778124033,4137.39527756096
37900,City,510 Lawrence St,2.03,Rec,Lawrence Street Recreation Center,88580.8471899283,1390.61724450569
37903,City,600 Kenneth E Marcus Way,7.93,Park,Custer Park,345334.534540236,2432.08964061792
37904,City,545 Kenneth E Marcus Way,6.1,Rec,Custer Park Sports & Fitness Center,265749.866600493,2078.88177459684
37905,City,10 Kirkpatrick Dr,0.91,Greenspace,Kirkpatrick Greenspace,39728.2659908888,779.946358326657
37906,City,970 Burnt Hickory Rd,1.59,Greenspace,Burnt Hickory Greenspace,69159.5860546442,1160.62458880774
37907,City,426 Frasier St,2.77,Park,Kirby Park,120766.371160535,2074.2544996237
37908,City,370 Montgomery St,4.55,Park,Elizabeth Porter Park,198055.290017476,2467.76734099298
37909,City,135 Gramling St,0.7,Park,Gramling Street Park,30572.9797611503,702.486589621994
37910,City,1101 Powder Springs St,2.35,Greenspace,Powder Springs St Greenspace,102251.064754579,1367.14025503539
