OBJECTID,REGION,SqMiles,last_edited_date,GlobalID
10,RDC_AAA,3024,2016-06-21T18:42:32.000Z,{C8D7EC2F-3233-440B-959C-C39CC713A360}
11,8hr_NA,4780,2016-06-21T18:42:32.000Z,{13E28440-1223-420A-80FF-1B915C3213DD}
12,WFD,1874,2016-06-21T18:42:32.000Z,{A988A652-86C4-4CA9-926A-3C1610478196}
13,MSA_CBSA,8835,2016-06-21T18:42:32.000Z,{6C7D7C79-8931-4CB4-BFF6-B82A4E3B296D}
14,1hr_NA,4031,2016-06-21T18:42:32.000Z,{A363DCD3-92FD-4353-A1B5-17F8CD6E9AC4}
15,Particulate Matter,6455,2016-06-21T18:42:32.000Z,{72F5899C-9155-41B2-AE46-4A6A41CFDF3C}
16,MPO Area  pre-9/2014,4574,2016-06-21T18:42:32.000Z,{CA72A059-201F-402C-9EF9-08D7B1381AA3}
17,MPO Area Counties,5940,2016-06-21T18:42:32.000Z,{29817163-7720-4540-8CDC-256715E532CA}
19,MNGWPD,4930,2016-06-21T18:42:32.000Z,{FE2BED0D-837D-4732-AF4C-103EC17E14C6}
20,CSA,12085,2016-06-21T18:42:32.000Z,{FEEA6ACB-3273-466B-91A4-5BDFF8EDBEBD}
21,MPO Area Actual,4548,2016-06-21T18:42:32.000Z,{E6F3638A-ABA7-4FD9-84AD-2AE4E1AFF693}
22,Modeling Area,6410,2016-06-21T18:42:32.000Z,{7CF3A0EF-4078-4A81-A9C2-632A517D403F}
