OBJECTID,TRACTCE10,GEOID10,NAME10,PLNG_REGIO,last_edited_date,Population__2010,Population__2000,Population_Change__2000_2010,Square_Miles,GlobalID,Pop_Chng_per_SqMi_2000_2010,Pct_Pop_Chng_2000_2010,Pop_Density_per_SqMi_2010,PopChng_per_SqMi_2000_2010
1,910103,13045910103,9101.03,ARC 20,2015-05-27T14:29:55.000Z,5020,2834,2186,21.8,{D0D79963-5892-4568-9D41-2037A9227F81},100.3,77.1,230.3,100.3
2,910104,13045910104,9101.04,ARC 20,2015-05-27T14:29:55.000Z,9273,5774,3499,17.4,{03268BAA-0C74-42EA-834F-54B3CD2A4FAA},201.1,60.6,532.9,201.1
3,910502,13045910502,9105.02,ARC 20,2015-05-27T14:29:55.000Z,2920,3547,-627,1.7,{552B477E-2BBC-424B-B244-07B898243866},-368.8,-17.7,1717.6,-368.8
4,910800,13045910800,9108,ARC 20,2015-05-27T14:29:55.000Z,3974,3903,71,66.5,{B7C04DE1-D45A-46B0-A176-4DA9EA0BB8AB},1.1,1.8,59.8,1.1
5,910101,13045910101,9101.01,ARC 20,2015-05-27T14:29:55.000Z,5929,3386,2543,6.4,{7F714EE7-07CE-4E78-91AF-7ACA81034F47},397.3,75.1,926.4,397.3
6,910200,13045910200,9102,ARC 20,2015-05-27T14:29:55.000Z,11728,7373,4355,46.4,{F6FF8A98-4474-4DDD-9510-9D44F246FE58},93.9,59.1,252.8,93.9
7,910900,13045910900,9109,ARC 20,2015-05-27T14:29:55.000Z,3891,3494,397,51,{EAD6D6A7-387C-40CF-B7EB-A8ED1977384E},7.8,11.4,76.3,7.8
8,910300,13045910300,9103,ARC 20,2015-05-27T14:29:55.000Z,6310,5336,974,57.1,{9BD5B171-C397-4F64-94E8-0C1AA6A7A57C},17.1,18.3,110.5,17.1
9,911100,13045911100,9111,ARC 20,2015-05-27T14:29:55.000Z,6991,6502,489,20.2,{AE890854-536A-4533-9BCC-62EB6F2AA394},24.2,7.5,346.1,24.2
10,911000,13045911000,9110,ARC 20,2015-05-27T14:29:55.000Z,6157,5619,538,19.8,{489FB300-D781-4CFF-8E8D-3055B6494967},27.2,9.6,311,27.2
11,910701,13045910701,9107.01,ARC 20,2015-05-27T14:29:55.000Z,9171,6221,2950,25.4,{8FF01103-08AA-4F3D-A2D3-D43D86680BC9},116.1,47.4,361.1,116.1
12,910703,13045910703,9107.03,ARC 20,2015-05-27T14:29:55.000Z,7972,7021,951,13.8,{714AF0DC-672C-4D3C-BEA9-EBD97BCC28EC},68.9,13.5,577.7,68.9
13,910600,13045910600,9106,ARC 20,2015-05-27T14:29:55.000Z,5568,4680,888,12.6,{D9BE204E-D847-480C-BD5B-5D207EFD36D3},70.5,19,441.9,70.5
14,910501,13045910501,9105.01,ARC 20,2015-05-27T14:29:55.000Z,8876,7114,1762,11.5,{4E99473D-29A3-40F3-977C-7CC917DB8A5C},153.2,24.8,771.8,153.2
15,910702,13045910702,9107.02,ARC 20,2015-05-27T14:29:55.000Z,7738,5270,2468,23.7,{3F12A525-7685-4891-A517-46971EFAF7BE},104.1,46.8,326.5,104.1
16,911200,13045911200,9112,ARC 20,2015-05-27T14:29:55.000Z,5728,5545,183,65.4,{00178C70-85E8-4EEC-A92C-F8CC42064CF1},2.8,3.3,87.6,2.8
17,910400,13045910400,9104,ARC 20,2015-05-27T14:29:55.000Z,3281,3649,-368,43.1,{FB23B3DB-FDCE-46B2-852D-8C759C6C0582},-8.5,-10.1,76.1,-8.5
18,140207,13113140207,1402.07,ARC 10,2015-05-27T14:29:55.000Z,5530,5378,152,3.1,{6EA69A2B-D685-4EBB-AE58-3B3C5DC221D8},49,2.8,1783.9,49
19,140208,13113140208,1402.08,ARC 10,2015-05-27T14:29:55.000Z,7713,4795,2918,6.7,{E8ACABAC-18AF-408D-BCEB-842B4441CEA0},435.5,60.9,1151.2,435.5
20,140303,13113140303,1403.03,ARC 10,2015-05-27T14:29:55.000Z,4550,5055,-505,5.7,{CBDA80AF-01B4-4C77-A428-336EC2167EEE},-88.6,-10,798.2,-88.6
21,140304,13113140304,1403.04,ARC 10,2015-05-27T14:29:55.000Z,5757,6350,-593,5.4,{21735790-5AFD-47EC-9347-B513C8FDC9D6},-109.8,-9.3,1066.1,-109.8
22,140307,13113140307,1403.07,ARC 10,2015-05-27T14:29:55.000Z,4878,4051,827,6.7,{67A85B21-6FB5-4E26-B818-0442BCE8FE5B},123.4,20.4,728.1,123.4
23,140408,13113140408,1404.08,ARC 10,2015-05-27T14:29:55.000Z,3239,3398,-159,6.1,{4EF1A901-06DE-4D91-840C-97DF007FC677},-26.1,-4.7,531,-26.1
24,140407,13113140407,1404.07,ARC 10,2015-05-27T14:29:55.000Z,7707,6029,1678,8.6,{0D3AC398-CE1A-4815-AC3F-9A2ABDEF9C1E},195.1,27.8,896.2,195.1
25,140405,13113140405,1404.05,ARC 10,2015-05-27T14:29:55.000Z,3441,3328,113,7.9,{E790E147-2B98-4C71-9D11-F55FA9735F4C},14.3,3.4,435.6,14.3
26,140404,13113140404,1404.04,ARC 10,2015-05-27T14:29:55.000Z,5533,4547,986,5.5,{FC53CA86-4FE8-4638-8E7C-54C851237528},179.3,21.7,1006,179.3
27,140206,13113140206,1402.06,ARC 10,2015-05-27T14:29:55.000Z,4465,3561,904,5.6,{9189B56D-5AA4-44CC-A425-2F09A493FBA9},161.4,25.4,797.3,161.4
28,140203,13113140203,1402.03,ARC 10,2015-05-27T14:29:55.000Z,5743,3492,2251,10.4,{AF27FC62-EFE3-4BC9-8FE8-C38AA36F68D1},216.4,64.5,552.2,216.4
29,140204,13113140204,1402.04,ARC 10,2015-05-27T14:29:55.000Z,5190,4501,689,16.2,{DE4ED41C-94FA-4CFE-8C2E-4204434D179B},42.5,15.3,320.4,42.5
30,140305,13113140305,1403.05,ARC 10,2015-05-27T14:29:55.000Z,4685,2189,2496,10.1,{9009C999-1601-48E2-A5A0-19F923514A77},247.1,114,463.9,247.1
31,140403,13113140403,1404.03,ARC 10,2015-05-27T14:29:55.000Z,5282,4521,761,6.2,{0B587025-C6E0-4F54-995A-A7CE785D22C2},122.7,16.8,851.9,122.7
32,140406,13113140406,1404.06,ARC 10,2015-05-27T14:29:55.000Z,3566,3372,194,5.2,{850FDDD3-360A-40AB-86AD-30D725CCCAF7},37.3,5.8,685.8,37.3
33,140306,13113140306,1403.06,ARC 10,2015-05-27T14:29:55.000Z,7234,6947,287,5.1,{61ABFE82-A64D-4DBD-AAD9-53B2D5B56453},56.3,4.1,1418.4,56.3
34,140102,13113140102,1401.02,ARC 10,2015-05-27T14:29:55.000Z,5436,5482,-46,12.1,{372B8440-A245-45C5-A55E-38585848BD9B},-3.8,-0.8,449.3,-3.8
35,140101,13113140101,1401.01,ARC 10,2015-05-27T14:29:55.000Z,7407,6597,810,16.5,{26C049C8-9A8B-43F0-8B12-5B4EEE4AD8D0},49.1,12.3,448.9,49.1
36,140502,13113140502,1405.02,ARC 10,2015-05-27T14:29:55.000Z,3321,2976,345,27.9,{ED3DA114-C553-4560-B398-667DCB5F49D7},12.4,11.6,119,12.4
37,140501,13113140501,1405.01,ARC 10,2015-05-27T14:29:55.000Z,5890,4694,1196,28.3,{AF608844-D24E-4FF3-B554-C7F13AF8074C},42.3,25.5,208.1,42.3
38,060404,13247060404,604.04,ARC 10,2015-05-27T14:29:55.000Z,5643,5915,-272,6,{5EC2C4E0-EE65-4900-9C44-BACAD37CC77C},-45.3,-4.6,940.5,-45.3
39,060304,13247060304,603.04,ARC 10,2015-05-27T14:29:55.000Z,5591,4613,978,8.1,{6824F2AE-61C8-428C-874D-DAB5683CB34D},120.7,21.2,690.2,120.7
40,060101,13247060101,601.01,ARC 10,2015-05-27T14:29:55.000Z,3446,3342,104,11,{C43247EB-27EC-4FF3-9BD1-B7D46BD4F9FE},9.5,3.1,313.3,9.5
41,060202,13247060202,602.02,ARC 10,2015-05-27T14:29:55.000Z,9561,7623,1938,11.1,{6243DD6C-0521-4664-9823-E15B125DB827},174.6,25.4,861.4,174.6
42,060201,13247060201,602.01,ARC 10,2015-05-27T14:29:55.000Z,4821,4659,162,5.1,{28B166EC-5103-4F9B-AB67-4B438AB68231},31.8,3.5,945.3,31.8
