X,Y,OBJECTID,SYSSCHOOL,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,FAC_SCHTYP,GRADE_RANGE,SCHOOL_ADD,SCHOOL_CITY,STATE,SCHOOL_ZIP,SCHOOL_PHONE,Tot_EnrollmentA_FallSchYr_2011,Pct_Absent_0_5_days_2011,Pct_Absent_6_15_days_2011,Pct_Absent_16_or_more_days_2011,Tot_EnrollmentA_FallSchYr_2012,Pct_Absent_0_5_days_2012,Pct_Absent_6_15_days_2012,Pct_Absent_16_or_more_days_2012,Tot_EnrollmentA_FallSchYr_2013,Pct_Absent_0_5_days_2013,Pct_Absent_6_15_days_2013,Pct_Absent_16_or_more_days_2013,Tot_EnrollmentA_FallSchYr_2014,Pct_Absent_0_5_days_2014,Pct_Absent_6_15_days_2014,Pct_Absent_16_or_more_days_2014,Tot_EnrollmentA_FallSchYr_2015,Pct_Absent_0_5_days_2015,Pct_Absent_6_15_days_2015,Pct_Absent_16_or_more_days_2015,Tot_EnrollmentA_FallSchYr_2016,Pct_Absent_0_5_days_2016,Pct_Absent_6_15_days_2016,Pct_Absent_16_or_more_days_2016,GlobalID,last_edited_date
-84.961576000064511,31.372890999942097,1,6490194,649,Early County,0194,Early County Elementary School,E,PK-05,283 Martin Luther King Jr Blvd,Blakely,GA,39823-3455,229.723.4101,1020,50.9,40.4,8.7,951,61.5,33.3,5.1,977,55,37.8,7.1,941,56.2,37.1,6.7,965,53.4,37.9,8.7,941,56.8,34.9,8.3,{97135FD9-B016-43FF-9441-E8FEFA82F28D},
-84.576299000273906,30.884857999841639,2,6433052,643,Decatur County,3052,John Johnson Elementary School,E,PK-04,1947 S West St,Bainbridge,GA,39819-4941,229.248.2215,433,55.5,41,3.4,406,57.7,37.4,4.8,422,51.1,41.7,7.2,414,56.8,36.3,6.9,401,52.5,40.1,7.3,399,58.3,35.8,5.9,{211CA459-51A7-4CE1-AD8F-B43E4A40B128},
-84.574036000822744,30.899823999373726,3,6430191,643,Decatur County,0191,Potter Street Elementary School,E,PK-04,725 Potter St,Bainbridge,GA,39819-4535,229.248.2253,281,49.6,38.2,12.2,311,61.9,30.8,7.3,306,52.6,38.2,9.2,276,51.1,39.2,9.7,255,44.5,40.2,15.3,262,55.8,31.1,13.1,{FEF728D7-2C94-4077-9A5F-634A7F42DF05},
-84.568826999954425,30.893830000290592,4,6431052,643,Decatur County,1052,Elcan-King Elementary School,E,PK-04,725 E Louise St,Bainbridge,GA,39819-4625,229.248.2212,438,53,39.5,7.6,436,57.3,34.3,8.4,423,52.3,38.6,9.1,429,45.8,42.5,11.8,414,54.1,38.4,7.5,424,55.7,33.4,10.9,{D8BD0D7B-AA6A-4F37-891D-A745D04AD04F},
-84.558860000547938,30.909013999584733,5,6432052,643,Decatur County,2052,Hutto Middle School,E,05-06,1201 Martin Luther King Jr Dr,Bainbridge,GA,39817-3815,229.248.2224,824,53.1,38.5,8.4,844,53.6,35,11.4,819,47.4,40.4,12.2,777,48.8,39.5,11.6,760,49.1,37.9,13,730,55.8,33.9,10.4,{29209D46-EE04-4319-AE1D-6463A77835D4},
-84.55523599995017,30.905389000043495,6,6434052,643,Decatur County,4052,Jones-Wheat Elementary School,E,PK-04,1400 E Broughton St,Bainbridge,GA,39817-4204,229.248.2218,446,43.1,44.3,12.6,429,50.1,39.2,10.6,440,38.2,45.8,16,438,43.7,43.5,12.8,450,52.2,40.7,7.1,438,53.2,41.7,5.1,{BC7179B0-92E4-4685-9A11-E3AA9C2E13AE},
-84.880515000627781,31.032656999808545,7,7250296,725,Seminole County,0296,Seminole County Elementary School,E,PK-05,800 Marianna Hwy,Donalsonville,GA,39845-1916,229.524.5235,734,58.6,34,7.4,741,56.7,34.6,8.7,744,44.6,41.9,13.5,732,48,39.3,12.7,709,51.7,38.6,9.7,673,56.7,35.7,7.6,{A0E00179-2246-4437-ADF0-25255C2A4FF9},
-84.71028000087351,31.190919999968347,8,7000110,700,Miller County,0110,Miller County Elementary School,E,PK-05,996 Phillipsburg Rd,Colquitt,GA,39837-6538,229.758.4140,503,100,0,0,507,100,0,0,513,100,0,0,503,39.4,44.1,16.5,458,48.2,37.3,14.5,475,47.5,41.3,11.2,{D79ACF4F-5B2D-42B9-AF05-C58C45361D3D},
-84.708900000576932,31.450548999615322,9,6190179,619,Calhoun County,0179,Calhoun County Elementary School,E,PK-05,18904 Morgan Rd,Arlington,GA,39813-6710,229.213.0147,310,81.4,17.8,0.8,329,86.4,11.6,2,320,55,41.6,3.4,307,47.9,42.9,9.2,316,49.7,43.5,6.8,294,62.5,32.9,4.6,{684CFA6A-279A-469E-A633-6B4AEAF46C37},
-84.612542000767974,30.933248999895632,10,6430105,643,Decatur County,0105,West Bainbridge Elementary School,E,PK-04,915 Zorn Rd,Bainbridge,GA,39817-6708,229.248.2821,521,48.7,42.6,8.7,482,56.3,37.3,6.4,506,57.1,34.5,8.4,492,46.4,44.4,9.2,469,51.8,39.7,8.4,488,50,41.1,8.9,{7AA7804B-289E-4278-B6FC-95536AA430BB},
