X,Y,OBJECTID,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,TYPE,NAME,METHOD,updated,draw,GlobalID,last_edited_date
-84.065147239244325,33.68775713111215,1295,Philadelphia Christian School,20,2360 Old Covington Hwy, ,Conyers,Georgia,30012,770,483-7789, ,Principal,13247,Private School,Rockdale,GPS,2012-02-02T00:00:00.000Z,,{D724A2E2-8A69-4528-A370-CCA222489C37},
-84.014991424304668,33.660717152137821,1303,Springs Academy,20,1343 Business Center Drive,-A,Conyers,Georgia,30094,770,483-4139, ,Principal,13247,Private School,Rockdale,GPS,2012-02-02T00:00:00.000Z,,{1E079F29-035B-40D6-B761-23DCAD1FDDFF},
-84.11166081081123,33.4403965271309,1305,Eagle's Landing Christian Academy,20,334 Lake Dow Road, ,McDonough,Georgia,30252,770,957-2927, ,Principal,13151,Private School,Henry,GPS,2012-02-01T00:00:00.000Z,,{EBBD2066-5A02-43C7-A67E-791AFAD16525},
-84.029504880812098,34.079879540386941,1308,Old Suwanee Baptist Church and Christian School,20,4118 Old Suwanee Road, ,Buford,Georgia,30518,770,945-5451, ,Principal,13135,Private School,Gwinnett,GPS,2012-02-01T00:00:00.000Z,,{2C4E3291-B793-4CA8-9174-96B2DD9A1F15},
-84.113467471842,33.888039231276352,1314,Killian Hill Christian,20,151 Arcado Road,P.O. Box 1455,Lilburn,Georgia,30047,770,921-3224, ,Principal,13135,Private School,Gwinnett,GPS,2012-02-01T00:00:00.000Z,,{B70C8871-577B-4190-BEE0-1872880C5615},
-84.132809598019122,33.898826702865605,1315,Providence Christian Academy,20,4575 Lawrenceville Hwy, ,Lilburn,Georgia,30047,770,279-7200, ,Principal,13135,Private School,Gwinnett,GPS,2012-02-01T00:00:00.000Z,,{FD5B6054-A96A-4B45-8C5F-7C7B236E4BA9},
-84.32523456931321,33.760548920132855,1318,Horizons School,20,1900 DeKalb Avenue, ,Atlanta,Georgia,30307,404,378-2219, ,Principal,13089,Private School,DeKalb,GPS,2012-01-11T00:00:00.000Z,,{CDCBAB9A-5200-4376-ABFF-E080BF0475B0},
-84.298377179599143,33.985631256226092,1334,Brandon Hall School,20,1701 Brandon Hall Drive, ,Atlanta,Georgia,30350,404,394-8177, ,Principal,13121,Private School,Fulton,GPS,2012-01-24T00:00:00.000Z,,{8A638065-1C76-4E47-9103-D1B164ECC476},
-84.396501580741116,33.888520424840266,1340,Schenck School (The),20,282 Mount Paran Road, ,Atlanta,Georgia,30327,404,252-2591, ,Principal,13121,Private School,Fulton,GPS,2012-01-24T00:00:00.000Z,,{CF9FEC52-AD5C-4460-94CA-9AFAB9E95518},
-84.468954590790489,33.570977218179131,1352,Prime Care Learning Center,20,6755 Old National Hwy, ,College Park,Georgia,30349,404,997-9305, ,Principal,13121,Private School,Fulton,GPS,2012-01-24T00:00:00.000Z,,{0F31E68B-AE32-45AB-A61D-0C046581B306},
-84.502724863437123,33.68286732092195,1358,Excelsior School,20,3480 Greenbriar Parkway, ,Atlanta,Georgia,30331,404,344-6870, ,Principal,13121,Private School,Fulton,GPS,2012-01-24T00:00:00.000Z,,{D03FCD16-E18C-42FF-BA8C-18ADB235A07F},
-84.46775889232697,33.720161890202547,1371,Hillside Learning Center (The),20,2450 Cascade Road SW, ,Atlanta,Georgia,30311,404,755-2315, ,Principal,13121,Private School,Fulton,GPS,2012-01-24T00:00:00.000Z,,{54AC1BE9-5E2E-4BB2-9EB5-11C45B8151A1},
-84.475995621841975,33.685067718383316,1382,Greater Atlanta Adventist Academy,20,2581 Dodson Drive, ,Atlanta,Georgia,30344,404,669-3200, ,Principal,13121,Private School,Fulton,GPS,2012-01-24T00:00:00.000Z,,{234352ED-A557-47B6-96DA-2A1E49FAF660},
-83.968334688073071,33.912134674816585,1388,Cornerstone Baptist School,20,1400 Grayson Hwy SW, ,Lawrenceville,Georgia,30045,770,339-3027, ,Principal,13135,Private School,Gwinnett,GPS,2012-02-01T00:00:00.000Z,,{56ABAC3B-8D78-42AD-BCD4-0E921105866E},
-84.786601160989463,33.659419423363651,1397,Kings Way Christian,20,6456 The Kings Way, ,Douglasville,Georgia,30135,770,949-0812, ,Principal,13097,Private School,Douglas,GPS,2012-01-17T00:00:00.000Z,,{7473E954-9D56-480E-8917-E77F02A273FC},
-84.726369353059837,33.760798021259227,1402,Montessori School of Douglas County,20,8014 Durelee Lane, ,Douglasville,Georgia,30134,770,949-3115, ,Principal,13097,Private School,Douglas,GPS,2012-01-17T00:00:00.000Z,,{DFE49F94-5BDB-4AB0-A0F5-E957348FB4CC},
-84.658338921123317,33.773233497454278,1404,Lithia Christian Academy,20,2548 Vulcan Drive,P.O. Box 837,Lithia Springs,Georgia,30122,770,941-5406, ,Principal,13097,Private School,Douglas,GPS,2012-01-17T00:00:00.000Z,,{129FCE75-3885-46C8-9F16-E5DCBBAC2DAA},
-84.292060921244769,33.864127748524041,1409,St. Pius X Catholic High,20,2674 Johnson Road NE, ,Atlanta,Georgia,30345,404,636-3023, ,Principal,13089,Private School,DeKalb,GPS,2012-01-11T00:00:00.000Z,,{FD5A79C0-14ED-4989-9213-323FBEB7E107},
-84.3275646087761,33.718874686119307,1413,First Steps,20,1863 Brannen Road SE, ,Atlanta,Georgia,30316,404,241-7862, ,Principal,13089,Private School,DeKalb,GPS,2012-01-11T00:00:00.000Z,,{D53EE00B-6F54-433D-81DA-22F81A689C8C},
