X,Y,OBJECTID,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,TYPE,NAME,GlobalID,last_edited_date
-84.385371904696299,34.113400923151183,285,"CHADWICK RD LANDFILL, INC.",28,Btwn Chadwick Rd + Little Rvr,13700 Chadwick Farm Blvd,Roswell,Georgia,30075,770,475-9868,"GREG ROSSER, USA WASTE, INC.",REGIONAL V P,Landfill,Fulton,{70A22D5D-65D9-403B-983A-709352C29850},2015-12-30T22:29:50.000Z
-84.032093755987674,33.938953505190327,286,LAND RECLAMATION-ROGERS LAKE RD (C&D) L,28,Ws Rogers Lake Rd N Maddox Rd,1505 Hwy 29 S,Lawrenceville,Georgia,30245,770,207-6640,RAYMOND PATRICK,PRESIDENT,Landfill,DeKalb,{08F9A3C1-086B-40FD-B25D-42BA902F3D90},2015-12-30T22:29:50.000Z
-84.102613219846987,33.740113524978405,287,Maddox Rd. Recycling Center,29,1770 Rogers Lake, ,Lithonia,Georgia,30058,770,484-6444, , ,Solid Waste Recycling Center,DeKalb,{C166415E-A426-4495-A63F-68E9184678A7},2015-12-30T22:29:50.000Z
-84.343850120984428,33.538433459783157,288,Clayton County Recycling Center,29,1430 State Route 138, ,Jonesboro,Georgia,30236,770,473-5470, , ,Solid Waste Recycling Center,Clayton,{17CC6D1A-EA04-4D96-9628-F56A046605FB},2015-12-30T22:29:50.000Z
-84.02631999204668,33.688584772715409,289,Rockdale County Recycling & Transfer,29,1200 Sigman Rd, ,Conyers,Georgia,30012,770,785-6883, , ,Solid Waste Recycling Center,Rockdale,{07D1E998-9CD0-4042-8608-B4A0EC591149},2015-12-30T22:29:50.000Z
-84.203659432498341,33.935583421084893,290,Consolidated Resource Recovery,29,800 Mitchell Rd, ,Norcross,Georgia,30071,0, , , ,Solid Waste Recycling Center,Gwinnett,{6F080C47-4508-49F2-A2F8-B7C222F72934},2015-12-30T22:29:50.000Z
-84.370089538466488,33.969487828098352,291,Sandy Springs Recycling Center,29,470 Morgan Falls Rd, ,Atlanta,Georgia,30350,770,551-7766, , ,Solid Waste Recycling Center,Fulton,{FD7742EA-9465-453A-915A-51A1728DE422},2015-12-30T22:29:50.000Z
-84.342245654515736,33.989859426483726,292,"BFI-EAST DEKALB LANDFILL, INC.",28,Off Scales Rd,"8607 Roberts Dr., No. 100",Atlanta,Georgia,30350,770,640-2300,"JAMES D. DOWLAND, JR", ,C&D,DeKalb,{B88E550F-BA70-427E-B04A-E02FFA430625},2015-12-30T22:29:50.000Z
-84.341008820123747,33.670909927339231,293,WMI-LIVE OAK #2 (MSWL),28,Old Mcdonough Rd At I-285,1189 Henrico Road,Conley,Georgia,30027,404,361-1182,DALE COURTNEY,DIVISION PRESIDENT,MSWL,DeKalb,{899565BD-F427-4CFB-B847-080C49C4116F},2015-12-30T22:29:50.000Z
-84.563628426206733,33.667867084453142,294,Consolidated Resource Recovery,29,3225 Merk Rd, ,College Park,Georgia,30349,404,346-8398, , ,Solid Waste Recycling Center,Fulton,{6CA41718-C267-434F-9D2B-15DB6329A305},2015-12-30T22:29:50.000Z
